,datetime,open,high,low,close,volume
0,2023-04-11,5.13000,5.15000,5.12000,5.13000,135900
1,2023-04-10,5.10000,5.12000,5.08000,5.11000,196100
2,2023-04-06,5.06000,5.12000,5.02000,5.11000,237400
3,2023-04-05,5.02000,5.06000,5.00000,5.04000,461200
4,2023-04-04,5.07000,5.09000,5.03000,5.05000,450000
5,2023-04-03,5.05000,5.09000,5.05000,5.07000,269500
6,2023-03-31,5.07000,5.12000,5.07000,5.10000,347800
7,2023-03-30,5.07000,5.09000,5.06000,5.08000,181600
8,2023-03-29,5.01000,5.06000,5.01000,5.06000,203400
9,2023-03-28,4.98000,5.01000,4.98000,5.00000,196700
10,2023-03-27,4.99000,5.03000,4.96000,5.02000,276500
11,2023-03-24,4.97000,4.97000,4.93000,4.94000,271100
12,2023-03-23,5.01000,5.04000,4.96000,4.96000,224700
13,2023-03-22,5.04000,5.06000,4.99000,4.99000,242300
14,2023-03-21,4.99000,5.06000,4.99000,5.01000,249200
15,2023-03-20,4.94000,4.99000,4.94000,4.96000,242900
16,2023-03-17,4.99000,5.00000,4.91000,4.91000,212700
17,2023-03-16,4.96000,5.04000,4.92000,5.03000,474100
18,2023-03-15,5.00000,5.02000,4.95000,4.97000,864500
19,2023-03-14,5.09000,5.11000,5.03000,5.08000,357500
20,2023-03-13,5.12000,5.15000,4.87000,5.03000,616100
21,2023-03-10,5.23000,5.23000,5.16000,5.18000,172500
22,2023-03-09,5.29000,5.31000,5.20000,5.22000,202000
23,2023-03-08,5.26000,5.32000,5.25000,5.31000,128700
24,2023-03-07,5.30000,5.32000,5.26000,5.26000,170500
25,2023-03-06,5.34000,5.36000,5.30000,5.31000,248200
26,2023-03-03,5.29000,5.37000,5.29000,5.33000,222300
27,2023-03-02,5.27000,5.31000,5.27000,5.29000,355500
28,2023-03-01,5.32000,5.33000,5.29000,5.31000,261800
29,2023-02-28,5.43000,5.44000,5.35000,5.35000,326200
30,2023-02-27,5.40000,5.44000,5.40000,5.41000,126200
31,2023-02-24,5.43000,5.43000,5.35000,5.35000,193400
32,2023-02-23,5.48000,5.50000,5.42000,5.45000,177900
33,2023-02-22,5.43000,5.48000,5.41000,5.45000,284800
34,2023-02-21,5.45000,5.47000,5.40000,5.42000,221300
35,2023-02-17,5.44000,5.47000,5.43000,5.45000,125500
36,2023-02-16,5.44000,5.50000,5.41000,5.46000,281200
37,2023-02-15,5.44000,5.49000,5.40000,5.46000,240100
38,2023-02-14,5.49000,5.51000,5.42000,5.44000,182200
39,2023-02-13,5.43000,5.50000,5.42000,5.49000,265700
40,2023-02-10,5.39000,5.43000,5.39000,5.40000,173300
41,2023-02-09,5.42000,5.43000,5.38000,5.43000,182100
42,2023-02-08,5.38000,5.40000,5.35000,5.39000,139500
43,2023-02-07,5.32000,5.39000,5.32000,5.38000,135100
