,datetime,open,high,low,close,volume
0,2023-04-11,25.61000,26.00000,25.44000,25.71000,569300
1,2023-04-10,25.49000,25.95000,25.40000,25.61000,546500
2,2023-04-06,25.58000,25.82000,25.32000,25.57000,273800
3,2023-04-05,25.04000,25.50000,24.91000,25.49000,459000
4,2023-04-04,26.31000,26.31000,24.88000,25.24000,381600
5,2023-04-03,26.06000,26.40000,25.80000,26.32000,705001
6,2023-03-31,24.99000,25.55000,24.99000,25.55000,557932
7,2023-03-30,25.15000,25.19000,24.67000,24.84000,270065
8,2023-03-29,25.21000,25.23000,24.73000,24.94000,249749
9,2023-03-28,24.54000,25.28500,24.54000,24.96000,301973
10,2023-03-27,24.37000,24.75000,24.00000,24.69000,393122
11,2023-03-24,23.29000,23.96000,23.12000,23.88000,313766
12,2023-03-23,24.16000,24.52500,23.50000,23.73000,323489
13,2023-03-22,24.38000,24.86000,24.01000,24.02000,360879
14,2023-03-21,24.78000,25.05000,24.29000,24.44000,344670
15,2023-03-20,23.71000,24.76500,23.71000,24.25000,532630
16,2023-03-17,24.10000,24.17000,23.26000,23.34000,1416463
17,2023-03-16,23.59000,24.38000,23.32000,24.23000,410957
18,2023-03-15,24.11000,24.48000,23.42000,23.97000,623316
19,2023-03-14,25.22000,25.63000,24.65000,24.97000,417030
20,2023-03-13,25.00000,25.27000,24.41000,24.59000,1092285
21,2023-03-10,25.74000,26.27000,25.24500,25.53000,468237
22,2023-03-09,26.79000,26.82000,25.73500,25.79000,357487
23,2023-03-08,26.96000,27.29000,26.24000,26.60000,478764
24,2023-03-07,26.88000,27.40000,26.71000,27.03000,917689
25,2023-03-06,28.00000,28.15000,26.57000,26.86000,518899
26,2023-03-03,27.60000,28.51000,27.29000,28.25000,406803
27,2023-03-02,26.86000,27.88000,26.62000,27.69000,319556
28,2023-03-01,27.45000,27.76000,26.89000,27.13000,531113
29,2023-02-28,26.42000,27.51000,26.42000,27.45000,884184
30,2023-02-27,27.37000,27.37000,26.36000,26.37000,538545
31,2023-02-24,29.29000,29.39660,26.41000,27.06000,750520
32,2023-02-23,30.22000,30.64500,29.86000,30.37000,282001
33,2023-02-22,29.79000,30.32000,29.73000,29.84000,332693
34,2023-02-21,29.68000,30.20500,29.68000,29.74000,302801
35,2023-02-17,30.33000,30.39000,29.66190,30.02000,329845
36,2023-02-16,29.24000,30.36000,29.15000,30.24000,316856
37,2023-02-15,29.42000,29.57000,28.81000,29.57000,382459
38,2023-02-14,29.48000,29.80000,29.42000,29.63000,414469
39,2023-02-13,29.54000,29.80000,29.17500,29.65000,403554
40,2023-02-10,28.91000,29.65000,28.81000,29.64000,284886
41,2023-02-09,28.82000,29.06000,28.55000,28.66000,325671
42,2023-02-08,29.50000,29.50000,28.63000,28.84000,271135
43,2023-02-07,29.02000,29.54000,28.81000,29.53000,314818
44,2023-02-06,29.09000,29.26000,28.73000,29.02000,337862
45,2023-02-03,29.03000,29.75000,29.03000,29.08000,504783
46,2023-02-02,28.16000,29.05000,28.09000,28.99000,543488
47,2023-02-01,28.30000,28.60000,28.04000,28.13000,789423
48,2023-01-31,27.77000,28.42000,27.73000,28.30000,599593
49,2023-01-30,28.09000,28.35000,27.80500,27.84000,258538
50,2023-01-27,28.54000,28.65000,28.20000,28.29000,221314
51,2023-01-26,28.64000,28.76000,28.12000,28.65000,283030
52,2023-01-25,28.09000,28.50000,27.77000,28.41000,260234
53,2023-01-24,28.30000,28.35000,27.84000,28.21000,133949
54,2023-01-23,27.98000,28.40000,27.93000,28.23000,192298
55,2023-01-20,27.98000,28.06500,27.38000,27.93000,317292
56,2023-01-19,26.91000,27.96000,26.91000,27.81000,272492
57,2023-01-18,28.01000,28.56000,26.98000,27.03000,392080
58,2023-01-17,28.15000,28.34000,27.72000,27.82000,249594
