,datetime,open,high,low,close,volume
0,2023-04-11,6.41000,6.60000,6.27000,6.50000,106600
1,2023-04-10,6.25000,6.42000,6.22000,6.39000,105400
2,2023-04-06,6.27000,6.44000,6.23000,6.32000,71400
3,2023-04-05,6.26000,6.40000,6.13000,6.31000,80400
4,2023-04-04,6.22000,6.38000,6.08000,6.30000,101300
5,2023-04-03,6.09000,6.24000,6.06000,6.16000,127600
6,2023-03-31,6.12000,6.22000,6.03000,6.14000,132400
7,2023-03-30,6.15000,6.35000,6.00000,6.06000,93000
8,2023-03-29,5.93000,6.06000,5.68000,6.04000,97900
9,2023-03-28,5.95000,6.13000,5.78000,5.84000,105900
10,2023-03-27,5.97000,6.05000,5.76000,6.00000,93600
11,2023-03-24,6.01000,6.15000,5.88000,5.91000,87200
12,2023-03-23,6.08000,6.31000,6.07000,6.09000,73800
13,2023-03-22,6.32000,6.33000,5.96000,6.00000,186900
14,2023-03-21,6.21000,6.43000,6.06000,6.34000,78600
15,2023-03-20,6.16000,6.17000,5.90000,6.05000,114400
16,2023-03-17,6.17000,6.21000,5.85000,6.08000,161100
17,2023-03-16,6.16000,6.45000,6.00000,6.26000,93900
18,2023-03-15,6.19000,6.42000,6.08000,6.28000,108300
19,2023-03-14,6.30000,6.42000,6.13000,6.39000,132900
20,2023-03-13,5.89000,6.39000,5.89000,6.07000,104700
21,2023-03-10,6.54000,6.54000,5.96000,6.01000,209500
22,2023-03-09,6.81000,6.95000,6.55000,6.56000,260130
23,2023-03-08,7.22000,7.26000,6.83000,6.92000,140100
24,2023-03-07,7.11000,7.25000,7.03000,7.15000,54300
25,2023-03-06,7.11000,7.56000,7.05000,7.09000,144700
26,2023-03-03,6.61000,7.17000,6.52000,7.08000,203700
27,2023-03-02,6.99000,7.23000,6.82000,7.13000,33300
28,2023-03-01,7.15000,7.15000,6.79000,7.01000,94900
29,2023-02-28,6.94000,7.13000,6.85000,7.02000,78400
30,2023-02-27,7.10000,7.11000,6.80000,6.94000,155800
31,2023-02-24,6.89000,7.11000,6.81000,7.01000,66700
32,2023-02-23,7.37000,7.37000,6.91000,7.06000,70600
33,2023-02-22,7.36000,7.53000,7.16000,7.25000,63100
34,2023-02-21,7.41000,7.52000,7.27000,7.28000,68600
35,2023-02-17,7.90000,7.90000,7.57000,7.59000,112000
36,2023-02-16,8.11000,8.19000,7.85000,7.85000,84200
37,2023-02-15,8.19000,8.54000,8.15000,8.31000,45300
38,2023-02-14,8.15000,8.32000,8.00000,8.18000,87700
39,2023-02-13,8.40000,8.48000,8.15000,8.22000,48000
40,2023-02-10,8.61000,8.87000,8.36000,8.43000,79500
41,2023-02-09,8.81000,9.05000,8.55000,8.62000,196800
42,2023-02-08,8.78000,8.99000,8.57000,8.66000,27400
43,2023-02-07,8.74000,8.98000,8.54000,8.80000,94200
44,2023-02-06,9.32000,9.40000,8.57000,8.71000,56400
45,2023-02-03,9.39000,9.64000,9.22000,9.45000,71200
46,2023-02-02,9.11000,9.66000,8.91000,9.59000,106500
47,2023-02-01,8.76000,8.98000,8.60000,8.95000,101800
48,2023-01-31,8.28000,8.89000,8.28000,8.72000,62300
49,2023-01-30,7.82000,8.40000,7.82000,8.28000,71900
50,2023-01-27,7.78000,8.17000,7.78000,7.98000,116900
51,2023-01-26,7.96000,7.96000,7.76000,7.85000,54500
52,2023-01-25,7.71000,8.00000,7.59000,7.85000,71200
53,2023-01-24,7.87000,7.96000,7.58000,7.80000,48600
54,2023-01-23,7.98000,8.15000,7.89000,7.95000,51500
55,2023-01-20,7.76000,8.26000,7.51000,7.98000,47800
56,2023-01-19,7.86000,7.98000,7.64000,7.66000,36900
57,2023-01-18,8.42000,8.55000,7.91000,7.99000,99300
58,2023-01-17,8.44000,8.56000,8.21000,8.42000,59800
59,2023-01-13,8.20000,8.53000,8.20000,8.50000,69500
60,2023-01-12,8.09000,8.33000,7.93000,8.22000,92100
61,2023-01-11,7.77000,8.28000,7.69000,8.10000,104000
62,2023-01-10,7.39000,7.72000,7.39000,7.72000,54200
63,2023-01-09,7.23000,7.71000,7.05000,7.39000,78100
64,2023-01-06,6.94000,7.22000,6.78000,7.20000,122500
65,2023-01-05,6.78000,6.91000,6.55000,6.81000,307200
66,2023-01-04,6.93000,6.97000,6.74000,6.79000,112800
67,2023-01-03,7.41000,7.59000,6.77000,6.87000,219900
68,2022-12-30,6.88000,7.31000,6.88000,7.24000,265500
69,2022-12-29,6.62000,7.10000,6.61000,6.97000,766200
70,2022-12-28,6.70000,6.73000,6.46000,6.53000,189400
71,2022-12-27,6.94000,6.94000,6.66000,6.69000,66900
72,2022-12-23,6.99000,7.03000,6.80000,6.87000,38200
73,2022-12-22,7.01000,7.10000,6.91000,7.03000,70100
74,2022-12-21,7.08000,7.49000,7.08000,7.16000,91200
75,2022-12-20,6.88000,7.09000,6.76000,7.04000,119700
76,2022-12-19,7.18000,7.19000,6.88000,6.92000,76700
77,2022-12-16,7.23000,7.26000,7.04000,7.12000,111100
78,2022-12-15,7.56000,7.58000,7.23000,7.32000,176200
79,2022-12-14,7.77000,8.14000,7.67000,7.74000,140100
80,2022-12-13,7.84000,8.07000,7.54000,7.69000,173400
81,2022-12-12,7.82000,7.82000,7.62000,7.69000,92700
82,2022-12-09,7.90000,8.28000,7.82000,7.86000,46300
83,2022-12-08,7.74000,7.96000,7.64000,7.86000,78800
84,2022-12-07,7.75000,7.87000,7.67000,7.73000,61200
85,2022-12-06,7.87000,7.87000,7.63000,7.77000,64400
86,2022-12-05,8.29000,8.29000,7.77000,7.84000,75800
87,2022-12-02,8.08000,8.38000,7.99000,8.33000,141800
88,2022-12-01,8.35000,8.69000,8.16000,8.20000,92000
89,2022-11-30,8.33000,8.40000,8.01000,8.35000,259000
90,2022-11-29,8.70000,8.87000,8.26000,8.40000,163300
91,2022-11-28,9.17000,9.38000,8.71000,8.75000,96000
92,2022-11-25,9.22000,9.43000,9.20000,9.22000,26300
93,2022-11-23,9.14000,9.35000,9.10000,9.28000,75700
94,2022-11-22,9.40000,9.40000,9.08000,9.20000,52000
95,2022-11-21,9.28000,9.46000,9.27000,9.41000,61700
96,2022-11-18,9.39000,9.55000,9.15000,9.39000,223000
97,2022-11-17,9.01000,9.22000,8.93000,9.16000,83300
98,2022-11-16,9.20000,9.26000,8.85000,9.19000,89500
99,2022-11-15,9.38000,9.86000,9.26000,9.31000,96000
100,2022-11-14,10.07000,10.07000,9.21000,9.22000,161500
101,2022-11-11,9.78000,10.35000,9.78000,10.18000,90800
102,2022-11-10,9.16000,9.77000,9.07000,9.77000,125300
103,2022-11-09,9.31000,9.31000,8.82000,8.90000,69700
104,2022-11-08,9.14000,9.48000,8.82000,9.43000,94200
105,2022-11-07,8.90000,9.24000,8.83000,9.00000,273800
106,2022-11-04,8.91000,9.05000,8.62000,8.96000,188700
107,2022-11-03,7.75000,9.24000,7.75000,8.83000,1301900
108,2022-11-02,12.32000,12.52000,11.74000,11.74000,91100
109,2022-11-01,12.15000,12.39000,11.94000,12.32000,127300
110,2022-10-31,12.23000,12.40000,12.04000,12.05000,132700
111,2022-10-28,12.34000,12.62000,12.29000,12.39000,157300
112,2022-10-27,12.04000,12.43000,11.97000,12.23000,232500
113,2022-10-26,11.92000,12.20000,11.88000,11.91000,428200
114,2022-10-25,11.83000,12.27000,11.76000,11.96000,148500
115,2022-10-24,12.05000,12.05000,11.64000,11.73000,67300
116,2022-10-21,11.77000,11.97000,11.68000,11.92000,55100
117,2022-10-20,11.76000,12.24000,11.70000,11.78000,31900
118,2022-10-19,11.79000,12.12000,11.69000,11.81000,34400
119,2022-10-18,11.87000,12.12000,11.60000,11.88000,49700
120,2022-10-17,11.62000,11.89000,11.53000,11.71000,73400
121,2022-10-14,12.27000,12.42000,11.50000,11.58000,70900
122,2022-10-13,11.88000,12.29000,11.65000,12.22000,65600
123,2022-10-12,12.14000,12.26000,11.84000,12.10000,112700
124,2022-10-11,12.43000,12.44000,12.00000,12.03000,64800
125,2022-10-10,12.69000,12.69000,12.32000,12.50000,38300
126,2022-10-07,13.13000,13.93000,12.65000,12.69000,55400
127,2022-10-06,13.11000,13.69000,13.11000,13.39000,53500
128,2022-10-05,12.94000,13.24000,12.83000,13.10000,24500
129,2022-10-04,12.84000,13.45000,12.84000,13.08000,65500
130,2022-10-03,12.62000,13.51000,12.40000,12.72000,46600
131,2022-09-30,12.78000,13.00000,12.51000,12.54000,34600
132,2022-09-29,12.69000,12.92000,12.59000,12.70000,31300
133,2022-09-28,12.79000,13.14000,12.64000,12.93000,80000
134,2022-09-27,12.60000,13.10000,12.50000,12.68000,25700
135,2022-09-26,12.39000,12.78000,12.39000,12.54000,59300
136,2022-09-23,12.56000,12.64000,12.30000,12.39000,80500
137,2022-09-22,12.81000,13.12000,12.58000,12.75000,75300
138,2022-09-21,12.96000,13.21000,12.69000,12.95000,73100
139,2022-09-20,13.00000,13.41000,12.78000,13.11000,68300
140,2022-09-19,12.64000,13.31000,12.64000,13.08000,63400
141,2022-09-16,12.72000,12.90000,12.27000,12.90000,130700
142,2022-09-15,13.00000,13.12000,12.89000,12.99000,48400
143,2022-09-14,13.42000,13.50000,12.96000,13.15000,45300
144,2022-09-13,13.31000,13.76000,13.05000,13.28000,72500
145,2022-09-12,13.76000,14.05000,13.41000,13.79000,121200
146,2022-09-09,13.82000,13.97000,13.52000,13.57000,109100
147,2022-09-08,13.55000,13.99000,13.46000,13.72000,47200
148,2022-09-07,13.95000,14.17000,13.75000,13.80000,48000
149,2022-09-06,14.30000,14.30000,13.75000,13.85000,50000
150,2022-09-02,14.57000,14.89000,14.10000,14.18000,32800
151,2022-09-01,14.73000,14.73000,14.02000,14.45000,49000
152,2022-08-31,15.07000,15.34000,14.46000,14.92000,47500
153,2022-08-30,14.84000,15.09000,14.59000,14.87000,25000
154,2022-08-29,15.23000,15.42000,14.97000,14.97000,26400
155,2022-08-26,15.97000,15.97000,15.46000,15.56000,63000
156,2022-08-25,15.69000,16.18000,15.67000,16.03000,47300
157,2022-08-24,15.62000,15.86000,15.54000,15.68000,12300
158,2022-08-23,15.69000,15.87000,15.29000,15.62000,88000
159,2022-08-22,15.40000,15.55000,15.00000,15.51000,90100
160,2022-08-19,16.08000,16.11000,15.32000,15.63000,46300
161,2022-08-18,16.16000,16.75000,15.97000,16.44000,29100
162,2022-08-17,16.51000,16.52000,15.91000,16.17000,48800
163,2022-08-16,16.55000,16.93000,16.40000,16.80000,37000
164,2022-08-15,16.21000,16.68000,15.82000,16.61000,44500
165,2022-08-12,16.58000,16.74000,16.12000,16.38000,54900
166,2022-08-11,16.66000,16.98000,15.92000,16.63000,96500
167,2022-08-10,15.61000,16.72000,15.60000,16.65000,144100
168,2022-08-09,15.40000,15.53000,15.22000,15.34000,52300
169,2022-08-08,15.29000,15.66000,15.00000,15.58000,172400
170,2022-08-05,14.75000,15.40000,14.59000,15.16000,180800
171,2022-08-04,14.21000,15.38000,13.90000,15.29000,157000
172,2022-08-03,13.80000,14.40000,13.72000,14.08000,177000
173,2022-08-02,13.58000,14.00000,13.37000,13.58000,32600
174,2022-08-01,13.35000,13.67000,13.04000,13.54000,43100
175,2022-07-29,13.12000,13.67000,13.12000,13.54000,45200
176,2022-07-28,13.15000,13.15000,12.80000,13.02000,58700
177,2022-07-27,13.06000,13.31000,12.63000,13.17000,37400
178,2022-07-26,12.18000,13.01000,11.92000,12.86000,45400
179,2022-07-25,12.64000,12.64000,12.02000,12.41000,56900
180,2022-07-22,13.25000,13.37000,12.43000,12.58000,68000
181,2022-07-21,12.77000,13.23000,12.44000,13.23000,58900
182,2022-07-20,12.12000,12.80000,12.12000,12.77000,54200
183,2022-07-19,11.54000,12.43000,11.54000,12.04000,74300
184,2022-07-18,11.97000,12.03000,11.41000,11.51000,23300
185,2022-07-15,11.76000,12.03000,11.00000,11.84000,78700
186,2022-07-14,11.26000,11.62000,11.10000,11.53000,26500
187,2022-07-13,10.87000,11.61000,10.82000,11.52000,35800
188,2022-07-12,11.64000,11.84000,11.10000,11.12000,53700
189,2022-07-11,11.53000,11.91000,11.35000,11.72000,43000
190,2022-07-08,11.51000,11.78000,11.50000,11.55000,39500
191,2022-07-07,11.45000,11.83000,11.45000,11.65000,92400
192,2022-07-06,11.55000,11.68000,11.10000,11.29000,46900
193,2022-07-05,11.04000,11.54000,11.01000,11.52000,55200
194,2022-07-01,11.48000,11.60000,11.09000,11.27000,49800
195,2022-06-30,11.18000,11.60000,11.02000,11.58000,64700
196,2022-06-29,11.41000,11.47000,10.70000,11.43000,107900
197,2022-06-28,11.69000,12.15000,11.27000,11.32000,67900
198,2022-06-27,11.73000,11.88000,11.58000,11.69000,52300
199,2022-06-24,12.08000,12.29000,11.58000,11.62000,284700
200,2022-06-23,12.19000,12.27000,11.80000,12.07000,77200
201,2022-06-22,11.58000,12.17000,11.58000,12.07000,97300
202,2022-06-21,11.21000,11.81000,11.07000,11.75000,85000
203,2022-06-17,11.31000,11.42000,11.01000,11.09000,88500
204,2022-06-16,11.51000,11.51000,11.01000,11.17000,80400
205,2022-06-15,11.65000,12.00000,11.55000,11.80000,62000
206,2022-06-14,11.78000,11.78000,11.39000,11.65000,39400
207,2022-06-13,12.28000,12.28000,11.54000,11.59000,80100
208,2022-06-10,12.63000,12.74000,12.28000,12.60000,69200
209,2022-06-09,12.94000,13.26000,12.63000,12.78000,57800
210,2022-06-08,13.33000,13.54000,13.06000,13.15000,49000
211,2022-06-07,13.17000,13.53000,13.15000,13.39000,47300
212,2022-06-06,13.37000,13.56000,13.21000,13.33000,78200
213,2022-06-03,13.07000,13.38000,13.00000,13.34000,77600
214,2022-06-02,12.74000,13.50000,12.16000,13.22000,83800
215,2022-06-01,12.81000,13.09000,12.59000,12.72000,80200
216,2022-05-31,13.26000,13.26000,12.47000,12.79000,100900
217,2022-05-27,12.35000,13.30000,12.33000,13.26000,129600
218,2022-05-26,11.68000,12.25000,11.68000,12.11000,73100
219,2022-05-25,11.16000,11.90000,11.15000,11.73000,108200
220,2022-05-24,11.56000,11.71000,11.11000,11.17000,119600
221,2022-05-23,11.49000,11.93000,11.20000,11.78000,159400
222,2022-05-20,11.41000,11.58000,10.96000,11.35000,166200
223,2022-05-19,11.40000,11.75000,11.22000,11.30000,127000
224,2022-05-18,11.83000,12.08000,11.01000,11.47000,146100
225,2022-05-17,11.81000,12.15000,11.64000,11.91000,634800
226,2022-05-16,11.72000,11.88000,11.41000,11.52000,72300
227,2022-05-13,11.64000,11.99000,11.62000,11.79000,135800
228,2022-05-12,11.57000,11.97000,11.11000,11.49000,138900
229,2022-05-11,11.74000,12.45000,11.55000,11.60000,107300
230,2022-05-10,12.11000,12.34000,11.57000,11.73000,215100
231,2022-05-09,11.73000,12.08000,11.73000,11.92000,147100
232,2022-05-06,12.31000,12.63000,11.97000,12.13000,277000
233,2022-05-05,13.28000,14.00000,12.36000,12.51000,370900
234,2022-05-04,12.49000,12.70000,11.72000,12.60000,225600
235,2022-05-03,12.66000,12.80000,12.36000,12.52000,97000
236,2022-05-02,12.15000,12.73000,12.15000,12.72000,123500
237,2022-04-29,12.61000,13.20000,12.13000,12.19000,120600
238,2022-04-28,12.41000,13.02000,12.15000,12.88000,135100
239,2022-04-27,12.65000,13.00000,12.01000,12.23000,131000
240,2022-04-26,13.15000,13.37000,12.61000,12.70000,293500
241,2022-04-25,12.52000,13.08000,12.34000,12.72000,399800
242,2022-04-22,12.60000,12.95000,12.49000,12.53000,200800
243,2022-04-21,12.99000,13.05000,12.36000,12.66000,219000
244,2022-04-20,13.08000,13.08000,12.75000,12.81000,87100
245,2022-04-19,12.80000,13.13000,12.71000,12.81000,231100
246,2022-04-18,13.00000,13.18000,12.59000,12.78000,102700
247,2022-04-14,13.11000,13.20000,12.99000,13.15000,171100
248,2022-04-13,13.19000,13.28000,12.89000,13.01000,176900
249,2022-04-12,13.58000,13.70000,12.80000,12.94000,191000
250,2022-04-11,13.23000,13.61000,13.13000,13.21000,140900
251,2022-04-08,14.32000,14.32000,13.39000,13.54000,150600
252,2022-04-07,14.59000,14.77000,14.11000,14.42000,142800
253,2022-04-06,15.60000,15.70000,14.48000,14.56000,152900
254,2022-04-05,16.05000,16.40000,15.71000,15.82000,94400
255,2022-04-04,15.94000,16.35000,15.90000,16.19000,66200
256,2022-04-01,16.25000,16.35000,15.39000,15.85000,97200
257,2022-03-31,16.22000,16.62000,15.89000,16.17000,249700
258,2022-03-30,16.47000,16.89000,15.72000,16.23000,229900
259,2022-03-29,16.16000,17.12000,16.16000,16.62000,296100
260,2022-03-28,15.85000,16.13000,15.40000,15.98000,99000
261,2022-03-25,15.99000,16.18000,15.64000,15.84000,110200
262,2022-03-24,16.39000,16.50000,15.66000,16.32000,79500
263,2022-03-23,16.04000,16.48000,15.56000,16.03000,138600
264,2022-03-22,16.49000,16.99000,15.94000,16.10000,238500
265,2022-03-21,16.73000,16.84000,16.11000,16.45000,93800
266,2022-03-18,16.60000,17.30000,16.60000,16.74000,166300
267,2022-03-17,16.46000,17.16000,16.42000,16.84000,156700
268,2022-03-16,15.42000,16.65000,15.26000,16.48000,171000
269,2022-03-15,15.32000,15.67000,15.15000,15.25000,134500
270,2022-03-14,16.23000,16.30000,14.87000,15.10000,164200
271,2022-03-11,16.80000,16.95000,16.20000,16.20000,201300
272,2022-03-10,15.96000,16.84000,15.91000,16.80000,131000
273,2022-03-09,15.59000,16.43000,15.53000,16.40000,283000
274,2022-03-08,15.25000,15.70000,14.87000,14.94000,358400
275,2022-03-07,15.16000,16.01000,14.75000,15.33000,240800
276,2022-03-04,15.00000,15.80000,14.36000,15.31000,514600
277,2022-03-03,19.10000,19.46000,15.30000,15.44000,1386800
278,2022-03-02,21.02000,21.13000,20.00000,21.06000,146000
279,2022-03-01,20.73000,21.65000,19.95000,20.81000,216500
280,2022-02-28,21.41000,21.94000,20.14000,20.96000,352600
281,2022-02-25,21.15000,22.58000,20.71000,21.67000,420900
282,2022-02-24,18.23000,20.78000,18.00000,20.59000,273700
283,2022-02-23,19.76000,19.88000,18.93000,18.98000,94400
284,2022-02-22,20.18000,20.71000,19.28000,19.39000,113200
285,2022-02-18,20.67000,21.01000,20.07000,20.42000,92200
286,2022-02-17,21.34000,21.37000,20.75000,20.85000,60900
287,2022-02-16,21.01000,21.86000,20.58000,21.57000,76200
288,2022-02-15,20.34000,21.22000,20.00000,21.16000,77400
289,2022-02-14,19.70000,20.76000,19.59000,19.68000,89700
290,2022-02-11,20.36000,20.70000,19.38000,19.68000,104000
291,2022-02-10,20.09000,20.88000,20.09000,20.36000,92600
292,2022-02-09,20.89000,20.96000,20.46000,20.75000,173300
293,2022-02-08,19.83000,20.76000,19.75000,20.60000,125400
294,2022-02-07,19.78000,20.39000,19.39000,19.98000,286400
295,2022-02-04,18.43000,19.25000,18.41000,19.02000,60300
296,2022-02-03,18.83000,19.15000,18.36000,18.62000,107800
297,2022-02-02,19.60000,19.64000,18.89000,19.33000,80600
298,2022-02-01,19.18000,19.67000,18.69000,19.40000,83400
299,2022-01-31,18.14000,19.39000,17.88000,19.32000,158700
300,2022-01-28,17.27000,18.00000,16.80000,17.88000,107900
301,2022-01-27,18.65000,18.90000,17.19000,17.35000,262200
302,2022-01-26,19.17000,19.74000,17.82000,18.29000,210900
303,2022-01-25,18.36000,18.88000,17.68000,18.66000,159800
304,2022-01-24,18.00000,19.15000,17.21000,18.81000,358400
305,2022-01-21,19.13000,19.62000,18.26000,18.48000,217500
306,2022-01-20,20.45000,21.26000,19.22000,19.46000,136600
307,2022-01-19,21.25000,21.25000,20.10000,20.16000,212700
308,2022-01-18,21.58000,21.70000,20.77000,20.92000,176000
309,2022-01-14,21.50000,22.25000,21.01000,22.10000,218500
