,datetime,open,high,low,close,volume
0,2023-04-11,10.45000,10.49000,10.28000,10.32000,1070700
1,2023-04-10,10.72000,10.74000,10.05000,10.39000,1372500
2,2023-04-06,10.76000,10.82000,10.63000,10.76000,1182600
3,2023-04-05,11.09000,11.45000,11.07000,11.15000,1454100
4,2023-04-04,11.00000,11.12000,10.80000,11.09000,1597300
5,2023-04-03,11.09000,11.13000,10.80000,10.92000,1288600
6,2023-03-31,10.88000,11.09000,10.80000,11.09000,893600
7,2023-03-30,10.77000,10.79000,10.60000,10.76000,738300
8,2023-03-29,10.67000,10.72000,10.54500,10.69000,906141
9,2023-03-28,10.60000,10.77000,10.45000,10.46000,2231691
10,2023-03-27,11.00000,11.25000,10.91000,11.21000,1296835
11,2023-03-24,10.40000,10.90500,10.31000,10.82000,805482
12,2023-03-23,10.89000,11.12000,10.40000,10.48000,1038149
13,2023-03-22,11.00000,11.16010,10.76500,10.78000,834129
14,2023-03-21,11.12000,11.18000,10.98000,11.04000,971015
15,2023-03-20,10.83000,11.01000,10.81500,10.91000,824540
16,2023-03-17,11.13000,11.14000,10.68000,10.76000,1280281
17,2023-03-16,10.96000,11.25000,10.73000,11.20000,1001691
18,2023-03-15,11.01000,11.23000,10.89000,11.08000,1143465
19,2023-03-14,10.98000,11.53500,10.90000,11.29000,1569040
20,2023-03-13,10.71000,10.85000,10.45000,10.65000,1441782
21,2023-03-10,11.54000,11.55000,10.86400,10.98000,1377957
22,2023-03-09,12.17000,12.20000,11.51000,11.52000,1114901
23,2023-03-08,12.25000,12.25000,12.00000,12.16000,1048301
24,2023-03-07,12.31000,12.38000,12.05500,12.14000,860967
25,2023-03-06,12.32000,12.38000,12.22000,12.30000,1081764
26,2023-03-03,12.46000,12.46500,12.17000,12.22000,3292282
27,2023-03-02,12.18000,12.29500,12.01000,12.28000,911818
28,2023-03-01,12.50000,12.52000,12.15000,12.21000,838349
29,2023-02-28,12.51000,12.64000,12.48500,12.53000,900083
30,2023-02-27,13.01000,13.01000,12.49000,12.53000,2715211
31,2023-02-24,12.91000,12.94500,12.71000,12.83000,1788680
32,2023-02-23,13.22000,13.35000,12.91000,13.10000,795962
33,2023-02-22,12.99000,13.27000,12.78000,13.10000,1572928
34,2023-02-21,13.45000,13.52000,13.07120,13.12000,752185
35,2023-02-17,13.75000,13.75200,13.52000,13.67000,499261
36,2023-02-16,13.60000,13.89500,13.46000,13.75000,414598
37,2023-02-15,13.77000,13.86000,13.57000,13.81000,565842
38,2023-02-14,13.80000,13.95000,13.66000,13.84000,375725
39,2023-02-13,13.80000,13.93000,13.75000,13.90000,280812
40,2023-02-10,13.77000,13.89000,13.65000,13.76000,415636
41,2023-02-09,14.50000,14.58000,13.75250,13.81000,650525
42,2023-02-08,14.32000,14.39000,14.13000,14.32000,418641
43,2023-02-07,14.31000,14.48500,14.16000,14.31000,573973
44,2023-02-06,14.90000,15.01000,14.27500,14.35000,735351
45,2023-02-03,15.29000,15.39000,14.99000,15.06000,906054
46,2023-02-02,15.40000,15.55500,15.31500,15.39000,740774
47,2023-02-01,14.77000,15.33000,14.69000,15.20000,891309
48,2023-01-31,14.56000,14.78000,14.51150,14.69000,660017
49,2023-01-30,14.69000,14.74000,14.36500,14.43000,644162
50,2023-01-27,14.25000,14.76500,14.25000,14.73000,691597
51,2023-01-26,14.20000,14.38000,14.13000,14.38000,489500
52,2023-01-25,14.08000,14.20500,13.96000,14.12000,452610
53,2023-01-24,14.20000,14.27000,14.11000,14.14000,329043
54,2023-01-23,14.22000,14.34000,14.12000,14.26000,565106
55,2023-01-20,14.00000,14.26000,13.85000,14.25000,509368
