,datetime,open,high,low,close,volume
0,2023-04-11,10.40000,10.40000,10.39000,10.39000,39200
1,2023-04-10,10.40000,10.40000,10.38000,10.39000,29100
2,2023-04-06,10.38000,10.38000,10.38000,10.38000,27400
3,2023-04-05,10.38000,10.38000,10.38000,10.38000,22200
4,2023-04-04,10.37000,10.40000,10.37000,10.38000,429800
5,2023-04-03,10.37000,10.40000,10.37000,10.37000,1800
6,2023-03-31,10.38000,10.38000,10.38000,10.38000,0
7,2023-03-30,10.37000,10.38000,10.37000,10.38000,231600
8,2023-03-29,10.48000,10.48000,10.37000,10.37000,3344700
9,2023-03-28,10.35000,10.37000,10.35000,10.37000,50900
10,2023-03-27,10.36000,10.37000,10.36000,10.36000,80500
11,2023-03-24,10.34000,10.34000,10.34000,10.34000,0
12,2023-03-23,10.34000,10.34000,10.34000,10.34000,500
13,2023-03-22,10.36000,10.36000,10.36000,10.36000,0
14,2023-03-21,10.36000,10.36000,10.36000,10.36000,0
15,2023-03-20,10.34000,10.36000,10.34000,10.36000,24200
16,2023-03-17,10.34000,10.35000,10.34000,10.34500,6100
17,2023-03-16,10.33000,10.33000,10.33000,10.33000,747100
18,2023-03-15,10.33000,10.33000,10.33000,10.33000,0
19,2023-03-14,10.34000,10.34000,10.33000,10.33000,12500
20,2023-03-13,10.34000,10.34300,10.33000,10.33000,14900
21,2023-03-10,10.34000,10.34000,10.34000,10.34000,12600
22,2023-03-09,10.34000,10.34000,10.34000,10.34000,22100
23,2023-03-08,10.35000,10.35000,10.33000,10.33000,1000
24,2023-03-07,10.35000,10.41000,10.32000,10.35000,34600
25,2023-03-06,10.31000,10.51000,10.31000,10.31500,96500
26,2023-03-03,10.31000,10.32000,10.31000,10.32000,47300
27,2023-03-02,10.34000,10.34000,10.31000,10.31000,28100
28,2023-03-01,10.33000,10.78000,10.30500,10.33000,38600
29,2023-02-28,10.33000,10.33000,10.30000,10.31000,33700
30,2023-02-27,10.31000,10.31000,10.31000,10.31000,100
31,2023-02-24,10.30000,10.30000,10.30000,10.30000,400
32,2023-02-23,10.30000,10.30000,10.30000,10.30000,100
33,2023-02-22,10.30000,10.30000,10.30000,10.30000,100
34,2023-02-21,10.30000,10.32000,10.30000,10.30000,3800
35,2023-02-17,10.30000,10.32000,10.30000,10.32000,77800
36,2023-02-16,10.31000,10.31000,10.30000,10.30000,200
37,2023-02-15,10.28000,10.30500,10.28000,10.30000,217500
38,2023-02-14,10.29000,10.30000,10.29000,10.30000,76300
39,2023-02-13,10.30000,10.30000,10.28000,10.28000,106200
40,2023-02-10,10.30000,10.30000,10.30000,10.30000,6000
41,2023-02-09,10.30000,10.32000,10.29000,10.30000,19300
42,2023-02-08,10.29000,10.29000,10.29000,10.29000,400
