,datetime,open,high,low,close,volume
0,2023-04-05,0.07100,0.07100,0.07100,0.07100,2048
1,2023-04-03,0.13000,0.13000,0.13000,0.13000,12
2,2023-03-29,0.10000,0.10000,0.10000,0.10000,694
3,2023-03-28,0.10000,0.11500,0.10000,0.10000,1000
4,2023-03-27,0.10000,0.10030,0.10000,0.10000,8240
5,2023-03-24,0.06000,0.06000,0.06000,0.06000,0
6,2023-03-23,0.08450,0.08450,0.08450,0.08450,0
7,2023-03-22,0.10000,0.10000,0.10000,0.10000,7620
8,2023-03-21,0.08420,0.11940,0.08420,0.11940,2680
9,2023-03-20,0.10000,0.10020,0.08420,0.10000,2093
10,2023-03-17,0.10010,0.10020,0.10010,0.10020,0
11,2023-03-16,0.10740,0.11480,0.10740,0.11480,1558
12,2023-03-14,0.10000,0.10000,0.10000,0.10000,0
13,2023-03-13,0.10000,0.10000,0.10000,0.10000,0
14,2023-03-10,0.11950,0.11950,0.11950,0.11950,0
15,2023-03-09,0.11980,0.11980,0.11980,0.11980,0
16,2023-03-08,0.12000,0.12000,0.12000,0.12000,2000
17,2023-03-07,0.10010,0.10010,0.10010,0.10010,0
18,2023-03-06,0.10010,0.12480,0.10010,0.12010,5880
19,2023-03-03,0.12470,0.12470,0.12470,0.12470,8504
20,2023-03-02,0.10000,0.10990,0.10000,0.10990,2377
21,2023-03-01,0.10000,0.11010,0.10000,0.11010,0
22,2023-02-28,0.10000,0.10010,0.10000,0.10000,4620
23,2023-02-27,0.10000,0.11480,0.10000,0.11480,26481
24,2023-02-24,0.19090,0.19090,0.15010,0.16000,692
25,2023-02-23,0.13300,0.17030,0.11000,0.12900,5274
26,2023-02-22,0.12900,0.12910,0.12880,0.12910,371
27,2023-02-21,0.12880,0.12880,0.12880,0.12880,0
28,2023-02-17,0.16000,0.16880,0.12500,0.12730,13937
29,2023-02-16,0.27000,0.36000,0.19490,0.19490,133382
30,2023-02-15,0.10000,0.10000,0.10000,0.10000,0
31,2023-02-14,0.11000,0.11000,0.11000,0.11000,0
32,2023-02-13,0.10010,0.10010,0.10010,0.10010,0
33,2023-02-08,0.10060,0.10060,0.10060,0.10060,1
34,2023-02-06,0.10000,0.10000,0.10000,0.10000,415
35,2023-02-03,0.10010,0.10100,0.10010,0.10100,853
36,2023-02-02,0.10250,0.10250,0.05000,0.10110,750
37,2023-02-01,0.11000,0.12000,0.11000,0.12000,2875
38,2023-01-30,0.11000,0.11000,0.10980,0.10980,400
39,2023-01-27,0.10100,0.10990,0.10100,0.10500,1200
40,2023-01-26,0.10990,0.13000,0.10990,0.13000,1150
41,2023-01-25,0.13000,0.13000,0.10900,0.10900,0
42,2023-01-24,0.10000,0.12000,0.10000,0.12000,3206
43,2023-01-23,0.12000,0.12000,0.10500,0.11990,5017
44,2023-01-20,0.13000,0.13000,0.12000,0.12000,0
45,2023-01-19,0.13000,0.13000,0.12510,0.13000,5622
46,2023-01-18,0.12000,0.12000,0.12000,0.12000,0
47,2023-01-17,0.12000,0.12500,0.12000,0.12000,409
48,2023-01-13,0.12000,0.12000,0.12000,0.12000,373
49,2023-01-12,0.12010,0.12490,0.12000,0.12000,13934
50,2023-01-11,0.12980,0.12980,0.12000,0.12000,2324
51,2023-01-10,0.12010,0.13000,0.12000,0.13000,3265
52,2023-01-09,0.12000,0.12500,0.12000,0.12500,900
53,2023-01-06,0.12510,0.12510,0.12000,0.12000,1562
54,2023-01-05,0.12500,0.13000,0.12500,0.13000,3341
55,2023-01-04,0.12010,0.12540,0.12010,0.12500,776
56,2023-01-03,0.12020,0.12020,0.12000,0.12000,0
57,2022-12-30,0.12000,0.12340,0.12000,0.12000,20782
58,2022-12-29,0.12030,0.12030,0.12000,0.12000,6269
59,2022-12-28,0.13530,0.13540,0.12000,0.13160,17571
60,2022-12-27,0.12000,0.13980,0.12000,0.13980,2100
61,2022-12-23,0.14000,0.14000,0.12000,0.12000,902
62,2022-12-22,0.12000,0.12000,0.12000,0.12000,0
63,2022-12-21,0.13500,0.13500,0.12450,0.12450,2358
64,2022-12-20,0.13000,0.13980,0.13000,0.13980,3452
65,2022-12-19,0.12000,0.12000,0.12000,0.12000,1427
