,datetime,open,high,low,close,volume
0,2023-04-11,12.26000,12.30000,12.23000,12.23000,635900
1,2023-04-10,12.27000,12.32000,12.22000,12.23000,494400
2,2023-04-06,12.30000,12.33000,12.24000,12.25000,440000
3,2023-04-05,12.27000,12.30000,12.19000,12.26000,348000
4,2023-04-04,12.44000,12.44000,12.27000,12.30000,303400
5,2023-04-03,12.40000,12.46000,12.37000,12.43000,410700
6,2023-03-31,12.34000,12.45000,12.34000,12.40000,407300
7,2023-03-30,12.37000,12.42000,12.32000,12.33000,384000
8,2023-03-29,12.39000,12.43000,12.31000,12.35000,363695
9,2023-03-28,12.29000,12.36500,12.29000,12.32000,711140
10,2023-03-27,12.26000,12.37000,12.26000,12.32000,529535
11,2023-03-24,12.20000,12.27000,12.10390,12.22000,910612
12,2023-03-23,12.26000,12.32000,12.18000,12.21000,402975
13,2023-03-22,12.24000,12.48000,12.24000,12.29000,433869
14,2023-03-21,12.28000,12.36000,12.22000,12.24000,1265186
15,2023-03-20,12.35000,12.46000,12.14900,12.18000,637437
16,2023-03-17,12.20000,12.42000,12.20000,12.26000,2912414
17,2023-03-16,12.11000,12.32000,12.08000,12.30000,1042085
18,2023-03-15,12.16000,12.27000,12.09000,12.17000,1355999
19,2023-03-14,12.34000,12.43000,12.15000,12.26000,823978
20,2023-03-13,12.43000,12.61000,12.14000,12.15000,982074
21,2023-03-10,12.51000,12.61000,12.45000,12.58000,1678957
22,2023-03-09,12.31000,12.63000,12.31000,12.54000,2942877
23,2023-03-08,11.99000,12.44000,11.92000,12.37000,11743079
24,2023-03-07,6.77000,6.77000,6.69000,6.71000,56003
25,2023-03-06,6.88000,6.88000,6.72000,6.74000,227889
26,2023-03-03,6.93000,6.94000,6.81000,6.90000,104906
27,2023-03-02,6.88000,6.93000,6.83500,6.85000,42318
28,2023-03-01,6.94000,7.01000,6.89000,6.91000,67917
29,2023-02-28,6.95000,7.08000,6.89000,6.91000,99146
30,2023-02-27,7.04000,7.07000,6.93000,6.94000,66012
31,2023-02-24,6.95000,6.97500,6.88000,6.95000,73083
32,2023-02-23,7.09000,7.12000,6.96000,7.03000,57488
33,2023-02-22,7.10000,7.17500,7.00500,7.03000,74024
34,2023-02-21,7.07000,7.14000,7.01000,7.06000,105728
35,2023-02-17,7.09000,7.38000,7.01500,7.15000,89349
36,2023-02-16,7.04000,7.15000,7.03000,7.07000,57426
37,2023-02-15,7.02000,7.15500,7.02000,7.11000,96322
38,2023-02-14,7.11000,7.16900,7.02000,7.04000,126836
39,2023-02-13,7.11000,7.19000,7.06460,7.16000,41798
40,2023-02-10,7.04000,7.17000,6.99000,7.14000,88080
41,2023-02-09,7.19000,7.29000,7.01000,7.03000,59623
42,2023-02-08,7.11000,7.21000,7.08000,7.14000,62192
43,2023-02-07,7.11000,7.19000,7.04000,7.12000,95607
44,2023-02-06,7.46000,7.50000,7.11000,7.11000,118381
45,2023-02-03,7.60000,7.73000,7.37000,7.46000,140553
46,2023-02-02,7.60000,7.80000,7.60000,7.76000,123053
47,2023-02-01,7.41000,7.65000,7.34000,7.56000,117903
48,2023-01-31,7.12000,7.42000,7.12000,7.40000,111640
49,2023-01-30,7.23000,7.30000,7.11000,7.13000,72214
50,2023-01-27,7.11000,7.28000,7.11000,7.24000,81328
51,2023-01-26,7.27000,7.27000,7.09000,7.15000,60169
52,2023-01-25,7.04000,7.21000,7.01000,7.20000,97321
53,2023-01-24,7.10000,7.21000,7.06000,7.10000,54094
54,2023-01-23,7.24000,7.29500,7.14000,7.15000,77981
55,2023-01-20,7.15000,7.22000,7.00000,7.22000,71185
56,2023-01-19,7.12000,7.19000,7.05000,7.09000,68093
57,2023-01-18,7.25000,7.28590,7.10000,7.13000,219227
58,2023-01-17,7.27000,7.35000,7.23000,7.23000,58650
59,2023-01-13,7.34000,7.38000,7.22000,7.26000,77505
60,2023-01-12,7.20000,7.38000,7.10500,7.36000,94665
61,2023-01-11,7.22000,7.31000,7.17000,7.21000,64789
