,datetime,open,high,low,close,volume
0,2023-04-11,27.62000,27.83000,27.20000,27.61000,82500
1,2023-04-10,28.18000,28.21000,27.55000,27.85000,51100
2,2023-04-06,29.01000,29.03000,28.27000,28.42000,45600
3,2023-04-05,32.05000,32.39000,31.25000,31.84000,141400
4,2023-04-04,31.04000,31.79000,30.83000,31.78000,90000
5,2023-04-03,30.94000,30.94000,30.00000,30.70000,93200
6,2023-03-31,29.57000,29.90000,29.39000,29.40000,50800
7,2023-03-30,28.81000,29.45000,28.61000,29.00000,23600
8,2023-03-29,28.97000,29.30000,28.62000,29.05000,17000
9,2023-03-28,29.44000,29.85000,29.42000,29.47500,5100
10,2023-03-27,29.30200,29.83000,29.06000,29.39000,6000
11,2023-03-24,29.10000,29.30000,28.66000,29.30000,10600
12,2023-03-23,28.54000,29.90000,28.49000,28.90500,19400
13,2023-03-22,28.56000,29.08000,28.33000,28.64000,18500
14,2023-03-21,27.90000,28.46000,27.90000,28.11000,9700
15,2023-03-20,27.45000,28.24300,27.45000,27.90000,11100
16,2023-03-17,28.28000,28.34200,27.77000,28.17000,9000
17,2023-03-16,28.19000,28.65000,28.00000,28.22000,25000
18,2023-03-15,28.85000,28.93000,28.35700,28.75000,16900
19,2023-03-14,29.29000,29.44000,28.71000,29.06000,16700
20,2023-03-13,29.50000,29.84000,29.07000,29.07000,54200
21,2023-03-10,27.68000,28.08000,27.50000,27.51000,12900
22,2023-03-09,28.36000,28.72000,27.85000,27.90000,17600
23,2023-03-08,28.74000,28.75000,28.31500,28.63000,30800
24,2023-03-07,27.83000,27.99000,27.60000,27.73000,8700
25,2023-03-06,28.04000,28.49000,27.82000,27.94000,17900
26,2023-03-03,27.25000,27.57900,26.95000,27.29000,31700
27,2023-03-02,27.20000,27.35500,26.91000,27.12000,21300
28,2023-03-01,27.54000,27.80000,27.50000,27.70000,20000
29,2023-02-28,27.50000,28.00000,27.50000,27.62000,13600
30,2023-02-27,27.80000,27.92500,27.53000,27.56000,17500
31,2023-02-24,27.93000,27.98000,27.51000,27.97000,12300
32,2023-02-23,28.17000,28.30000,27.81000,28.08000,11000
33,2023-02-22,28.20000,28.58000,28.06000,28.16000,10500
34,2023-02-21,28.90000,28.92200,28.03000,28.22000,24800
35,2023-02-17,30.31000,30.49000,30.15000,30.26000,10300
36,2023-02-16,30.10000,30.49000,29.94000,30.12000,17100
37,2023-02-15,30.16000,30.75000,30.16000,30.67000,22900
38,2023-02-14,30.34000,30.94000,30.16000,30.50000,39100
39,2023-02-13,30.49000,30.84000,30.48000,30.65000,19700
40,2023-02-10,30.76000,30.76000,30.48000,30.67000,17800
41,2023-02-09,31.30000,31.60000,30.86000,30.95000,18000
42,2023-02-08,31.88000,31.90000,31.40000,31.69000,19900
43,2023-02-07,31.74000,32.00000,31.49000,31.80000,27000
44,2023-02-06,32.39000,32.40000,31.64100,31.97000,23400
45,2023-02-03,32.95000,33.33000,32.49000,32.81000,27800
46,2023-02-02,32.49000,33.47000,32.49000,33.28000,53400
47,2023-02-01,31.13000,32.60000,31.13000,32.38000,46700
48,2023-01-31,30.50000,31.07000,30.49000,31.05000,17700
49,2023-01-30,30.24000,30.75000,30.24000,30.32000,26600
50,2023-01-27,31.21000,31.45000,30.82300,30.85000,16600
51,2023-01-26,31.50000,31.62500,31.00000,31.36000,33100
52,2023-01-25,32.04000,32.30000,31.86000,32.26000,11800
53,2023-01-24,33.21000,33.26000,32.78000,32.90000,37300
54,2023-01-23,34.03000,34.40000,33.77900,34.40000,19300
55,2023-01-20,33.64000,34.08800,33.51500,33.97000,12300
56,2023-01-19,34.05000,34.05000,33.23000,33.35000,11100
57,2023-01-18,34.10000,34.38900,33.69000,34.01000,24600
58,2023-01-17,32.99000,33.95000,32.99000,33.76000,20600
59,2023-01-13,32.86000,32.96000,32.53300,32.86000,7600
60,2023-01-12,32.79000,32.98000,32.50000,32.76000,18600
61,2023-01-11,32.35000,32.50000,32.00000,32.26000,20000
62,2023-01-10,32.53000,32.53000,31.77000,32.20500,7400
63,2023-01-09,32.05000,32.50000,31.85000,32.39000,32100
64,2023-01-06,31.02000,31.50000,31.02000,31.30000,28800
65,2023-01-05,31.46000,31.46000,30.24000,31.01000,25200
66,2023-01-04,31.71000,32.01000,31.27000,31.45500,13500
67,2023-01-03,31.63000,31.97000,30.75000,30.93000,18400
68,2022-12-30,32.77000,33.43000,32.77000,33.00000,12100
69,2022-12-29,32.13000,33.30000,32.13000,32.97000,8000
70,2022-12-28,32.73000,32.73000,31.89000,32.13000,12500
71,2022-12-27,32.88000,32.88000,32.32000,32.70000,15800
72,2022-12-23,32.85000,33.00000,32.62000,32.63000,8600
73,2022-12-22,33.81000,33.81000,32.62000,32.62000,8400
74,2022-12-21,33.67000,33.90000,33.34000,33.79000,10700
75,2022-12-20,32.79000,33.74000,32.79000,33.31000,9500
76,2022-12-19,33.07000,33.23800,32.86000,32.91000,7400
77,2022-12-16,33.43000,33.43000,32.59900,32.64000,16800
78,2022-12-15,33.42000,33.66500,33.10000,33.66000,52200
79,2022-12-14,33.73000,33.92000,33.14000,33.19000,8100
80,2022-12-13,34.79000,34.82700,33.43000,34.00000,14200
81,2022-12-12,34.27000,34.60000,34.02000,34.09000,13400
82,2022-12-09,33.70000,34.00000,33.65000,33.97000,12700
83,2022-12-08,33.53000,33.91800,33.40000,33.40000,9200
84,2022-12-07,34.14000,34.14000,33.52600,33.79000,13400
85,2022-12-06,35.36000,35.36000,34.34400,34.51000,12600
86,2022-12-05,36.08000,36.53000,35.25000,35.27000,12700
87,2022-12-02,36.54000,36.85000,36.17200,36.51000,4700
88,2022-12-01,36.85000,37.10000,36.54000,36.54000,15700
89,2022-11-30,36.13000,36.68100,35.00000,35.91000,21700
90,2022-11-29,36.10000,36.97500,35.78000,35.94000,14600
91,2022-11-28,38.12000,38.19000,37.42000,37.68000,8100
92,2022-11-25,38.30000,38.30000,37.48700,38.29000,2400
93,2022-11-23,36.98000,38.03000,36.94000,38.03000,22100
94,2022-11-22,37.51000,37.51000,37.10000,37.33500,6500
95,2022-11-21,37.40000,37.47000,36.87000,37.18000,9900
96,2022-11-18,37.63000,37.81000,36.80000,37.21000,17000
97,2022-11-17,38.00000,38.00000,36.86400,37.22000,21000
98,2022-11-16,39.39000,39.42300,38.11500,38.43000,19800
99,2022-11-15,39.91000,39.91000,38.85000,39.00000,11700
100,2022-11-14,40.12000,40.12000,39.28000,39.30000,25100
101,2022-11-11,39.89000,41.06000,39.85800,40.87000,17400
102,2022-11-10,39.00000,39.85000,38.75000,39.60000,22800
103,2022-11-09,37.41000,37.60000,36.79600,36.81300,6200
104,2022-11-08,36.89000,37.43100,36.68000,37.08000,12700
105,2022-11-07,37.58000,37.99000,37.45000,37.75000,13700
106,2022-11-04,37.20000,37.47000,36.96200,37.37000,11700
107,2022-11-03,36.55000,37.22000,36.34000,36.34000,19700
108,2022-11-02,38.25000,38.45000,37.28000,37.37000,24100
109,2022-11-01,38.90000,39.00000,38.49000,38.96000,7500
110,2022-10-31,38.05000,38.62600,38.05000,38.30000,7700
111,2022-10-28,37.75000,38.05000,37.30100,38.05000,11500
112,2022-10-27,38.10000,38.27000,37.40000,37.85000,13500
113,2022-10-26,38.40000,39.00000,38.28000,38.38000,18500
114,2022-10-25,37.93000,38.48400,37.93000,38.12000,17900
115,2022-10-24,37.64000,37.96000,37.19000,37.95000,24600
116,2022-10-21,36.68000,37.87000,36.29000,37.64000,14900
117,2022-10-20,36.54000,37.00000,35.92300,36.29000,20700
118,2022-10-19,36.79000,37.04000,36.29700,36.52000,14700
119,2022-10-18,37.56000,37.56000,36.08000,37.04000,17000
120,2022-10-17,37.49000,37.80000,36.68000,36.83000,26500
121,2022-10-14,37.95000,38.20000,36.45000,36.55000,26200
122,2022-10-13,35.77000,37.82100,35.74000,37.70000,57500
123,2022-10-12,35.10000,35.91000,35.10000,35.78000,14900
124,2022-10-11,34.64000,35.21000,34.30000,34.90000,34400
125,2022-10-10,34.62000,34.62000,34.09000,34.55000,25600
126,2022-10-07,35.03000,35.03000,34.01000,34.50000,20100
127,2022-10-06,35.50000,35.69000,34.77000,35.20000,23500
128,2022-10-05,35.47000,35.66000,34.71800,35.50000,19300
129,2022-10-04,35.45000,36.00000,35.45000,35.63000,18300
130,2022-10-03,34.07000,35.05000,34.04000,34.61000,32800
131,2022-09-30,34.08000,34.81000,34.06000,34.27000,18700
132,2022-09-29,35.17000,35.17000,34.18000,34.25000,18400
133,2022-09-28,35.00000,35.85000,34.99000,35.83000,40100
134,2022-09-27,34.35000,35.43000,34.32500,34.87000,58500
135,2022-09-26,35.04000,35.26000,34.16000,34.37000,36500
136,2022-09-23,35.85000,35.85000,33.88000,34.93000,58200
137,2022-09-22,36.73000,36.91000,35.80000,35.82000,28300
138,2022-09-21,38.93000,38.93000,37.28000,37.28000,30500
139,2022-09-20,38.82000,39.44000,38.78000,39.30000,18200
140,2022-09-19,38.45000,38.69000,38.19000,38.38000,21900
141,2022-09-16,38.90000,39.32600,38.56000,39.25000,36600
142,2022-09-15,40.00000,40.25000,39.11000,39.50000,26100
143,2022-09-14,40.85000,41.10000,40.11000,40.45000,34400
144,2022-09-13,41.15000,41.93000,40.78000,40.84000,19700
145,2022-09-12,40.90000,42.24000,40.90000,42.15000,29200
146,2022-09-09,40.22000,40.58000,40.10000,40.10000,13600
147,2022-09-08,39.60000,39.93000,38.84000,39.78000,37800
148,2022-09-07,39.71000,39.95600,39.33000,39.60000,18700
149,2022-09-06,40.28000,40.36000,39.60000,39.71000,65500
150,2022-09-02,39.82000,40.21000,39.26000,39.45000,29700
151,2022-09-01,39.54000,39.54000,38.59500,39.22000,42000
152,2022-08-31,40.75000,41.03000,40.30000,40.69000,48800
153,2022-08-30,41.99000,42.00000,40.88000,40.99000,43700
154,2022-08-29,42.80000,42.80000,41.87000,41.87000,37300
155,2022-08-26,43.89000,44.55700,42.46000,42.70000,32700
156,2022-08-25,44.41000,44.48000,43.68000,43.89000,26200
157,2022-08-24,44.95000,46.11000,44.95000,45.79000,59400
158,2022-08-23,45.11000,45.25500,44.31000,44.45000,19300
159,2022-08-22,43.83000,45.00000,43.83000,44.83000,26600
160,2022-08-19,45.42000,45.42000,43.64000,44.25000,26200
161,2022-08-18,44.08000,45.81000,44.08000,45.66000,26100
162,2022-08-17,43.53000,44.01000,42.87400,43.60000,28500
163,2022-08-16,45.89000,46.21000,45.25500,45.91000,21800
164,2022-08-15,46.64000,46.65000,45.08000,45.65000,30200
165,2022-08-12,47.64000,48.11800,46.53000,47.76000,33500
166,2022-08-11,47.74000,48.20000,47.49000,47.64000,13800
167,2022-08-10,46.21000,47.40000,46.21000,47.35000,28200
168,2022-08-09,45.87000,45.87000,45.02000,45.24000,20400
169,2022-08-08,44.02000,46.40000,43.83000,45.24000,63300
170,2022-08-05,43.31000,43.60000,42.80000,43.31000,18300
171,2022-08-04,43.61000,43.93000,43.30000,43.73000,20800
172,2022-08-03,43.83000,43.93000,43.00000,43.61000,32500
173,2022-08-02,43.53000,43.68000,42.52000,43.08000,27000
174,2022-08-01,43.50000,43.50000,42.36000,43.01000,22700
175,2022-07-29,43.10000,43.36000,42.52000,43.29000,33000
176,2022-07-28,42.21000,42.99000,41.89000,42.99000,21000
177,2022-07-27,40.07000,41.21000,39.91000,41.21000,14700
178,2022-07-26,40.47000,40.47000,38.99000,39.23000,37200
179,2022-07-25,40.74000,41.27000,40.66000,41.17000,16700
180,2022-07-22,41.71000,42.07500,40.10000,40.20000,49600
181,2022-07-21,42.29000,42.29000,41.00000,41.71000,19400
182,2022-07-20,42.42000,42.59000,41.73000,42.29000,24500
183,2022-07-19,41.66000,42.46000,41.47000,42.46000,28700
184,2022-07-18,41.19000,41.57000,40.78000,41.03000,38200
185,2022-07-15,41.48000,41.48000,39.90000,40.72000,81900
186,2022-07-14,40.75000,40.75000,39.53000,40.75000,25500
187,2022-07-13,40.33000,41.59000,40.14000,41.22000,26500
188,2022-07-12,40.51000,41.71000,40.51000,41.16000,52800
189,2022-07-11,39.20000,39.86000,39.14000,39.69000,39000
190,2022-07-08,38.75000,39.44000,38.22500,39.44000,17600
191,2022-07-07,38.81000,39.53200,38.48000,38.73000,54100
192,2022-07-06,36.99000,37.63000,36.52900,37.33000,81200
