,datetime,open,high,low,close,volume
0,2023-04-10,10.20000,10.20000,10.19000,10.19000,27200
1,2023-04-06,10.18000,10.20000,10.17000,10.20000,2684100
2,2023-04-05,10.15000,10.16000,10.15000,10.15000,148500
3,2023-04-04,10.15000,10.16000,10.15000,10.15900,56800
4,2023-04-03,10.15500,10.16500,10.15000,10.15000,339900
5,2023-03-31,10.15000,10.15000,10.15000,10.15000,20700
6,2023-03-30,10.14500,10.16000,10.14000,10.15000,437600
7,2023-03-29,10.14300,10.15000,10.14000,10.15000,8300
8,2023-03-28,10.14000,10.16000,10.14000,10.16000,418200
9,2023-03-27,10.15000,10.16000,10.14000,10.14000,4762800
10,2023-03-24,10.14500,10.15000,10.13000,10.13000,410000
11,2023-03-23,10.13000,10.14500,10.12000,10.13000,1051300
12,2023-03-22,10.13000,10.13300,10.13000,10.13000,4300
13,2023-03-21,10.12000,10.14000,10.12000,10.13000,288800
14,2023-03-20,10.12000,10.13000,10.12000,10.12000,266800
15,2023-03-17,10.12000,10.13000,10.12000,10.12000,332100
16,2023-03-16,10.12000,10.13000,10.12000,10.12000,28000
17,2023-03-15,10.13000,10.13000,10.12000,10.12000,257200
18,2023-03-14,10.12000,10.12000,10.12000,10.12000,226300
19,2023-03-13,10.11000,10.12000,10.11000,10.11000,23800
20,2023-03-10,10.11000,10.12000,10.11000,10.11000,695300
21,2023-03-09,10.11000,10.12000,10.10000,10.11000,4500
22,2023-03-08,10.10000,10.11000,10.10000,10.10000,375200
23,2023-03-07,10.10000,10.11000,10.09000,10.10000,85900
24,2023-03-06,10.12000,10.12000,10.12000,10.12000,2
25,2023-03-03,10.12000,10.12000,10.12000,10.12000,0
26,2023-03-02,10.11000,10.12000,10.08000,10.12000,99500
27,2023-03-01,10.08000,10.10000,10.07000,10.10000,308700
28,2023-02-28,10.08500,10.08500,10.08000,10.08000,2700
29,2023-02-27,10.08800,10.08800,10.08800,10.08800,0
30,2023-02-24,10.07000,10.09000,10.07000,10.08800,6500
31,2023-02-23,10.07000,10.09000,10.07000,10.07000,3200
32,2023-02-22,10.07000,10.09000,10.07000,10.07000,15700
33,2023-02-21,10.07000,10.08000,10.06000,10.07000,519700
34,2023-02-17,10.07000,10.09000,10.07000,10.07000,8500
35,2023-02-16,10.08000,10.09000,10.07000,10.07000,424900
36,2023-02-15,10.08000,10.08000,10.08000,10.08000,1100
37,2023-02-14,10.07000,10.09000,10.07000,10.09000,81600
38,2023-02-13,10.07000,10.07000,10.07000,10.07000,1400
