,datetime,open,high,low,close,volume
0,2023-04-11,6.13000,6.24000,6.00500,6.06000,122800
1,2023-04-10,5.95000,6.18500,5.90000,6.16000,276300
2,2023-04-06,5.92000,6.10000,5.78000,5.98000,319300
3,2023-04-05,6.26000,6.26000,5.92000,6.05000,231200
4,2023-04-04,6.46000,6.51500,6.29000,6.36000,172800
5,2023-04-03,6.50000,6.66000,6.35000,6.44000,268300
6,2023-03-31,6.34000,6.68000,6.34000,6.64000,261200
7,2023-03-30,6.48000,6.57000,6.31000,6.31000,177600
8,2023-03-29,6.17000,6.31000,6.10000,6.30000,1008800
9,2023-03-28,5.92000,6.09000,5.82000,6.07000,239600
10,2023-03-27,6.20000,6.20000,5.85000,5.96000,353300
11,2023-03-24,6.17000,6.26000,6.08000,6.18000,165100
12,2023-03-23,6.25000,6.52000,6.17800,6.23000,262600
13,2023-03-22,6.40000,6.43000,6.13000,6.15000,387300
14,2023-03-21,6.20000,6.46000,6.17000,6.40000,308500
15,2023-03-20,6.35000,6.39000,6.11000,6.15000,523000
16,2023-03-17,6.57000,6.63000,6.27000,6.36000,333100
17,2023-03-16,6.41000,6.72000,6.23000,6.57000,438100
18,2023-03-15,6.02000,6.49000,6.00000,6.43000,746700
19,2023-03-14,6.41000,6.65000,6.11000,6.23000,639300
20,2023-03-13,5.99000,6.43000,5.98000,6.18000,524600
21,2023-03-10,6.32000,6.43000,5.98500,6.05000,492800
22,2023-03-09,6.66000,6.90000,6.41000,6.46000,331800
23,2023-03-08,6.86000,6.97000,6.61000,6.66000,523500
24,2023-03-07,6.94000,7.22500,6.84000,6.91000,323400
25,2023-03-06,6.87000,7.05000,6.81000,6.98000,638700
26,2023-03-03,6.59000,6.91000,6.59000,6.86000,338600
27,2023-03-02,6.46000,6.52500,6.10200,6.51000,800500
28,2023-03-01,6.98000,7.17000,6.47000,6.52000,458100
29,2023-02-28,6.47000,7.06000,6.47000,7.00000,876100
30,2023-02-27,6.58000,6.76500,6.37000,6.48000,748700
