,datetime,open,high,low,close,volume
0,2023-04-11,8.27000,8.94000,8.20000,8.87000,403300
1,2023-04-10,7.94000,8.14000,7.93000,8.11000,147500
2,2023-04-06,7.95000,8.11500,7.94000,8.01000,134300
3,2023-04-05,7.85000,8.02500,7.82000,7.95000,108000
4,2023-04-04,7.94000,8.02000,7.74800,7.90000,262300
5,2023-04-03,8.31000,8.31000,7.89000,7.96000,300700
6,2023-03-31,8.28000,8.39000,8.17000,8.31000,344200
7,2023-03-30,8.25000,8.33000,8.12000,8.14000,233400
8,2023-03-29,8.00000,8.25000,7.95000,8.16000,228200
9,2023-03-28,7.88000,8.09000,7.86000,7.90000,170600
10,2023-03-27,7.93000,8.05000,7.91000,7.96000,172900
11,2023-03-24,7.70000,7.93000,7.62000,7.86000,194500
12,2023-03-23,7.87000,8.04500,7.73900,7.77000,347400
13,2023-03-22,8.12000,8.14000,7.79800,7.81000,222700
14,2023-03-21,7.90000,8.21000,7.90000,8.16000,300400
15,2023-03-20,7.87000,7.93000,7.76000,7.81000,248800
16,2023-03-17,7.77000,7.92000,7.74000,7.86000,1071200
17,2023-03-16,7.85000,7.92000,7.63000,7.86000,262500
18,2023-03-15,8.00000,8.15500,7.88000,8.02000,341000
19,2023-03-14,8.33000,8.45000,8.13000,8.23000,223500
20,2023-03-13,8.00000,8.22000,7.98000,8.04000,255300
21,2023-03-10,8.35000,8.41000,8.04000,8.15000,384800
22,2023-03-09,8.83000,8.91000,8.39500,8.41000,266500
23,2023-03-08,8.64000,8.88000,8.59000,8.83000,230700
24,2023-03-07,8.97000,9.06000,8.60000,8.61000,226100
25,2023-03-06,9.04000,9.15500,8.85000,8.93000,277500
26,2023-03-03,8.89000,9.16000,8.89000,9.07000,180900
27,2023-03-02,8.65000,8.90000,8.65000,8.86000,229500
28,2023-03-01,8.78000,8.85000,8.66000,8.75000,225100
29,2023-02-28,8.82000,9.08000,8.78000,8.82000,564500
30,2023-02-27,8.73000,9.02000,8.69000,8.75000,309500
31,2023-02-24,9.00000,9.03000,8.54000,8.67000,284100
32,2023-02-23,9.00000,9.55000,8.62000,9.20000,406700
33,2023-02-22,8.60000,8.88000,8.59000,8.83000,219300
34,2023-02-21,9.15000,9.15000,8.55000,8.55000,185000
35,2023-02-17,9.08000,9.25500,8.91000,9.23000,153300
36,2023-02-16,8.73000,9.09000,8.66000,9.02000,224900
37,2023-02-15,9.06000,9.09000,8.78000,8.88000,155900
38,2023-02-14,9.37000,9.45000,9.15000,9.15000,124800
39,2023-02-13,9.36000,9.50000,9.29000,9.42000,154600
40,2023-02-10,9.27000,9.42000,9.27000,9.31000,82400
41,2023-02-09,9.45000,9.54000,9.26500,9.32000,182400
42,2023-02-08,9.59000,9.59000,9.26500,9.35000,154700
43,2023-02-07,9.56000,9.61500,9.42000,9.60000,159600
44,2023-02-06,9.52000,9.69000,9.40000,9.56000,192500
45,2023-02-03,9.81000,9.90000,9.66500,9.69000,130800
46,2023-02-02,10.01000,10.01000,9.70000,9.92000,255100
47,2023-02-01,9.88000,9.98000,9.69000,9.96000,261900
48,2023-01-31,9.79000,9.89000,9.71000,9.84000,202900
49,2023-01-30,9.61000,9.82000,9.54000,9.79000,261800
50,2023-01-27,9.84000,9.86000,9.67000,9.69000,176100
51,2023-01-26,9.40000,9.84000,9.40000,9.81000,331900
52,2023-01-25,9.18000,9.38000,9.01500,9.37000,249200
53,2023-01-24,9.06000,9.18500,9.03000,9.06000,77500
54,2023-01-23,9.23000,9.23000,9.04000,9.09000,158500
55,2023-01-20,9.12000,9.24000,8.95000,9.18000,194400
56,2023-01-19,8.75000,9.03500,8.75000,9.02000,285800
57,2023-01-18,8.88000,8.91000,8.72000,8.82000,166700
58,2023-01-17,9.00000,9.04000,8.78000,8.83000,165800
59,2023-01-13,8.89000,9.04500,8.73500,9.01000,194600
60,2023-01-12,8.80000,8.93500,8.71000,8.90000,299500
61,2023-01-11,8.73000,8.76000,8.55000,8.71000,212400
62,2023-01-10,8.46000,8.71000,8.44000,8.63000,211500
63,2023-01-09,8.33000,8.57500,8.28000,8.53000,191500
64,2023-01-06,8.08000,8.29000,7.97200,8.21000,244500
65,2023-01-05,7.65000,8.09800,7.56000,7.95000,277700
66,2023-01-04,7.96000,8.01000,7.84000,7.98000,235500
67,2023-01-03,7.60000,7.89500,7.60000,7.83000,223800
68,2022-12-30,7.45000,7.55000,7.41000,7.53000,247000
69,2022-12-29,7.47000,7.64000,7.39500,7.53000,217300
70,2022-12-28,7.55000,7.65000,7.37000,7.39000,294100
71,2022-12-27,7.65000,7.78000,7.55000,7.58000,177100
72,2022-12-23,7.56000,7.70000,7.46000,7.66000,393300
73,2022-12-22,7.66000,7.75000,7.45000,7.58000,277500
74,2022-12-21,7.16000,7.79000,7.16000,7.74000,394000
75,2022-12-20,6.86000,7.18000,6.82000,7.08000,306900
76,2022-12-19,6.78000,6.92000,6.75500,6.89000,300700
77,2022-12-16,6.89000,7.10000,6.75000,6.79000,1009800
78,2022-12-15,6.93000,6.98000,6.78000,6.90000,272800
79,2022-12-14,6.93000,7.10000,6.93000,7.01000,320400
80,2022-12-13,7.16000,7.35000,6.98000,7.02000,402500
81,2022-12-12,6.94000,6.99000,6.83000,6.89000,293000
82,2022-12-09,6.95000,7.02500,6.87000,6.90000,271700
83,2022-12-08,7.02000,7.02000,6.77000,6.97000,369700
84,2022-12-07,7.25000,7.25000,6.94500,6.96000,273000
85,2022-12-06,7.53000,7.54000,7.26000,7.28000,363200
86,2022-12-05,7.69000,7.69000,7.46000,7.52000,187000
87,2022-12-02,7.63000,7.74000,7.53000,7.73000,289800
88,2022-12-01,7.84000,7.93500,7.71000,7.75000,321700
89,2022-11-30,7.64000,7.76000,7.46000,7.74000,347900
90,2022-11-29,7.54000,7.65000,7.49000,7.64000,172000
91,2022-11-28,7.73000,7.79000,7.49500,7.56000,262700
