,datetime,open,high,low,close,volume
0,2023-04-11,24.42000,25.19500,24.35000,24.68000,235500
1,2023-04-10,24.19000,25.04000,23.75000,24.29000,600600
2,2023-04-06,23.68000,25.12000,23.68000,24.31000,319900
3,2023-04-05,23.76000,24.23000,23.46000,24.20000,310200
4,2023-04-04,24.26000,24.31000,23.14000,24.15000,419400
5,2023-04-03,24.31000,24.62500,23.88000,24.00000,347900
6,2023-03-31,24.25000,24.48000,23.65000,24.37000,372800
7,2023-03-30,24.74000,25.24000,23.89500,24.03000,226100
8,2023-03-29,24.67000,24.67000,23.89000,24.37000,244700
9,2023-03-28,24.73000,24.91000,24.14000,24.37000,318500
10,2023-03-27,25.73000,25.79000,24.56000,24.74000,303700
11,2023-03-24,24.05000,25.05000,23.39000,24.56000,538700
12,2023-03-23,25.80000,26.25000,24.18000,24.48000,299900
13,2023-03-22,28.16000,28.49500,25.47600,25.57000,332000
14,2023-03-21,27.08000,28.30000,26.76700,28.13000,269900
15,2023-03-20,26.50000,27.55000,25.56000,25.98000,429700
16,2023-03-17,27.50000,27.59000,25.73000,25.88000,879100
17,2023-03-16,25.87000,28.66000,24.50000,28.20000,672100
18,2023-03-15,22.25000,26.28000,22.17000,25.93000,1199400
19,2023-03-14,31.01000,31.16000,23.47000,23.90000,1089800
20,2023-03-13,26.51000,29.35000,17.30500,29.13000,2040500
21,2023-03-10,29.54000,29.95000,27.57000,28.55000,912800
22,2023-03-09,32.88000,32.88000,29.78500,30.51000,417100
23,2023-03-08,33.00000,33.38000,32.77000,33.28000,169600
24,2023-03-07,33.67000,33.82000,32.78000,32.98000,283000
25,2023-03-06,34.49000,34.65500,33.60000,33.84000,246800
26,2023-03-03,34.19000,34.53000,33.88500,34.53000,218700
27,2023-03-02,33.53000,34.01000,32.83000,33.99000,212400
28,2023-03-01,34.26000,34.53000,33.44200,34.00000,172000
29,2023-02-28,34.80000,35.22500,34.19000,34.56000,500700
30,2023-02-27,35.27000,35.67000,34.38000,34.85000,185600
31,2023-02-24,34.69000,34.97000,34.16000,34.93000,219300
32,2023-02-23,34.96000,35.23000,34.42000,35.15000,184100
33,2023-02-22,34.46000,35.00000,34.35000,34.72000,261400
34,2023-02-21,34.46000,34.76000,33.84000,34.36000,234900
35,2023-02-17,35.43000,35.43000,34.63500,35.04000,134200
36,2023-02-16,36.04000,36.46000,35.49000,35.49000,194200
37,2023-02-15,34.92000,36.78000,34.68000,36.71000,178900
38,2023-02-14,35.00000,35.47000,34.50000,35.27000,104100
39,2023-02-13,34.07000,35.15000,34.07000,35.15000,119600
40,2023-02-10,34.34000,34.60000,33.70000,34.34000,232200
41,2023-02-09,35.62000,35.75000,34.40000,34.64000,149100
42,2023-02-08,35.91000,36.11000,35.23000,35.58000,173800
43,2023-02-07,35.75000,36.51500,35.25000,36.46000,265000
44,2023-02-06,36.26000,36.33700,35.63000,36.02000,247200
