,datetime,open,high,low,close,volume
0,2023-04-11,510.29999,511.76001,505.64999,507.51001,907200
1,2023-04-10,486.22000,511.44000,486.06000,507.45999,1338900
2,2023-04-06,486.04001,496.39001,480.45001,493.79001,965200
3,2023-04-05,499.89999,499.89999,486.45999,493.48001,1607300
4,2023-04-04,523.00000,524.10999,501.23999,504.29001,1269800
5,2023-04-03,524.09003,526.21002,514.62000,521.51001,1110000
6,2023-03-31,527.64001,533.09003,525.39001,530.12000,1162500
7,2023-03-30,523.60999,532.76001,521.96002,531.35999,2055800
8,2023-03-29,494.54001,521.15997,492.26001,515.75000,2072200
9,2023-03-28,495.39999,496.54999,478.76999,485.07999,1463600
10,2023-03-27,508.26001,509.79999,494.67999,495.76999,1107100
11,2023-03-24,515.00000,517.40997,498.78000,502.06000,1396000
12,2023-03-23,514.39001,532.56000,513.33002,523.59003,1537900
13,2023-03-22,506.98999,525.00000,505.82999,506.29999,1213900
14,2023-03-21,516.94000,521.57001,498.10001,507.35999,1028600
15,2023-03-20,510.50000,515.56000,505.73999,513.28998,753899
16,2023-03-17,515.19000,519.90002,503.80499,508.35999,1702834
17,2023-03-16,482.94000,515.91998,480.45499,515.19000,1774089
18,2023-03-15,486.29001,488.98999,473.98499,487.04999,1186815
19,2023-03-14,485.14001,499.70160,484.63000,493.98001,1285815
20,2023-03-13,469.07001,483.67001,467.02499,477.00000,942904
21,2023-03-10,494.44000,496.05991,473.53000,478.82001,1180353
22,2023-03-09,491.45001,503.80771,488.26001,490.28000,1327033
23,2023-03-08,482.09000,495.48001,481.72000,493.39999,1054052
24,2023-03-07,486.76999,489.27460,476.71500,479.66000,938217
25,2023-03-06,494.76001,499.41000,482.78000,485.22000,973240
26,2023-03-03,488.92001,493.20001,480.06500,491.64999,1534840
27,2023-03-02,479.00000,494.09000,474.28000,489.98001,872704
28,2023-03-01,489.95001,497.42001,487.22000,490.92001,855126
29,2023-02-28,482.56000,493.46140,479.22000,486.01001,1090034
30,2023-02-27,489.73001,490.91501,481.17001,482.70999,790542
31,2023-02-24,477.26001,483.83279,473.67999,478.60999,1035340
32,2023-02-23,490.73001,492.91501,473.45001,485.38000,1227212
33,2023-02-22,481.10001,485.23001,474.31000,477.23999,1041787
34,2023-02-21,488.00000,492.00000,477.06000,478.29001,1245910
35,2023-02-17,499.23001,499.23001,487.51001,495.66000,1384160
36,2023-02-16,508.14999,514.79132,500.34000,501.32999,1085780
37,2023-02-15,506.70999,520.65002,503.94501,520.28998,852867
38,2023-02-14,502.91000,520.88452,499.07001,516.21002,948929
39,2023-02-13,508.25000,510.97000,502.31000,510.29001,889021
40,2023-02-10,510.95999,513.84998,498.42999,505.00000,1036408
41,2023-02-09,527.98999,533.00000,512.35999,515.52002,1069113
42,2023-02-08,529.00000,533.28003,514.53998,517.90997,1140959
43,2023-02-07,521.89001,536.58002,516.84003,533.23999,1253302
44,2023-02-06,521.90002,530.00000,518.25000,520.95001,1007996
45,2023-02-03,529.29999,539.95001,526.47998,529.25000,1268421
46,2023-02-02,539.03998,548.84998,529.84998,541.03998,2014533
47,2023-02-01,498.69000,534.03003,498.48999,530.26001,2482311
48,2023-01-31,480.72000,500.20001,480.00000,500.10001,1813185
49,2023-01-30,476.35999,483.78500,473.41000,478.63000,1558721
50,2023-01-27,487.98999,497.92999,482.57001,482.88000,1711583
51,2023-01-26,484.75000,498.66000,474.00140,497.75000,2459099
52,2023-01-25,472.19000,491.39001,467.00000,488.39999,1732258
53,2023-01-24,485.20999,491.71991,483.87000,487.50000,967968
54,2023-01-23,474.79999,498.84000,472.39001,490.78000,1652608
55,2023-01-20,459.09000,472.66000,456.82001,472.50000,1259972
56,2023-01-19,462.29999,464.76501,453.64999,453.89001,1082148
57,2023-01-18,477.17999,483.47000,466.51999,466.89001,1193912
58,2023-01-17,469.91000,473.67001,463.39001,470.98999,947393
59,2023-01-13,462.29999,474.82001,462.29999,473.67001,1202593
60,2023-01-12,469.98999,475.53000,453.39999,470.04001,1429040
61,2023-01-11,447.70001,464.45001,445.57001,464.29999,1535902
62,2023-01-10,448.07999,458.80600,447.16199,458.60999,1062244
63,2023-01-09,451.20001,463.39999,444.62000,452.42999,1407758
64,2023-01-06,429.14001,447.34000,420.35599,445.26999,1481189
65,2023-01-05,415.62000,424.57999,412.60001,417.06000,961691
66,2023-01-04,421.64001,428.26999,416.47000,422.45999,1051811
67,2023-01-03,429.72000,430.10001,407.27191,414.29999,1318744
68,2022-12-30,412.57999,420.59000,410.84000,420.29999,732121
69,2022-12-29,409.70999,422.57001,408.10001,420.60999,1229016
70,2022-12-28,403.42999,407.75000,399.29001,402.79999,869621
71,2022-12-27,408.00000,411.60999,404.76001,405.45999,1110248
72,2022-12-23,405.62000,412.47000,400.54999,412.12000,1054659
73,2022-12-22,431.89999,433.20789,397.06000,409.10999,3173980
74,2022-12-21,441.32001,450.81000,440.07999,447.87000,920392
75,2022-12-20,433.39999,441.09000,432.65091,437.35999,867467
76,2022-12-19,442.32999,442.84500,432.10001,438.69000,1063322
77,2022-12-16,442.89001,447.98499,438.13000,443.92001,1771523
78,2022-12-15,456.01999,459.73019,444.03000,446.06000,1548109
79,2022-12-14,474.85001,481.88000,464.23230,468.23999,1210842
80,2022-12-13,485.54001,490.64999,470.04001,475.94000,1535036
81,2022-12-12,460.03000,464.44000,448.95001,464.29999,1204749
82,2022-12-09,449.48999,457.64001,444.42010,450.20001,954211
83,2022-12-08,447.87000,457.51999,444.06000,455.00000,1235862
84,2022-12-07,441.19000,452.79999,439.62000,444.28000,1112312
85,2022-12-06,452.87000,454.10001,438.97501,443.09000,925098
86,2022-12-05,455.73999,462.69000,448.63000,452.60001,1085958
87,2022-12-02,450.73499,460.23001,450.39999,457.67001,1102371
88,2022-12-01,479.32001,479.32001,456.73999,463.14001,1377944
89,2022-11-30,447.88000,472.39001,441.28000,472.38000,2232834
90,2022-11-29,447.04001,450.29999,440.07999,442.04999,903074
91,2022-11-28,446.20001,451.34000,441.47000,443.23001,1182588
92,2022-11-25,456.34000,458.94000,453.25000,453.25000,378949
93,2022-11-23,457.09000,468.73999,456.01001,461.39999,823667
94,2022-11-22,452.41000,456.39001,444.17999,455.62000,1411779
95,2022-11-21,451.06000,453.50000,444.41000,450.14999,935024
96,2022-11-18,470.70999,471.26001,448.63501,456.70001,1736718
97,2022-11-17,446.32001,464.64999,445.00000,461.16000,1537911
98,2022-11-16,458.97000,464.64001,452.12000,455.38000,3007939
99,2022-11-15,501.07999,502.70001,482.14999,490.73999,2220614
100,2022-11-14,495.64999,500.37000,479.87000,480.70001,2347233
101,2022-11-11,481.96500,504.54999,480.16000,500.82001,2608031
102,2022-11-10,459.63000,485.78000,455.04001,485.41000,3719089
103,2022-11-09,435.87000,443.20001,430.13000,432.73999,1704010
104,2022-11-08,443.00000,448.95001,430.79001,444.85999,2225977
105,2022-11-07,423.50000,435.60999,419.23999,434.97000,1884396
106,2022-11-04,409.85001,420.10001,404.25180,419.54001,2422681
107,2022-11-03,388.70001,399.47000,384.72000,393.42001,1656529
108,2022-11-02,411.56000,421.04999,394.76999,395.51999,2173885
109,2022-11-01,413.00000,416.96500,406.47000,412.70999,1568161
110,2022-10-31,404.87000,410.50000,399.19000,404.78000,1877176
111,2022-10-28,390.50500,406.95001,389.51999,405.59000,1815478
112,2022-10-27,388.95999,397.95999,381.48959,389.10999,2288492
113,2022-10-26,374.25000,393.85001,373.78000,385.60001,2418401
114,2022-10-25,375.01999,386.51001,375.01999,379.85999,1749920
115,2022-10-24,370.42999,377.17001,364.53000,373.95999,2011735
116,2022-10-21,354.97000,372.85501,354.97000,369.29001,2766538
117,2022-10-20,340.61499,366.92001,334.03500,355.87000,5875091
118,2022-10-19,322.41000,332.19000,318.67001,330.07999,2691508
119,2022-10-18,327.06000,331.83499,315.70001,322.06000,2507695
120,2022-10-17,327.01001,329.19000,312.70999,315.42001,5143888
121,2022-10-14,340.60999,340.98999,314.29999,314.95001,3040138
122,2022-10-13,302.47000,344.72000,299.59201,340.60999,4529383
123,2022-10-12,328.76001,330.92001,323.16000,323.98001,3666298
124,2022-10-11,345.29999,350.23999,322.31000,327.04999,5313244
125,2022-10-10,369.98001,370.30499,340.42001,350.72000,3950617
126,2022-10-07,386.67001,388.66000,371.77499,374.84000,2079747
127,2022-10-06,398.60999,407.44000,395.20999,397.60001,1358838
128,2022-10-05,391.94000,404.70999,385.01001,399.91000,1406994
129,2022-10-04,402.78000,408.50000,397.51001,400.63000,2056707
130,2022-10-03,372.29999,396.76001,370.72000,389.67999,2530036
131,2022-09-30,358.25000,373.51999,358.00000,366.00000,1909156
132,2022-09-29,375.16000,375.42999,364.23001,370.54999,1543876
133,2022-09-28,373.42001,383.60999,372.25500,381.64999,1084349
134,2022-09-27,379.85999,381.64999,369.34000,376.70001,1183127
135,2022-09-26,380.67999,385.29001,371.12000,371.44000,1125130
136,2022-09-23,382.42999,383.89001,373.57501,380.56000,1462340
137,2022-09-22,394.45001,396.67999,385.81500,386.82999,1520195
