,datetime,open,high,low,close,volume
0,2023-04-11,9.78000,9.83000,9.71000,9.74000,2464500
1,2023-04-10,9.85000,9.89000,9.70000,9.79000,3002300
2,2023-04-06,10.05000,10.05000,9.86000,9.90000,2993600
3,2023-04-05,9.91000,10.01000,9.86000,9.95000,2377700
4,2023-04-04,10.06000,10.07000,9.85000,9.94000,1984100
5,2023-04-03,10.30000,10.38000,10.01000,10.07000,2267719
6,2023-03-31,10.16000,10.32000,10.11000,10.31000,2138024
7,2023-03-30,10.06000,10.07500,9.98500,10.05000,1365244
8,2023-03-29,9.99000,10.06000,9.88000,10.05000,1469160
9,2023-03-28,9.74000,9.87000,9.66000,9.87000,1344848
10,2023-03-27,9.81000,9.89500,9.72500,9.82000,1165742
11,2023-03-24,9.36000,9.71000,9.32000,9.70000,1222286
12,2023-03-23,9.55000,9.62500,9.35500,9.40000,1279311
13,2023-03-22,9.77000,9.83000,9.48000,9.50000,1674459
14,2023-03-21,9.98000,10.01500,9.77500,9.86000,2881641
15,2023-03-20,9.82000,9.96000,9.76500,9.88000,1746017
16,2023-03-17,9.91000,9.91000,9.69500,9.75000,4119248
17,2023-03-16,9.82000,9.99500,9.73000,9.95000,1657524
18,2023-03-15,9.82000,10.05000,9.81000,9.97000,1830790
19,2023-03-14,10.06000,10.18500,9.88500,10.01000,1418119
20,2023-03-13,9.79000,10.01500,9.74000,9.84000,1724247
21,2023-03-10,10.09000,10.12000,9.73000,9.88000,2300306
22,2023-03-09,10.25000,10.29000,10.08000,10.11000,1512715
23,2023-03-08,10.20000,10.23000,10.10000,10.21000,2841033
24,2023-03-07,10.34000,10.39000,10.09000,10.17000,4137321
25,2023-03-06,10.48000,10.48000,10.29000,10.33000,2205666
26,2023-03-03,10.50000,10.54000,10.35000,10.50000,1773608
27,2023-03-02,10.25000,10.42000,10.25000,10.41000,1356489
28,2023-03-01,10.34000,10.46500,10.22000,10.28000,1122955
29,2023-02-28,10.39000,10.61000,10.37000,10.43000,2642656
30,2023-02-27,10.59000,10.59000,10.36000,10.41000,1849768
31,2023-02-24,10.57000,10.60000,10.36250,10.44000,1645968
32,2023-02-23,10.67000,10.82500,10.57000,10.73000,2042152
33,2023-02-22,11.03000,11.14000,10.56000,10.61000,2254486
34,2023-02-21,11.07000,11.11500,10.84500,10.96000,2319414
35,2023-02-17,11.28000,11.38000,11.11000,11.18000,2326212
36,2023-02-16,11.25000,11.38000,10.99000,11.20000,1693248
37,2023-02-15,11.16000,11.35000,11.16000,11.35000,1891919
38,2023-02-14,11.39000,11.47000,11.25000,11.29000,1518367
39,2023-02-13,11.40000,11.51000,11.36000,11.45000,1137163
40,2023-02-10,11.34000,11.39000,11.25500,11.35000,1387191
41,2023-02-09,11.49000,11.50000,11.26000,11.36000,1092059
42,2023-02-08,11.45000,11.58000,11.38000,11.40000,1087408
43,2023-02-07,11.46000,11.63000,11.33000,11.53000,1386598
44,2023-02-06,11.52000,11.60000,11.45500,11.57000,884298
45,2023-02-03,11.71000,11.73000,11.56000,11.67000,1574474
46,2023-02-02,11.71000,11.92000,11.64500,11.81000,3670443
47,2023-02-01,11.50000,11.67000,11.40500,11.58000,1757945
48,2023-01-31,11.32000,11.57500,11.32000,11.55000,2819811
49,2023-01-30,11.39000,11.50000,11.27500,11.32000,1641675
50,2023-01-27,11.39000,11.55000,11.38000,11.49000,1063408
51,2023-01-26,11.29000,11.49500,11.29000,11.46000,1230912
52,2023-01-25,11.35000,11.35000,11.17000,11.28000,961023
53,2023-01-24,11.39000,11.44500,11.21000,11.39000,672816
54,2023-01-23,11.19000,11.42500,11.12000,11.38000,1002855
55,2023-01-20,11.10000,11.23000,10.99000,11.23000,1103953
56,2023-01-19,11.06000,11.14000,10.97500,11.07000,1346875
57,2023-01-18,11.19000,11.27500,11.00000,11.09000,1667364
58,2023-01-17,11.33000,11.37000,11.14000,11.20000,995735
59,2023-01-13,11.23000,11.31500,11.20500,11.29000,718678
60,2023-01-12,11.21000,11.31000,11.04000,11.31000,1778355
61,2023-01-11,10.76000,11.15000,10.76000,11.12000,2613125
62,2023-01-10,10.62000,10.68000,10.54500,10.65000,3094976
63,2023-01-09,10.53000,10.66000,10.49000,10.62000,1689333
64,2023-01-06,10.30000,10.60000,10.30000,10.57000,852070
65,2023-01-05,10.57000,10.57000,10.24000,10.25000,1120118
66,2023-01-04,10.38000,10.72000,10.29000,10.62000,2469006
67,2023-01-03,10.17000,10.32000,10.05500,10.24000,1711248
68,2022-12-30,10.12000,10.15000,9.92000,10.02000,7058133
69,2022-12-29,10.14000,10.27000,10.10500,10.15000,1106674
70,2022-12-28,10.42000,10.45000,10.08500,10.12000,1669287
71,2022-12-27,10.35000,10.44000,10.31000,10.36000,1068173
72,2022-12-23,10.20000,10.35000,10.20000,10.32000,908152
73,2022-12-22,10.14000,10.25000,10.01500,10.23000,1023214
74,2022-12-21,10.21000,10.38000,10.16000,10.22000,1152006
75,2022-12-20,10.10000,10.22500,9.99500,10.13000,1499100
76,2022-12-19,10.30000,10.34000,10.06000,10.14000,1762198
77,2022-12-16,10.35000,10.44500,10.03500,10.32000,9027577
78,2022-12-15,10.64000,10.73500,10.45500,10.53000,1595263
79,2022-12-14,10.80000,10.98000,10.67000,10.72000,1203548
80,2022-12-13,10.91000,10.98000,10.69000,10.78000,1498890
81,2022-12-12,10.56000,10.60000,10.39500,10.60000,2094632
82,2022-12-09,10.44000,10.58000,10.44000,10.58000,1393987
83,2022-12-08,10.65000,10.71500,10.47500,10.55000,1879055
84,2022-12-07,10.20000,10.63500,10.20000,10.59000,2377139
85,2022-12-06,10.44000,10.50500,10.12000,10.24000,1963268
86,2022-12-05,10.66000,10.69500,10.42000,10.45000,1881668
87,2022-12-02,10.63000,10.82000,10.56000,10.72000,5755409
88,2022-12-01,10.86000,10.98000,10.61000,10.76000,2461132
89,2022-11-30,10.38000,10.76000,10.21000,10.76000,2406942
90,2022-11-29,10.06000,10.58000,10.00000,10.46000,3932489
91,2022-11-28,10.27000,10.53880,10.07500,10.09000,3247664
92,2022-11-25,10.33000,10.37500,10.23500,10.28000,879317
93,2022-11-23,10.32000,10.37000,10.19000,10.35000,2262530
94,2022-11-22,10.25000,10.35500,10.14500,10.32000,3125292
95,2022-11-21,10.51000,10.53000,10.16000,10.26000,1390950
96,2022-11-18,10.56000,10.67000,10.45000,10.49000,2274377
97,2022-11-17,10.14000,10.36000,10.08000,10.34000,1847717
98,2022-11-16,10.32000,10.35500,10.17000,10.23000,1306807
99,2022-11-15,10.47000,10.52000,10.11000,10.31000,3223144
100,2022-11-14,10.50000,10.56500,10.30000,10.30000,1162737
101,2022-11-11,10.77000,10.81500,10.42500,10.55000,2534794
102,2022-11-10,10.28000,10.78000,10.28000,10.78000,1395524
103,2022-11-09,10.17000,10.29000,10.02000,10.03000,997503
104,2022-11-08,10.38000,10.40000,10.09000,10.17000,1418750
105,2022-11-07,10.14000,10.44000,10.14000,10.35000,2141682
106,2022-11-04,10.27000,10.29500,9.95000,10.11000,1621571
107,2022-11-03,9.50000,10.22000,9.34000,10.16000,2144628
108,2022-11-02,9.72000,9.86000,9.54000,9.59000,1792901
109,2022-11-01,9.76000,9.83000,9.70000,9.78000,1344616
110,2022-10-31,9.70000,9.71500,9.55300,9.68000,2187850
111,2022-10-28,9.57000,9.83000,9.52000,9.77000,1376549
112,2022-10-27,9.56000,9.67500,9.50500,9.56000,1195666
113,2022-10-26,9.54000,9.59000,9.41500,9.50000,1263859
114,2022-10-25,9.19000,9.53000,9.19000,9.50000,1730590
115,2022-10-24,9.24000,9.29000,9.14000,9.21000,1213257
116,2022-10-21,9.12000,9.21000,8.95000,9.19000,1756696
117,2022-10-20,9.13000,9.28500,9.04000,9.06000,1067241
118,2022-10-19,9.41000,9.45000,9.12500,9.18000,1765631
119,2022-10-18,9.65000,9.72000,9.46000,9.51000,1124197
120,2022-10-17,9.37000,9.50000,9.35000,9.46000,1182777
121,2022-10-14,9.60000,9.61000,9.11500,9.18000,1830628
122,2022-10-13,8.89000,9.46000,8.81000,9.44000,2024470
123,2022-10-12,9.05000,9.10000,8.93000,9.05000,1280855
124,2022-10-11,8.93000,9.09000,8.84000,9.05000,1544716
125,2022-10-10,9.00000,9.10000,8.96000,8.97000,1001142
126,2022-10-07,9.02000,9.11500,8.93000,8.97000,2010452
127,2022-10-06,9.21000,9.24500,9.05500,9.09000,1418635
128,2022-10-05,9.35000,9.35000,9.03500,9.21000,1944304
129,2022-10-04,9.42000,9.60000,9.39500,9.49000,2630477
130,2022-10-03,9.27000,9.37000,9.22000,9.30000,2172401
131,2022-09-30,9.07000,9.26000,9.05000,9.16000,2609684
132,2022-09-29,9.14000,9.21000,8.88500,9.01000,2882406
133,2022-09-28,8.87000,9.34000,8.81000,9.29000,2970575
134,2022-09-27,9.26000,9.29000,8.81000,8.81000,2064940
135,2022-09-26,9.54000,9.55000,9.13500,9.20000,1900597
136,2022-09-23,9.72000,9.77000,9.50000,9.61000,1586476
137,2022-09-22,9.82000,9.82500,9.70000,9.75000,1630620
138,2022-09-21,9.84000,10.05000,9.78500,9.84000,2275676
139,2022-09-20,9.71000,9.80000,9.51000,9.75000,2363402
140,2022-09-19,9.77000,9.96500,9.74000,9.82000,2669502
141,2022-09-16,9.67000,9.85000,9.61500,9.85000,8032514
142,2022-09-15,9.74000,9.91000,9.72000,9.75000,2003983
143,2022-09-14,9.95000,9.99000,9.70500,9.76000,2647011
144,2022-09-13,10.31000,10.36000,9.96000,9.99000,1539005
145,2022-09-12,10.52000,10.62500,10.51500,10.54000,1293974
146,2022-09-09,10.36000,10.49500,10.32000,10.44000,933206
147,2022-09-08,10.34000,10.46500,10.28000,10.33000,1204026
148,2022-09-07,10.19000,10.44000,10.19000,10.43000,2692332
149,2022-09-06,10.12000,10.19000,10.06000,10.15000,2162464
150,2022-09-02,10.18000,10.21500,10.03500,10.11000,2442478
151,2022-09-01,10.03000,10.08000,9.90500,10.06000,1145062
152,2022-08-31,10.24000,10.28000,10.05000,10.06000,2557545
153,2022-08-30,10.36000,10.36000,10.14500,10.16000,2393151
154,2022-08-29,10.39000,10.45000,10.31000,10.31000,924497
155,2022-08-26,10.74000,10.74000,10.41000,10.42000,1346924
156,2022-08-25,10.60000,10.76000,10.58000,10.71000,777175
157,2022-08-24,10.56000,10.68000,10.52000,10.59000,811454
158,2022-08-23,10.57000,10.71000,10.54000,10.54000,1306266
159,2022-08-22,10.94000,10.94000,10.61500,10.64000,1748306
160,2022-08-19,11.15000,11.16500,10.99000,11.03000,977687
161,2022-08-18,11.15000,11.21000,11.10000,11.17000,959976
162,2022-08-17,11.17000,11.21000,11.07500,11.15000,912508
163,2022-08-16,11.36000,11.36000,11.22000,11.23000,1516727
164,2022-08-15,11.28000,11.35000,11.21000,11.33000,660595
165,2022-08-12,11.19000,11.27000,11.14500,11.27000,904757
166,2022-08-11,11.13000,11.22000,11.06000,11.10000,952876
167,2022-08-10,10.95000,11.06000,10.92000,11.01000,1364703
168,2022-08-09,10.75000,10.87000,10.72000,10.83000,1682792
169,2022-08-08,10.83000,10.93000,10.64000,10.75000,1197670
