,datetime,open,high,low,close,volume
0,2023-04-11,51.34000,51.34000,51.14000,51.15000,611800
1,2023-04-10,51.12000,51.38000,51.12000,51.31000,724700
2,2023-04-06,51.20000,51.34000,51.12000,51.17000,719800
3,2023-04-05,51.27000,51.32000,50.98000,51.28000,776400
4,2023-04-04,51.15000,51.42000,51.12000,51.39000,702500
5,2023-04-03,50.99000,51.39000,50.93000,51.30000,1699200
6,2023-03-31,50.94000,51.18000,50.87000,51.06000,1337600
7,2023-03-30,50.91000,50.95000,50.69000,50.94000,469400
8,2023-03-29,50.73000,50.92000,50.71000,50.85000,766500
9,2023-03-28,50.64000,50.73000,50.57000,50.66000,808000
10,2023-03-27,50.76000,50.82000,50.51000,50.67000,775300
11,2023-03-24,50.56000,50.69000,50.43000,50.67000,749600
12,2023-03-23,50.66000,50.72000,50.50000,50.65000,704400
13,2023-03-22,50.76000,50.76000,50.33000,50.34000,801000
14,2023-03-21,50.79000,50.98000,50.69000,50.85000,489900
15,2023-03-20,50.56000,50.76500,50.53000,50.68000,590977
16,2023-03-17,50.71000,50.86000,50.38000,50.44000,2405068
17,2023-03-16,50.70000,51.08500,50.65000,50.88000,1029833
18,2023-03-15,50.52000,50.97000,50.52000,50.82000,1198446
19,2023-03-14,50.90000,51.00000,50.77000,50.83000,1138901
20,2023-03-13,50.40000,50.90000,50.32000,50.47000,2046588
21,2023-03-10,50.96000,51.00000,50.55000,50.90000,1536078
22,2023-03-09,51.11000,51.16000,50.91000,50.95000,988519
23,2023-03-08,51.21000,51.28000,51.10000,51.10000,694899
24,2023-03-07,51.25000,51.32000,51.17000,51.19000,1374016
25,2023-03-06,51.33000,51.33500,51.25000,51.27000,720343
26,2023-03-03,51.36000,51.36000,51.24000,51.30000,785183
27,2023-03-02,51.42000,51.45000,51.23000,51.25000,1318384
28,2023-03-01,51.45000,51.54000,51.43000,51.47000,1198537
29,2023-02-28,51.43000,51.56000,51.42000,51.50000,1284554
30,2023-02-27,51.44000,51.55500,51.26000,51.49000,1582864
31,2023-02-24,51.21000,51.46000,51.21000,51.44000,1759341
32,2023-02-23,51.39000,51.45000,51.20000,51.40000,2775749
33,2023-02-22,51.45000,51.51000,51.36000,51.39000,2179919
34,2023-02-21,51.45000,51.57000,51.41000,51.43000,1121874
35,2023-02-17,51.52000,51.64000,51.45000,51.50000,1722608
36,2023-02-16,51.42000,51.59000,51.39000,51.50000,1550329
37,2023-02-15,51.64000,51.67000,51.47000,51.52000,2671340
38,2023-02-14,51.66000,51.90000,51.66000,51.87000,834689
39,2023-02-13,51.58000,51.88000,51.56000,51.78000,972270
40,2023-02-10,51.42000,51.71000,51.41000,51.55000,1125244
41,2023-02-09,51.71000,51.74000,51.46000,51.49000,860653
42,2023-02-08,51.62000,51.75000,51.52000,51.68000,690945
43,2023-02-07,51.61000,51.76000,51.60000,51.66000,932289
44,2023-02-06,51.54000,51.68000,51.54000,51.60000,667213
45,2023-02-03,51.51000,51.82500,51.50000,51.61000,1109809
46,2023-02-02,51.85000,51.85000,51.60000,51.75000,2024240
47,2023-02-01,51.60000,51.82500,51.59000,51.78000,1254564
48,2023-01-31,51.53000,51.67000,51.53000,51.67000,1530671
49,2023-01-30,51.26000,51.39500,51.26000,51.38000,678403
50,2023-01-27,51.33000,51.40000,51.30000,51.32000,509714
51,2023-01-26,51.33000,51.43000,51.20500,51.42000,741377
52,2023-01-25,51.30000,51.34000,51.23000,51.26000,643624
53,2023-01-24,51.27000,51.35500,51.22000,51.31000,804017
54,2023-01-23,51.22000,51.43000,51.22000,51.30000,776311
55,2023-01-20,51.38000,51.40000,51.13000,51.31000,1276461
56,2023-01-19,51.12000,51.26160,51.12000,51.26000,2183231
57,2023-01-18,51.30000,51.30000,51.18000,51.25000,938209
58,2023-01-17,51.08000,51.29000,51.07000,51.25000,1479190
59,2023-01-13,51.20000,51.32000,51.10000,51.18000,2409331
60,2023-01-12,51.39000,51.48000,51.17000,51.26000,1245114
61,2023-01-11,50.95000,51.39000,50.95000,51.35000,1273779
