,datetime,open,high,low,close,volume
0,2023-04-11,39.43000,40.38000,39.14000,40.23000,447200
1,2023-04-10,38.44000,39.58500,38.32500,39.15000,738500
2,2023-04-06,38.31000,38.59000,38.03000,38.53000,342600
3,2023-04-05,36.89000,38.08000,36.66000,38.04000,525600
4,2023-04-04,38.10000,38.10000,36.80000,37.32000,381100
5,2023-04-03,38.36000,38.83000,37.67000,37.96000,550000
6,2023-03-31,37.43000,38.46000,37.31000,38.44000,776400
7,2023-03-30,37.94000,38.37000,37.10000,37.15000,486300
8,2023-03-29,38.10000,38.12000,36.90000,37.49000,805900
9,2023-03-28,37.92000,38.16000,36.94000,37.51000,663300
10,2023-03-27,38.57000,38.59000,37.99000,38.10000,458900
11,2023-03-24,37.35000,37.82000,36.00000,37.75000,820300
12,2023-03-23,38.73000,39.39000,38.37500,38.58000,400000
13,2023-03-22,39.96000,40.18000,38.56000,38.62000,472600
14,2023-03-21,40.57000,40.81000,39.62000,39.88000,452100
15,2023-03-20,39.70000,40.18000,38.99000,39.47000,428400
16,2023-03-17,39.73000,39.87000,38.35000,39.07000,895700
17,2023-03-16,38.40000,40.08000,38.18500,39.89000,666400
18,2023-03-15,37.18000,38.78000,37.03000,38.75000,658900
19,2023-03-14,39.55000,39.77500,37.63000,38.60000,588800
20,2023-03-13,38.20000,38.55000,37.20000,37.91000,775300
21,2023-03-10,40.00000,40.20000,38.36000,39.06000,572900
22,2023-03-09,41.68000,41.84000,40.38000,40.47000,399000
23,2023-03-08,41.47000,41.87000,41.21000,41.75000,515100
24,2023-03-07,42.10000,42.51000,41.42000,41.44000,488400
25,2023-03-06,43.05000,43.08600,42.11000,42.24000,490100
26,2023-03-03,43.07000,43.45000,42.38000,43.10000,548367
27,2023-03-02,42.29000,42.97000,41.94500,42.89000,496493
28,2023-03-01,42.85000,43.58000,42.64000,42.93000,765757
29,2023-02-28,43.03000,43.59000,42.70000,42.83000,717697
30,2023-02-27,42.67000,43.27000,42.26500,43.03000,804518
31,2023-02-24,42.13000,42.54500,41.68000,42.27000,663880
32,2023-02-23,43.00000,43.89000,42.34000,42.77000,764547
33,2023-02-22,43.50000,44.18000,42.69000,43.32000,345512
34,2023-02-21,44.24000,44.89000,43.36000,43.57000,594381
35,2023-02-17,45.09000,45.59000,44.36000,45.39000,398598
36,2023-02-16,45.96000,46.46000,45.42000,45.50000,420305
37,2023-02-15,46.65000,46.95000,45.87000,46.72000,413116
38,2023-02-14,46.79000,47.41000,46.09000,46.67000,604674
39,2023-02-13,44.19000,47.01000,43.96000,46.97000,734709
40,2023-02-10,43.66000,44.94000,43.66000,44.25000,878269
41,2023-02-09,46.12000,46.45000,42.54000,43.74000,1956481
42,2023-02-08,47.13000,48.33000,46.81000,47.06000,557259
43,2023-02-07,48.51000,48.66500,46.71000,47.68000,694358
44,2023-02-06,48.93000,49.66000,48.77000,49.01000,622805
45,2023-02-03,48.33000,49.69000,48.33000,49.34000,478552
46,2023-02-02,47.79000,50.23000,47.56000,49.00000,839397
47,2023-02-01,46.56000,47.85000,45.57000,47.32000,612848
48,2023-01-31,46.01000,46.75000,45.60000,46.75000,538587
49,2023-01-30,45.71000,46.40000,45.35000,45.84000,642263
50,2023-01-27,45.59000,46.43000,45.44000,46.17000,627565
51,2023-01-26,45.45000,45.73000,44.70500,45.64000,327712
52,2023-01-25,44.84000,45.10000,44.47000,45.10000,277497
53,2023-01-24,45.63000,46.12000,45.41000,45.43000,240448
54,2023-01-23,45.16000,46.11000,45.14000,46.06000,438158
55,2023-01-20,45.19000,45.83000,44.78000,45.35000,536342
56,2023-01-19,44.68000,45.22000,43.83000,44.88000,523116
57,2023-01-18,44.98000,45.91000,44.60500,45.16000,396306
58,2023-01-17,44.91000,45.86000,44.73000,44.89000,445989
59,2023-01-13,44.88000,45.66000,44.79000,45.14000,428737
60,2023-01-12,44.50000,45.36000,43.61800,45.34000,803038
61,2023-01-11,42.92000,44.55500,42.92000,44.35000,799096
62,2023-01-10,42.43000,44.24000,42.43000,43.89000,466106
63,2023-01-09,42.48000,43.62000,42.35000,42.84000,506751
64,2023-01-06,41.71000,42.75000,41.53500,42.44000,681755
65,2023-01-05,39.60000,41.21000,39.17000,41.20000,662326
66,2023-01-04,39.37000,40.34000,38.70000,39.89000,775407
67,2023-01-03,38.85000,39.71000,38.37000,38.97000,430854
68,2022-12-30,38.16000,38.61500,37.83500,38.37000,346432
69,2022-12-29,38.60000,39.09000,38.51500,38.79000,407198
70,2022-12-28,39.03000,39.29000,38.25000,38.30000,399051
71,2022-12-27,39.17000,39.35000,38.51000,39.03000,310380
72,2022-12-23,39.56000,39.85000,38.89000,39.02000,552088
73,2022-12-22,40.06000,40.17000,39.17000,39.66000,467107
74,2022-12-21,40.37000,41.11000,40.37000,40.76000,280175
75,2022-12-20,39.41000,40.29000,39.29000,39.82000,368289
76,2022-12-19,40.77000,41.08000,39.48270,39.56000,591972
77,2022-12-16,40.51000,40.85000,39.95000,40.77000,989799
78,2022-12-15,42.01000,42.18000,40.70000,41.20000,494146
79,2022-12-14,42.77000,43.82000,42.42000,42.70000,546344
80,2022-12-13,44.20000,44.75000,42.96000,43.06000,667821
81,2022-12-12,41.33000,42.44000,41.05000,42.38000,466805
82,2022-12-09,40.91000,41.83000,40.91000,41.66000,405748
83,2022-12-08,40.62000,41.28000,40.30000,41.26000,520412
84,2022-12-07,40.54000,40.74000,39.34000,40.41000,713081
85,2022-12-06,42.31000,42.33000,40.10000,40.74000,583212
86,2022-12-05,43.80000,43.87500,41.78000,42.46000,532428
