,datetime,open,high,low,close,volume
0,2023-04-11,10.70000,10.70000,10.70000,10.70000,0
1,2023-04-10,10.70000,10.70000,10.70000,10.70000,0
2,2023-04-06,10.67000,10.70000,10.67000,10.70000,3400
3,2023-04-05,10.73000,10.73000,10.73000,10.73000,100
4,2023-04-04,10.74000,10.74000,10.74000,10.74000,0
5,2023-04-03,10.74000,10.74000,10.74000,10.74000,0
6,2023-03-31,10.74000,10.74000,10.74000,10.74000,0
7,2023-03-30,10.74000,10.74000,10.74000,10.74000,0
8,2023-03-29,10.74000,10.74000,10.74000,10.74000,0
9,2023-03-28,10.74000,10.74000,10.74000,10.74000,1800
10,2023-03-27,10.69000,10.69000,10.69000,10.69000,0
11,2023-03-24,10.69000,10.69000,10.69000,10.69000,0
12,2023-03-23,10.69000,10.69000,10.69000,10.69000,0
13,2023-03-22,10.69000,10.69000,10.69000,10.69000,0
14,2023-03-21,10.69000,10.69000,10.69000,10.69000,1300
15,2023-03-20,10.62200,10.62200,10.62200,10.62200,0
16,2023-03-17,10.62200,10.62200,10.62200,10.62200,0
17,2023-03-16,10.62200,10.62200,10.62200,10.62200,0
18,2023-03-15,10.62200,10.62200,10.62200,10.62200,0
19,2023-03-14,10.62200,10.62200,10.62200,10.62200,0
20,2023-03-13,10.62200,10.62200,10.62200,10.62200,400
21,2023-03-10,10.68000,10.68000,10.68000,10.68000,54100
22,2023-03-09,10.67000,10.68000,10.67000,10.67500,29100
23,2023-03-08,10.66000,10.71500,10.66000,10.67500,108800
24,2023-03-07,10.67000,10.67000,10.67000,10.67000,0
25,2023-03-06,10.64000,10.67000,10.64000,10.67000,5400
26,2023-03-03,10.65000,10.65000,10.64000,10.64000,5500
27,2023-03-02,10.62000,10.66000,10.61000,10.65000,58400
28,2023-03-01,10.58000,10.60000,10.58000,10.60000,7200
29,2023-02-28,10.59500,10.59500,10.59500,10.59500,0
30,2023-02-27,10.59500,10.59500,10.59500,10.59500,900
31,2023-02-24,10.56000,10.60000,10.56000,10.59500,15400
32,2023-02-23,10.57000,10.57000,10.57000,10.57000,1000
33,2023-02-22,10.55000,10.57000,10.55000,10.56000,6700
34,2023-02-21,10.54000,10.54000,10.54000,10.54000,500
35,2023-02-15,10.55000,10.55000,10.52000,10.52000,5200
36,2023-02-13,10.53000,10.55000,10.52000,10.52000,10400
37,2023-02-08,10.51000,10.53000,10.51000,10.53000,63500
38,2023-02-07,10.50000,10.50000,10.50000,10.50000,2300
39,2023-02-06,10.51000,10.51000,10.47000,10.47000,200
40,2023-02-03,10.50000,10.51000,10.50000,10.50000,121400
41,2023-02-02,10.50000,10.51000,10.50000,10.51000,222900
42,2023-02-01,10.50000,10.51000,10.47000,10.48000,1154700
43,2023-01-31,10.50100,10.52000,10.50000,10.51000,24500
44,2023-01-30,10.46000,10.66000,10.46000,10.49000,3006000
45,2023-01-27,10.45000,10.45000,10.45000,10.45000,8200
46,2023-01-26,10.44000,10.45000,10.44000,10.45000,500
47,2023-01-25,10.44000,10.44000,10.44000,10.44000,538100
48,2023-01-24,10.43000,10.45000,10.43000,10.45000,5600
49,2023-01-23,10.43000,10.44000,10.43000,10.44000,218500
50,2023-01-20,10.43000,10.43000,10.42000,10.43000,137100
51,2023-01-18,10.42000,10.42000,10.42000,10.42000,5000
52,2023-01-17,10.42000,10.42000,10.42000,10.42000,40000
53,2023-01-13,10.41000,10.42000,10.41000,10.42000,256900
54,2023-01-12,10.43000,10.43000,10.41000,10.41000,360100
55,2023-01-11,10.41000,10.42000,10.41000,10.42000,21700
56,2023-01-09,10.39000,10.39000,10.39000,10.39000,800
57,2023-01-06,10.39000,10.39000,10.39000,10.39000,100
58,2023-01-05,10.40000,10.40000,10.40000,10.40000,2200
59,2023-01-04,10.40000,10.40000,10.39000,10.39000,500
60,2023-01-03,10.39000,10.39000,10.39000,10.39000,13100
61,2022-12-23,10.36000,10.38000,10.36000,10.38000,7300
62,2022-12-19,10.36000,10.37000,10.36000,10.37000,26300
63,2022-12-15,10.36000,10.36000,10.36000,10.36000,26600
64,2022-12-13,10.35500,10.36000,10.35500,10.36000,12800
65,2022-12-12,10.35500,10.35500,10.35500,10.35500,59
66,2022-12-09,10.36000,10.36000,10.35000,10.35500,7300
67,2022-12-08,10.39000,10.39000,10.39000,10.39000,1500
68,2022-12-07,10.33000,10.36000,10.33000,10.36000,21100
69,2022-12-06,10.36000,10.36000,10.35000,10.36000,52100
70,2022-12-05,10.35000,10.35000,10.35000,10.35000,3300
71,2022-12-02,10.35000,10.35000,10.35000,10.35000,36800
72,2022-12-01,10.35500,10.36000,10.35000,10.35000,5000
73,2022-11-30,10.35000,10.40000,10.35000,10.35500,576100
74,2022-11-29,10.34000,10.35000,10.34000,10.35000,295200
75,2022-11-28,10.37000,10.37000,10.34000,10.34000,759400
76,2022-11-23,10.33000,10.36000,10.33000,10.36000,25600
77,2022-11-22,10.33000,10.33000,10.33000,10.33000,20000
78,2022-11-18,10.33000,10.33000,10.33000,10.33000,100
79,2022-11-17,10.31000,10.31000,10.31000,10.31000,200
80,2022-11-16,10.32000,10.32000,10.32000,10.32000,50000
81,2022-11-14,10.32000,10.32000,10.32000,10.32000,900
82,2022-11-11,10.31000,10.31000,10.31000,10.31000,281500
83,2022-11-10,10.31000,10.31000,10.30500,10.31000,133000
84,2022-11-09,10.31000,10.31000,10.31000,10.31000,5200
85,2022-11-08,10.31000,10.31000,10.31000,10.31000,5100
86,2022-11-04,10.31000,10.31000,10.31000,10.31000,25900
87,2022-11-03,10.31000,10.32000,10.31000,10.31000,6800
88,2022-11-01,10.30000,10.30500,10.30000,10.30500,21400
89,2022-10-31,10.29000,10.29000,10.29000,10.29000,358000
90,2022-10-27,10.29000,10.29000,10.29000,10.29000,8400
91,2022-10-26,10.28000,10.29000,10.28000,10.28000,6900
92,2022-10-25,10.27000,10.27000,10.27000,10.27000,1000
93,2022-10-21,10.27000,10.27000,10.27000,10.27000,6200
94,2022-10-20,10.27000,10.27000,10.27000,10.27000,3100
95,2022-10-19,10.26000,10.26000,10.26000,10.26000,107000
96,2022-10-17,10.24000,10.24000,10.24000,10.24000,1600
97,2022-10-14,10.27000,10.27000,10.27000,10.27000,800
98,2022-10-07,10.25000,10.25000,10.25000,10.25000,2700
99,2022-10-06,10.24000,10.24000,10.24000,10.24000,50000
100,2022-10-03,10.24000,10.24000,10.23000,10.23000,76600
101,2022-09-30,10.24000,10.24000,10.23000,10.23000,8500
102,2022-09-29,10.23000,10.23000,10.22000,10.22000,50
103,2022-09-26,10.23000,10.23000,10.20000,10.21000,87
104,2022-09-22,10.23000,10.23000,10.21000,10.22000,204900
105,2022-09-21,10.22000,10.23000,10.22000,10.22000,0
106,2022-09-20,10.22000,10.22000,10.21500,10.22000,11400
107,2022-09-19,10.21000,10.22000,10.21000,10.21000,0
108,2022-09-16,10.22000,10.22000,10.21000,10.21000,700
109,2022-09-15,10.22000,10.22000,10.21000,10.21000,600
110,2022-09-14,10.21000,10.21000,10.21000,10.21000,5000
111,2022-09-13,10.22000,10.22000,10.22000,10.22000,400
112,2022-09-12,10.20000,10.21000,10.20000,10.21000,10100
113,2022-09-09,10.20000,10.21000,10.18500,10.20000,18800
114,2022-09-08,10.21000,10.21000,10.21000,10.21000,100
115,2022-09-06,10.20000,10.22000,10.20000,10.20000,0
116,2022-09-02,10.17000,10.30000,10.17000,10.18000,49
117,2022-08-31,10.17000,10.18000,10.17000,10.18000,450700
118,2022-08-30,10.17000,10.20000,10.17000,10.17000,19
119,2022-08-25,10.18000,10.20000,10.18000,10.18000,0
120,2022-08-24,10.17000,10.17000,10.17000,10.17000,10200
121,2022-08-23,10.17000,10.17000,10.17000,10.17000,11000
