,datetime,open,high,low,close,volume
0,2023-04-11,296.81000,300.20999,296.81000,299.32001,415000
1,2023-04-10,295.07999,296.76999,290.98001,295.66000,492600
2,2023-04-06,302.01999,302.84000,296.16000,298.62000,564500
3,2023-04-05,303.23001,304.04001,300.28000,302.85001,584200
4,2023-04-04,305.97000,310.29001,302.39001,303.94000,743400
5,2023-04-03,304.16000,305.82999,301.23001,304.29999,937500
6,2023-03-31,303.16000,306.20999,301.00000,306.01999,641500
7,2023-03-30,302.59000,303.95999,298.92001,300.94000,448700
8,2023-03-29,297.60001,299.98999,296.63000,299.54999,517100
9,2023-03-28,293.07001,294.79999,292.00000,293.98999,540600
10,2023-03-27,296.42001,296.64999,291.60001,293.17999,703400
11,2023-03-24,287.39001,293.39999,285.13000,292.73001,569100
12,2023-03-23,290.79001,294.20999,288.81000,290.37000,676400
13,2023-03-22,296.64999,300.57999,290.76999,290.82999,844000
14,2023-03-21,295.37000,298.62000,293.79999,297.09000,776300
15,2023-03-20,295.35001,295.35001,288.42999,291.44000,952000
16,2023-03-17,296.26001,299.76001,291.04999,294.25000,1673700
17,2023-03-16,291.19000,300.32001,290.48001,297.95001,652500
18,2023-03-15,288.79999,293.10999,287.10001,292.79001,960200
19,2023-03-14,289.92999,296.22000,288.73999,293.01999,896500
20,2023-03-13,280.16000,289.72000,278.23001,285.31000,1515200
21,2023-03-10,295.67001,296.48999,283.89001,285.09000,1162100
22,2023-03-09,295.70001,302.95001,293.54999,295.04999,1124700
23,2023-03-08,293.35001,295.73999,291.35001,294.12000,856200
24,2023-03-07,303.75000,304.07001,292.73999,293.48999,806900
25,2023-03-06,298.73999,304.20001,298.64999,303.48001,888500
26,2023-03-03,293.23001,299.39001,292.19809,298.62000,708896
27,2023-03-02,285.14999,290.60999,284.79999,290.34000,745771
28,2023-03-01,288.38000,292.88000,288.38000,289.28000,465639
29,2023-02-28,289.23001,293.87000,288.04999,290.14999,832717
30,2023-02-27,294.03000,294.03000,288.85999,289.70999,395646
31,2023-02-24,287.98001,290.31000,286.32501,289.23999,550662
32,2023-02-23,295.00000,296.50000,289.44000,294.44000,574749
33,2023-02-22,295.48001,296.92001,291.92001,294.41000,858480
34,2023-02-21,297.03000,298.13000,292.51999,294.84000,819620
35,2023-02-17,299.84000,302.09000,297.74249,301.45001,851046
36,2023-02-16,305.01001,306.17001,302.10999,302.50000,649399
37,2023-02-15,305.66000,310.87000,305.66000,310.45999,604405
38,2023-02-14,312.98001,314.52499,309.04501,309.07001,695528
39,2023-02-13,307.88000,313.56000,307.60501,313.54999,588460
40,2023-02-10,304.66000,307.23999,303.44000,306.76999,525400
41,2023-02-09,315.10999,315.10999,305.95999,307.01001,865745
42,2023-02-08,316.53000,317.26999,311.10999,311.98999,549775
43,2023-02-07,312.09000,318.35999,310.07999,317.89001,834784
44,2023-02-06,319.48999,320.14999,313.60001,314.51999,865238
45,2023-02-03,322.67999,325.28000,318.04001,324.35999,1053592
46,2023-02-02,328.88000,335.91000,326.20001,329.48999,1196869
47,2023-02-01,320.79999,326.16000,318.51999,323.26999,1515637
48,2023-01-31,319.20999,324.25000,316.54001,322.75000,1526691
49,2023-01-30,315.62000,318.82999,313.41000,314.20001,973500
50,2023-01-27,315.54999,320.92001,315.32999,319.57999,630137
51,2023-01-26,317.26999,318.94000,314.04001,318.20999,913303
52,2023-01-25,310.73999,315.87000,307.60001,315.73001,1261421
53,2023-01-24,317.47000,319.95001,313.92999,315.35999,1117078
54,2023-01-23,318.16000,324.56000,318.10001,320.19000,917310
55,2023-01-20,315.01001,322.39001,313.07999,320.47000,2579713
56,2023-01-19,312.25000,317.23001,308.22000,312.95999,879390
57,2023-01-18,316.73001,321.62000,314.83499,316.48001,1811508
58,2023-01-17,314.60001,317.23001,312.48999,313.57999,1659605
59,2023-01-13,309.01999,315.00000,308.92001,314.53000,835832
60,2023-01-12,309.66000,312.89499,304.20001,312.39999,772158
61,2023-01-11,299.95001,308.06000,298.93500,307.42999,760105
62,2023-01-10,289.85999,297.44000,289.85999,297.25000,472133
63,2023-01-09,292.29001,297.76001,290.39999,290.79001,718546
64,2023-01-06,278.72000,289.78000,275.67001,289.70001,572832
65,2023-01-05,280.48001,281.76999,275.89999,276.69000,403739
66,2023-01-04,281.47000,285.60999,279.87201,284.10999,553096
67,2023-01-03,283.50000,284.89999,274.80499,276.47000,613837
68,2022-12-30,279.29001,279.64499,275.01001,278.62000,431998
69,2022-12-29,276.00000,283.08499,275.72501,282.92999,316652
70,2022-12-28,276.23999,279.35001,272.69751,273.01999,394473
71,2022-12-27,277.82999,278.92001,275.19501,276.35999,369144
72,2022-12-23,278.39001,280.62579,276.87000,278.82001,320618
73,2022-12-22,280.23999,281.00000,275.19000,279.19000,441619
74,2022-12-21,278.19000,282.51001,276.62000,282.42001,637603
75,2022-12-20,276.97000,279.62500,274.81000,274.88000,577290
76,2022-12-19,279.76999,281.22000,276.20410,278.32001,525076
77,2022-12-16,282.35001,284.39999,279.14999,281.76001,1024227
78,2022-12-15,292.50500,293.31000,286.42001,286.85999,717901
79,2022-12-14,300.20001,305.26999,294.86499,297.62000,1041071
80,2022-12-13,307.38000,310.64001,298.32001,301.63000,1067394
81,2022-12-12,288.73999,291.09000,287.44501,291.04001,794029
82,2022-12-09,288.50000,290.73999,287.45999,287.97000,620446
83,2022-12-08,291.17001,294.45001,288.98999,289.85999,795092
84,2022-12-07,291.14999,293.95499,289.54999,290.67999,593667
85,2022-12-06,293.12000,294.35999,291.16000,292.60001,641959
86,2022-12-05,297.39001,298.45999,290.50000,291.29999,697374
87,2022-12-02,301.28000,303.84000,297.47000,301.73001,479258
88,2022-12-01,300.66000,308.87000,300.66000,306.07999,832480
89,2022-11-30,289.20999,298.45999,284.42999,298.26999,1354397
90,2022-11-29,291.09000,292.87000,288.12000,289.53000,576237
91,2022-11-28,296.01999,301.01501,291.39001,291.89001,727426
92,2022-11-25,296.48999,302.32999,295.73001,301.00000,430382
93,2022-11-23,294.54999,299.10999,293.17999,297.95999,397887
94,2022-11-22,292.53000,295.26001,290.28000,294.35999,381560
95,2022-11-21,290.13000,294.06500,288.60001,291.94000,555101
96,2022-11-18,294.54999,296.37000,287.56000,292.32999,697499
97,2022-11-17,291.07001,291.07001,285.48001,289.79999,845338
98,2022-11-16,298.01001,299.13000,294.23999,296.73999,801243
99,2022-11-15,302.54001,304.60999,295.82999,298.73999,861908
100,2022-11-14,306.32999,307.59500,293.45001,293.60001,1075356
101,2022-11-11,297.25000,312.85999,295.22000,310.37000,1882098
102,2022-11-10,278.17999,294.64999,275.00000,294.26001,1585542
103,2022-11-09,265.29001,267.51999,261.70999,262.48001,514503
104,2022-11-08,265.85001,269.99500,264.14999,267.14001,733244
105,2022-11-07,262.79001,264.69000,260.12000,264.39001,524119
106,2022-11-04,258.47000,260.97000,254.00000,258.95999,577105
107,2022-11-03,252.35001,257.07001,251.98000,254.62000,540271
108,2022-11-02,263.42999,266.67999,256.09000,256.10999,939582
109,2022-11-01,268.89999,270.73999,263.60999,264.35001,789467
110,2022-10-31,266.79001,268.70001,263.88000,264.87000,882596
111,2022-10-28,260.25000,269.98999,259.16000,269.09000,858569
112,2022-10-27,258.95001,263.69000,258.04001,261.00000,1017427
113,2022-10-26,257.10001,262.88000,254.89000,256.97000,1156670
114,2022-10-25,241.13000,258.92001,239.75000,257.62000,1602300
115,2022-10-24,243.82001,246.61000,240.31000,244.98000,1306294
116,2022-10-21,236.77000,242.53999,233.22000,242.03000,990339
117,2022-10-20,242.23000,245.40500,235.92999,237.41000,730350
118,2022-10-19,243.16000,245.40500,239.50999,241.88000,729754
119,2022-10-18,250.67999,251.16000,245.25999,245.92999,1023239
120,2022-10-17,240.36000,244.95000,240.36000,243.06000,785863
121,2022-10-14,244.35001,247.51810,235.00999,235.25000,770281
122,2022-10-13,232.52000,243.78000,230.16000,241.83000,866699
123,2022-10-12,241.16000,242.21001,238.22000,239.55000,758190
124,2022-10-11,241.89999,244.73000,238.32001,240.88000,901776
125,2022-10-10,247.30000,247.30000,240.98500,243.07001,762835
126,2022-10-07,251.17999,252.24001,243.80000,245.46001,961774
127,2022-10-06,261.19000,262.54999,252.74500,254.07001,863452
128,2022-10-05,258.31000,264.12000,257.48169,261.85999,820204
129,2022-10-04,254.69000,262.20999,253.78000,261.98001,855027
130,2022-10-03,244.46001,252.31000,242.61000,250.87000,588518
