,datetime,open,high,low,close,volume
0,2023-04-11,18.82000,19.04500,18.64500,19.04000,22000
1,2023-04-10,18.64000,18.82000,18.58000,18.78000,24800
2,2023-04-06,18.47000,18.65000,18.42900,18.52000,9900
3,2023-04-05,18.04000,18.43000,17.78000,18.35000,10900
4,2023-04-04,17.96000,18.17000,17.70000,18.17000,31500
5,2023-04-03,17.91000,18.01000,17.62000,17.81000,23200
6,2023-03-31,17.61000,17.96000,17.61000,17.96000,20400
7,2023-03-30,17.24000,17.49000,17.18500,17.49000,10600
8,2023-03-29,17.01000,17.31000,17.00000,17.06300,13700
9,2023-03-28,16.80000,17.09000,16.67200,16.78000,5600
10,2023-03-27,16.98000,17.26000,16.96000,16.97000,12900
11,2023-03-24,16.84000,17.05900,16.45000,16.84000,20500
12,2023-03-23,17.69000,17.72000,16.42000,16.68000,26800
13,2023-03-22,17.22000,17.73500,17.22000,17.50000,17600
14,2023-03-21,16.97000,17.52000,16.97000,17.13000,6600
15,2023-03-20,17.52000,17.83000,16.80000,16.81000,19300
16,2023-03-17,18.00000,18.00000,17.33000,17.43000,14300
17,2023-03-16,17.60000,18.55600,17.60000,17.77000,39700
18,2023-03-15,18.12000,18.12000,17.53000,17.54000,12000
19,2023-03-14,17.61000,19.00000,17.61000,18.07000,17500
20,2023-03-13,16.80000,18.31200,16.78000,17.46000,44700
21,2023-03-10,19.10000,19.10000,18.41000,19.07000,15000
22,2023-03-09,19.34000,19.50160,18.99000,19.02000,17158
23,2023-03-08,19.34000,19.52000,19.23000,19.29500,6800
24,2023-03-07,19.58000,19.58000,19.31000,19.31000,17100
25,2023-03-06,19.54000,19.66000,19.43000,19.53000,10400
26,2023-03-03,19.58000,19.67000,19.42000,19.43000,35800
27,2023-03-02,19.41000,19.51900,19.36000,19.40000,5100
28,2023-03-01,19.72000,19.73000,19.43900,19.57000,6300
29,2023-02-28,19.64000,19.75000,19.40000,19.75000,28300
30,2023-02-27,19.84000,19.84000,19.46000,19.57000,11000
31,2023-02-24,19.67000,19.67000,19.30300,19.45000,11500
32,2023-02-23,19.45000,19.79000,19.30200,19.79000,16900
33,2023-02-22,19.23000,19.54000,19.12000,19.46000,20200
34,2023-02-21,19.41000,19.53000,19.10000,19.10000,24300
35,2023-02-17,19.71000,19.76000,19.39800,19.54000,7800
36,2023-02-16,19.89000,20.01800,19.80000,19.80000,22900
37,2023-02-15,20.00000,20.10000,19.82300,20.00000,13000
38,2023-02-14,20.05000,20.10000,19.87000,20.00000,21900
39,2023-02-13,19.92000,20.05000,19.71000,20.05000,13700
40,2023-02-10,19.94000,19.94000,19.75000,19.82000,5600
41,2023-02-09,19.96000,19.96900,19.83000,19.86000,7500
42,2023-02-08,19.80000,19.92000,19.72000,19.78000,14400
43,2023-02-07,19.76000,19.83400,19.60500,19.75000,32300
44,2023-02-06,19.79000,19.85100,19.46200,19.74000,17300
45,2023-02-03,20.06000,20.20000,19.72000,19.84000,17000
46,2023-02-02,20.25000,20.38000,20.10000,20.20000,40700
47,2023-02-01,20.04000,20.29000,20.04000,20.10000,63500
48,2023-01-31,20.04000,20.14500,19.98000,20.00000,12900
49,2023-01-30,20.00000,20.17600,19.89000,19.95000,57000
50,2023-01-27,19.87000,20.22000,19.87000,20.00000,9300
51,2023-01-26,20.02000,20.19000,19.84000,20.00000,9900
52,2023-01-25,19.88000,20.00000,19.69500,19.99000,23600
53,2023-01-24,19.91000,19.95000,19.86000,19.90000,13300
54,2023-01-23,19.90000,19.99000,19.56000,19.90000,27700
55,2023-01-20,19.78000,19.87000,19.59900,19.80000,25400
56,2023-01-19,19.57000,19.74000,19.46000,19.66000,20000
57,2023-01-18,19.60000,19.78500,19.30000,19.40000,23600
58,2023-01-17,19.14000,19.47900,19.14000,19.29000,25300
59,2023-01-13,18.96000,19.28000,18.80600,19.11000,17500
60,2023-01-12,19.01000,19.15000,18.84000,18.89000,23600
61,2023-01-11,18.84000,19.04000,18.80000,18.89000,50100
62,2023-01-10,18.81000,18.83000,18.57000,18.77000,14800
63,2023-01-09,18.70000,19.00000,18.63500,18.81000,33500
64,2023-01-06,18.00000,18.63000,18.00000,18.61000,22400
65,2023-01-05,17.64000,18.00000,17.64000,17.86000,12600
66,2023-01-04,17.19000,17.77000,17.19000,17.55000,16700
67,2023-01-03,17.01000,17.43000,16.86000,17.08000,44100
68,2022-12-30,17.04000,17.19000,16.78000,16.82000,41100
69,2022-12-29,17.65000,17.81700,17.10000,17.17000,61300
70,2022-12-28,17.89000,17.89000,17.57000,17.58000,41100
71,2022-12-27,18.12000,18.31000,18.02300,18.07000,46900
72,2022-12-23,18.03000,18.31000,17.91000,18.20000,104400
73,2022-12-22,18.21000,18.27000,17.95000,17.96000,17600
74,2022-12-21,18.10000,18.37000,18.06000,18.32000,55400
75,2022-12-20,18.18000,18.34000,17.87000,18.02000,32800
76,2022-12-19,18.09000,18.36000,18.01000,18.17000,30500
77,2022-12-16,18.04000,18.12000,17.71000,18.00800,28000
78,2022-12-15,18.14000,18.25000,17.95000,18.00000,34400
79,2022-12-14,18.17000,18.24800,17.97000,18.06000,33300
80,2022-12-13,18.20000,18.58000,17.91000,18.10000,18600
81,2022-12-12,17.86000,18.03000,17.75000,17.84000,74200
82,2022-12-09,18.13000,18.40000,17.75000,17.75000,28200
83,2022-12-08,18.51000,18.62500,18.15000,18.16000,37400
84,2022-12-07,18.70000,18.80000,18.44000,18.49000,33000
85,2022-12-06,18.77000,19.09200,18.49000,18.68000,17900
86,2022-12-05,19.20000,19.20000,18.74000,18.76000,33900
87,2022-12-02,19.15000,19.30000,18.97000,19.18000,25000
88,2022-12-01,18.94000,19.32000,18.81700,19.20000,19400
89,2022-11-30,18.29000,18.87000,18.19100,18.82000,41600
90,2022-11-29,18.68000,18.68000,18.16000,18.16000,26200
91,2022-11-28,18.54000,18.63000,18.37500,18.62000,24400
92,2022-11-25,18.54000,18.54000,18.03900,18.54000,7800
93,2022-11-23,18.28000,18.53000,18.08300,18.49000,27800
94,2022-11-22,18.32000,18.36000,18.06000,18.17000,20000
95,2022-11-21,18.34000,18.37000,18.03000,18.16000,20600
96,2022-11-18,18.18000,18.37000,18.15000,18.24000,10700
97,2022-11-17,18.27000,18.43000,18.07000,18.13000,11600
98,2022-11-16,18.23000,18.43000,18.22000,18.32000,10900
99,2022-11-15,18.08000,18.56000,18.07300,18.23000,21000
100,2022-11-14,18.07000,18.37000,17.80000,17.82000,20900
101,2022-11-11,18.09000,18.41000,18.02700,18.11000,14400
102,2022-11-10,17.37000,18.07000,17.37000,18.07000,18400
103,2022-11-09,17.22000,17.22000,16.91000,17.10000,26700
104,2022-11-08,16.79000,17.10000,16.79000,17.10000,20400
105,2022-11-07,16.82000,16.82000,16.52000,16.78000,23200
106,2022-11-04,16.74000,16.84800,16.45000,16.73000,30300
107,2022-11-03,16.72000,16.72000,16.44300,16.64000,25800
108,2022-11-02,16.82000,16.96000,16.68000,16.80000,38800
