,datetime,open,high,low,close,volume
0,2023-04-11,84.97000,85.82000,84.55000,84.74000,363200
1,2023-04-10,81.80000,84.94000,81.72000,84.90000,366600
2,2023-04-06,83.41000,83.93000,82.02000,83.01000,528400
3,2023-04-05,84.01000,84.59000,83.30000,84.16000,753900
4,2023-04-04,87.67000,87.67000,84.06000,85.09000,377200
5,2023-04-03,87.87000,88.79000,85.64000,87.18000,433100
6,2023-03-31,87.09000,89.01000,87.01000,88.62000,502300
7,2023-03-30,88.04000,88.58000,86.78000,87.41000,358600
8,2023-03-29,85.00000,87.30000,83.60000,86.47000,526700
9,2023-03-28,83.75000,84.06000,81.87000,83.13000,378600
10,2023-03-27,86.01000,86.67000,83.80000,84.06000,377300
11,2023-03-24,84.76000,85.64000,83.62000,84.96000,651600
12,2023-03-23,85.49000,87.82000,84.49000,86.06000,525800
13,2023-03-22,86.53000,88.26000,83.70000,83.80000,500300
14,2023-03-21,88.18000,89.37000,86.14000,86.84000,600100
15,2023-03-20,87.30000,88.29000,86.61000,87.45000,626000
16,2023-03-17,90.45000,90.49000,86.72000,86.98000,1434900
17,2023-03-16,85.89000,91.11000,85.07000,90.66000,745900
18,2023-03-15,86.67000,87.45000,84.95000,87.05000,672700
19,2023-03-14,89.59000,91.03000,87.89000,89.00000,689800
20,2023-03-13,86.13000,88.22000,85.24000,87.01000,536700
21,2023-03-10,90.33000,91.12000,86.72000,87.48000,680200
22,2023-03-09,92.80000,94.46000,90.02000,90.20000,493426
23,2023-03-08,91.43000,93.37000,91.43000,93.06000,675200
24,2023-03-07,92.82000,93.75000,90.88000,91.13000,666800
25,2023-03-06,97.06000,97.80000,92.60000,93.08000,610600
26,2023-03-03,95.38000,96.83000,93.53000,96.53000,585652
27,2023-03-02,92.56000,95.27000,91.44000,94.59000,467499
28,2023-03-01,96.92000,97.30000,94.45000,94.55000,658770
29,2023-02-28,95.53000,99.86000,95.34000,96.93000,1377356
30,2023-02-27,92.92000,93.67000,91.43000,92.18000,743521
31,2023-02-24,90.88000,92.67000,90.22000,91.52000,625378
32,2023-02-23,94.25000,94.29000,91.64750,93.21000,691493
33,2023-02-22,92.34000,93.05000,90.38000,91.80000,958213
