,datetime,open,high,low,close,volume
0,2023-04-11,335.70001,340.92001,333.89999,338.37000,296800
1,2023-04-10,339.89999,343.13000,333.76999,335.70001,420600
2,2023-04-06,334.59000,345.09000,332.29999,343.29001,477300
3,2023-04-05,386.75000,387.87000,335.59000,337.73999,1042200
4,2023-04-04,388.17999,399.78000,386.14001,392.29001,381200
5,2023-04-03,388.07001,390.70001,387.53000,389.16000,206500
6,2023-03-31,389.51999,392.07001,383.42001,391.29001,376500
7,2023-03-30,387.92999,392.67999,387.44000,387.85999,357400
8,2023-03-29,385.29001,387.54001,379.01001,384.51999,200500
9,2023-03-28,382.29001,390.00000,381.14999,382.54001,238000
10,2023-03-27,387.70001,390.00000,378.85999,381.09000,261300
11,2023-03-24,380.91000,386.00000,379.39999,385.98999,172900
12,2023-03-23,378.37000,386.14001,375.04001,383.20999,290800
13,2023-03-22,384.50000,388.39999,377.10999,377.45999,319000
14,2023-03-21,390.00000,394.60999,381.64001,384.50000,352000
15,2023-03-20,389.04001,391.94000,382.07001,386.59000,404900
16,2023-03-17,388.70001,397.26999,386.54999,389.76999,1374000
17,2023-03-16,380.35001,390.42999,375.38000,388.35001,541600
18,2023-03-15,367.79999,381.22000,367.79999,379.87000,604700
19,2023-03-14,367.53000,371.94000,364.13000,371.51999,416300
20,2023-03-13,342.34000,368.54001,341.07001,364.32999,618800
21,2023-03-10,353.09000,359.97000,345.57001,346.73001,374400
22,2023-03-09,358.89999,361.31000,351.47000,353.35001,233600
23,2023-03-08,358.04999,362.22000,357.94000,359.09000,188400
24,2023-03-07,367.59000,368.01999,357.67999,359.31000,300000
25,2023-03-06,368.54999,375.07001,365.51001,366.92001,286400
26,2023-03-03,356.50000,369.98999,356.28500,369.51999,340135
27,2023-03-02,347.94000,355.51001,347.32001,354.78000,202667
28,2023-03-01,340.34000,347.26999,335.75000,347.26999,292587
29,2023-02-28,343.39999,346.26999,340.10999,341.45001,462557
30,2023-02-27,349.70999,352.99500,342.19000,342.37000,269474
31,2023-02-24,346.78000,354.64001,344.95001,346.62000,257780
32,2023-02-23,355.17999,355.17999,346.78000,347.85999,183960
33,2023-02-22,357.45999,359.44000,349.88000,351.44000,194279
34,2023-02-21,352.88000,359.29001,352.03000,355.25000,231511
35,2023-02-17,357.56000,361.32501,353.97000,355.17001,232798
36,2023-02-16,354.29001,362.16000,353.62000,359.54001,237158
37,2023-02-15,353.57001,359.60999,353.57001,358.53000,193753
38,2023-02-14,353.26001,359.29001,353.26001,356.07999,152502
39,2023-02-13,352.23001,356.32501,349.89001,353.87000,243420
40,2023-02-10,349.75000,352.60001,344.04999,350.19000,338885
41,2023-02-09,356.95001,359.20001,351.44000,352.31000,293962
42,2023-02-08,353.66000,356.79001,349.23999,355.03000,273946
43,2023-02-07,349.76001,357.64001,347.67999,355.84000,322476
44,2023-02-06,342.69000,354.12000,341.51001,350.72000,365563
45,2023-02-03,369.10001,370.00000,344.73999,345.89999,709650
46,2023-02-02,379.97000,389.57001,375.26001,379.93500,368901
47,2023-02-01,363.85001,377.10001,363.63000,377.00000,350471
48,2023-01-31,365.94000,368.54001,362.28000,363.85001,766030
49,2023-01-30,370.92999,371.53000,363.73001,367.16000,379394
50,2023-01-27,368.72000,375.73001,364.43500,372.37000,315228
51,2023-01-26,368.64999,369.95999,361.10999,369.35001,493438
52,2023-01-25,327.07999,364.72000,325.07999,363.28000,838284
53,2023-01-24,333.87000,335.67999,324.57001,329.51999,433391
54,2023-01-23,335.87000,337.25000,330.85001,334.04001,265346
55,2023-01-20,328.97000,336.98499,325.98999,335.98001,271212
56,2023-01-19,326.98001,332.38501,326.82999,327.13000,227442
57,2023-01-18,329.17999,331.67001,327.66000,328.78000,226439
58,2023-01-17,329.01999,333.23001,326.63501,328.04001,325620
59,2023-01-13,322.00000,330.17001,322.00000,329.01999,289036
60,2023-01-12,328.89999,329.26001,321.29001,323.60999,337649
61,2023-01-11,322.82999,327.50000,317.04999,327.26001,342718
62,2023-01-10,318.54999,322.39999,317.85999,321.12000,304185
63,2023-01-09,314.34000,324.07001,313.54001,319.10001,578105
64,2023-01-06,300.41000,315.10001,297.91000,314.00000,464003
65,2023-01-05,284.89999,298.48001,284.47000,298.23001,466470
66,2023-01-04,288.10999,290.97000,282.37000,286.76999,230510
67,2023-01-03,281.87000,285.90500,277.79001,284.87000,199721
68,2022-12-30,279.70001,282.22000,275.82999,278.89001,124777
69,2022-12-29,278.63000,285.57001,278.60001,283.32999,108260
70,2022-12-28,279.81000,281.63000,275.88000,276.45001,139154
71,2022-12-27,280.45001,281.54001,277.55499,279.85001,161249
72,2022-12-23,280.67001,282.60001,277.23999,280.85001,243051
73,2022-12-22,274.81000,281.84000,274.64850,281.76001,314120
74,2022-12-21,269.75000,278.75000,267.95001,277.98001,381588
75,2022-12-20,270.19000,270.39999,264.94000,266.64999,218876
76,2022-12-19,277.32999,279.87500,270.89999,271.48001,338152
77,2022-12-16,277.00000,280.78000,274.91000,278.59000,597739
78,2022-12-15,282.75000,284.54501,277.48999,278.54001,345676
79,2022-12-14,288.00000,293.42001,284.63000,285.53000,307144
80,2022-12-13,295.06000,295.89001,285.85001,289.44000,412092
81,2022-12-12,280.00000,287.81000,276.93759,286.75000,410086
82,2022-12-09,283.16000,284.88000,278.87000,280.92999,273614
83,2022-12-08,277.07001,285.01501,275.35001,283.16000,364087
84,2022-12-07,284.17001,287.00000,271.76630,275.14001,391215
85,2022-12-06,283.91000,288.36499,281.59000,285.04999,464256
86,2022-12-05,279.89001,286.89001,278.62000,284.78000,562571
87,2022-12-02,268.98001,281.63000,268.10999,281.16000,456547
88,2022-12-01,269.37000,277.29999,268.57999,273.26999,429791
89,2022-11-30,257.34000,269.07001,253.95500,267.92001,576178
90,2022-11-29,254.56000,260.18750,252.78000,256.07999,195462
91,2022-11-28,255.92999,256.72000,254.07001,254.62000,167104
92,2022-11-25,256.81000,257.66000,255.28999,256.84000,62884
93,2022-11-23,257.14999,259.11749,252.05000,256.81000,175849
94,2022-11-22,256.89999,257.88000,254.35500,256.28000,184063
95,2022-11-21,259.76999,262.69501,254.50999,255.88000,213297
96,2022-11-18,259.89001,263.06000,257.08499,259.79001,284330
97,2022-11-17,258.35001,259.29001,253.14999,256.51001,221170
98,2022-11-16,265.10001,265.10001,261.59000,262.23999,256946
99,2022-11-15,270.75000,270.75000,260.40500,264.70001,261991
100,2022-11-14,283.14999,283.35999,266.45001,266.59000,552701
101,2022-11-11,276.98999,284.48999,270.60999,283.29999,503548
102,2022-11-10,261.54999,277.56000,261.54999,277.47000,678776
103,2022-11-09,245.96001,254.18150,244.62000,251.92000,591960
104,2022-11-08,238.83000,250.35001,238.03500,246.89000,515851
105,2022-11-07,235.34000,238.44000,233.52499,238.19000,220589
