,datetime,open,high,low,close,volume
0,2023-04-11,0.96300,1.03000,0.95000,0.98000,39000
1,2023-04-10,0.98000,1.00000,0.92000,0.96000,63700
2,2023-04-06,0.93000,1.00000,0.93000,1.00000,39600
3,2023-04-05,1.08000,1.08000,0.92000,0.95300,63700
4,2023-04-04,1.05000,1.05000,0.94000,1.00000,45600
5,2023-04-03,1.07000,1.10000,1.04000,1.04000,59800
6,2023-03-31,1.10400,1.22000,1.04000,1.09000,138200
7,2023-03-30,1.00000,1.20900,1.00000,1.12500,332600
8,2023-03-29,0.98500,1.02000,0.98500,0.99100,23500
9,2023-03-28,1.00000,1.04000,0.98000,0.98000,20300
10,2023-03-27,1.03000,1.05100,0.93000,0.98100,26100
11,2023-03-24,0.97000,1.02000,0.97000,0.97400,18700
12,2023-03-23,0.97000,1.07000,0.91300,1.00000,57900
13,2023-03-22,1.02000,1.03000,0.94700,0.96800,30400
14,2023-03-21,0.95000,1.15000,0.88400,0.97400,172100
15,2023-03-20,1.06000,1.06600,0.94000,1.01000,47700
16,2023-03-17,1.03000,1.20000,1.03000,1.09000,61300
17,2023-03-16,1.03700,1.11600,1.02000,1.04000,57200
18,2023-03-15,1.17800,1.21000,1.10000,1.12000,55900
19,2023-03-14,1.19000,1.23900,1.14000,1.16000,87900
20,2023-03-13,1.32400,1.32400,1.18000,1.22000,40600
21,2023-03-10,1.33000,1.37100,1.22000,1.30000,63300
22,2023-03-09,1.37000,1.40000,1.32000,1.36000,10300
23,2023-03-08,1.40000,1.44000,1.30300,1.39000,37700
24,2023-03-07,1.42000,1.50000,1.28000,1.42000,80500
25,2023-03-06,1.61000,1.67000,1.38000,1.50000,177000
26,2023-03-03,1.35000,1.59000,1.35000,1.56000,301100
27,2023-03-02,1.32000,1.39000,1.32000,1.39000,35100
28,2023-03-01,1.28000,1.39000,1.28000,1.34000,97400
29,2023-02-28,1.42000,1.47700,1.25000,1.29000,229900
30,2023-02-27,1.46000,1.60000,1.43000,1.48000,123000
31,2023-02-24,1.49000,1.58300,1.43000,1.49000,146100
32,2023-02-23,1.64000,1.70000,1.50000,1.54000,160100
33,2023-02-22,1.70000,1.72500,1.60000,1.64000,120900
34,2023-02-21,1.85000,1.85000,1.70000,1.72000,103400
35,2023-02-17,1.94000,1.94000,1.80000,1.82000,123800
