,datetime,open,high,low,close,volume
0,2023-04-11,8.71000,8.78000,8.53000,8.53000,1149600
1,2023-04-10,8.78000,8.84000,8.62000,8.68000,1106100
2,2023-04-06,8.68000,8.86000,8.62500,8.82000,998600
3,2023-04-05,8.82000,8.82000,8.52000,8.61000,1038500
4,2023-04-04,9.07000,9.11000,8.76000,8.88000,976100
5,2023-04-03,9.10000,9.21000,8.99000,9.14000,1147600
6,2023-03-31,9.02000,9.31000,8.99000,9.10000,1809500
7,2023-03-30,8.86000,9.09000,8.76500,9.08000,1140000
8,2023-03-29,8.70000,8.82500,8.60000,8.77000,920700
9,2023-03-28,8.56500,8.81000,8.52000,8.76000,1438000
10,2023-03-27,8.23000,8.42000,8.18500,8.40000,1564700
11,2023-03-24,8.41000,8.45000,8.25000,8.33000,1134600
12,2023-03-23,8.64000,8.64000,8.31500,8.48000,1857500
13,2023-03-22,8.51000,8.62000,8.32000,8.34000,1242700
14,2023-03-21,8.53000,8.61000,8.43000,8.51000,2018900
15,2023-03-20,7.85000,8.55000,7.73000,8.51000,2585400
16,2023-03-17,7.76000,8.01000,7.50000,7.91000,1799100
17,2023-03-16,7.76000,7.76000,6.85000,7.71000,4520200
18,2023-03-15,8.42000,8.58000,8.17000,8.40000,2338500
19,2023-03-14,8.57000,8.72000,8.56000,8.71000,873600
20,2023-03-13,8.49000,8.69500,8.34000,8.59000,1229400
21,2023-03-10,8.28000,8.63000,8.19000,8.50000,2110000
22,2023-03-09,8.58000,8.61000,8.34000,8.34000,879500
23,2023-03-08,8.40000,8.67000,8.39000,8.66000,1030100
24,2023-03-07,8.84000,8.89000,8.58000,8.60000,1790100
25,2023-03-06,9.25000,9.29000,8.90000,8.95000,1100500
26,2023-03-03,9.12000,9.37000,9.08000,9.30000,942200
27,2023-03-02,8.91000,9.26000,8.86400,9.16000,1247900
28,2023-03-01,9.22000,9.40000,8.99000,9.01000,1198600
29,2023-02-28,8.86000,8.90200,8.70000,8.81000,1774200
30,2023-02-27,9.08000,9.11000,8.90500,8.94000,1098800
31,2023-02-24,8.93000,8.95000,8.80000,8.92000,1126200
32,2023-02-23,9.20000,9.37000,9.05000,9.12000,869000
33,2023-02-22,9.20000,9.34000,9.11500,9.19000,945000
34,2023-02-21,9.29000,9.42000,9.21000,9.28000,1214800
35,2023-02-17,9.64000,9.69000,9.45300,9.49000,1021400
36,2023-02-16,10.10000,10.28000,9.85000,9.89000,1207300
37,2023-02-15,10.18000,10.46000,10.17000,10.45000,879000
38,2023-02-14,10.20000,10.52000,10.14000,10.27000,1359800
39,2023-02-13,9.95000,10.56000,9.95000,10.44000,1698400
40,2023-02-10,10.13000,10.27500,9.88000,9.92000,1157400
41,2023-02-09,10.79000,10.89800,10.35500,10.42000,1064700
42,2023-02-08,10.70000,10.85000,10.39000,10.43000,744000
43,2023-02-07,10.45000,10.83000,10.45000,10.78000,1136900
44,2023-02-06,10.10000,10.60000,9.79000,10.31000,3390800
45,2023-02-03,10.75000,11.09000,10.39100,10.45000,1168200
46,2023-02-02,11.24000,11.41500,10.91500,11.07000,1502900
47,2023-02-01,10.47000,11.44100,10.41000,11.23000,2906500
48,2023-01-31,10.25000,10.50000,10.19000,10.25000,2117400
49,2023-01-30,10.74000,10.80000,10.04000,10.26000,3047400
50,2023-01-27,11.26000,11.40000,11.03000,11.15000,1738300
51,2023-01-26,10.55000,11.54000,10.52500,11.31000,2700100
52,2023-01-25,10.24000,10.67500,10.20000,10.40000,1387400
53,2023-01-24,10.10000,10.36000,10.05100,10.35000,1837700
54,2023-01-23,10.29000,10.46000,9.96500,10.28000,1808100
55,2023-01-20,10.29000,10.53000,10.12500,10.29000,2137700
56,2023-01-19,9.90000,10.29000,9.87000,10.03000,1418300
57,2023-01-18,10.28000,10.39000,9.81300,9.89000,2495300
58,2023-01-17,10.85500,10.97000,10.06000,10.22000,2601300
59,2023-01-13,10.15000,10.83000,10.08000,10.65000,2047500
60,2023-01-12,10.47000,10.49000,9.86000,10.10000,3276500
61,2023-01-11,10.15000,10.77000,10.07000,10.56000,2153800
62,2023-01-10,9.96000,10.27000,9.87500,10.19000,1228800
63,2023-01-09,10.13000,10.38000,9.87000,9.89000,2632100
64,2023-01-06,9.71000,10.02000,9.59500,9.82000,1570000
65,2023-01-05,9.37000,9.83000,9.18000,9.82000,2391600
66,2023-01-04,9.73000,9.90000,9.55300,9.62000,1673700
67,2023-01-03,9.37000,9.79000,9.34500,9.51000,3398500
68,2022-12-30,8.72000,9.24000,8.72000,8.98000,1542400
69,2022-12-29,8.60000,9.14000,8.31000,9.10000,1974000
70,2022-12-28,8.93000,9.10000,8.52500,8.54000,3405900
71,2022-12-27,8.42000,8.94000,8.05000,8.89000,2557800
72,2022-12-23,8.68000,8.83500,8.29000,8.36000,1503000
73,2022-12-22,8.84000,9.00000,8.41000,8.57000,3260900
74,2022-12-21,8.28000,8.94000,8.19000,8.92000,3175800
75,2022-12-20,7.92000,8.37000,7.87000,8.31000,1954100
76,2022-12-19,8.36500,8.36500,7.87000,8.13000,2085100
77,2022-12-16,8.44000,8.63000,8.21000,8.35000,3765300
78,2022-12-15,8.35000,8.68000,8.02500,8.38000,4730300
79,2022-12-14,8.05000,8.70000,7.99000,8.52000,4873100
80,2022-12-13,8.48000,8.87000,7.67000,8.15000,5256200
81,2022-12-12,8.38000,8.63000,7.61000,8.02000,8551200
82,2022-12-09,7.10000,9.49000,7.03000,8.93000,45524200
83,2022-12-08,5.96000,7.22000,5.96000,6.79000,20557800
84,2022-12-07,5.48000,5.55000,5.20000,5.25000,2929600
85,2022-12-06,5.65000,5.75000,5.37500,5.74000,1359700
86,2022-12-05,5.95000,6.07000,5.49000,5.58000,1723400
87,2022-12-02,5.43000,5.75000,5.37000,5.72000,1797900
88,2022-12-01,5.61000,5.64000,5.46000,5.47000,1263900
89,2022-11-30,5.41000,5.76000,5.32000,5.74000,3715900
90,2022-11-29,5.21000,5.33000,5.08000,5.13000,2122000
91,2022-11-28,4.86000,5.05000,4.86000,4.90000,2268900
92,2022-11-25,5.07000,5.11000,4.88000,4.90000,1014500
93,2022-11-23,5.22000,5.24000,5.09500,5.18000,1329700
94,2022-11-22,5.09000,5.09000,4.87500,5.07000,2203800
95,2022-11-21,5.35000,5.36000,5.06000,5.09000,1395900
96,2022-11-18,5.87000,5.87000,5.45500,5.48000,1066900
97,2022-11-17,5.53000,5.88500,5.51000,5.87000,2160900
98,2022-11-16,6.03000,6.06000,5.68000,5.75000,1268500
99,2022-11-15,5.64000,6.20000,5.62000,6.15000,3577900
100,2022-11-14,5.56000,5.69000,5.34500,5.40000,1379600
101,2022-11-11,4.99000,5.61000,4.97000,5.58000,2231800
102,2022-11-10,4.91000,5.03000,4.72500,4.81000,2425200
103,2022-11-09,4.98000,5.03000,4.72000,4.78000,1376200
104,2022-11-08,5.20000,5.27000,4.95500,5.12000,1082800
105,2022-11-07,5.50000,5.58500,5.24000,5.24000,1633900
106,2022-11-04,5.40000,5.43000,5.15000,5.40000,1997800
107,2022-11-03,4.84000,5.15000,4.83000,4.98000,1795700
108,2022-11-02,5.25000,5.26000,4.93000,4.93000,1893800
109,2022-11-01,4.95000,5.26000,4.95000,5.25000,1870100
110,2022-10-31,4.60000,4.97000,4.57000,4.70000,1698700
111,2022-10-28,4.59000,4.77000,4.55000,4.66000,1568600
