,datetime,open,high,low,close,volume
0,2023-04-11,152.42999,156.78000,149.32001,155.25000,6589400
1,2023-04-10,160.00000,161.19000,154.44501,160.14999,2726100
2,2023-04-06,155.00000,159.07001,153.49001,158.27000,2618700
3,2023-04-05,155.78999,156.87000,152.24899,154.61000,2278800
4,2023-04-04,159.21001,159.67999,156.03000,156.52000,2308700
5,2023-04-03,153.50000,159.99001,153.50000,159.48000,3972400
6,2023-03-31,148.52000,154.98000,147.89000,153.58000,3779300
7,2023-03-30,150.20000,151.25000,146.59500,147.44000,2209600
8,2023-03-29,149.00000,150.09000,147.55499,148.80000,1902400
9,2023-03-28,147.98000,149.66000,146.17999,146.92000,1992800
10,2023-03-27,149.80000,150.38000,145.36000,148.35001,2641400
11,2023-03-24,149.74001,152.57001,148.97000,150.88000,1988900
12,2023-03-23,149.92000,153.75999,146.89999,149.42000,2708700
13,2023-03-22,153.31000,153.67999,148.07001,148.17999,2820600
14,2023-03-21,154.53999,155.70000,151.82001,152.10001,3010600
15,2023-03-20,150.00999,156.57001,148.66000,154.52000,3263800
16,2023-03-17,151.92000,154.48000,149.10001,150.02000,5995600
17,2023-03-16,149.67000,152.85201,147.97000,151.78000,2654300
18,2023-03-15,148.88000,151.19000,147.61000,149.60001,2740000
19,2023-03-14,148.98000,154.88000,148.05000,151.28000,3952600
20,2023-03-13,138.49001,148.94000,138.06000,147.89999,5681300
21,2023-03-10,137.06000,141.55000,135.59200,138.28999,3885600
22,2023-03-09,142.03999,144.03000,136.51601,137.36000,3092600
23,2023-03-08,140.32001,142.53000,140.32001,142.08000,2193800
24,2023-03-07,143.78000,145.74001,139.67999,141.05000,2777700
25,2023-03-06,143.30000,145.06000,142.63000,144.03000,2871100
26,2023-03-03,138.67999,144.85500,138.14999,143.20000,3963100
27,2023-03-02,135.36000,139.03000,135.34000,137.86000,3305400
28,2023-03-01,138.39000,140.28000,133.66000,135.66000,4588100
29,2023-02-28,138.27000,140.96001,137.37000,138.81000,3995000
30,2023-02-27,139.52000,140.91000,136.72000,138.27000,4966000
31,2023-02-24,140.53000,144.27000,138.21001,139.25999,5998700
32,2023-02-23,153.73000,157.50000,143.71899,147.57001,9378900
33,2023-02-22,160.35001,161.49001,157.00000,158.17000,3082500
34,2023-02-21,165.25000,166.86000,159.49001,160.09000,3295700
35,2023-02-17,163.00000,166.72000,160.66000,166.60001,4991000
36,2023-02-16,173.07001,176.20000,171.59000,172.31000,2466600
37,2023-02-15,173.17000,177.37000,172.45000,177.28000,1963300
38,2023-02-14,170.89000,176.03999,169.28999,175.62000,2906400
39,2023-02-13,168.73000,171.77000,166.00999,171.48000,2702300
40,2023-02-10,164.00000,169.50999,162.64999,169.28000,2943700
41,2023-02-09,167.03000,170.10001,163.19000,164.48000,2853800
42,2023-02-08,169.33000,170.39000,164.14999,164.34000,2960500
43,2023-02-07,170.25999,171.87000,167.03000,171.06000,2574100
44,2023-02-06,171.98000,174.41000,169.67000,170.27000,2858000
45,2023-02-03,172.74001,178.74001,172.39999,173.25000,2820400
46,2023-02-02,173.39999,176.73000,170.50999,176.35001,4061500
47,2023-02-01,174.70000,176.30000,167.28000,174.30000,5607500
48,2023-01-31,176.50000,180.21001,173.78000,176.06000,6212700
49,2023-01-30,187.23000,187.59000,180.64000,180.87000,3198200
50,2023-01-27,191.91000,193.52000,188.28000,189.35001,3344900
51,2023-01-26,194.42999,195.00000,187.55000,193.24001,2392300
52,2023-01-25,194.33000,194.96001,189.75000,193.07001,2288200
53,2023-01-24,195.83000,197.06000,193.21500,196.75999,1851300
54,2023-01-23,192.61000,198.86000,192.21001,196.94000,2907300
55,2023-01-20,190.60001,194.58501,188.52000,193.98000,4043700
56,2023-01-19,196.21001,197.31000,190.32001,190.38000,4273900
57,2023-01-18,200.32201,207.50999,195.02000,197.02000,11058900
58,2023-01-17,187.89500,194.63000,187.64000,190.69000,3722100
59,2023-01-13,185.08000,192.12000,185.05000,192.00000,3226700
60,2023-01-12,186.53999,189.28999,179.14999,188.06000,3881600
61,2023-01-11,188.57001,189.64999,182.66800,186.64000,3152700
62,2023-01-10,182.70000,189.81000,181.50301,189.64999,2457900
63,2023-01-09,181.80000,188.36000,177.27000,183.95000,4344000
64,2023-01-06,174.96001,181.74001,171.39999,180.35001,3573100
65,2023-01-05,174.80000,175.51401,171.60001,173.50999,3050600
66,2023-01-04,182.42000,183.61000,175.63000,177.36000,2840900
67,2023-01-03,180.85001,184.39000,178.23000,178.99001,4027900
68,2022-12-30,176.22000,179.69000,172.31000,179.62000,3428800
69,2022-12-29,178.19000,182.50000,175.39999,178.86000,3746800
70,2022-12-28,180.00000,183.75000,174.50999,176.50000,5525600
71,2022-12-27,199.89999,201.42999,179.83000,180.17000,6736000
72,2022-12-23,206.69000,208.99001,197.56000,199.08000,6166000
73,2022-12-22,209.82001,212.47000,201.61000,208.34000,5374600
74,2022-12-21,201.85001,210.22000,199.75000,210.03999,7584000
75,2022-12-20,189.00000,204.22000,187.53999,201.16000,9561800
76,2022-12-19,200.00000,204.00000,187.86000,189.89000,6953300
77,2022-12-16,206.37000,209.85001,190.62000,193.28999,11814100
78,2022-12-15,207.61000,212.44000,202.09000,207.25000,9641000
79,2022-12-14,195.08000,217.25000,192.54100,208.95000,21435200
80,2022-12-13,187.33000,208.52000,184.02000,197.53999,26239600
81,2022-12-12,175.53000,175.77299,162.78000,165.13000,5202200
82,2022-12-09,185.00000,185.40900,177.10001,177.35001,3497100
83,2022-12-08,179.12000,185.21001,177.52000,184.70000,3414000
84,2022-12-07,172.31000,180.38499,171.85001,179.00000,3579300
85,2022-12-06,175.02000,175.78000,169.70000,173.53999,3392300
86,2022-12-05,180.99001,183.68500,173.59000,175.92999,3525400
87,2022-12-02,178.50000,182.80000,177.00000,182.35001,2764200
88,2022-12-01,173.41000,185.89999,172.38000,181.48000,4872000
89,2022-11-30,173.52000,176.75000,169.06000,175.91000,3720200
90,2022-11-29,176.14999,179.00000,171.53000,173.14999,2840900
91,2022-11-28,177.09000,184.22000,174.67000,175.38000,3748500
92,2022-11-25,175.00999,179.14000,173.41000,176.39999,1221100
93,2022-11-23,178.00999,179.36000,174.58000,176.81000,2311800
94,2022-11-22,176.08000,179.83000,170.27000,179.59000,3307100
95,2022-11-21,179.71001,180.78999,175.17000,176.75000,3100100
96,2022-11-18,184.00000,188.45000,181.22000,181.59000,3547600
97,2022-11-17,181.33000,184.44000,178.98000,183.89999,3372400
98,2022-11-16,184.44000,188.64999,182.88000,185.25000,4030000
99,2022-11-15,180.66000,187.87000,178.35001,185.47000,5159000
100,2022-11-14,169.27000,184.24001,169.27000,179.03000,6662500
101,2022-11-11,168.31000,172.13499,162.74001,171.20000,3609500
102,2022-11-10,164.52499,169.28000,161.71001,168.56000,4886100
103,2022-11-09,162.50000,169.83000,162.35001,163.21001,3813800
104,2022-11-08,162.46001,167.49001,159.06000,164.61000,3389200
105,2022-11-07,158.46001,165.49001,155.81000,164.03999,4858500
106,2022-11-04,149.62000,160.74001,143.64500,158.41000,8106100
107,2022-11-03,138.75999,150.74600,135.09000,147.50000,9194400
108,2022-11-02,154.20000,156.17999,148.30000,148.62000,5048400
109,2022-11-01,154.77000,158.88000,152.41000,154.62000,4344300
110,2022-10-31,149.42999,154.34000,148.57001,150.33000,3675200
111,2022-10-28,142.84000,151.19000,142.84000,150.97000,4567900
112,2022-10-27,143.38000,146.25000,140.80000,144.11000,3672400
113,2022-10-26,137.25000,147.67999,137.02000,142.00000,5733700
114,2022-10-25,134.00000,138.35001,133.00101,136.57001,4345300
115,2022-10-24,127.49000,133.96001,126.72000,133.02000,4102700
116,2022-10-21,123.77000,130.30000,122.03000,128.32001,8120400
117,2022-10-20,122.94000,124.69000,118.31000,118.38000,5497700
118,2022-10-19,132.50000,133.28999,122.92000,123.52000,6024500
119,2022-10-18,140.74001,141.00000,132.39000,134.09000,5096200
120,2022-10-17,135.52000,140.32001,133.00000,139.25000,4638400
121,2022-10-14,135.67999,136.16000,131.31500,134.00000,4579800
122,2022-10-13,126.36000,136.12000,126.19000,134.72000,5068100
123,2022-10-12,135.55499,141.47000,129.61000,130.72000,17676000
124,2022-10-11,123.29000,124.78000,118.94000,120.72000,2963700
125,2022-10-10,119.32000,125.25000,118.47000,123.42000,3824100
126,2022-10-07,121.50000,123.36000,118.46000,119.32000,3149000
127,2022-10-06,124.78000,127.64000,122.93000,125.15000,2363400
128,2022-10-05,122.40000,126.74000,121.61000,125.62000,2277600
129,2022-10-04,123.67000,126.41000,123.50000,125.67000,3464300
130,2022-10-03,119.32000,122.39800,115.41000,120.99000,3812200
131,2022-09-30,118.44000,122.58000,118.08000,118.25000,3854200
132,2022-09-29,119.90000,120.58000,115.03000,118.07000,4755200
133,2022-09-28,123.58000,126.29000,121.82000,122.15000,4245900
134,2022-09-27,120.58000,125.16000,120.25000,122.23000,3798000
135,2022-09-26,123.34000,125.88000,119.56000,119.69000,3824700
136,2022-09-23,122.81000,125.01000,121.25000,123.64000,3941100
137,2022-09-22,124.31600,126.08000,122.90000,124.32000,3466300
138,2022-09-21,130.37000,131.78999,125.68000,125.76000,3852900
139,2022-09-20,125.80000,134.35001,125.79000,129.70500,8551100
140,2022-09-19,135.70000,135.99001,123.68500,127.90000,11469100
141,2022-09-16,134.37000,139.88000,133.75999,137.74001,7560600
142,2022-09-15,138.61000,139.84000,135.58000,135.86000,4359800
143,2022-09-14,134.00999,141.82001,133.59000,139.39999,7904900
144,2022-09-13,136.06000,138.23000,131.05000,131.30000,4907200
145,2022-09-12,142.00000,144.78799,139.75999,140.32001,3442200
146,2022-09-09,142.03999,142.64999,138.06000,142.28000,3499100
147,2022-09-08,136.70000,142.25999,136.10001,141.28000,5053500
148,2022-09-07,129.67999,135.10001,129.58000,134.89999,3967600
149,2022-09-06,138.00000,138.39999,129.82001,130.08000,5871400
150,2022-09-02,140.36000,140.92999,137.46899,138.57001,5266600
151,2022-09-01,131.13000,139.00000,130.11000,138.95000,6664800
152,2022-08-31,136.95000,139.88000,131.71001,132.27000,4396500
153,2022-08-30,137.89999,138.00000,132.81799,135.92999,3607100
154,2022-08-29,135.09000,139.37000,135.00000,137.25999,3239000
155,2022-08-26,142.80000,145.50000,136.66000,136.70000,3997200
156,2022-08-25,142.25000,142.28000,137.78000,142.05000,3422800
157,2022-08-24,142.66000,144.22000,140.63000,141.42999,3486400
158,2022-08-23,141.70000,144.80800,139.21001,143.78000,3677600
159,2022-08-22,145.25000,148.88000,141.57001,142.47000,4488900
160,2022-08-19,147.64000,150.75000,144.99001,146.10001,4686200
161,2022-08-18,157.00000,158.50999,148.25999,150.00000,7043400
162,2022-08-17,165.04500,167.62000,157.67999,158.00000,5518200
163,2022-08-16,176.00000,180.13000,166.60500,167.96001,5053600
164,2022-08-15,172.85001,179.33000,171.85001,176.78000,4884000
165,2022-08-12,172.67999,173.95000,168.64000,171.17999,2814100
166,2022-08-11,174.43500,179.85001,171.06000,171.81000,3340500
167,2022-08-10,174.09000,176.67999,169.82001,174.27000,3550300
168,2022-08-09,176.00999,180.71001,169.20200,171.14000,5082500
169,2022-08-08,185.20000,190.28000,180.09000,182.94000,4078600
170,2022-08-05,189.27100,192.39999,182.25999,186.84000,5424600
171,2022-08-04,185.75000,197.44000,185.47000,194.17999,6877000
172,2022-08-03,167.74001,189.33000,167.74001,186.49001,13750900
173,2022-08-02,161.03000,165.28999,160.75999,160.81000,3522800
174,2022-08-01,163.85001,166.17900,160.06000,161.50999,3794000
175,2022-07-29,161.44000,164.60001,159.44000,164.09000,3853300
176,2022-07-28,157.00000,158.81000,151.73000,158.07001,3494600
177,2022-07-27,161.00000,161.28200,154.10001,158.02000,4285000
178,2022-07-26,166.30000,166.30000,159.90500,160.89999,2884700
179,2022-07-25,162.75000,167.26801,159.13000,165.69000,2488500
180,2022-07-22,170.00000,171.10500,161.43500,163.52000,2921700
181,2022-07-21,165.36000,171.89000,165.25000,168.89000,2518400
182,2022-07-20,167.00000,172.50999,163.92000,166.89000,2888900
183,2022-07-19,166.75999,167.98000,161.27000,167.14000,3006500
184,2022-07-18,169.11000,172.73000,162.56000,163.39999,3515400
185,2022-07-15,161.00000,167.00000,155.92999,166.91000,4270400
186,2022-07-14,169.24001,170.86200,155.92999,159.92000,6759000
187,2022-07-13,168.88000,176.64999,167.14999,171.24001,4075800
188,2022-07-12,174.73000,176.89999,170.16000,173.25000,5141500
189,2022-07-11,173.50999,180.48000,171.28999,175.25999,6587200
190,2022-07-08,170.72000,180.73000,170.36000,176.23000,7539300
191,2022-07-07,159.50000,173.66000,159.38000,172.39999,7626000
192,2022-07-06,154.50999,161.00999,150.39999,159.56000,4955600
193,2022-07-05,148.66000,158.78999,146.84000,155.53999,6013700
