,datetime,open,high,low,close,volume
0,2023-04-11,11.42000,11.49000,11.36000,11.49000,65600
1,2023-04-10,11.42000,11.43000,11.33000,11.38000,64700
2,2023-04-06,11.45000,11.47000,11.42000,11.42000,92100
3,2023-04-05,11.40000,11.48000,11.32000,11.45000,87400
4,2023-04-04,11.43000,11.45000,11.33000,11.38000,69900
5,2023-04-03,11.49000,11.49000,11.37000,11.40000,108800
6,2023-03-31,11.34000,11.45000,11.34000,11.45000,122300
7,2023-03-30,11.21000,11.31000,11.20000,11.31000,100400
8,2023-03-29,11.15000,11.20000,11.14000,11.16000,104400
9,2023-03-28,11.09000,11.17000,11.08000,11.14000,154900
10,2023-03-27,11.13000,11.19000,11.08000,11.11000,126800
11,2023-03-24,11.10000,11.17000,11.08000,11.11000,84700
12,2023-03-23,11.13000,11.16000,11.06000,11.07000,86600
13,2023-03-22,11.16000,11.20000,11.10000,11.13000,110000
14,2023-03-21,11.19000,11.19000,11.12000,11.15000,73100
15,2023-03-20,11.17000,11.27000,11.13000,11.15000,117400
16,2023-03-17,11.20000,11.24000,11.12000,11.16000,83800
17,2023-03-16,11.16000,11.29000,11.15000,11.16000,133500
18,2023-03-15,11.24000,11.25000,11.15000,11.16000,85500
19,2023-03-14,11.21000,11.23000,11.13000,11.13000,105600
20,2023-03-13,11.22000,11.27000,11.16000,11.19000,167000
21,2023-03-10,11.18000,11.23000,11.09000,11.12000,53900
22,2023-03-09,11.13000,11.19250,11.11000,11.12000,115279
23,2023-03-08,11.20000,11.20000,11.07000,11.09000,73400
24,2023-03-07,11.11000,11.18000,11.10000,11.14000,137800
25,2023-03-06,11.17000,11.22000,11.06000,11.07000,355600
26,2023-03-03,11.16000,11.19000,11.12000,11.16000,203500
27,2023-03-02,11.08000,11.14000,11.05000,11.13000,158700
28,2023-03-01,11.18000,11.21000,11.13000,11.14000,120700
29,2023-02-28,11.16000,11.22000,11.12000,11.14000,71600
30,2023-02-27,11.22000,11.25000,11.14000,11.17000,130300
31,2023-02-24,11.11000,11.15000,11.08000,11.15000,132000
32,2023-02-23,11.25000,11.29000,11.17000,11.18000,94200
33,2023-02-22,11.33000,11.34000,11.21000,11.22000,101600
34,2023-02-21,11.35000,11.35000,11.23000,11.27000,93300
35,2023-02-17,11.41000,11.42000,11.36000,11.37000,131800
36,2023-02-16,11.58000,11.59000,11.44000,11.45000,142900
37,2023-02-15,11.67000,11.73000,11.63000,11.65000,53200
38,2023-02-14,11.75000,11.78000,11.66000,11.72000,110400
39,2023-02-13,11.76000,11.77000,11.70000,11.75000,74000
40,2023-02-10,11.85000,11.85000,11.71000,11.73000,80800
41,2023-02-09,11.96000,11.96000,11.81000,11.81000,37800
42,2023-02-08,11.78000,11.92000,11.78000,11.91000,66600
43,2023-02-07,11.74000,11.89000,11.74000,11.81000,127000
44,2023-02-06,11.84000,11.89000,11.72000,11.73000,132500
45,2023-02-03,11.94000,11.96000,11.85000,11.87000,93400
46,2023-02-02,12.06000,12.14000,11.98000,12.00000,133100
47,2023-02-01,11.94000,12.03000,11.91000,12.02000,102500
48,2023-01-31,11.83000,11.92000,11.82000,11.86000,92400
49,2023-01-30,11.75000,11.85000,11.71000,11.82000,134800
50,2023-01-27,11.72000,11.82000,11.71000,11.73000,81500
51,2023-01-26,11.77000,11.83000,11.72000,11.74000,132900
52,2023-01-25,11.85000,11.88000,11.75000,11.81000,157800
53,2023-01-24,11.87000,11.92000,11.82000,11.87000,110100
54,2023-01-23,11.77000,11.90000,11.77000,11.79000,67900
55,2023-01-20,11.62000,11.81000,11.61000,11.81000,107300
56,2023-01-19,11.58000,11.72000,11.52000,11.62000,190600
57,2023-01-18,11.56000,11.63000,11.47000,11.63000,211800
58,2023-01-17,11.57000,11.65000,11.42000,11.43000,303700
59,2023-01-13,11.71000,11.75000,11.48000,11.57000,409500
60,2023-01-12,11.62000,11.76000,11.57000,11.75000,249800
61,2023-01-11,11.55000,11.63000,11.52000,11.59000,124600
62,2023-01-10,11.41000,11.51000,11.38000,11.51000,188300
63,2023-01-09,11.41000,11.51000,11.34000,11.41000,144800
64,2023-01-06,11.24000,11.40000,11.23000,11.39000,220900
65,2023-01-05,11.22000,11.26000,11.17000,11.20000,134400
66,2023-01-04,11.33000,11.38000,11.19000,11.26000,215100
67,2023-01-03,11.18000,11.29000,11.10000,11.25000,157900
68,2022-12-30,10.98000,11.10000,10.93000,11.07000,467400
69,2022-12-29,11.02000,11.15000,10.94000,10.99000,503700
70,2022-12-28,11.04000,11.07000,10.92000,10.97000,425300
71,2022-12-27,10.99000,11.11000,10.95000,10.95000,398800
72,2022-12-23,11.12000,11.18000,11.02000,11.06000,375500
73,2022-12-22,11.12000,11.23000,11.07000,11.13000,263200
74,2022-12-21,11.27000,11.32000,11.13000,11.17000,306800
75,2022-12-20,11.24000,11.38000,11.15000,11.19000,405600
76,2022-12-19,11.35000,11.43000,11.28000,11.29000,173300
77,2022-12-16,11.46000,11.52000,11.35000,11.43000,203700
78,2022-12-15,11.56000,11.63000,11.46000,11.47000,250500
79,2022-12-14,11.82000,11.89000,11.54000,11.60000,318200
80,2022-12-13,12.07000,12.15000,11.85000,11.85000,270000
81,2022-12-12,12.09000,12.13000,11.92000,11.97000,149200
82,2022-12-09,12.27000,12.30000,11.96000,11.99000,190300
83,2022-12-08,12.28000,12.38000,12.27000,12.30000,312100
84,2022-12-07,12.20000,12.32000,12.03000,12.30000,329000
85,2022-12-06,12.11000,12.21000,12.11000,12.20000,170300
86,2022-12-05,12.09000,12.14000,12.05000,12.08000,119500
87,2022-12-02,11.97000,12.15000,11.95000,12.10000,167700
88,2022-12-01,11.94000,12.02000,11.94000,11.98000,184700
89,2022-11-30,11.82000,11.89000,11.79000,11.89000,147700
90,2022-11-29,11.67000,11.78000,11.67000,11.74000,143200
91,2022-11-28,11.73000,11.79000,11.70000,11.70000,91100
92,2022-11-25,11.80000,11.81000,11.73000,11.73000,64100
93,2022-11-23,11.75000,11.80000,11.67000,11.78000,138800
94,2022-11-22,11.67000,11.78000,11.65000,11.74000,157100
95,2022-11-21,11.50000,11.60000,11.49000,11.52000,164800
96,2022-11-18,11.35000,11.47000,11.33000,11.43000,207100
97,2022-11-17,11.18000,11.39000,11.16000,11.33000,167200
98,2022-11-16,11.04000,11.26000,11.04000,11.24000,239600
99,2022-11-15,11.06000,11.09000,10.90000,10.98000,247900
100,2022-11-14,11.10000,11.10000,10.92000,10.92000,176300
101,2022-11-11,11.03000,11.26000,11.03000,11.16000,231600
102,2022-11-10,10.82000,11.07000,10.81000,11.03000,390400
103,2022-11-09,10.72000,10.85000,10.72000,10.73000,111400
104,2022-11-08,10.80000,10.86000,10.76000,10.82000,206800
105,2022-11-07,10.80000,10.80000,10.76000,10.76000,126800
106,2022-11-04,10.75000,10.81000,10.66000,10.80000,205800
107,2022-11-03,10.70000,10.76000,10.62000,10.67000,153000
108,2022-11-02,10.79000,10.82000,10.71000,10.73000,158500
109,2022-11-01,10.87000,10.88000,10.78000,10.82000,161500
110,2022-10-31,10.78000,10.78000,10.70000,10.75000,104200
111,2022-10-28,10.73000,10.80000,10.73000,10.75000,109200
112,2022-10-27,10.84000,10.84000,10.70000,10.72000,219700
113,2022-10-26,10.83000,10.88000,10.79000,10.83000,193000
114,2022-10-25,10.86000,10.97000,10.82000,10.82000,122200
115,2022-10-24,10.96000,10.99000,10.84000,10.84000,205100
116,2022-10-21,10.95000,11.01000,10.93000,10.99000,94200
117,2022-10-20,11.00000,11.23000,10.91000,10.93000,225000
118,2022-10-19,11.13000,11.15000,11.00000,11.04000,113600
119,2022-10-18,11.24000,11.26000,11.10000,11.15000,139600
120,2022-10-17,11.29000,11.33000,11.15000,11.17000,114100
121,2022-10-14,11.46000,11.47000,11.21000,11.21000,124200
122,2022-10-13,11.46000,11.46000,11.21000,11.43000,316300
123,2022-10-12,11.74000,11.74000,11.56000,11.57000,70400
124,2022-10-11,11.71000,11.75000,11.65000,11.70000,80400
125,2022-10-10,11.64000,11.73000,11.64000,11.70000,57300
126,2022-10-07,11.75000,11.75000,11.65000,11.66000,132500
127,2022-10-06,11.79000,11.83000,11.76000,11.80000,68200
128,2022-10-05,11.75000,11.91000,11.69000,11.72000,139100
129,2022-10-04,11.95000,12.12000,11.76000,11.79000,201000
130,2022-10-03,11.86000,12.03000,11.82000,11.95000,139800
131,2022-09-30,11.74000,11.82000,11.69000,11.74000,118200
132,2022-09-29,11.94000,11.94000,11.69000,11.74000,190400
133,2022-09-28,11.97000,12.05000,11.90000,11.95000,84900
134,2022-09-27,11.99000,12.03000,11.85000,11.92000,118700
135,2022-09-26,11.99000,12.09000,11.90000,11.91000,177400
136,2022-09-23,12.09000,12.13000,11.96000,12.03000,189100
137,2022-09-22,12.28000,12.37000,12.11000,12.12000,154300
138,2022-09-21,12.28000,12.35000,12.25000,12.31000,103700
139,2022-09-20,12.46000,12.47000,12.25000,12.28000,245400
140,2022-09-19,12.59000,12.59000,12.50000,12.53000,107200
