,datetime,open,high,low,close,volume
0,2023-04-11,13.27000,13.58000,13.27000,13.53000,905900
1,2023-04-10,12.98000,13.29000,12.98000,13.25000,759400
2,2023-04-06,13.05000,13.14000,12.93000,13.06000,943600
3,2023-04-05,13.13000,13.22000,12.96000,13.08000,779700
4,2023-04-04,13.80000,13.90000,13.17000,13.27000,564800
5,2023-04-03,13.89000,13.99000,13.64000,13.80000,740000
6,2023-03-31,13.67000,13.96000,13.67000,13.94000,992900
7,2023-03-30,13.51000,13.60000,13.46000,13.59000,897000
8,2023-03-29,13.33000,13.47000,13.29000,13.43000,784700
9,2023-03-28,13.19000,13.28000,13.15000,13.21000,538900
10,2023-03-27,13.27000,13.32000,13.11000,13.19000,607400
11,2023-03-24,12.83000,13.12000,12.73000,13.09000,858000
12,2023-03-23,13.03000,13.19000,12.82000,12.93000,928100
13,2023-03-22,13.42000,13.48000,12.99000,13.00000,1054200
14,2023-03-21,13.38000,13.50000,13.31000,13.39000,1033400
15,2023-03-20,13.02000,13.25000,13.02000,13.16000,954200
16,2023-03-17,13.07000,13.10000,12.80000,12.86000,3172500
17,2023-03-16,12.94000,13.29000,12.89000,13.16000,699700
18,2023-03-15,13.12000,13.17000,12.87000,13.10000,1126000
19,2023-03-14,13.27000,13.43000,13.23000,13.37000,1216800
20,2023-03-13,12.90000,13.10000,12.82000,12.90000,1143400
21,2023-03-10,13.45000,13.45000,13.00000,13.11000,1107500
22,2023-03-09,13.73000,13.81000,13.48000,13.50000,447500
23,2023-03-08,13.70000,13.76000,13.56000,13.70000,404500
24,2023-03-07,13.88000,13.94000,13.67000,13.69000,659700
25,2023-03-06,14.10000,14.13000,13.78000,13.82000,679100
26,2023-03-03,14.11000,14.14000,13.87000,14.09000,1048030
27,2023-03-02,13.81000,14.03000,13.72000,13.99000,505706
28,2023-03-01,13.89000,14.02500,13.78000,13.91000,825135
29,2023-02-28,13.83000,14.08000,13.82010,13.87000,998160
30,2023-02-27,13.93000,14.04000,13.85000,13.88000,532766
31,2023-02-24,13.79000,13.91000,13.72000,13.87000,514496
32,2023-02-23,13.88000,14.00000,13.80000,13.96000,497250
33,2023-02-22,13.89000,13.97000,13.79000,13.82000,622426
34,2023-02-21,13.95000,13.98000,13.77000,13.85000,858670
35,2023-02-17,13.91000,14.13000,13.86000,14.12000,578255
36,2023-02-16,13.85000,14.04000,13.85000,13.86000,768926
37,2023-02-15,13.92000,14.21500,13.92000,14.05000,755726
38,2023-02-14,13.73000,14.05000,13.64000,14.01000,957697
39,2023-02-13,13.80000,13.84000,13.74000,13.79000,841228
40,2023-02-10,13.72000,13.79500,13.59000,13.76000,618598
41,2023-02-09,13.84000,13.86990,13.61500,13.67000,716073
42,2023-02-08,13.94000,13.98000,13.72500,13.82000,895347
43,2023-02-07,13.70000,13.91000,13.65000,13.91000,1224751
44,2023-02-06,13.91000,13.95000,13.65000,13.76000,1062126
45,2023-02-03,13.91000,14.61850,13.59000,13.99000,1279301
46,2023-02-02,13.13000,13.17000,12.96000,13.12000,1332239
47,2023-02-01,12.61000,13.09000,12.58000,13.02000,1168723
48,2023-01-31,12.34000,12.70000,12.33500,12.65000,1244758
49,2023-01-30,12.32000,12.38500,12.24000,12.26000,738290
50,2023-01-27,12.16000,12.44000,12.09000,12.40000,654559
51,2023-01-26,12.15000,12.19000,12.02500,12.19000,413570
52,2023-01-25,12.02000,12.10000,11.93000,12.09000,421820
53,2023-01-24,12.00000,12.16900,11.93500,12.09000,530924
54,2023-01-23,11.98000,12.08500,11.91000,12.07000,505176
55,2023-01-20,11.86000,11.94000,11.77000,11.93000,826984
56,2023-01-19,11.86000,11.97000,11.81000,11.82000,720993
57,2023-01-18,12.16500,12.27000,11.91000,11.92000,657294
58,2023-01-17,12.28500,12.35000,12.18000,12.18000,593809
59,2023-01-13,12.05000,12.39000,12.05000,12.30000,819739
60,2023-01-12,12.04000,12.12000,11.94500,12.10000,705329
61,2023-01-11,11.62000,12.02500,11.58000,12.00000,1240977
62,2023-01-10,11.37000,11.52000,11.32000,11.51000,730644
63,2023-01-09,11.26000,11.57500,11.22000,11.35000,716555
64,2023-01-06,11.01000,11.28000,10.97000,11.25000,585854
65,2023-01-05,10.96000,10.96500,10.85000,10.88000,572494
66,2023-01-04,10.92000,11.03000,10.89000,10.96000,586531
67,2023-01-03,10.81000,10.93000,10.73500,10.83000,582747
68,2022-12-30,10.80000,10.80000,10.65000,10.76000,650401
69,2022-12-29,10.73000,10.92500,10.70000,10.85000,354993
70,2022-12-28,10.90000,10.97500,10.67000,10.67000,277944
71,2022-12-27,10.78000,10.94000,10.75500,10.92000,449180
72,2022-12-23,10.69000,10.83500,10.62000,10.78000,443155
73,2022-12-22,10.92000,10.93000,10.55000,10.71000,675467
74,2022-12-21,10.90000,11.10000,10.85000,11.06000,849104
75,2022-12-20,10.86000,11.03000,10.84000,10.84000,816485
76,2022-12-19,10.93000,11.14000,10.88500,10.89000,1131759
77,2022-12-16,11.02000,11.18000,10.80000,10.91000,1825789
78,2022-12-15,11.39000,11.39000,11.06000,11.13000,1461558
79,2022-12-14,11.71000,11.75000,11.41500,11.49000,872642
80,2022-12-13,11.79000,11.91000,11.58000,11.66000,724482
81,2022-12-12,11.41000,11.56000,11.35000,11.56000,778216
82,2022-12-09,11.51000,11.64000,11.39000,11.40000,1145284
83,2022-12-08,11.48000,11.58000,11.39500,11.53000,719409
84,2022-12-07,11.28000,11.49000,11.27000,11.45000,819464
85,2022-12-06,11.58000,11.67000,11.30500,11.38000,769956
86,2022-12-05,11.64000,11.73000,11.46500,11.59000,698629
87,2022-12-02,11.52000,11.79500,11.52000,11.75000,673554
88,2022-12-01,11.73000,11.86000,11.57000,11.69000,814924
89,2022-11-30,11.37000,11.66000,11.24000,11.66000,899699
90,2022-11-29,11.33000,11.47000,11.33000,11.41000,570977
91,2022-11-28,11.59000,11.70000,11.36000,11.44000,722220
92,2022-11-25,11.65000,11.74500,11.62000,11.65000,321260
93,2022-11-23,11.72000,11.77000,11.59000,11.59000,628987
94,2022-11-22,11.57000,11.75000,11.53500,11.74000,676665
95,2022-11-21,11.85000,12.02000,11.54000,11.58000,1431193
96,2022-11-18,11.44000,11.50000,11.26000,11.34000,828506
97,2022-11-17,11.22000,11.37000,11.15000,11.28000,886619
98,2022-11-16,11.42000,11.48500,11.30500,11.39000,1223163
99,2022-11-15,11.23000,11.42000,11.19000,11.41000,1403421
100,2022-11-14,11.11000,11.23000,10.96000,11.11000,1467165
101,2022-11-11,11.27000,11.27000,10.97000,11.19000,1681471
102,2022-11-10,11.31000,11.35000,11.07500,11.24000,1805664
103,2022-11-09,11.17000,11.23000,10.87500,10.92000,1182750
104,2022-11-08,11.52000,11.85000,11.05500,11.30000,1426567
105,2022-11-07,11.58000,11.70000,11.51000,11.64000,1087871
106,2022-11-04,11.45000,11.58000,11.35000,11.49000,619841
107,2022-11-03,11.29000,11.43500,11.24000,11.34000,810184
108,2022-11-02,11.68000,11.84500,11.42500,11.44000,648521
109,2022-11-01,11.77000,11.83000,11.66000,11.75000,489837
110,2022-10-31,11.50000,11.76500,11.46000,11.70000,680340
111,2022-10-28,11.41000,11.63000,11.31000,11.60000,659374
112,2022-10-27,11.39000,11.55000,11.27000,11.31000,650740
113,2022-10-26,11.44000,11.47500,11.29000,11.33000,497431
114,2022-10-25,11.00000,11.37000,10.95000,11.34000,514039
115,2022-10-24,10.89000,11.05000,10.82000,11.03000,1023592
116,2022-10-21,10.67000,10.73000,10.56000,10.69000,2456424
117,2022-10-20,10.90000,10.97000,10.52500,10.59000,1206569
118,2022-10-19,10.84000,10.96000,10.81000,10.94000,1079906
119,2022-10-18,10.99000,11.22000,10.87000,10.92000,1359028
