,datetime,open,high,low,close,volume
0,2023-04-11,0.36200,0.39500,0.36200,0.39300,55900
1,2023-04-10,0.40000,0.41000,0.38000,0.39500,80200
2,2023-04-06,0.38800,0.41000,0.38000,0.40000,62700
3,2023-04-05,0.40900,0.42000,0.35700,0.40000,202800
4,2023-04-04,0.43000,0.46000,0.38900,0.41000,288700
5,2023-04-03,0.43000,0.46000,0.42100,0.42500,414600
6,2023-03-31,0.40500,0.41400,0.37000,0.38000,84800
7,2023-03-30,0.40000,0.42000,0.39000,0.39000,601100
8,2023-03-29,0.38200,0.41900,0.36000,0.37000,214800
9,2023-03-28,0.41500,0.44000,0.40000,0.40300,77500
10,2023-03-27,0.36800,0.41000,0.36000,0.39500,128800
11,2023-03-24,0.41400,0.43300,0.37500,0.37500,65700
12,2023-03-23,0.41500,0.45000,0.39200,0.40200,1216600
13,2023-03-22,0.42800,0.45000,0.40100,0.40100,30800
14,2023-03-21,0.41800,0.44000,0.40100,0.41400,25800
15,2023-03-20,0.42400,0.45000,0.41000,0.41300,77300
16,2023-03-17,0.49000,0.49000,0.45000,0.46000,61300
17,2023-03-16,0.41300,0.47800,0.40000,0.47000,138100
18,2023-03-15,0.44900,0.48500,0.37300,0.41300,118500
19,2023-03-14,0.42000,0.49400,0.42000,0.45100,116700
20,2023-03-13,0.42500,0.45500,0.41300,0.42000,130600
21,2023-03-10,0.48000,0.49000,0.41500,0.43000,159700
22,2023-03-09,0.49500,0.49500,0.46000,0.47300,32300
23,2023-03-08,0.52000,0.53700,0.48100,0.51000,40200
24,2023-03-07,0.50000,0.53000,0.46600,0.50300,75400
25,2023-03-06,0.55000,0.55000,0.48000,0.52000,78800
26,2023-03-03,0.50000,0.55000,0.46100,0.55000,253600
27,2023-03-02,0.46600,0.48900,0.45300,0.48900,103800
28,2023-03-01,0.41800,0.49900,0.41800,0.46400,407800
29,2023-02-28,0.42100,0.45500,0.40000,0.43000,279000
30,2023-02-27,0.43000,0.47400,0.39900,0.44300,290200
31,2023-02-24,0.43300,0.47900,0.40300,0.43900,505200
32,2023-02-23,0.55400,0.55400,0.45800,0.46100,352000
33,2023-02-22,0.53500,0.56900,0.47200,0.49000,543600
34,2023-02-21,0.53000,0.61000,0.50200,0.58800,1116000
35,2023-02-17,0.55500,0.60900,0.50300,0.59000,2517700
36,2023-02-16,0.73000,0.81400,0.54600,0.60000,62588500
37,2023-02-15,0.43000,0.43000,0.40000,0.41000,55400
38,2023-02-14,0.37000,0.42000,0.37000,0.41400,102500
39,2023-02-13,0.39900,0.39900,0.34500,0.37000,116000
40,2023-02-10,0.39900,0.41000,0.39000,0.39900,6500
41,2023-02-09,0.43000,0.44000,0.37000,0.39000,178900
42,2023-02-08,0.38000,0.44000,0.38000,0.44000,112700
43,2023-02-07,0.43500,0.43500,0.40600,0.40900,71600
44,2023-02-06,0.44000,0.44000,0.38200,0.42000,181500
45,2023-02-03,0.42900,0.45900,0.40000,0.41400,178900
46,2023-02-02,0.40000,0.45000,0.40000,0.42900,304000
47,2023-02-01,0.39800,0.44000,0.39100,0.42500,54300
48,2023-01-31,0.41500,0.43100,0.40600,0.40700,47600
49,2023-01-30,0.43100,0.44000,0.42100,0.42100,99500
50,2023-01-27,0.38100,0.46000,0.37000,0.44000,424800
51,2023-01-26,0.38400,0.38700,0.36100,0.37900,57700
52,2023-01-25,0.37900,0.39000,0.36000,0.38700,48300
53,2023-01-24,0.38000,0.39000,0.37000,0.38700,76200
54,2023-01-23,0.36000,0.39000,0.36000,0.39000,125400
55,2023-01-20,0.35800,0.37000,0.34000,0.36000,63900
56,2023-01-19,0.36900,0.37900,0.34000,0.36000,246500
57,2023-01-18,0.40600,0.42300,0.36000,0.36500,194300
58,2023-01-17,0.40000,0.46000,0.36000,0.37400,468600
59,2023-01-13,0.38700,0.42000,0.34100,0.40000,443700
60,2023-01-12,0.35400,0.39100,0.33900,0.38700,253600
61,2023-01-11,0.40800,0.42400,0.34000,0.35000,590300
62,2023-01-10,0.33000,0.38500,0.32000,0.38500,333800
63,2023-01-09,0.33200,0.33600,0.31000,0.32200,384600
64,2023-01-06,0.39400,0.39400,0.30100,0.31600,463600
65,2023-01-05,0.30000,0.35900,0.24200,0.35800,480000
