,datetime,open,high,low,close,volume
0,2023-04-11,10.21000,10.21000,10.20500,10.21000,14100
1,2023-04-10,10.21000,10.21000,10.21000,10.21000,43800
2,2023-04-06,10.21000,10.21000,10.17000,10.21000,97300
3,2023-04-05,10.21000,10.21000,10.21000,10.21000,67000
4,2023-04-04,10.21000,10.21000,10.21000,10.21000,4200
5,2023-04-03,10.24000,10.24000,10.21000,10.21000,400
6,2023-03-31,10.31000,10.31000,10.21000,10.21000,600
7,2023-03-30,10.25000,10.25000,10.19000,10.19000,1067900
8,2023-03-29,10.18000,10.19000,10.18000,10.18000,7800
9,2023-03-28,10.17000,10.17000,10.17000,10.17000,0
10,2023-03-27,10.17000,10.17000,10.17000,10.17000,0
11,2023-03-24,10.17000,10.17000,10.17000,10.17000,0
12,2023-03-23,10.20000,10.28500,10.17000,10.17000,38400
13,2023-03-22,10.27000,10.27000,10.27000,10.27000,300
14,2023-03-21,10.17000,10.17000,10.17000,10.17000,0
15,2023-03-20,10.17000,10.17000,10.17000,10.17000,0
16,2023-03-17,10.17000,10.17000,10.17000,10.17000,300
17,2023-03-16,10.26000,10.26000,10.17000,10.17000,2800
18,2023-03-15,10.17000,10.17000,10.17000,10.17000,0
19,2023-03-14,10.17000,10.17000,10.17000,10.17000,47500
20,2023-03-13,10.17000,10.17500,10.17000,10.17500,3600
21,2023-03-10,10.17000,10.17000,10.17000,10.17000,1100
22,2023-03-09,10.17000,10.17000,10.17000,10.17000,300
23,2023-03-08,10.17000,10.18000,10.16000,10.16000,154300
24,2023-03-07,10.17000,10.40000,10.15000,10.16000,25100
25,2023-03-06,10.16000,10.16000,10.15000,10.15000,31200
26,2023-03-03,10.16000,10.58000,10.14000,10.14000,32200
27,2023-03-02,10.30000,10.59500,10.13500,10.16000,22200
28,2023-03-01,10.13000,10.13000,10.13000,10.13000,600
29,2023-02-28,10.15500,10.15500,10.15500,10.15500,0
30,2023-02-27,10.13000,10.15500,10.13000,10.15500,257600
31,2023-02-24,10.14000,10.15000,10.14000,10.15000,2300
32,2023-02-23,10.11000,10.15000,10.11000,10.15000,22900
33,2023-02-22,10.14000,10.14000,10.13000,10.14000,27400
34,2023-02-21,10.11000,10.11000,10.11000,10.11000,25100
35,2023-02-16,10.14000,10.14000,10.11000,10.11000,25100
36,2023-02-14,10.10000,10.10000,10.10000,10.10000,1000
37,2023-02-13,10.20000,10.20000,10.17000,10.17000,300
38,2023-02-10,10.11000,10.11000,10.11000,10.11000,500
39,2023-02-06,10.10000,10.10000,10.10000,10.10000,1100
40,2023-01-31,10.09000,10.09000,10.09000,10.09000,17000
41,2023-01-30,10.11000,10.11000,10.09000,10.09000,6600
42,2023-01-27,10.11000,10.11000,10.07000,10.07000,1100
43,2023-01-26,10.10000,10.10000,10.07000,10.10000,2200
44,2023-01-25,10.09000,10.10000,10.06000,10.10000,600
45,2023-01-24,10.06000,10.08000,10.06000,10.08000,727400
46,2023-01-23,10.07000,10.07000,10.06000,10.06000,162800
47,2023-01-20,10.03000,10.06000,10.03000,10.06000,850100
48,2023-01-19,10.07000,10.07000,10.06000,10.06000,502500
49,2023-01-18,10.07000,10.07000,10.07000,10.07000,200
50,2023-01-17,10.00000,10.35000,10.00000,10.07000,900
51,2023-01-13,10.03000,10.03000,10.03000,10.03000,300
52,2023-01-12,10.03000,10.04000,10.03000,10.04000,400
53,2023-01-11,10.03000,10.05000,10.03000,10.05000,8900
54,2023-01-10,10.05500,10.05500,10.03000,10.03000,10800
55,2023-01-09,10.06000,10.06000,10.02000,10.04000,1410100
56,2023-01-06,10.02000,10.05000,10.01500,10.03000,609700
57,2023-01-05,10.03000,10.03000,10.00000,10.01000,83700
58,2023-01-04,10.04000,10.54000,10.01000,10.03000,25700
59,2023-01-03,10.05000,10.05000,10.02000,10.02500,2200
60,2022-12-30,10.05000,10.05000,9.97000,10.03000,3300
61,2022-12-28,10.05000,10.05000,10.05000,10.05000,100
62,2022-12-23,10.02000,10.02000,9.96000,9.96000,12600
63,2022-12-22,9.98000,10.00000,9.95000,9.96000,498600
64,2022-12-21,9.96000,10.00000,9.96000,9.96000,2200
65,2022-12-20,9.94000,9.94000,9.93000,9.93000,5700
66,2022-12-19,9.93000,9.94000,9.93000,9.94000,200
67,2022-12-16,9.94000,9.94000,9.94000,9.94000,600
68,2022-12-15,9.95000,9.95000,9.95000,9.95000,200
69,2022-12-14,9.93500,9.96000,9.93500,9.96000,2600
70,2022-12-13,9.93000,9.95000,9.93000,9.94000,16200
71,2022-12-12,9.94000,9.96000,9.94000,9.94000,2000
72,2022-12-07,9.92100,9.93000,9.92100,9.93000,700
73,2022-12-06,9.91000,9.91000,9.91000,9.91000,10700
74,2022-12-05,9.97000,9.97000,9.92000,9.92000,300
75,2022-12-02,9.91000,9.94000,9.91000,9.94000,2500
76,2022-12-01,9.92000,9.92000,9.92000,9.92000,1800
77,2022-11-30,9.92000,9.92000,9.92000,9.92000,9300
78,2022-11-22,9.90000,9.91000,9.90000,9.91000,4400
79,2022-11-21,9.90000,9.90000,9.90000,9.90000,600
80,2022-11-18,9.91000,9.91000,9.90000,9.90000,1400
81,2022-11-17,9.85000,9.90000,9.85000,9.90000,11500
82,2022-11-16,9.86000,9.86000,9.85000,9.85000,75200
83,2022-11-15,9.86000,9.86000,9.86000,9.86000,800
84,2022-11-14,9.89000,9.89000,9.89000,9.89000,100
85,2022-11-11,9.88000,9.88000,9.88000,9.88000,300
86,2022-11-09,9.90000,9.90000,9.90000,9.90000,100
87,2022-11-08,9.87000,9.88000,9.87000,9.88000,89600
88,2022-11-07,9.86000,9.87000,9.85000,9.85000,36700
89,2022-11-04,9.84000,9.84000,9.84000,9.84000,3200
90,2022-11-03,9.83000,9.83000,9.83000,9.83000,100
91,2022-11-02,9.82000,9.82000,9.82000,9.82000,100
92,2022-11-01,9.83000,9.83500,9.81000,9.83500,45800
93,2022-10-31,9.79000,9.79000,9.79000,9.79000,100
94,2022-10-28,9.84000,9.85000,9.84000,9.85000,18500
95,2022-10-27,9.88000,9.88000,9.84500,9.85000,13400
96,2022-10-26,9.85000,9.85000,9.85000,9.85000,100
97,2022-10-25,9.79000,9.79000,9.79000,9.79000,53000
98,2022-10-19,9.82000,9.83000,9.79000,9.79000,2200
99,2022-10-18,9.81000,9.81000,9.81000,9.81000,3100
100,2022-10-17,9.79000,9.79500,9.79000,9.79000,566000
101,2022-10-13,9.78000,9.79000,9.78000,9.79000,111100
102,2022-10-11,9.81000,9.83000,9.78000,9.78000,1289800
103,2022-10-06,9.78000,9.78000,9.78000,9.78000,150000
104,2022-10-05,9.76000,9.78000,9.76000,9.78000,24700
105,2022-10-04,9.74000,9.77000,9.74000,9.77000,17600
106,2022-10-03,9.84000,9.84000,9.74000,9.74000,6700
107,2022-09-30,9.76000,9.77000,9.74000,9.75500,123400
108,2022-09-29,9.76000,9.77000,9.72000,9.73000,513200
109,2022-09-28,9.74000,9.76000,9.74000,9.74000,402400
110,2022-09-27,9.74000,9.74000,9.71000,9.73000,47300
111,2022-09-26,9.67000,9.74000,9.67000,9.74000,800
112,2022-09-23,9.79000,9.79000,9.74000,9.74000,3700
113,2022-09-22,9.76000,9.76000,9.76000,9.76000,39000
114,2022-09-21,9.76500,9.79000,9.76000,9.76000,11200
115,2022-09-20,9.74000,9.74000,9.74000,9.74000,25000
116,2022-09-19,9.82000,9.82000,9.73000,9.73500,18500
117,2022-09-16,9.79000,9.79000,9.75000,9.75000,599900
118,2022-09-15,9.75000,9.75500,9.75000,9.75500,19300
119,2022-09-14,9.73000,9.75000,9.71000,9.74000,311500
120,2022-09-12,9.73000,9.76000,9.72000,9.76000,2500
121,2022-09-09,9.71000,9.71000,9.70000,9.70000,2800
122,2022-09-08,9.72000,9.72000,9.72000,9.72000,3100
123,2022-09-07,9.75500,9.75500,9.75000,9.75000,3300
124,2022-09-06,9.77000,9.77000,9.73000,9.76000,1050400
125,2022-09-02,9.73000,9.73000,9.73000,9.73000,600
126,2022-09-01,9.72000,9.72000,9.72000,9.72000,100
127,2022-08-30,9.70000,9.71000,9.70000,9.71000,213600
128,2022-08-26,9.70000,9.70000,9.70000,9.70000,11300
129,2022-08-25,9.72000,9.72000,9.72000,9.72000,500000
130,2022-08-24,9.66000,9.66000,9.66000,9.66000,600
131,2022-08-23,9.66000,9.66000,9.66000,9.66000,600
132,2022-08-22,9.64000,9.64000,9.64000,9.64000,200
133,2022-08-17,9.69000,9.69000,9.69000,9.69000,275000
134,2022-08-16,9.71000,9.71000,9.71000,9.71000,1700
135,2022-08-09,9.69000,9.69000,9.69000,9.69000,18400
136,2022-08-08,9.69000,9.69000,9.69000,9.69000,200500
137,2022-08-04,9.65000,9.65000,9.65000,9.65000,400
138,2022-08-03,9.73000,9.73000,9.73000,9.73000,5300
139,2022-08-02,9.71000,9.73000,9.71000,9.73000,176900
140,2022-08-01,9.72000,9.72000,9.70000,9.71000,328200
141,2022-07-28,9.72000,9.72000,9.70000,9.71000,380300
142,2022-07-27,9.70000,9.76000,9.70000,9.72000,54000
143,2022-07-20,9.69000,9.69000,9.67000,9.67000,275500
144,2022-07-19,9.67000,9.69000,9.67000,9.69000,973000
145,2022-07-18,9.70000,9.70000,9.70000,9.70000,0
146,2022-07-14,9.67000,9.70000,9.65000,9.70000,18000
147,2022-07-11,9.65000,9.67000,9.65000,9.66000,7300
148,2022-07-08,9.62000,9.62000,9.62000,9.62000,25000
149,2022-07-07,9.66000,9.66000,9.61000,9.61000,400
150,2022-07-05,9.65000,9.65000,9.63000,9.64000,1900
151,2022-06-30,9.64000,9.65500,9.63000,9.63000,20400
152,2022-06-28,9.64000,9.64000,9.64000,9.64000,200
153,2022-06-27,9.64500,9.65000,9.63000,9.63000,7800
154,2022-06-24,9.64000,9.64000,9.64000,9.64000,100
155,2022-06-22,9.64000,9.64000,9.64000,9.64000,100
156,2022-06-16,9.62000,9.62000,9.62000,9.62000,7400
157,2022-06-15,9.64000,9.65000,9.64000,9.65000,300
158,2022-06-13,9.66000,9.66000,9.66000,9.66000,300
159,2022-06-10,9.62000,9.62000,9.62000,9.62000,200
160,2022-06-09,9.62000,9.64000,9.62000,9.62000,24200
161,2022-06-08,9.62000,9.64000,9.62000,9.62000,7700
162,2022-06-07,9.65000,9.65000,9.65000,9.65000,200
163,2022-06-06,9.62000,9.64000,9.61000,9.64000,33800
164,2022-06-03,9.62000,9.62000,9.62000,9.62000,100000
165,2022-06-02,9.62000,9.62000,9.62000,9.62000,200
166,2022-06-01,9.64000,9.64000,9.62000,9.62000,27900
167,2022-05-31,9.68000,9.68000,9.60000,9.62000,889400
168,2022-05-26,9.66000,9.68000,9.66000,9.68000,30300
169,2022-05-23,9.66000,9.66000,9.66000,9.66000,100
170,2022-05-19,9.60000,9.60000,9.60000,9.60000,50200
