,datetime,open,high,low,close,volume
0,2023-04-11,105.70200,105.81000,105.39000,105.81000,1300
1,2023-04-10,106.93000,106.93000,105.07100,105.81000,10700
2,2023-04-06,105.37000,106.28000,105.37000,105.62500,11400
3,2023-04-05,105.00000,105.52000,104.93000,105.52000,13500
4,2023-04-04,103.49000,103.54000,103.19000,103.19000,4400
5,2023-04-03,103.89000,104.01000,103.51000,103.51000,53100
6,2023-03-31,104.04000,104.46000,103.31100,104.46000,44800
7,2023-03-30,103.81500,103.81500,103.41300,103.51000,36600
8,2023-03-29,103.00000,103.25000,102.49000,102.77000,11200
9,2023-03-28,102.37000,102.71000,101.96100,102.12500,3500
10,2023-03-27,101.80000,101.80000,101.03000,101.56200,4800
11,2023-03-24,99.65000,100.59000,99.65000,100.59000,5200
12,2023-03-23,99.49000,100.00000,98.75000,98.81000,17500
13,2023-03-22,101.14300,101.35000,100.85000,100.85000,3000
14,2023-03-21,102.82000,103.04000,101.59000,101.74000,210200
15,2023-03-20,103.85000,104.49000,103.45000,104.00000,19600
16,2023-03-17,103.65000,103.67000,103.07000,103.07000,1300
17,2023-03-16,104.79000,104.79000,103.62500,103.90000,28500
18,2023-03-15,103.11000,104.08000,103.11000,103.65000,10100
19,2023-03-14,104.06000,104.24000,103.40000,103.82000,19900
20,2023-03-13,101.88000,103.87000,101.88000,102.68400,14500
21,2023-03-10,102.77000,102.77000,100.49000,100.54000,25600
22,2023-03-09,103.54000,103.70000,102.52000,102.52000,6800
23,2023-03-08,102.83000,103.14000,102.83000,103.11200,1300
24,2023-03-07,103.40000,103.48000,102.07000,102.31500,2100
25,2023-03-06,103.65000,103.76000,102.66000,102.66000,2500
26,2023-03-03,102.15000,103.31000,102.15000,103.13000,3600
27,2023-03-02,101.03000,102.03000,100.73000,102.03000,7700
28,2023-03-01,101.99000,101.99000,100.85000,101.11000,55600
29,2023-02-28,102.46000,103.48000,102.12000,103.03000,62100
30,2023-02-27,105.05000,105.05000,102.82000,102.82000,36600
31,2023-02-24,105.55000,106.43000,105.55000,105.78000,2000
32,2023-02-23,106.15000,106.24500,105.85000,106.20000,28100
33,2023-02-22,104.77000,106.05000,104.77000,105.50000,5100
34,2023-02-21,103.77000,103.79000,103.55000,103.56000,28100
35,2023-02-17,104.06000,104.42300,104.06000,104.30000,6300
36,2023-02-16,102.76000,104.26600,102.50000,103.65000,31400
37,2023-02-15,103.43500,104.13000,103.21000,104.13000,3100
38,2023-02-14,104.73000,104.73000,103.59000,103.59000,13200
39,2023-02-13,103.80000,104.48000,103.75000,104.48000,21100
40,2023-02-10,102.05000,103.60800,102.05000,103.58800,27200
41,2023-02-09,103.60000,103.60000,102.07000,102.41800,5200
42,2023-02-08,103.98100,104.01000,102.83000,103.34000,2100
43,2023-02-07,103.74000,104.64000,103.60000,104.12000,139200
44,2023-02-06,104.01000,104.51000,103.34000,104.51000,4900
45,2023-02-03,104.92000,104.92000,102.45000,104.09600,17200
46,2023-02-02,105.47000,106.14100,105.35000,105.52000,2500
47,2023-02-01,105.15000,105.77000,105.15000,105.72000,52100
48,2023-01-31,104.48800,105.55000,104.46500,105.55000,7200
49,2023-01-30,104.60000,105.30000,104.46000,104.95000,4900
50,2023-01-27,104.47000,104.96000,104.39500,104.71000,4000
51,2023-01-26,104.06600,104.73000,104.06600,104.39700,55400
52,2023-01-25,103.22000,104.76000,103.22000,104.76000,36200
53,2023-01-24,103.39000,104.19000,103.00000,103.75000,14600
54,2023-01-23,103.67000,104.07000,103.24100,103.45000,224600
55,2023-01-20,102.28000,103.54300,102.21500,103.54300,10600
56,2023-01-19,102.85000,102.95000,102.27000,102.84000,13100
57,2023-01-18,104.44000,104.44000,103.31000,103.31000,31600
58,2023-01-17,105.82900,105.82900,104.54000,104.54000,118400
59,2023-01-13,104.93400,105.23200,104.73400,105.23200,7300
