,datetime,open,high,low,close,volume
0,2023-04-11,122.25000,122.58000,121.41000,121.72000,160000
1,2023-04-10,120.10000,122.74000,120.10000,121.70000,241100
2,2023-04-06,119.60000,121.08000,118.91000,120.64000,303300
3,2023-04-05,117.94000,119.44000,117.94000,119.39000,169200
4,2023-04-04,121.64000,121.64000,118.42000,119.10000,199900
5,2023-04-03,121.00000,121.35000,119.75000,121.11000,124800
6,2023-03-31,119.86000,121.72000,119.18000,121.55000,222200
7,2023-03-30,118.78000,119.40000,118.00000,118.68000,140100
8,2023-03-29,118.05000,118.84000,117.20000,118.00000,124500
9,2023-03-28,116.83000,118.47000,116.83000,117.35000,96600
10,2023-03-27,116.79000,117.73000,116.27000,117.22000,135700
11,2023-03-24,113.61000,116.10000,112.79000,115.74000,158100
12,2023-03-23,116.41000,118.25000,114.15000,114.56000,258700
13,2023-03-22,119.95000,120.00000,116.37000,116.44000,216100
14,2023-03-21,120.70000,121.05000,118.55000,119.82000,207300
15,2023-03-20,117.53000,120.14000,117.19000,118.57000,245100
16,2023-03-17,118.69000,119.32000,115.21000,116.34000,1467600
17,2023-03-16,116.17000,119.66000,115.58000,119.01000,264200
18,2023-03-15,116.68000,117.77000,113.83000,116.96000,381500
19,2023-03-14,120.19000,120.66000,116.97000,118.88000,367200
20,2023-03-13,116.89000,118.15000,114.76000,117.12000,494200
21,2023-03-10,120.87000,121.04000,118.15000,118.56000,281000
22,2023-03-09,122.69000,123.25500,121.12000,121.16000,175380
23,2023-03-08,123.43000,124.15000,122.10000,122.79000,121600
24,2023-03-07,124.14000,124.90000,122.79000,123.35000,140600
25,2023-03-06,122.95000,124.16000,122.56000,124.14000,144800
26,2023-03-03,124.46000,124.46000,122.73000,123.39000,138584
27,2023-03-02,122.82000,124.07000,122.76000,124.03000,139989
28,2023-03-01,123.17000,125.36000,122.72000,123.92000,251574
29,2023-02-28,122.65000,125.70000,122.65000,124.09000,375567
30,2023-02-27,123.05000,124.76000,122.37000,122.65000,312463
31,2023-02-24,122.59000,123.31000,120.51000,122.09000,166802
32,2023-02-23,124.98000,125.26000,122.50000,123.86000,198821
33,2023-02-22,124.05000,125.89000,123.32820,124.49000,220828
34,2023-02-21,124.72000,125.61000,124.29000,124.29000,247972
35,2023-02-17,123.55000,125.95000,123.55000,125.59000,320176
36,2023-02-16,118.88000,123.68000,118.88000,123.18000,265973
37,2023-02-15,118.18000,120.28000,118.18000,120.19000,222875
38,2023-02-14,118.75000,119.84000,117.65000,119.22000,241370
39,2023-02-13,118.18000,118.91000,117.41000,118.77000,276388
40,2023-02-10,116.61000,119.12500,116.46000,118.00000,324996
41,2023-02-09,115.00000,119.00000,114.21000,116.63000,321278
42,2023-02-08,112.43000,113.17000,110.51000,111.79000,183258
43,2023-02-07,110.78000,113.38000,110.07240,113.38000,175103
44,2023-02-06,112.63000,113.32500,111.00000,112.00000,147718
45,2023-02-03,112.46000,114.45000,112.46000,113.26000,207336
46,2023-02-02,110.83000,114.00000,110.26510,113.88000,162672
47,2023-02-01,109.46000,110.98000,107.92000,110.41000,203328
48,2023-01-31,108.86000,110.70000,108.43000,110.55000,176793
49,2023-01-30,107.95000,109.85000,107.95000,108.77000,142724
50,2023-01-27,110.85000,111.23000,108.28000,108.60000,206288
51,2023-01-26,111.10000,111.92000,110.50000,111.54000,161343
52,2023-01-25,113.49000,113.49000,110.50000,110.83000,144759
53,2023-01-24,115.68000,115.68000,113.95000,114.95000,77592
54,2023-01-23,114.02000,115.96000,113.73500,115.12000,99184
55,2023-01-20,112.02000,114.29500,110.35000,114.16000,159050
56,2023-01-19,110.27000,112.51000,110.13000,111.67000,162397
57,2023-01-18,112.61000,113.84230,110.92000,110.97000,112143
58,2023-01-17,114.99000,115.71000,112.33000,112.36000,177664
59,2023-01-13,113.22000,115.15460,113.22000,114.81000,176301
60,2023-01-12,114.48000,115.23000,113.54680,114.36000,92608
61,2023-01-11,111.42000,114.40000,111.42000,114.28000,97730
62,2023-01-10,109.36000,111.72000,108.12000,111.38000,100224
63,2023-01-09,113.32000,113.38000,109.44000,110.04000,114499
64,2023-01-06,111.38000,113.45000,110.87000,113.20000,183087
65,2023-01-05,112.67000,112.67000,109.72000,110.19000,111230
66,2023-01-04,114.28000,114.49000,112.53000,113.45000,98787
67,2023-01-03,114.62000,114.93000,111.96000,113.02000,125397
68,2022-12-30,113.73000,114.02000,112.63000,113.60000,87013
69,2022-12-29,113.13000,115.33000,113.13000,114.58000,106568
70,2022-12-28,115.00000,115.35000,112.26000,112.33000,106388
71,2022-12-27,114.54000,115.73000,113.60000,114.19000,66553
72,2022-12-23,111.89000,115.25000,111.60000,114.94000,84489
73,2022-12-22,114.61000,114.61000,111.47000,112.50000,119359
74,2022-12-21,113.30000,115.74500,112.71500,115.59000,163348
75,2022-12-20,111.43000,112.95500,110.66000,112.68000,183242
76,2022-12-19,112.96000,112.96000,110.95000,111.10000,194572
77,2022-12-16,113.05000,113.44500,111.45500,112.75000,306914
78,2022-12-15,116.77000,116.77000,113.37990,113.80000,176543
79,2022-12-14,119.00000,121.71990,117.93000,117.98000,259849
80,2022-12-13,120.00000,120.87000,117.71000,119.68000,249776
81,2022-12-12,116.18000,117.95000,115.92000,117.90000,202675
82,2022-12-09,114.83000,116.52000,114.83000,115.97000,101186
83,2022-12-08,115.87000,116.27000,114.96000,115.72000,90340
84,2022-12-07,116.36000,118.00000,115.33500,115.92000,141751
85,2022-12-06,117.97000,118.63000,116.11500,117.06000,116127
86,2022-12-05,116.95000,118.08000,115.17000,118.06000,237411
87,2022-12-02,115.82000,119.32500,115.66000,118.78000,142176
88,2022-12-01,119.23000,119.82090,116.66000,118.39000,108761
89,2022-11-30,115.33000,118.58000,114.33000,118.55000,210891
90,2022-11-29,116.90000,117.70000,115.22000,115.22000,124034
91,2022-11-28,117.17000,118.98000,116.87500,117.21000,101584
92,2022-11-25,118.21000,119.21000,117.96000,118.28000,53732
93,2022-11-23,118.88000,119.42000,117.55000,118.21000,98628
94,2022-11-22,119.59000,119.94000,117.76000,119.32000,129505
95,2022-11-21,116.87000,119.39000,116.85000,118.70000,177330
96,2022-11-18,117.53000,117.80990,116.12000,117.46000,174948
97,2022-11-17,114.81000,116.33000,113.75560,115.45000,131527
98,2022-11-16,114.83000,117.32000,114.61000,116.11000,134324
99,2022-11-15,115.77000,117.40000,114.83000,115.18000,166961
100,2022-11-14,113.31000,116.20000,112.97000,114.27000,168722
101,2022-11-11,118.60000,118.71000,114.59100,114.70000,151745
102,2022-11-10,117.61000,118.30000,116.14000,117.92000,214278
103,2022-11-09,114.32000,115.04000,112.05000,112.37000,166229
104,2022-11-08,114.55000,116.67000,114.11500,115.11000,132215
105,2022-11-07,113.68000,114.99000,113.32000,114.24000,157999
106,2022-11-04,115.54000,115.54000,110.86000,113.26000,171257
107,2022-11-03,113.15000,115.82000,112.21000,114.39000,166345
108,2022-11-02,119.73000,120.22000,113.86000,114.35000,323061
109,2022-11-01,119.99000,121.75000,118.40500,120.60000,338411
110,2022-10-31,113.00000,120.40000,110.65000,118.02000,716782
111,2022-10-28,107.75000,108.66000,105.73500,107.14000,475703
112,2022-10-27,106.05000,108.34000,105.19000,106.99000,476147
113,2022-10-26,109.96000,110.42500,105.50000,105.64000,249790
114,2022-10-25,109.34000,110.96000,108.73000,109.11000,213234
115,2022-10-24,109.25000,109.72000,107.98000,109.24000,167570
116,2022-10-21,107.50000,109.17000,106.89000,108.26000,188157
117,2022-10-20,111.18000,111.62000,107.17000,107.82000,159220
118,2022-10-19,111.09000,111.83000,108.62000,110.75000,155500
119,2022-10-18,112.00000,113.30000,111.15000,111.80000,158657
120,2022-10-17,108.37000,110.11000,107.80000,109.86000,153454
121,2022-10-14,111.24000,111.74000,105.90000,106.00000,137290
122,2022-10-13,105.48000,111.27000,104.48000,109.99000,185369
123,2022-10-12,107.96000,108.72000,107.00000,107.12000,192139
124,2022-10-11,104.16000,107.74990,103.84000,107.40000,348478
125,2022-10-10,103.55000,104.75000,101.92000,104.71000,263617
126,2022-10-07,104.72000,104.72000,101.62500,102.92000,336263
127,2022-10-06,106.78000,106.97000,104.65000,105.39000,177617
128,2022-10-05,107.39000,107.87000,106.50000,107.22000,285518
129,2022-10-04,107.49000,108.98000,107.29000,108.69000,185270
130,2022-10-03,103.56000,105.75000,101.20000,105.56000,226238
131,2022-09-30,103.83000,105.90000,101.85000,102.09000,203839
132,2022-09-29,104.86000,105.29500,102.37000,103.77000,132217
133,2022-09-28,104.29000,106.92000,104.05000,106.18000,196260
134,2022-09-27,104.44000,105.45000,102.02000,103.55000,164920
135,2022-09-26,102.98000,104.71500,102.25000,103.42000,216709
136,2022-09-23,104.65000,104.65000,101.79000,103.05000,260663
137,2022-09-22,106.24000,106.68000,105.08000,105.99000,149579
138,2022-09-21,108.31000,109.99000,106.99000,107.15000,145057
139,2022-09-20,107.55000,107.55000,105.59000,107.13000,111402
140,2022-09-19,105.16000,108.97500,105.16000,108.71000,109693
141,2022-09-16,103.51000,106.44000,102.79000,106.22000,370028
142,2022-09-15,106.19000,106.68000,104.13000,104.67000,176008
143,2022-09-14,108.70000,108.70000,105.22000,106.63000,224716
144,2022-09-13,109.69000,112.18000,107.17500,108.04000,166194
145,2022-09-12,112.66000,113.26000,111.49000,112.26000,125421
146,2022-09-09,110.47000,112.99000,110.47000,112.67000,153142
147,2022-09-08,108.60000,110.08000,108.21000,110.00000,131279
148,2022-09-07,108.58000,110.65000,107.55000,110.54000,168797
149,2022-09-06,108.84000,108.84000,106.71000,108.17000,243637
150,2022-09-02,110.87000,111.02000,106.90000,108.00000,146348
151,2022-09-01,107.59000,109.53900,107.59000,109.38000,133780
152,2022-08-31,108.09000,110.00000,108.09000,109.02000,144765
153,2022-08-30,110.60000,110.60000,107.50000,108.37000,138410
154,2022-08-29,110.73000,111.18500,107.96000,110.78000,277083
155,2022-08-26,114.12000,114.12000,110.03000,112.00000,219794
156,2022-08-25,113.13000,114.01000,111.99000,113.99000,135334
157,2022-08-24,110.95000,112.99000,110.95000,112.88000,86292
158,2022-08-23,111.93000,113.24000,111.55000,111.66000,111485
159,2022-08-22,112.31000,113.29000,111.22000,112.62000,92669
160,2022-08-19,113.89000,113.89000,112.62000,113.66000,135142
161,2022-08-18,114.62000,115.22500,113.96000,114.23000,83142
162,2022-08-17,114.42000,115.54500,113.87000,114.54000,116555
163,2022-08-16,113.79000,116.07000,113.79000,115.78000,116480
164,2022-08-15,114.12000,116.10000,113.77000,115.05000,149178
165,2022-08-12,111.62000,115.96000,111.17000,115.90000,131766
166,2022-08-11,111.95000,112.12000,111.04240,111.42000,101053
167,2022-08-10,110.00000,111.19000,109.06000,111.04000,108491
168,2022-08-09,109.58000,109.83000,107.79000,109.17000,139503
169,2022-08-08,109.10000,109.85000,107.63000,109.27000,122143
170,2022-08-05,107.93000,109.70000,107.26000,109.34000,120610
171,2022-08-04,109.07000,110.27500,108.51000,109.40000,131557
172,2022-08-03,109.00000,111.24000,107.70000,109.95000,235041
173,2022-08-02,113.20000,114.50000,108.42000,108.81000,234455
174,2022-08-01,108.67000,111.72500,107.45000,111.01000,217897
175,2022-07-29,108.42000,110.23000,108.42000,109.74000,170568
176,2022-07-28,107.11000,109.42000,106.35000,108.78000,103768
177,2022-07-27,103.75000,106.60000,103.58000,106.41000,163715
178,2022-07-26,103.14000,104.38000,102.09000,103.10000,171310
179,2022-07-25,104.10000,104.79000,103.26000,103.83000,80450
180,2022-07-22,105.06000,106.14000,102.41000,103.89000,156829
181,2022-07-21,102.56000,105.63000,101.79000,105.59000,150064
182,2022-07-20,102.16000,103.62000,101.60000,103.53000,118144
183,2022-07-19,98.86000,102.25000,97.89000,101.81000,132436
184,2022-07-18,101.37000,101.99000,98.13000,98.25000,105379
185,2022-07-15,101.49000,101.49000,98.93000,100.38000,240802
186,2022-07-14,98.73000,100.66000,98.03500,99.98000,96528
187,2022-07-13,99.38000,100.93000,99.20500,99.92000,81682
188,2022-07-12,101.82000,103.59000,99.75500,100.42000,95195
189,2022-07-11,102.32000,102.98000,101.13000,101.68000,116194
190,2022-07-08,102.67000,104.27000,102.02000,102.98000,95355
191,2022-07-07,102.31000,103.65000,102.00000,103.17000,97064
192,2022-07-06,100.42000,101.99000,99.68500,101.46000,120727
