,datetime,open,high,low,close,volume
0,2023-04-11,33.93000,34.32000,33.35000,33.51000,346700
1,2023-04-10,33.54000,34.26000,33.37000,33.98000,551100
2,2023-04-06,35.16000,35.16000,33.66000,33.69000,605800
3,2023-04-05,36.99000,36.99000,34.85000,34.85000,603100
4,2023-04-04,37.18000,37.40000,36.66000,36.72000,407100
5,2023-04-03,37.60000,37.78000,36.55000,36.97000,476200
6,2023-03-31,37.18000,37.79000,37.18000,37.58000,475200
7,2023-03-30,37.27000,37.35000,36.73000,37.07000,652000
8,2023-03-29,37.97000,37.97000,36.94000,37.13000,575600
9,2023-03-28,38.20000,38.73000,37.57000,37.71000,351800
10,2023-03-27,38.18000,39.22000,37.71000,38.34000,601600
11,2023-03-24,37.04000,38.63000,36.55000,37.81000,792100
12,2023-03-23,36.34000,37.49000,36.05000,37.42000,821800
13,2023-03-22,35.12000,36.46000,34.88000,35.99000,518500
14,2023-03-21,34.58000,35.35000,34.58000,35.12000,760500
15,2023-03-20,33.57000,34.05000,33.30000,34.00000,423700
16,2023-03-17,34.39000,34.81000,32.60000,33.54000,1178600
17,2023-03-16,31.89000,34.38000,31.89000,34.38000,517400
18,2023-03-15,30.76000,32.39000,30.47000,32.37000,525200
19,2023-03-14,31.13000,31.57000,30.70000,31.47000,340800
20,2023-03-13,29.99000,30.74000,29.61000,30.37000,346700
21,2023-03-10,32.51000,32.51000,29.84000,30.39000,510300
22,2023-03-09,33.87000,33.92000,32.37000,32.51000,264400
23,2023-03-08,33.80000,34.73000,33.12000,33.87000,464800
24,2023-03-07,32.50000,33.49000,32.41000,33.02000,313700
25,2023-03-06,33.27000,33.27000,32.40000,32.46000,451600
26,2023-03-03,32.66000,32.83000,32.13000,32.74000,349700
27,2023-03-02,31.90000,32.28000,30.67000,32.25000,422000
28,2023-03-01,31.76000,32.64000,31.45000,31.81000,276100
29,2023-02-28,31.67000,32.02000,31.55000,31.60000,545300
30,2023-02-27,31.99000,32.24000,31.43000,31.67000,277500
31,2023-02-24,31.48000,32.04000,31.05000,31.69000,260900
32,2023-02-23,32.13000,32.27000,31.52000,31.81000,343900
33,2023-02-22,31.64000,32.00000,31.34000,31.86000,359300
34,2023-02-21,32.58000,32.97000,31.52000,31.68000,249100
35,2023-02-17,32.95000,33.32000,32.66000,32.70000,235600
36,2023-02-16,32.38000,33.05000,32.19000,32.87000,383400
37,2023-02-15,32.08000,33.06000,31.75000,32.78000,371300
38,2023-02-14,33.50000,33.72000,32.08000,32.12000,478600
39,2023-02-13,32.17000,33.66000,31.55000,33.42000,785600
40,2023-02-10,31.61000,32.25000,31.51000,31.65000,280600
41,2023-02-09,32.94000,34.15000,31.31000,31.61000,1144100
42,2023-02-08,35.88000,35.91000,33.90000,34.24000,342800
43,2023-02-07,35.40000,35.68000,33.98000,35.58000,400000
44,2023-02-06,32.00000,36.78000,31.87000,34.37000,1523500
45,2023-02-03,31.15000,31.20000,30.37000,31.14000,299700
46,2023-02-02,29.65000,30.93000,29.65000,30.71000,186200
47,2023-02-01,29.29000,29.64000,28.62000,29.58000,170300
48,2023-01-31,28.70000,29.39000,28.46000,28.97000,237200
49,2023-01-30,29.06000,29.46000,28.67000,28.74000,132500
50,2023-01-27,29.42000,29.42000,28.62000,29.26000,104400
51,2023-01-26,30.66000,30.88000,29.34000,29.51000,154600
52,2023-01-25,29.87000,30.40000,29.46000,30.34000,188800
53,2023-01-24,30.40000,30.44000,29.58000,29.97000,102500
54,2023-01-23,30.07000,30.60000,29.61000,30.39000,240100
55,2023-01-20,29.56000,29.98000,29.16000,29.84000,103900
56,2023-01-19,28.73000,29.43000,28.53000,29.22000,110000
