,datetime,open,high,low,close,volume
0,2023-04-11,10.39000,10.39000,10.35000,10.35000,1700
1,2023-04-10,10.51500,10.51500,10.51500,10.51500,200
2,2023-04-06,10.34000,10.34000,10.34000,10.34000,0
3,2023-04-05,10.34000,10.34000,10.34000,10.34000,0
4,2023-04-04,10.34000,10.34000,10.34000,10.34000,0
5,2023-04-03,10.34000,10.34000,10.34000,10.34000,0
6,2023-03-31,10.34000,10.34000,10.34000,10.34000,0
7,2023-03-30,10.34000,10.34000,10.34000,10.34000,0
8,2023-03-29,10.62000,10.70000,10.34000,10.34000,8400
9,2023-03-28,10.34000,10.34000,10.34000,10.34000,200
10,2023-03-27,10.41000,10.41000,10.41000,10.41000,0
11,2023-03-24,10.41000,10.41000,10.41000,10.41000,0
12,2023-03-23,10.31000,10.75000,10.31000,10.41000,800
13,2023-03-22,10.30000,10.30000,10.30000,10.30000,2200
14,2023-03-21,10.41000,10.41000,10.33000,10.38700,400
15,2023-03-20,10.54000,10.54000,10.38800,10.38800,400
16,2023-03-17,10.34000,10.34000,10.34000,10.34000,100
17,2023-03-16,10.33000,10.52000,10.33000,10.43300,2700
18,2023-03-15,10.38000,10.70000,10.33000,10.40300,18100
19,2023-03-14,10.39000,10.46000,10.32000,10.32000,8800
20,2023-03-13,10.26000,10.30000,10.26000,10.30000,3900
21,2023-03-10,10.42000,10.70900,10.26000,10.26000,3600
22,2023-03-09,10.16000,10.62000,10.12000,10.28000,20400
23,2023-03-08,10.27000,10.50000,10.26800,10.50000,900
24,2023-03-07,10.28000,10.28000,10.28000,10.28000,0
25,2023-03-06,10.25000,10.28000,10.25000,10.28000,23800
26,2023-03-03,10.27000,10.27500,10.27000,10.27000,256100
27,2023-03-02,10.27500,10.28000,10.27000,10.27000,17300
28,2023-03-01,10.26000,10.26000,10.25000,10.25000,202200
29,2023-02-28,10.26000,10.26000,10.26000,10.26000,0
30,2023-02-27,10.26000,10.26000,10.26000,10.26000,1300
31,2023-02-24,10.26000,10.26000,10.26000,10.26000,1400
32,2023-02-23,10.24000,10.24000,10.24000,10.24000,0
33,2023-02-22,10.25000,10.25000,10.24000,10.24000,1500
34,2023-02-21,10.22500,10.25000,10.22500,10.25000,5000
35,2023-02-17,10.23000,10.23000,10.21000,10.23000,1200
36,2023-02-16,10.23000,10.23000,10.23000,10.23000,1800
37,2023-02-15,10.23000,10.23000,10.22500,10.22500,5900
38,2023-02-13,10.22500,10.22500,10.22500,10.22500,400
39,2023-02-10,10.20000,10.20000,10.20000,10.20000,300
40,2023-02-06,10.22500,10.22500,10.22500,10.22500,200
41,2023-02-03,10.20000,10.20000,10.20000,10.20000,3600
42,2023-02-01,10.22000,10.22000,10.20000,10.21000,25000
43,2023-01-30,10.22000,10.22500,10.22000,10.22500,5700
44,2023-01-27,10.21000,10.22000,10.21000,10.22000,40500
45,2023-01-26,10.21000,10.21000,10.21000,10.21000,32100
46,2023-01-25,10.20000,10.20000,10.20000,10.20000,4900
47,2023-01-24,10.21000,10.21000,10.21000,10.21000,60200
48,2023-01-20,10.21000,10.21000,10.21000,10.21000,120700
49,2023-01-19,10.20000,10.21000,10.19000,10.21000,141000
50,2023-01-18,10.19500,10.21000,10.19500,10.20000,44500
51,2023-01-17,10.21000,10.21000,10.21000,10.21000,70900
52,2023-01-13,10.17000,10.17000,10.17000,10.17000,2100
53,2023-01-11,10.16000,10.16000,10.16000,10.16000,42000
54,2023-01-10,10.21000,10.21000,10.21000,10.21000,200
55,2023-01-09,10.21000,10.21000,10.14000,10.14000,2500
56,2023-01-06,10.20000,10.20000,10.19000,10.19000,9200
57,2023-01-05,10.19000,10.19000,10.18000,10.19000,115500
58,2023-01-04,10.18000,10.19000,10.17000,10.17000,5500
59,2022-12-30,10.13000,10.13000,10.13000,10.13000,100
60,2022-12-29,10.15500,10.15500,10.13000,10.13000,854000
61,2022-12-28,10.13200,10.15000,10.13000,10.15000,20200
62,2022-12-27,10.13000,10.14000,10.10000,10.10000,11200
63,2022-12-20,10.09000,10.12000,10.08000,10.09000,81700
64,2022-12-19,10.10000,10.10000,10.09000,10.10000,100000
65,2022-12-16,10.10000,10.10000,10.03000,10.03000,1000
66,2022-12-15,10.05000,10.05000,10.05000,10.05000,14800
67,2022-12-12,10.05000,10.05000,10.05000,10.05000,3000
68,2022-12-07,10.04000,10.04000,10.04000,10.04000,1100
69,2022-12-05,10.02500,10.02500,10.01000,10.01000,300
70,2022-12-02,10.04000,10.04000,10.01000,10.01000,400
71,2022-11-30,10.03000,10.03000,10.03000,10.03000,1000
72,2022-11-28,10.01000,10.02000,10.01000,10.02000,4200
73,2022-11-23,9.99000,9.99000,9.99000,9.99000,2200
74,2022-11-22,10.01000,10.01000,10.01000,10.01000,100
75,2022-11-17,9.98000,10.01000,9.98000,10.01000,5400
76,2022-11-16,10.00000,10.00000,10.00000,10.00000,4700
77,2022-11-15,9.99000,9.99000,9.99000,9.99000,100
78,2022-11-14,9.99000,9.99000,9.99000,9.99000,2000
79,2022-11-11,9.98500,9.98500,9.98500,9.98500,121800
80,2022-11-10,10.00000,10.00000,10.00000,10.00000,2100
81,2022-11-09,9.98800,9.98800,9.98800,9.98800,500
82,2022-11-08,9.96000,9.98800,9.96000,9.98800,1900
83,2022-11-07,9.95000,9.97930,9.95000,9.97930,0
84,2022-11-04,9.98000,9.98000,9.97500,9.97900,500
85,2022-11-01,9.96000,9.99700,9.96000,9.99700,94500
86,2022-10-28,9.95000,9.95000,9.95000,9.95000,27800
87,2022-10-26,9.97000,9.98000,9.97000,9.98000,5400
88,2022-10-25,9.95500,9.96000,9.93000,9.96000,32200
89,2022-10-20,9.95500,9.95500,9.95500,9.95500,412
90,2022-10-18,9.94000,9.94000,9.94000,9.94000,1400
91,2022-10-17,9.95500,9.95500,9.95500,9.95500,400
92,2022-10-14,9.96000,9.96000,9.96000,9.96000,146200
93,2022-10-13,9.95000,9.95000,9.95000,9.95000,100
94,2022-10-12,9.95000,9.95000,9.95000,9.95000,143400
95,2022-10-10,9.94000,9.94000,9.90000,9.94000,7
96,2022-10-07,9.94000,9.94000,9.90000,9.94000,8
97,2022-10-06,9.94000,9.95000,9.90000,9.90000,7
98,2022-09-30,9.94000,9.94000,9.94000,9.94000,38300
99,2022-09-29,9.94000,9.94000,9.94000,9.94000,45300
100,2022-09-27,9.94000,9.94000,9.94000,9.94000,100
101,2022-09-26,9.93000,9.93000,9.93000,9.93000,100
102,2022-09-23,9.93000,9.93000,9.93000,9.93000,100
103,2022-09-21,9.92000,9.93000,9.92000,9.93000,2
104,2022-09-20,9.92000,9.92000,9.92000,9.92000,100
105,2022-09-16,9.91000,9.93000,9.89000,9.89000,1
106,2022-09-15,9.91000,9.93000,9.89000,9.89000,700
107,2022-09-09,9.89000,9.94000,9.89000,9.89000,4
108,2022-09-06,9.92000,9.94000,9.92000,9.92000,1
109,2022-09-02,9.89000,9.89000,9.89000,9.89000,500
110,2022-08-31,9.90000,9.94000,9.90000,9.90000,1
111,2022-08-26,9.95000,9.95000,9.94000,9.94000,0
112,2022-08-24,9.90000,9.90000,9.90000,9.90000,11100
113,2022-08-22,9.92000,9.95000,9.90000,9.90000,46
114,2022-08-19,9.91000,9.95000,9.91000,9.91000,0
115,2022-08-18,9.91000,9.94000,9.91000,9.91000,0
116,2022-08-17,9.91000,9.94000,9.91000,9.91000,1
117,2022-08-15,9.92000,9.95000,9.90000,9.90000,500
118,2022-08-11,9.90000,9.92000,9.90000,9.90000,1800
119,2022-07-28,9.90000,9.90000,9.90000,9.90000,5700
120,2022-07-25,9.90000,9.90000,9.90000,9.90000,4600
121,2022-07-18,9.89000,9.89000,9.89000,9.89000,100
122,2022-07-12,9.90000,9.90000,9.90000,9.90000,200
123,2022-07-11,9.88500,9.88500,9.87000,9.87000,176000
124,2022-07-01,9.85500,9.87000,9.85500,9.87000,800
125,2022-06-30,9.90000,9.90000,9.90000,9.90000,400
126,2022-06-28,9.83000,9.90000,9.83000,9.90000,300
127,2022-06-23,9.88000,9.88000,9.88000,9.88000,5400
128,2022-06-22,9.84000,9.90000,9.84000,9.90000,200
129,2022-06-21,9.95000,9.95000,9.95000,9.95000,100
130,2022-06-16,9.85000,9.85000,9.85000,9.85000,100
131,2022-06-15,9.90000,9.90000,9.90000,9.90000,100
132,2022-06-13,9.86000,9.86000,9.86000,9.86000,100
133,2022-06-10,9.86000,9.86000,9.86000,9.86000,400
134,2022-06-09,9.86000,9.86000,9.86000,9.86000,33800
135,2022-06-07,9.87000,9.87500,9.87000,9.87500,1100
136,2022-06-06,9.88000,9.88000,9.88000,9.88000,200
137,2022-06-03,9.86000,9.86000,9.86000,9.86000,100
138,2022-05-26,9.86000,9.86000,9.86000,9.86000,100
139,2022-05-25,9.87000,9.87000,9.87000,9.87000,300
140,2022-05-13,9.85500,9.87000,9.84000,9.87000,2500
141,2022-05-12,9.86000,9.86000,9.84000,9.84000,25600
142,2022-05-06,9.89000,9.89000,9.89000,9.89000,450000
143,2022-05-05,9.90000,9.90000,9.90000,9.90000,11600
144,2022-04-28,9.93000,9.93000,9.91000,9.91000,2800
145,2022-04-27,9.88000,9.91000,9.88000,9.91000,7100
146,2022-04-25,9.88500,9.88500,9.88000,9.88000,1000
147,2022-04-22,9.87000,9.89000,9.87000,9.89000,8100
148,2022-04-21,9.88000,9.88000,9.88000,9.88000,25000
149,2022-04-14,9.84000,9.84000,9.84000,9.84000,500000
150,2022-04-08,9.85000,9.85000,9.84000,9.84000,500
151,2022-04-07,9.84000,9.84000,9.84000,9.84000,100
152,2022-03-30,9.82000,9.82000,9.82000,9.82000,259600
153,2022-03-29,9.84000,9.84000,9.84000,9.84000,100
154,2022-03-24,9.84000,9.84000,9.84000,9.84000,10000
155,2022-03-18,9.83000,9.84000,9.83000,9.84000,4800
156,2022-03-16,9.83000,9.83000,9.83000,9.83000,8400
157,2022-03-15,9.83000,9.83000,9.82000,9.82000,4900
158,2022-03-11,9.81000,9.81000,9.81000,9.81000,154200
159,2022-03-10,9.81000,9.81000,9.81000,9.81000,1000
160,2022-03-09,9.83000,9.83000,9.81000,9.81000,11300
161,2022-03-08,9.81000,9.81000,9.81000,9.81000,200
162,2022-03-07,9.81000,9.81000,9.80000,9.80000,17600
163,2022-03-04,9.83000,9.83000,9.80000,9.80000,99800
164,2022-03-03,9.80000,9.83000,9.80000,9.80000,215200
165,2022-03-02,9.83000,9.84000,9.82000,9.83000,797600
166,2022-03-01,9.82000,9.84000,9.82000,9.84000,192700
167,2022-02-28,9.79000,9.79000,9.79000,9.79000,488200
