,datetime,open,high,low,close,volume
0,2023-04-11,36.81000,37.92000,36.81000,37.86000,4600
1,2023-04-10,36.27000,37.06000,36.27000,37.05000,5300
2,2023-04-06,36.68000,36.86000,35.41000,36.43000,5600
3,2023-04-05,36.76000,36.98000,36.39000,36.78000,5200
4,2023-04-04,37.18000,37.41000,36.61000,36.94000,22900
5,2023-04-03,36.70000,37.86000,36.70000,37.35000,11100
6,2023-03-31,36.72000,37.69000,36.23000,36.67000,5500
7,2023-03-30,35.72000,36.44000,35.72000,36.44000,14100
8,2023-03-29,35.12000,35.73000,35.00000,35.73000,9100
9,2023-03-28,34.81000,35.17000,34.60000,35.16000,14700
10,2023-03-27,34.29000,35.12000,34.17000,34.85000,16000
11,2023-03-24,32.17000,34.35000,32.17000,34.16000,9700
12,2023-03-23,34.76000,35.29000,33.86000,33.86000,10000
13,2023-03-22,35.10000,35.60000,34.63000,34.64000,19100
14,2023-03-21,35.60000,36.31000,35.27000,35.40000,15000
15,2023-03-20,35.39000,35.75000,35.12000,35.50000,14600
16,2023-03-17,35.76000,35.81000,35.08000,35.46000,3400
17,2023-03-16,36.07000,36.17000,35.42000,36.17000,7300
18,2023-03-15,36.91000,36.91000,35.93000,36.16000,5300
19,2023-03-14,37.25000,38.08000,37.25000,37.50000,6100
20,2023-03-13,37.62000,38.47000,36.45000,37.25000,4700
21,2023-03-10,39.13000,39.52000,37.70000,38.00000,6900
22,2023-03-09,39.70000,40.00000,39.22000,39.22000,5600
23,2023-03-08,39.21000,39.63000,39.11000,39.63000,1000
24,2023-03-07,40.22000,40.22000,39.10000,39.79000,4400
25,2023-03-06,40.36000,40.65000,39.81000,40.22000,4700
26,2023-03-03,39.79000,40.79000,39.79000,39.93000,27500
27,2023-03-02,38.79000,39.80000,38.62000,39.80000,7700
28,2023-03-01,38.91000,39.78000,38.82000,38.82000,1400
29,2023-02-28,39.56000,39.60000,38.79000,38.90000,4500
30,2023-02-27,39.00000,39.69000,38.98000,39.47000,2600
31,2023-02-24,38.77000,39.11000,38.51000,38.88000,6800
32,2023-02-23,39.36000,39.44000,38.90000,39.08000,6000
33,2023-02-22,39.02000,39.59000,38.89000,39.32000,7200
34,2023-02-21,39.85000,39.85000,39.22000,39.30000,13000
35,2023-02-17,40.50000,40.51000,39.73000,39.94000,9400
36,2023-02-16,40.73000,41.18000,40.54000,40.56000,7700
37,2023-02-15,40.41000,41.26000,40.41000,41.20000,5900
38,2023-02-14,39.78000,41.28000,39.78000,41.28000,9300
39,2023-02-13,40.02000,41.60000,40.02000,40.94000,7600
40,2023-02-10,40.20000,41.23000,40.20000,40.62000,8900
41,2023-02-09,40.92000,41.35000,40.19000,40.30000,7600
42,2023-02-08,40.60000,42.27000,40.51000,40.65000,13000
43,2023-02-07,40.29000,41.48000,40.03000,40.89000,8400
44,2023-02-06,41.42000,41.50000,40.43000,40.51000,9900
45,2023-02-03,41.70000,42.33000,41.14000,41.54000,16600
46,2023-02-02,41.80000,42.57000,41.58000,41.91000,6400
47,2023-02-01,41.37000,42.00000,40.44000,41.78000,11700
48,2023-01-31,40.77000,41.21000,40.32000,41.18000,21500
49,2023-01-30,40.78000,41.30000,40.02000,40.56000,6100
50,2023-01-27,40.75000,41.22000,40.63000,41.22000,5400
51,2023-01-26,40.00000,41.14000,40.00000,40.83000,4800
52,2023-01-25,40.55000,40.87000,39.24000,40.72000,9600
