,datetime,open,high,low,close,volume
0,2023-04-11,19.98000,20.30000,19.95000,20.03000,9200
1,2023-04-10,20.09000,20.10000,19.53800,19.98000,8100
2,2023-04-06,20.09900,20.26000,19.79000,19.93000,8500
3,2023-04-05,20.31000,20.35000,20.17000,20.26000,9600
4,2023-04-04,20.42000,20.43000,20.12000,20.43000,5700
5,2023-04-03,20.43000,20.43000,19.89500,20.42000,5800
6,2023-03-31,19.69000,20.65000,19.63900,20.44000,25100
7,2023-03-30,19.13000,19.85000,19.13000,19.75000,8100
8,2023-03-29,19.82000,19.82000,19.40000,19.40000,11900
9,2023-03-28,19.79000,19.92000,19.53000,19.53000,5900
10,2023-03-27,20.00000,20.00000,19.59000,19.59000,11500
11,2023-03-24,19.36000,20.08400,19.11000,19.96000,19000
12,2023-03-23,20.05000,20.05000,19.28000,19.28000,23300
13,2023-03-22,20.10000,20.15000,19.95000,19.95000,5800
14,2023-03-21,20.15000,20.25000,19.90000,20.01000,8600
15,2023-03-20,20.66000,21.00000,19.99000,20.00000,25200
16,2023-03-17,21.00000,21.11000,20.50000,20.55000,23800
17,2023-03-16,20.29000,21.25000,20.29000,21.16000,8700
18,2023-03-15,20.55600,20.78000,20.10000,20.78000,11300
19,2023-03-14,20.71000,21.61900,20.37000,20.87000,5500
20,2023-03-13,20.90000,20.95000,20.06900,20.37000,22300
21,2023-03-10,21.76000,21.77600,21.01000,21.05000,34100
22,2023-03-09,22.10000,22.10000,21.63000,21.80000,14800
23,2023-03-08,22.75000,22.85000,22.02600,22.35000,19200
24,2023-03-07,22.49000,22.80000,22.36000,22.70000,3200
25,2023-03-06,22.30000,22.60000,22.27000,22.58000,10400
26,2023-03-03,22.89000,22.89000,22.22500,22.30000,13500
27,2023-03-02,22.70000,22.89000,22.55100,22.87000,5100
28,2023-03-01,22.68000,22.93200,22.32000,22.80000,9600
29,2023-02-28,22.13000,22.96000,22.13000,22.96000,26600
30,2023-02-27,22.18000,22.33000,22.00000,22.02000,21500
31,2023-02-24,21.80500,22.01000,21.80500,22.01000,3700
32,2023-02-23,21.60000,22.50000,21.60000,22.30000,5000
33,2023-02-22,21.87000,22.07000,21.61000,21.97500,8300
34,2023-02-21,22.38000,22.38000,21.74700,21.82000,11100
35,2023-02-17,22.30000,22.70000,22.01000,22.70000,5200
36,2023-02-16,22.50000,22.74000,22.50000,22.50000,5300
37,2023-02-15,22.59000,22.69000,22.46700,22.51600,6600
38,2023-02-14,22.40000,22.70000,22.35000,22.64000,6500
39,2023-02-13,22.33000,22.50000,22.21000,22.48000,5700
40,2023-02-10,22.22000,22.46000,21.70000,22.45000,25300
41,2023-02-09,22.73000,22.73000,22.25000,22.25000,6800
42,2023-02-08,22.06000,22.50000,22.00000,22.50000,9900
43,2023-02-07,22.70000,22.71300,22.47000,22.48100,14000
44,2023-02-06,23.00000,23.20000,22.56400,22.81500,28900
45,2023-02-03,23.00000,23.10000,22.85000,22.87000,8900
46,2023-02-02,23.76000,23.82000,22.54000,23.14000,7100
47,2023-02-01,22.35000,23.20000,22.35000,22.98000,8500
48,2023-01-31,22.54000,22.65000,21.76000,22.23000,14000
49,2023-01-30,22.26000,22.51000,22.25000,22.40000,25900
50,2023-01-27,22.38900,22.45000,22.21000,22.28000,11400
51,2023-01-26,22.40000,22.78000,22.16000,22.28500,11800
52,2023-01-25,22.33000,22.61100,22.32500,22.49000,7200
53,2023-01-24,22.40000,22.49700,22.25000,22.37200,9800
54,2023-01-23,22.05000,22.54000,22.05000,22.40000,23900
55,2023-01-20,21.97500,22.14000,21.97500,22.04000,9100
56,2023-01-19,22.03000,22.12000,21.85300,22.11000,8300
57,2023-01-18,22.01000,22.29500,21.77000,21.98000,15800
58,2023-01-17,21.25000,21.90000,21.25000,21.74000,21000
59,2023-01-13,20.60000,21.50700,20.35800,21.21000,22100
60,2023-01-12,20.50000,20.76300,20.40000,20.65000,11500
61,2023-01-11,20.30000,20.78000,20.30000,20.46800,20000
62,2023-01-10,20.00000,20.33000,19.72500,20.22500,11200
63,2023-01-09,19.65000,20.15400,19.65000,19.80000,26900
64,2023-01-06,19.33000,19.64000,19.28600,19.55000,9500
65,2023-01-05,19.01000,19.26000,18.84500,19.25000,12300
66,2023-01-04,18.70000,19.50000,18.69000,19.03000,18600
67,2023-01-03,18.43000,18.74000,18.43000,18.70000,8100
68,2022-12-30,18.45000,18.57000,18.30000,18.31000,31400
69,2022-12-29,17.63000,18.62100,17.55000,18.57100,79700
70,2022-12-28,18.95000,19.12000,18.00000,18.59000,43900
71,2022-12-27,18.85000,19.20000,18.85000,18.95000,22400
72,2022-12-23,19.25000,19.44000,18.74000,18.88500,9600
73,2022-12-22,19.64000,19.70000,19.25000,19.25000,6100
74,2022-12-21,19.50000,19.60000,19.50000,19.57000,4100
75,2022-12-20,19.75000,19.75000,19.34800,19.60000,7600
76,2022-12-19,19.68000,20.00000,19.65000,19.74500,7300
77,2022-12-16,20.04000,20.04000,19.66000,19.68800,9700
78,2022-12-15,19.80000,20.15000,19.73000,20.00000,7800
79,2022-12-14,20.15000,20.30000,19.68200,20.05000,15600
80,2022-12-13,20.37000,20.37000,20.00000,20.18000,9600
81,2022-12-12,20.18000,20.42000,20.00000,20.15000,14200
