,datetime,open,high,low,close,volume
0,2023-04-11,0.45000,0.45000,0.43000,0.44000,1300
1,2023-04-10,0.47100,0.47100,0.41100,0.42500,33000
2,2023-04-06,0.48900,0.48900,0.43000,0.44000,17900
3,2023-04-05,0.42000,0.49000,0.40300,0.47100,8000
4,2023-04-04,0.49000,0.49000,0.42300,0.44400,3100
5,2023-04-03,0.43000,0.48000,0.41300,0.44500,26900
6,2023-03-31,0.45000,0.49000,0.42000,0.42000,12400
7,2023-03-30,0.43400,0.43500,0.42100,0.42100,3700
8,2023-03-29,0.41000,0.48900,0.41000,0.43500,9000
9,2023-03-28,0.44000,0.44300,0.40200,0.44000,12500
10,2023-03-27,0.43500,0.43500,0.40100,0.42800,22100
11,2023-03-24,0.41000,0.48300,0.40100,0.43200,45200
12,2023-03-23,0.50000,0.50000,0.45000,0.46000,29200
13,2023-03-22,0.48500,0.50000,0.47000,0.50000,24100
14,2023-03-21,0.49700,0.50000,0.47700,0.50000,16400
15,2023-03-20,0.48000,0.48200,0.47400,0.47400,24500
16,2023-03-17,0.48000,0.48000,0.46500,0.47100,28400
17,2023-03-16,0.49000,0.50500,0.47900,0.48000,21300
18,2023-03-15,0.47800,0.50100,0.47800,0.50000,19100
19,2023-03-14,0.54800,0.54800,0.47000,0.47800,23800
20,2023-03-13,0.50000,0.54000,0.46500,0.47000,135700
21,2023-03-10,0.53000,0.54000,0.51100,0.54000,13800
22,2023-03-09,0.55700,0.58000,0.55700,0.55700,15100
23,2023-03-08,0.55200,0.59000,0.53000,0.54000,8000
24,2023-03-07,0.58500,0.59100,0.56000,0.56900,11900
25,2023-03-06,0.58500,0.61000,0.58500,0.58700,5200
26,2023-03-03,0.56000,0.59000,0.56000,0.58500,9600
27,2023-03-02,0.55000,0.57000,0.55000,0.56000,14500
28,2023-03-01,0.54000,0.59400,0.54000,0.54100,56400
29,2023-02-28,0.54400,0.56000,0.52100,0.54000,29900
30,2023-02-27,0.63200,0.66300,0.52000,0.58000,62700
31,2023-02-24,0.64100,0.68000,0.63000,0.67600,17600
32,2023-02-23,0.67000,0.67000,0.64000,0.64100,30300
33,2023-02-22,0.66000,0.67400,0.65800,0.67000,10800
34,2023-02-21,0.71300,0.73500,0.64200,0.70600,105500
35,2023-02-17,0.75800,0.75900,0.69000,0.75000,56800
36,2023-02-16,0.70000,0.71000,0.66000,0.70200,82000
37,2023-02-15,0.71800,0.72000,0.66700,0.70500,86900
38,2023-02-14,0.77000,0.78900,0.68100,0.74000,96000
39,2023-02-13,0.88000,0.89100,0.71700,0.78900,354700
40,2023-02-10,0.64000,0.89500,0.60000,0.88000,1338300
41,2023-02-09,0.71000,0.73000,0.59000,0.66000,218000
42,2023-02-08,0.64100,0.78400,0.64100,0.73000,364700
43,2023-02-07,0.69000,0.70000,0.66000,0.66300,21600
44,2023-02-06,0.65000,0.70000,0.64100,0.70000,11500
45,2023-02-03,0.68000,0.70000,0.66000,0.68900,24200
46,2023-02-02,0.70000,0.70000,0.67800,0.68500,255800
47,2023-02-01,0.70000,0.70000,0.65000,0.68300,24900
48,2023-01-31,0.65000,0.70000,0.65000,0.68000,19100
49,2023-01-30,0.66000,0.70000,0.64000,0.68000,9400
50,2023-01-27,0.72000,0.72000,0.69000,0.70000,66500
51,2023-01-26,0.71000,0.71000,0.68000,0.71000,226200
52,2023-01-25,0.67000,0.71000,0.67000,0.71000,13100
53,2023-01-24,0.68000,0.71000,0.67000,0.71000,73200
54,2023-01-23,0.70500,0.71000,0.69000,0.69000,8600
55,2023-01-20,0.73000,0.73000,0.61200,0.68200,26000
56,2023-01-19,0.68400,0.72000,0.67000,0.72000,6700
57,2023-01-18,0.74700,0.77000,0.66000,0.73100,65900
58,2023-01-17,0.76000,0.80000,0.70000,0.77000,191600
59,2023-01-13,0.67300,0.77000,0.66100,0.73700,92100
60,2023-01-12,0.58100,0.70000,0.58100,0.69000,56500
61,2023-01-11,0.69300,0.70000,0.55000,0.59900,88000
62,2023-01-10,0.67000,0.71000,0.65100,0.66000,48000
63,2023-01-09,0.64100,0.68000,0.61000,0.65300,105600
64,2023-01-06,0.52000,0.67000,0.51100,0.60700,343600
65,2023-01-05,0.48000,0.54600,0.46000,0.51300,97600
66,2023-01-04,0.54500,0.54500,0.45000,0.45300,107400
