,datetime,open,high,low,close,volume
0,2023-04-11,0.11000,0.11300,0.10000,0.10700,1373800
1,2023-04-10,0.11600,0.11900,0.10400,0.10800,1899800
2,2023-04-06,0.11900,0.12300,0.11500,0.11700,588200
3,2023-04-05,0.12000,0.12300,0.12000,0.12100,461000
4,2023-04-04,0.13300,0.13500,0.11500,0.12500,734100
5,2023-04-03,0.16000,0.16000,0.13500,0.13900,1051500
6,2023-03-31,0.13400,0.16000,0.12900,0.14600,2465300
7,2023-03-30,0.12900,0.13500,0.11900,0.13400,1253400
8,2023-03-29,0.12200,0.12600,0.11300,0.12000,963700
9,2023-03-28,0.11800,0.12300,0.11000,0.11100,1138300
10,2023-03-27,0.12200,0.12600,0.11200,0.12000,485500
11,2023-03-24,0.12400,0.12400,0.11100,0.11600,1107800
12,2023-03-23,0.13000,0.13000,0.11900,0.12000,858800
13,2023-03-22,0.12000,0.13400,0.12000,0.12200,523900
14,2023-03-21,0.11000,0.13500,0.11000,0.12300,803200
15,2023-03-20,0.12000,0.12400,0.11000,0.11100,738600
16,2023-03-17,0.11600,0.12700,0.11000,0.11800,923100
17,2023-03-16,0.12800,0.12800,0.11500,0.12000,735300
18,2023-03-15,0.12800,0.13100,0.11800,0.11900,1296800
19,2023-03-14,0.13000,0.14300,0.12700,0.12700,1084600
20,2023-03-13,0.13600,0.13800,0.11600,0.12800,1641500
21,2023-03-10,0.15300,0.15300,0.13000,0.14100,1468800
22,2023-03-09,0.15000,0.15400,0.14800,0.15200,459400
23,2023-03-08,0.15100,0.15900,0.14900,0.15100,859700
24,2023-03-07,0.16600,0.16600,0.15200,0.15400,741800
25,2023-03-06,0.15000,0.16000,0.15000,0.15900,783600
26,2023-03-03,0.15000,0.15500,0.14800,0.15000,657200
27,2023-03-02,0.15000,0.15900,0.14500,0.15000,1152600
28,2023-03-01,0.15900,0.15900,0.15000,0.15200,903800
29,2023-02-28,0.16600,0.16600,0.15200,0.15900,1173100
30,2023-02-27,0.15600,0.15600,0.14300,0.15200,710100
31,2023-02-24,0.16700,0.16700,0.14100,0.14900,1469300
32,2023-02-23,0.16500,0.16600,0.15900,0.16000,458200
33,2023-02-22,0.16400,0.17300,0.16000,0.16600,643800
34,2023-02-21,0.18500,0.18500,0.16000,0.16200,1072100
35,2023-02-17,0.18900,0.18900,0.16500,0.17500,492300
36,2023-02-16,0.18700,0.18900,0.17600,0.18200,986100
37,2023-02-15,0.17500,0.19000,0.16500,0.18300,1797100
38,2023-02-14,0.17300,0.17400,0.16600,0.16800,708900
39,2023-02-13,0.17000,0.17400,0.16500,0.16900,627800
40,2023-02-10,0.17900,0.18000,0.16300,0.16600,762400
41,2023-02-09,0.18000,0.18000,0.16000,0.16600,2435500
42,2023-02-08,0.19000,0.19500,0.17700,0.18000,927700
43,2023-02-07,0.19000,0.19600,0.18500,0.18900,685900
44,2023-02-06,0.19200,0.19400,0.18200,0.18900,1021300
45,2023-02-03,0.19000,0.20000,0.19000,0.19100,816900
46,2023-02-02,0.19900,0.21000,0.18900,0.18900,2578400
47,2023-02-01,0.19600,0.19600,0.19000,0.19400,1039100
48,2023-01-31,0.18900,0.19700,0.18500,0.19400,1138500
49,2023-01-30,0.19500,0.19600,0.18000,0.18500,759300
50,2023-01-27,0.19000,0.19900,0.18500,0.19000,1507100
51,2023-01-26,0.19900,0.19900,0.19000,0.19200,872700
52,2023-01-25,0.17000,0.19500,0.17000,0.19000,1925800
53,2023-01-24,0.18000,0.18500,0.16800,0.17100,3617700
54,2023-01-23,0.19900,0.20700,0.18600,0.19300,2655300
55,2023-01-20,0.19400,0.20300,0.18600,0.19900,867000
56,2023-01-19,0.21800,0.21800,0.18700,0.19000,1316000
57,2023-01-18,0.22000,0.22900,0.21100,0.21100,1404900
58,2023-01-17,0.23100,0.23200,0.21500,0.22000,1739300
59,2023-01-13,0.21400,0.24000,0.21200,0.22200,2413300
60,2023-01-12,0.21000,0.23000,0.20900,0.22200,1668600
61,2023-01-11,0.21000,0.22700,0.20000,0.21000,1550500
62,2023-01-10,0.20900,0.21000,0.19000,0.20000,573400
63,2023-01-09,0.23000,0.23000,0.20000,0.20200,1267100
64,2023-01-06,0.20200,0.22800,0.20100,0.21300,1431300
65,2023-01-05,0.20500,0.21000,0.18800,0.20000,819800
66,2023-01-04,0.19900,0.21000,0.19100,0.20800,1009700
67,2023-01-03,0.20200,0.21200,0.18700,0.19100,772800
68,2022-12-30,0.16100,0.20500,0.16100,0.19700,1570700
69,2022-12-29,0.16100,0.17000,0.15500,0.16600,1329000
70,2022-12-28,0.16400,0.16400,0.15000,0.15800,1027000
71,2022-12-27,0.17700,0.17700,0.16000,0.16000,774900
72,2022-12-23,0.17000,0.18000,0.17000,0.17300,365000
73,2022-12-22,0.17700,0.18500,0.16700,0.17000,783800
74,2022-12-21,0.17100,0.19000,0.17100,0.18000,678000
75,2022-12-20,0.19000,0.19000,0.17200,0.17600,774200
76,2022-12-19,0.17800,0.19900,0.17800,0.18100,917200
77,2022-12-16,0.20500,0.20500,0.18200,0.18800,699700
78,2022-12-15,0.20500,0.21500,0.19000,0.19000,1049200
79,2022-12-14,0.20000,0.20900,0.19700,0.19700,466100
80,2022-12-13,0.21300,0.21500,0.19500,0.19900,837400
81,2022-12-12,0.21800,0.22000,0.19700,0.20000,824700
82,2022-12-09,0.19900,0.22000,0.19900,0.21800,346500
83,2022-12-08,0.20000,0.21000,0.18900,0.19900,393800
84,2022-12-07,0.20400,0.20400,0.19000,0.19300,542300
85,2022-12-06,0.22000,0.22500,0.19200,0.19700,836000
86,2022-12-05,0.23000,0.23000,0.21000,0.21400,563000
87,2022-12-02,0.21000,0.24000,0.20100,0.22000,2338200
88,2022-12-01,0.19800,0.22000,0.19100,0.21500,1524400
89,2022-11-30,0.18400,0.19200,0.17000,0.18600,1823100
90,2022-11-29,0.19600,0.19600,0.16900,0.18200,1229200
91,2022-11-28,0.20400,0.20500,0.18500,0.19000,1133500
92,2022-11-25,0.20900,0.20900,0.19500,0.20400,433800
93,2022-11-23,0.21000,0.21100,0.19500,0.20000,1628800
94,2022-11-22,0.24200,0.24200,0.21500,0.21600,771700
95,2022-11-21,0.24000,0.24300,0.22000,0.23600,1127700
96,2022-11-18,0.25000,0.25000,0.23900,0.24400,679600
97,2022-11-17,0.23400,0.24500,0.23400,0.23900,564000
98,2022-11-16,0.23300,0.24900,0.23300,0.23900,561100
99,2022-11-15,0.25500,0.26000,0.24000,0.24500,1277100
100,2022-11-14,0.26000,0.26000,0.23500,0.24700,4428200
101,2022-11-11,0.27000,0.27000,0.24400,0.26400,2776600
102,2022-11-10,0.27000,0.27000,0.24300,0.25100,1718200
103,2022-11-09,0.27100,0.27100,0.23500,0.23700,940300
104,2022-11-08,0.27700,0.28000,0.24100,0.24700,1601000
105,2022-11-07,0.31000,0.31000,0.26100,0.27900,801900
106,2022-11-04,0.29000,0.31000,0.28000,0.29600,1274600
107,2022-11-03,0.28600,0.29300,0.24200,0.28800,7327500
108,2022-11-02,0.40000,0.40000,0.36000,0.37600,1263500
109,2022-11-01,0.40000,0.42000,0.37500,0.38400,782500
110,2022-10-31,0.40000,0.41300,0.39000,0.39800,448900
111,2022-10-28,0.39000,0.41300,0.39000,0.40400,742000
112,2022-10-27,0.41000,0.41900,0.39000,0.40000,661000
113,2022-10-26,0.41500,0.43000,0.40500,0.40900,762000
114,2022-10-25,0.40000,0.42000,0.39000,0.41300,688400
115,2022-10-24,0.40800,0.41300,0.38000,0.39000,713000
116,2022-10-21,0.41000,0.43900,0.40000,0.40000,722400
117,2022-10-20,0.40000,0.46200,0.39900,0.42000,1080500
118,2022-10-19,0.39000,0.41800,0.38200,0.40000,635800
119,2022-10-18,0.39000,0.40000,0.37100,0.39000,1248000
120,2022-10-17,0.39700,0.40000,0.37100,0.38900,891300
