,datetime,open,high,low,close,volume
0,2023-04-11,22.41000,22.55000,22.25000,22.46000,44100
1,2023-04-10,22.35000,22.50000,22.09000,22.46000,63000
2,2023-04-06,22.31000,22.46000,22.03000,22.39000,32700
3,2023-04-05,22.21000,22.57000,22.04000,22.16000,60100
4,2023-04-04,23.11000,23.11000,22.21000,22.31000,65800
5,2023-04-03,22.94000,23.05000,22.65000,22.95000,92000
6,2023-03-31,22.78000,23.01000,22.53000,22.93000,131400
7,2023-03-30,22.51000,22.68000,22.39000,22.54000,70600
8,2023-03-29,22.14000,22.36000,22.14000,22.36000,31649
9,2023-03-28,22.00000,22.09000,21.72010,22.08000,45667
10,2023-03-27,22.41000,22.50000,22.08000,22.09000,54537
11,2023-03-24,21.52000,22.41000,21.32000,22.26000,68372
12,2023-03-23,22.28000,22.54000,21.85000,21.98000,62131
13,2023-03-22,22.90000,23.06000,22.16000,22.17000,50274
14,2023-03-21,23.04000,23.39690,22.79000,22.98000,38397
15,2023-03-20,22.46000,23.00000,22.46000,22.79000,76263
16,2023-03-17,22.56000,22.77000,21.98710,22.28000,120986
17,2023-03-16,22.50000,22.96000,21.86000,22.55000,59507
18,2023-03-15,22.02000,22.89000,21.96000,22.69000,57769
19,2023-03-14,22.02000,22.96000,21.70000,22.50000,84326
20,2023-03-13,20.32000,21.27000,20.32000,21.21000,79878
21,2023-03-10,21.75000,21.97000,20.58720,20.71000,79000
22,2023-03-09,22.53000,22.53000,21.94000,21.96000,37046
23,2023-03-08,22.13000,22.57000,22.12010,22.41000,43967
24,2023-03-07,22.80000,22.80000,22.12000,22.23000,25364
25,2023-03-06,22.80000,22.82440,22.53000,22.66000,69823
26,2023-03-03,22.65000,22.90000,22.57930,22.86000,42405
27,2023-03-02,22.51000,22.66000,22.47000,22.62000,29064
28,2023-03-01,22.50000,22.60000,22.22000,22.57000,36792
29,2023-02-28,22.70000,23.08000,22.62000,22.65000,82008
30,2023-02-27,23.08000,23.21000,22.53100,22.85000,51142
31,2023-02-24,22.95000,23.09000,22.65000,22.84000,50527
32,2023-02-23,22.93000,23.43800,22.92590,23.13000,21574
33,2023-02-22,23.18000,23.35000,22.84000,22.91000,63423
34,2023-02-21,23.46000,23.62850,23.08000,23.11000,44380
35,2023-02-17,23.66000,23.86000,23.53000,23.73000,37038
36,2023-02-16,23.15000,23.84000,23.10000,23.55000,47395
37,2023-02-15,23.42000,23.62880,23.32000,23.56000,24963
38,2023-02-14,23.62000,23.77000,23.32000,23.44000,49334
39,2023-02-13,23.67000,24.00000,23.67000,23.86000,31667
40,2023-02-10,23.41000,23.83000,23.33020,23.66000,70471
41,2023-02-09,24.34000,24.45000,23.55000,23.62000,41521
42,2023-02-08,23.87000,24.16990,23.76210,24.04000,47578
43,2023-02-07,24.05000,24.31000,23.72080,24.10000,41592
44,2023-02-06,24.30000,24.30000,23.86000,24.00000,36546
45,2023-02-03,24.34000,24.49000,23.98000,24.43000,46254
46,2023-02-02,24.15000,24.72940,24.15000,24.47000,43939
47,2023-02-01,24.20000,24.35000,23.69000,24.11000,46883
