,datetime,open,high,low,close,volume
0,2023-04-11,875.25000,878.23999,869.87000,871.03998,320700
1,2023-04-10,860.03003,870.67999,859.78998,869.75000,333000
2,2023-04-06,856.02002,864.31000,855.88000,861.13000,251100
3,2023-04-05,864.17999,868.21002,855.23999,858.34998,360400
4,2023-04-04,866.46002,867.46002,855.40997,864.44000,364700
5,2023-04-03,851.66998,869.65002,851.21997,867.95001,352500
6,2023-03-31,843.09998,850.00000,842.88000,848.97998,404400
7,2023-03-30,833.89001,842.76001,833.32001,841.50000,292100
8,2023-03-29,829.70001,832.09003,821.62000,832.08002,331900
9,2023-03-28,819.70001,832.17999,819.70001,828.84998,307900
10,2023-03-27,811.32001,821.71997,811.17999,819.03998,378800
11,2023-03-24,803.69000,813.81000,800.40002,810.76001,314200
12,2023-03-23,807.70001,810.16998,795.75000,801.38000,356700
13,2023-03-22,819.12000,825.32001,808.46002,808.96997,343600
14,2023-03-21,821.73999,823.41998,814.53998,819.63000,363100
15,2023-03-20,798.07001,819.00000,798.07001,816.06000,443100
16,2023-03-17,816.53003,817.27002,795.78998,797.87000,665700
17,2023-03-16,813.02002,822.78003,811.96997,819.52002,427500
18,2023-03-15,815.79999,820.96997,809.62000,818.26001,367200
19,2023-03-14,818.21997,827.40002,813.35999,821.22998,420200
20,2023-03-13,814.87000,835.00000,814.87000,818.22998,422400
21,2023-03-10,822.31000,833.02002,819.21002,819.91998,433200
22,2023-03-09,833.16998,838.10999,819.77002,822.32001,309485
23,2023-03-08,828.75000,833.00000,823.84998,830.56000,286800
24,2023-03-07,840.62000,844.59998,825.22998,828.71997,345700
25,2023-03-06,840.00000,847.53998,837.63000,839.44000,444600
26,2023-03-03,839.64001,840.88000,829.27002,838.03003,411300
27,2023-03-02,825.03003,843.77002,821.96997,840.89001,505600
28,2023-03-01,822.69000,828.40997,812.29999,824.21997,444300
29,2023-02-28,845.13000,847.39001,828.40002,830.09998,567600
30,2023-02-27,837.67999,846.42999,833.84003,845.96002,422900
31,2023-02-24,832.41998,838.34003,830.47998,831.82001,324500
32,2023-02-23,847.75000,847.75000,831.69000,841.15997,363700
33,2023-02-22,859.08002,860.20001,839.77002,842.51001,501600
34,2023-02-21,865.29999,868.75000,859.35999,860.13000,500100
35,2023-02-17,865.34003,873.94000,861.29999,873.01001,585500
36,2023-02-16,852.21997,865.79999,852.12000,862.00000,622600
37,2023-02-15,857.97998,864.25000,857.65997,861.22998,557400
38,2023-02-14,850.06000,865.02002,845.00000,861.00000,958100
39,2023-02-13,825.32001,849.88000,820.09003,849.48999,708300
40,2023-02-10,820.40997,843.37000,820.40997,825.32001,674500
41,2023-02-09,806.20001,822.50000,782.50000,817.00000,990800
42,2023-02-08,792.59003,796.78998,776.42999,787.35999,909100
43,2023-02-07,805.01001,805.33002,788.19000,801.02002,687300
44,2023-02-06,795.28003,810.10999,794.20001,809.45001,532600
45,2023-02-03,804.71997,811.65997,792.14001,794.84003,388200
46,2023-02-02,810.27002,813.23999,800.26001,805.65997,458300
47,2023-02-01,788.56000,814.76001,784.71997,807.92999,515200
48,2023-01-31,796.65002,802.38000,785.23999,792.34998,413500
49,2023-01-30,777.00000,797.40002,776.95001,789.63000,473500
50,2023-01-27,797.26001,800.56000,767.27002,771.16998,905400
51,2023-01-26,804.59998,811.19000,799.89001,800.63000,354300
52,2023-01-25,797.96002,804.97998,790.52002,800.46997,362300
53,2023-01-24,794.84003,806.78998,791.06000,799.09003,404100
54,2023-01-23,792.58002,796.73999,784.03003,794.40002,491900
55,2023-01-20,792.89001,794.37000,787.15002,793.38000,429600
56,2023-01-19,806.75000,812.03003,792.48999,793.72998,348700
57,2023-01-18,807.40002,815.19000,803.81000,805.08002,351900
58,2023-01-17,816.28998,821.64001,807.54999,809.73999,299900
59,2023-01-13,806.26001,816.96997,806.01001,815.46997,325000
60,2023-01-12,826.14001,826.14001,808.81000,810.84998,517900
61,2023-01-11,830.23999,834.59003,824.07001,825.50000,339700
62,2023-01-10,828.71002,833.01001,820.59998,826.88000,350800
63,2023-01-09,839.83002,844.97998,826.83002,828.71002,334600
64,2023-01-06,846.67999,856.57001,839.00000,842.52002,420200
65,2023-01-05,824.70001,837.15002,823.67999,834.28998,366600
66,2023-01-04,846.02002,850.71997,824.25000,826.73999,499200
67,2023-01-03,842.42999,843.88000,833.51001,840.71997,455500
68,2022-12-30,840.52002,844.31000,839.46997,844.03003,283400
69,2022-12-29,847.45001,849.40002,841.29999,843.65997,265700
70,2022-12-28,842.38000,851.19000,840.28003,844.62000,334000
71,2022-12-27,837.21002,847.51001,836.23999,843.84003,265200
72,2022-12-23,823.78003,835.41998,823.00000,833.54999,188400
73,2022-12-22,834.65002,834.65002,821.12000,823.78003,372600
74,2022-12-21,826.73999,836.29999,819.34998,833.62000,398600
75,2022-12-20,820.57001,831.13000,815.92999,823.63000,432300
76,2022-12-19,811.34998,828.01001,811.10999,816.42999,524000
77,2022-12-16,806.82001,815.33002,800.38000,811.77002,1180700
78,2022-12-15,809.98999,811.96997,801.41998,807.20001,485300
79,2022-12-14,820.91998,826.16998,807.16998,814.50000,529500
80,2022-12-13,844.71997,845.14001,815.71997,818.76001,521100
81,2022-12-12,831.07001,834.89001,824.15997,834.34998,342900
82,2022-12-09,834.29999,836.35999,826.58002,827.79999,327200
83,2022-12-08,832.03998,839.73999,831.65002,836.35999,324100
84,2022-12-07,828.71997,834.47998,821.50000,828.78998,558000
85,2022-12-06,840.00000,841.19000,820.79999,829.65997,681700
86,2022-12-05,849.70001,851.45001,840.32001,843.09998,331600
87,2022-12-02,848.92999,859.22998,846.81000,858.40997,365600
88,2022-12-01,869.06000,869.98999,853.73999,857.17999,339500
89,2022-11-30,847.35999,870.91998,845.25000,864.53998,797500
90,2022-11-29,852.00000,855.09998,843.17999,849.72998,411600
91,2022-11-28,851.23999,861.50000,851.23999,852.56000,423000
