,datetime,open,high,low,close,volume
0,2023-04-11,2.54000,2.67000,2.54000,2.60000,51300
1,2023-04-10,2.56000,2.58000,2.50000,2.56000,49600
2,2023-04-06,2.52000,2.57000,2.52000,2.56000,24400
3,2023-04-05,2.53000,2.60000,2.53000,2.55000,11400
4,2023-04-04,2.55000,2.64000,2.53000,2.55000,35000
5,2023-04-03,2.54000,2.72000,2.54000,2.58000,33700
6,2023-03-31,2.60000,2.68000,2.55000,2.59000,10000
7,2023-03-30,2.65000,2.66000,2.58000,2.60000,34600
8,2023-03-29,2.66000,2.70000,2.57000,2.65000,24200
9,2023-03-28,2.60000,2.77000,2.60000,2.65000,44100
10,2023-03-27,2.52000,2.71000,2.52000,2.62000,31400
11,2023-03-24,2.58000,2.64000,2.55000,2.56000,32700
12,2023-03-23,2.70000,2.73000,2.59000,2.59000,31700
13,2023-03-22,2.73000,2.78000,2.62000,2.70000,45400
14,2023-03-21,2.68000,2.76000,2.68000,2.72000,65700
15,2023-03-20,2.73000,2.79000,2.66000,2.70000,116600
16,2023-03-17,2.95000,2.97000,2.66000,2.73000,89600
17,2023-03-16,2.86000,2.98000,2.84000,2.94000,110600
18,2023-03-15,2.91000,2.98000,2.79000,2.82000,110400
19,2023-03-14,2.88000,3.04000,2.86000,2.87000,108100
20,2023-03-13,2.76000,2.84000,2.71000,2.79000,47100
21,2023-03-10,2.61000,3.27000,2.59000,2.76000,336300
22,2023-03-09,2.72000,2.73000,2.62000,2.65000,30100
23,2023-03-08,2.71000,2.77000,2.71000,2.72000,30200
24,2023-03-07,2.80000,2.80000,2.72000,2.77000,15000
25,2023-03-06,2.75000,2.79000,2.73000,2.73000,25500
26,2023-03-03,2.77000,2.82000,2.74000,2.75000,24600
27,2023-03-02,2.76000,2.79000,2.76000,2.77000,4400
28,2023-03-01,2.85000,2.85000,2.73000,2.74000,49600
29,2023-02-28,2.71000,2.82000,2.71000,2.77000,35100
30,2023-02-27,2.74000,2.77000,2.69000,2.73000,38400
31,2023-02-24,2.81000,2.81000,2.73000,2.74000,14300
32,2023-02-23,2.73000,2.80000,2.68000,2.80000,32900
33,2023-02-22,2.69000,2.77000,2.69000,2.74000,28000
