,datetime,open,high,low,close,volume
0,2023-04-11,39.79000,39.79000,38.85000,39.31000,2392300
1,2023-04-10,39.30000,40.19000,39.03000,39.36000,3790400
2,2023-04-06,39.17000,39.36000,38.73000,39.08000,2694400
3,2023-04-05,39.16000,39.39000,38.28000,39.38000,4240300
4,2023-04-04,40.37000,40.59000,38.51000,39.14000,4290200
5,2023-04-03,38.86000,40.89000,38.27000,40.38000,11937200
6,2023-03-31,35.64000,36.21000,35.44000,36.08000,3293500
7,2023-03-30,35.74000,35.82000,34.93000,35.19000,3266300
8,2023-03-29,35.47000,35.77000,34.91000,35.13000,2083300
9,2023-03-28,34.91000,35.45000,34.49000,34.86000,3013200
10,2023-03-27,34.51000,35.28000,33.70000,35.03000,2950500
11,2023-03-24,33.10000,34.15000,32.90000,33.98000,2796900
12,2023-03-23,34.17000,35.35000,33.84000,34.18000,5203300
13,2023-03-22,35.92000,36.20000,34.39000,34.43000,2286600
14,2023-03-21,35.53000,36.32000,35.22000,35.86000,2620000
15,2023-03-20,33.98000,35.23000,33.78000,34.32000,3440700
16,2023-03-17,34.66000,35.01000,33.52000,34.08000,6803500
17,2023-03-16,32.51000,35.28000,32.47000,35.10000,5105400
18,2023-03-15,35.00000,35.00000,32.26000,33.35000,7393000
19,2023-03-14,37.27000,38.39000,36.11000,36.99000,3812000
20,2023-03-13,37.71000,39.34000,36.81000,37.61000,4326500
21,2023-03-10,40.44000,40.92000,38.69000,39.18000,4645300
22,2023-03-09,42.11000,43.05000,40.41000,40.52000,4750700
23,2023-03-08,42.63000,43.31000,41.03000,41.59000,4572000
24,2023-03-07,43.35000,43.62000,42.30000,42.82000,4994500
25,2023-03-06,45.56000,45.56000,43.72000,44.01000,5262200
26,2023-03-03,44.82000,46.75000,44.76000,46.09000,3043600
27,2023-03-02,45.31000,46.21000,44.98000,45.94000,3158000
28,2023-03-01,42.73000,45.37000,42.43000,45.21000,5076300
29,2023-02-28,46.62000,46.78000,42.72000,42.77000,7423100
30,2023-02-27,45.56000,46.43000,45.38000,45.94000,3074500
31,2023-02-24,44.18000,45.91000,43.80000,45.56000,2531500
32,2023-02-23,44.64000,45.56000,43.74000,44.67000,2567800
33,2023-02-22,42.74000,44.12000,42.48000,43.80000,2838800
34,2023-02-21,43.09000,43.76000,42.48000,42.81000,3195400
35,2023-02-17,45.41000,45.60000,43.25000,43.54000,4319200
36,2023-02-16,47.00000,47.77000,46.57000,46.72000,1950400
37,2023-02-15,47.61000,47.78000,46.63000,47.46000,2576700
38,2023-02-14,47.70000,49.03000,47.36000,48.74000,2482300
39,2023-02-13,48.11000,48.76000,47.45000,48.38000,2627500
40,2023-02-10,47.00000,49.10000,46.76000,48.84000,3656200
41,2023-02-09,47.01000,47.06000,45.59000,45.86000,2951300
42,2023-02-08,46.94000,47.76000,46.50000,46.83000,3774100
43,2023-02-07,45.34000,47.32000,44.67000,47.18000,3602500
44,2023-02-06,46.46000,46.78000,44.59000,44.98000,4416400
45,2023-02-03,46.63000,47.60000,46.05000,46.39000,3583900
46,2023-02-02,47.71000,48.04000,46.03000,46.86000,3480100
47,2023-02-01,48.52000,48.83000,45.98000,47.50000,3527300
48,2023-01-31,48.77000,49.93000,48.37000,49.23000,2622900
49,2023-01-30,50.16000,50.55000,48.96000,48.99000,2791200
