,datetime,open,high,low,close,volume
0,2023-04-11,23.00000,23.09000,23.00000,23.08100,900
1,2023-04-10,23.00000,23.13700,22.75000,23.13700,800
2,2023-04-06,23.54000,23.54000,22.55000,22.64700,1000
3,2023-04-05,22.55000,22.55000,22.55000,22.55000,100
4,2023-04-04,23.50000,23.50000,22.90000,23.10000,4200
5,2023-04-03,22.70900,23.34000,22.70900,23.34000,500
6,2023-03-31,22.71000,23.23000,22.46500,23.23000,5300
7,2023-03-30,22.19500,22.85000,22.19500,22.85000,2000
8,2023-03-29,22.49000,22.91500,22.18000,22.91500,4500
9,2023-03-28,22.83300,22.83300,22.83300,22.83300,0
10,2023-03-27,22.19000,22.83300,22.12000,22.83300,3800
11,2023-03-24,22.23000,22.40000,22.17000,22.17000,2800
12,2023-03-23,22.68000,22.68000,22.22000,22.56000,3300
13,2023-03-22,23.04200,23.20000,22.42000,22.65000,1800
14,2023-03-21,23.06200,23.07000,22.76000,22.85000,4400
15,2023-03-20,23.09000,23.34900,23.02400,23.12000,2000
16,2023-03-17,23.05000,23.19000,22.99000,22.99000,1500
17,2023-03-16,23.30000,23.50000,22.93100,23.50000,1500
18,2023-03-15,23.37500,23.37500,23.25000,23.30000,1200
19,2023-03-14,23.31000,23.50000,23.26000,23.50000,3500
20,2023-03-13,23.05000,23.31000,23.05000,23.31000,800
21,2023-03-10,23.51000,23.51000,23.33000,23.35000,1800
22,2023-03-09,23.62000,23.80000,23.62000,23.80000,13400
23,2023-03-08,23.45000,23.73400,23.45000,23.61000,2100
24,2023-03-07,23.38000,23.38000,23.36000,23.36000,600
25,2023-03-06,23.42000,23.47000,22.85000,23.41300,7900
26,2023-03-03,23.47000,23.47000,23.42000,23.42000,1300
27,2023-03-02,23.50000,23.50000,23.42500,23.42500,2300
28,2023-03-01,23.62000,23.62000,23.51000,23.56500,800
29,2023-02-28,23.66600,23.66600,23.45500,23.50000,4800
30,2023-02-27,23.70000,23.70000,23.61000,23.61000,700
31,2023-02-24,23.51000,23.68000,23.51000,23.62000,1500
32,2023-02-23,23.60000,23.60000,23.55000,23.55000,500
33,2023-02-22,23.65000,23.65000,23.60000,23.60000,400
34,2023-02-21,23.64000,23.69800,23.50000,23.50000,4200
35,2023-02-17,23.57000,23.66000,23.52200,23.60000,1200
36,2023-02-16,23.64000,23.80000,23.57000,23.57000,7100
37,2023-02-15,23.65000,23.90000,23.65000,23.86000,6400
38,2023-02-14,23.65000,23.65000,23.65000,23.65000,400
39,2023-02-13,23.89800,23.89800,23.55000,23.57000,4400
40,2023-02-10,23.88000,23.88000,23.66000,23.66000,1100
41,2023-02-09,23.56000,23.88000,23.56000,23.84800,4400
42,2023-02-08,23.61000,23.70000,23.59500,23.70000,2800
43,2023-02-07,23.58500,23.61000,23.57600,23.61000,4400
44,2023-02-06,23.61000,23.61000,23.55500,23.58500,2700
45,2023-02-03,23.61000,23.61000,23.50000,23.61000,1900
46,2023-02-02,23.54000,23.61000,23.50500,23.60000,13700
47,2023-02-01,23.36000,23.49000,23.36000,23.48900,700
48,2023-01-31,23.36000,23.47000,23.36000,23.36000,4200
49,2023-01-30,23.44000,23.47000,23.41000,23.41700,2500
50,2023-01-27,23.44000,23.44000,23.42000,23.42000,5300
51,2023-01-26,23.38000,23.41000,23.35000,23.41000,3000
52,2023-01-25,23.35000,23.35000,23.33000,23.35000,1700
53,2023-01-24,23.29000,23.34000,23.29000,23.34000,1900
54,2023-01-23,23.25000,23.30200,23.20000,23.30000,10100
55,2023-01-20,23.20000,23.20000,23.20000,23.20000,300
56,2023-01-19,22.89000,23.20000,22.89000,23.15000,3400
57,2023-01-18,22.95000,23.12000,22.84500,23.00000,2600
58,2023-01-17,22.89000,22.89000,22.27000,22.80000,4500
59,2023-01-13,23.22200,23.25000,23.03200,23.03200,900
60,2023-01-12,23.10000,23.25000,22.85000,23.25000,3300
61,2023-01-11,23.13000,23.15000,22.91500,23.01800,2600
62,2023-01-10,22.84000,23.13000,22.84000,23.03000,3400
63,2023-01-09,22.54000,22.54000,22.54000,22.54000,200
64,2023-01-06,22.80000,23.25000,22.80000,23.25000,1000
65,2023-01-05,23.00000,23.00000,22.82900,22.82900,2700
66,2023-01-04,23.15000,23.15000,22.42000,22.79000,2300
67,2023-01-03,22.40000,23.25000,22.11000,22.35000,10200
68,2022-12-30,22.64500,22.64500,22.01000,22.58200,4400
69,2022-12-29,22.72000,22.72000,22.72000,22.72000,600
70,2022-12-28,22.49000,22.70000,22.46000,22.60000,1800
71,2022-12-27,22.63000,22.63000,22.49500,22.49500,800
72,2022-12-23,22.75000,22.75000,22.55000,22.75000,25600
73,2022-12-22,22.19000,22.80000,22.19000,22.80000,1700
74,2022-12-21,22.52000,22.55300,22.52000,22.55300,600
75,2022-12-20,22.65000,22.65000,22.40000,22.52500,4400
76,2022-12-19,22.65000,22.92500,22.65000,22.65000,1800
77,2022-12-16,22.67500,22.67500,22.67500,22.67500,1200
78,2022-12-15,22.65000,22.92600,22.62000,22.62000,1200
79,2022-12-14,22.80000,23.14000,22.52000,22.81500,5100
80,2022-12-13,23.25000,23.54000,22.98000,23.16000,8800
81,2022-12-12,22.98000,23.14000,22.98000,23.10000,2800
82,2022-12-09,23.14000,23.14000,22.98000,22.98000,400
83,2022-12-08,22.99000,23.06000,22.98200,23.06000,900
84,2022-12-07,23.06000,23.14000,23.04200,23.07000,2100
85,2022-12-06,23.06000,23.14000,22.99000,23.14000,1800
86,2022-12-05,23.00000,23.14000,22.97000,23.14000,1800
87,2022-12-02,23.11000,23.14000,22.95800,22.97000,3100
88,2022-12-01,23.00000,23.13000,23.00000,23.00000,2100
89,2022-11-30,22.89500,23.12000,22.74000,22.79000,2600
90,2022-11-29,22.80000,22.80000,22.66000,22.66000,2300
91,2022-11-28,22.80200,22.98000,22.66000,22.71000,1700
92,2022-11-25,22.66000,22.66000,22.66000,22.66000,300
93,2022-11-23,22.98000,22.98000,22.54000,22.84000,4500
94,2022-11-22,22.62000,22.62000,22.53000,22.54000,900
95,2022-11-21,22.96000,22.96000,22.62000,22.95000,1600
96,2022-11-18,22.96000,22.96000,22.96000,22.96000,1300
97,2022-11-17,22.85000,22.95000,22.55000,22.95000,5000
98,2022-11-16,22.76500,22.93000,22.74500,22.85000,3300
99,2022-11-15,22.84000,23.00000,22.70000,22.70000,4800
100,2022-11-14,22.83000,22.86000,22.55000,22.70000,3700
101,2022-11-11,22.85000,22.85000,22.85000,22.85000,500
102,2022-11-10,22.61000,22.85000,22.40000,22.82500,2800
103,2022-11-09,22.52000,22.52000,22.38000,22.39000,1700
104,2022-11-08,22.05000,22.48000,22.05000,22.34500,1300
105,2022-11-07,21.96000,22.18000,21.96000,21.98000,4900
106,2022-11-04,22.00000,22.30700,21.86000,21.86000,7500
107,2022-11-03,22.60000,22.60000,22.00000,22.23800,5200
108,2022-11-02,22.39000,22.39000,22.10000,22.10000,1900
109,2022-11-01,22.44000,22.65000,22.26000,22.45500,3000
110,2022-10-31,22.50400,22.60000,22.25000,22.60000,4400
111,2022-10-28,22.26000,22.32000,21.96000,22.25000,600
112,2022-10-27,22.25000,22.35000,22.02000,22.31000,2700
113,2022-10-26,22.50000,22.50000,21.90000,21.90000,1900
114,2022-10-25,21.90000,22.55200,21.90000,22.55200,3100
115,2022-10-24,22.33000,22.33000,21.94000,22.01000,6500
116,2022-10-21,22.45000,22.45000,22.15000,22.15000,1300
117,2022-10-20,22.65000,22.65000,22.27000,22.44400,2300
118,2022-10-19,22.50000,22.53000,22.30000,22.30000,4900
119,2022-10-18,22.64000,22.64000,22.50000,22.50000,4000
120,2022-10-17,22.77700,22.77700,22.64000,22.64000,2900
121,2022-10-14,22.67000,22.67000,22.50000,22.50000,1600
122,2022-10-13,22.80000,22.80000,22.55000,22.67000,2800
123,2022-10-12,22.77000,22.77000,22.60000,22.77000,5700
124,2022-10-11,22.62000,22.70000,22.61000,22.70000,5100
125,2022-10-10,23.16000,23.19000,22.80000,22.80000,5900
126,2022-10-07,23.21000,23.21000,22.90000,22.90000,1000
127,2022-10-06,23.09000,23.09000,22.99000,22.99000,4000
128,2022-10-05,23.29500,23.46000,23.09000,23.15100,6800
129,2022-10-04,23.43300,23.43300,23.20000,23.25000,2700
130,2022-10-03,23.35000,23.40000,23.15000,23.24000,6200
131,2022-09-30,23.58000,23.60000,23.40000,23.40000,1600
132,2022-09-29,23.60000,23.73500,23.46000,23.63000,6600
133,2022-09-28,24.00000,24.00000,23.72000,23.72000,4000
134,2022-09-27,23.80000,23.98100,23.80000,23.98100,1100
135,2022-09-26,23.80000,23.80000,23.79000,23.79000,800
136,2022-09-23,23.83000,24.17100,23.79000,23.81000,4300
137,2022-09-22,24.00000,24.00000,23.82300,23.93400,3100
138,2022-09-21,24.38000,24.38000,24.28300,24.31500,2300
139,2022-09-20,24.48000,24.48000,24.30000,24.34000,700
140,2022-09-19,24.55000,24.55000,24.48000,24.48000,1000
141,2022-09-16,24.43000,24.60000,24.43000,24.59000,2200
142,2022-09-15,24.60000,24.60000,24.45000,24.51500,1400
143,2022-09-14,24.56000,24.58000,24.49300,24.50500,2200
144,2022-09-13,24.77500,24.85000,24.74000,24.74000,8300
145,2022-09-12,24.75000,24.80000,24.75000,24.75000,1800
146,2022-09-09,24.75400,24.75400,24.75400,24.75400,500
147,2022-09-08,24.76000,24.76000,24.65000,24.75000,800
148,2022-09-07,24.85000,24.85000,24.84000,24.85000,2000
149,2022-09-06,24.85000,24.85000,24.76000,24.76000,1600
150,2022-09-02,24.75500,24.76000,24.75500,24.76000,800
151,2022-09-01,24.67700,24.78500,24.65000,24.75000,1500
152,2022-08-31,24.72500,24.72500,24.71000,24.71000,700
153,2022-08-30,24.63400,24.84000,24.63400,24.76900,1500
154,2022-08-29,24.77500,24.80000,24.60000,24.60000,1700
155,2022-08-25,24.85000,24.85000,24.80000,24.80000,1800
156,2022-08-24,24.45000,24.92000,24.44000,24.92000,900
157,2022-08-23,24.33000,24.58500,24.33000,24.58500,2400
158,2022-08-22,24.75000,24.75000,24.55000,24.55000,4100
159,2022-08-19,24.50000,24.60000,24.50000,24.60000,1700
160,2022-08-18,24.75000,24.75000,24.62000,24.62000,3800
161,2022-08-17,24.61000,24.90000,24.50000,24.90000,4900
162,2022-08-16,24.90000,24.90000,24.47000,24.60000,2200
163,2022-08-15,24.70000,24.94000,24.26000,24.41000,10700
164,2022-08-12,24.65000,24.65000,24.50000,24.64100,1000
165,2022-08-11,24.63000,25.00000,24.63000,24.70000,4500
166,2022-08-10,24.90000,25.00000,24.65000,24.86000,6100
167,2022-08-09,25.00000,25.00000,24.88200,24.90000,800
168,2022-08-08,24.63700,25.00000,24.63700,24.75000,8200
169,2022-08-05,24.37100,24.67200,24.37100,24.67200,4200
170,2022-08-04,24.58000,24.79000,24.33000,24.64800,10700
171,2022-08-03,24.16600,24.50000,24.16600,24.50000,1400
172,2022-08-02,24.77000,24.77000,24.00000,24.42000,8400
173,2022-08-01,24.52000,24.56000,24.50000,24.54000,3000
174,2022-07-29,24.17000,24.26000,24.15000,24.26000,4300
175,2022-07-28,24.01700,24.17000,24.01700,24.17000,6200
176,2022-07-27,24.10400,24.11000,23.95500,23.95500,2300
177,2022-07-26,24.01000,24.01000,23.78800,23.98000,2700
178,2022-07-25,23.92000,23.95000,23.92000,23.95000,1300
179,2022-07-22,23.92000,24.00000,23.90000,23.92000,9700
180,2022-07-21,23.85000,24.01500,23.85000,23.85000,4700
181,2022-07-20,23.89000,24.02500,23.86500,23.90000,2300
182,2022-07-19,24.03500,24.16000,23.88000,24.05000,4600
183,2022-07-18,24.03000,24.20300,23.85000,24.02000,9000
184,2022-07-15,23.80000,24.23500,23.80000,24.04000,7100
185,2022-07-14,24.40000,24.40000,23.81000,24.11000,6400
186,2022-07-13,24.40000,24.47000,24.30000,24.39000,4800
187,2022-07-12,24.45200,24.57000,24.07000,24.31000,5900
188,2022-07-11,24.17000,24.25900,24.11000,24.17000,3900
189,2022-07-08,23.87000,24.36700,23.87000,24.18000,3600
190,2022-07-07,23.77000,24.06000,23.75000,24.06000,15800
191,2022-07-06,23.82000,23.92000,23.74000,23.85000,15700
192,2022-07-05,23.98000,23.98000,23.74500,23.74500,6300
193,2022-07-01,24.13500,24.13500,23.68000,23.88000,6800
194,2022-06-30,23.65000,23.98500,23.65000,23.98000,17600
195,2022-06-29,23.65000,23.85000,23.65000,23.65000,13300
196,2022-06-28,23.87000,23.87000,23.62000,23.62000,25400
197,2022-06-27,23.73000,23.99000,23.70000,23.88000,10800
198,2022-06-24,24.07000,24.07000,23.70000,23.86000,11200
199,2022-06-23,23.80000,24.15300,23.60000,23.89000,10500
200,2022-06-22,23.85400,24.07400,23.73000,23.77000,15600
201,2022-06-21,24.05000,24.32700,23.68000,23.68000,14600
202,2022-06-17,24.00000,24.52500,23.75000,23.76000,22800
203,2022-06-16,24.30000,24.55400,24.00000,24.04000,15700
204,2022-06-15,24.57000,24.98000,24.30000,24.46000,14600
205,2022-06-14,24.55000,24.99500,24.55000,24.55000,14500
206,2022-06-13,25.19000,25.44000,24.95000,24.95000,25000
207,2022-06-10,25.12000,25.22500,25.10000,25.15000,5600
208,2022-06-09,25.21600,25.25500,25.09000,25.23000,15700
209,2022-06-08,25.60000,25.60000,25.10000,25.29000,20200
210,2022-06-07,25.80000,25.80000,25.33000,25.69000,2800
211,2022-06-06,25.79000,25.80000,25.60000,25.60000,8300
212,2022-06-03,25.57000,25.57000,25.30000,25.30000,6600
213,2022-06-02,25.56600,25.63000,25.24000,25.63000,6900
214,2022-06-01,25.20000,25.64000,25.20000,25.64000,3300
215,2022-05-31,25.50000,25.66000,25.41000,25.61000,9700
216,2022-05-27,25.60000,25.60000,25.60000,25.60000,300
217,2022-05-26,25.37500,25.64000,25.26000,25.26000,2600
218,2022-05-25,25.22600,25.25000,25.22600,25.25000,2800
219,2022-05-24,25.07000,25.30000,25.07000,25.27000,2900
220,2022-05-23,25.25000,25.25000,25.15500,25.25000,2600
221,2022-05-20,25.10000,25.25000,25.06000,25.24900,2600
222,2022-05-19,25.25000,25.25000,25.25000,25.25000,7500
223,2022-05-18,25.29000,25.32000,25.07000,25.25000,5200
224,2022-05-17,25.64000,25.64000,25.31900,25.31900,2500
225,2022-05-16,25.62000,25.62000,25.40700,25.40700,1500
226,2022-05-13,25.47000,25.60000,25.00000,25.60000,3800
227,2022-05-12,25.35600,25.46000,25.23500,25.40000,2100
228,2022-05-11,25.36000,25.47000,25.36000,25.40000,2900
229,2022-05-10,25.55000,25.55000,25.55000,25.55000,4800
230,2022-05-09,25.05000,25.74000,25.05000,25.73000,9800
231,2022-05-06,25.17000,25.20000,25.15800,25.20000,2100
232,2022-05-05,25.12000,25.70000,25.12000,25.16000,7100
233,2022-05-04,25.36700,25.37000,25.34000,25.37000,6400
234,2022-05-03,25.49000,25.74600,25.41400,25.47000,3700
235,2022-05-02,25.35000,25.68000,25.25000,25.34000,5400
236,2022-04-29,25.68000,25.68000,25.68000,25.68000,1600
237,2022-04-28,25.50000,25.50000,25.36000,25.45000,5600
238,2022-04-27,25.69000,25.69000,25.39000,25.53500,6600
239,2022-04-26,25.43000,25.75000,25.43000,25.75000,3600
240,2022-04-25,25.55000,25.75000,25.43000,25.43000,3800
241,2022-04-22,25.96000,25.96000,25.53000,25.53000,1600
242,2022-04-21,25.64000,25.76000,25.50000,25.76000,5300
243,2022-04-20,25.64000,25.80000,25.64000,25.72000,1200
244,2022-04-19,25.64000,25.64000,25.64000,25.64000,1600
245,2022-04-18,25.80000,25.80000,25.70000,25.70000,3600
246,2022-04-14,25.72200,25.72200,25.72200,25.72200,400
247,2022-04-13,25.68000,25.80000,25.68000,25.80000,800
248,2022-04-12,25.63500,25.63500,25.63500,25.63500,300
249,2022-04-11,25.64300,25.68000,25.64300,25.68000,1700
250,2022-04-08,25.55500,25.69300,25.55500,25.69300,1300
251,2022-04-07,25.59500,25.72000,25.59500,25.72000,2200
252,2022-04-06,25.80000,25.80000,25.80000,25.80000,4600
253,2022-04-05,25.80000,25.80000,25.80000,25.80000,300
254,2022-04-04,25.80000,25.80000,25.75700,25.80000,6300
255,2022-04-01,25.80000,25.80000,25.65000,25.65000,1300
256,2022-03-31,25.69500,25.80000,25.63100,25.77000,1400
257,2022-03-30,25.80000,25.80000,25.74000,25.74000,5400
258,2022-03-29,25.74000,25.80000,25.70000,25.75000,7000
259,2022-03-28,25.80000,25.80000,25.70900,25.70900,800
260,2022-03-25,25.78000,25.78000,25.78000,25.78000,1100
261,2022-03-24,25.74000,25.75000,25.55000,25.75000,5400
262,2022-03-23,25.67400,25.74000,25.53000,25.74000,7600
263,2022-03-22,25.74000,25.75000,25.68500,25.75000,1900
264,2022-03-21,25.59600,25.79000,25.59600,25.79000,2800
265,2022-03-18,25.73000,25.80000,25.61900,25.80000,8700
266,2022-03-17,25.52000,25.79000,25.51000,25.73000,8800
267,2022-03-16,25.30000,25.75000,25.25000,25.74000,5600
268,2022-03-15,25.38000,25.45900,25.29000,25.38000,10700
269,2022-03-14,25.69600,25.69600,25.40000,25.40000,11200
270,2022-03-11,25.93000,26.04100,25.93000,26.04100,6800
271,2022-03-10,26.04000,26.10000,26.04000,26.10000,4400
272,2022-03-09,25.92000,26.00000,25.85000,25.97000,2000
273,2022-03-08,25.97000,25.99000,25.77000,25.85500,10900
274,2022-03-07,25.89000,26.05800,25.70000,25.83000,10500
275,2022-03-04,26.08700,26.09000,25.79000,25.91500,2700
276,2022-03-03,26.08000,26.08000,25.79000,25.90000,1800
277,2022-03-02,25.92000,26.09000,25.76000,25.96000,3600
278,2022-03-01,26.04000,26.05000,25.70000,26.04000,16900
279,2022-02-28,26.00000,26.00000,25.93000,25.93000,2500
280,2022-02-25,26.04000,26.04000,25.86000,25.94000,3000
281,2022-02-24,25.67000,25.83000,25.67000,25.83000,1900
282,2022-02-23,26.01400,26.01400,25.85000,25.90000,3200
283,2022-02-22,25.93500,26.04000,25.93500,25.97800,6900
284,2022-02-18,25.70000,25.96600,25.70000,25.96600,3400
285,2022-02-17,25.57000,26.02000,25.57000,26.02000,3300
286,2022-02-16,26.05000,26.10000,25.92500,26.10000,3300
287,2022-02-15,25.65000,25.98000,25.59000,25.87000,12000
288,2022-02-14,25.90000,25.91000,25.38000,25.58000,25300
289,2022-02-11,26.11000,26.18000,26.05000,26.11000,4800
290,2022-02-10,26.24100,26.24100,26.14000,26.14000,6800
291,2022-02-09,26.10000,26.19000,26.10000,26.14000,5500
292,2022-02-08,26.07000,26.31000,26.07000,26.19000,14800
293,2022-02-07,26.19500,26.19500,26.11400,26.13000,11800
294,2022-02-04,26.10000,26.30000,26.10000,26.23500,14500
