,datetime,open,high,low,close,volume
0,2023-04-11,30.64000,31.08000,30.50000,30.55000,19300
1,2023-04-10,30.76000,31.20000,30.47000,30.74000,20100
2,2023-04-06,31.03000,31.49000,30.85000,30.99000,15800
3,2023-04-05,31.17000,31.73000,30.90000,31.23000,18800
4,2023-04-04,31.21000,31.58000,31.05000,31.36000,4700
5,2023-04-03,31.68000,31.95000,31.21000,31.36000,22100
6,2023-03-31,31.89000,32.01000,31.15000,31.77000,45400
7,2023-03-30,31.98000,31.98000,31.72000,31.93000,6600
8,2023-03-29,32.08000,32.10000,31.80000,31.95000,17000
9,2023-03-28,32.07000,32.10000,31.77000,32.07000,13300
10,2023-03-27,31.72000,32.00000,31.57000,32.00000,10400
11,2023-03-24,31.25000,31.94000,31.25000,31.70000,6300
12,2023-03-23,31.60000,32.00000,31.23000,31.59000,20100
13,2023-03-22,31.81000,32.00000,31.66000,31.70000,10100
14,2023-03-21,32.25000,32.25000,31.81000,32.00000,8800
15,2023-03-20,32.09000,32.93000,31.63000,31.89000,74000
16,2023-03-17,32.77000,33.00000,32.06000,32.06000,14100
17,2023-03-16,32.00000,32.90000,31.66000,32.41000,9700
18,2023-03-15,32.22000,32.98000,32.00000,32.18000,8300
19,2023-03-14,32.65000,33.00000,32.02000,32.46000,16900
20,2023-03-13,33.25000,33.41000,32.25000,32.43000,16300
21,2023-03-10,33.76000,34.50000,33.50000,33.69000,18200
22,2023-03-09,34.88000,34.88000,33.78000,34.15000,20361
23,2023-03-08,33.54000,34.35000,33.50000,34.15000,43600
24,2023-03-07,33.40000,33.64000,33.03000,33.44000,4300
25,2023-03-06,33.64000,33.64000,33.00000,33.24000,2300
26,2023-03-03,33.50500,33.69000,33.07500,33.24000,4366
27,2023-03-02,33.98000,33.98000,33.20000,33.33000,4986
28,2023-03-01,33.37990,34.32000,33.37990,33.51000,6993
29,2023-02-28,33.35000,33.71000,33.07000,33.69000,22809
30,2023-02-27,33.19000,33.30000,33.01000,33.26000,1707
31,2023-02-24,33.04000,33.37000,32.74000,33.12000,4762
