,datetime,open,high,low,close,volume
0,2023-04-11,0.43000,0.47000,0.43000,0.46000,11300
1,2023-04-10,0.45000,0.47000,0.45000,0.47000,900
2,2023-04-06,0.48000,0.48000,0.45000,0.45000,9700
3,2023-04-05,0.48000,0.50000,0.48000,0.48000,2500
4,2023-04-04,0.48000,0.50000,0.48000,0.48000,11900
5,2023-04-03,0.46000,0.50000,0.46000,0.49000,7700
6,2023-03-31,0.49000,0.49000,0.47000,0.49000,17100
7,2023-03-30,0.49000,0.49000,0.49000,0.49000,400
8,2023-03-29,0.51000,0.51000,0.48000,0.49000,3700
9,2023-03-28,0.48000,0.49000,0.46000,0.49000,16600
10,2023-03-27,0.52000,0.52000,0.48000,0.49000,6400
11,2023-03-24,0.53000,0.53000,0.52000,0.52000,2500
12,2023-03-23,0.50000,0.50000,0.50000,0.50000,700
13,2023-03-22,0.50000,0.50000,0.50000,0.50000,1200
14,2023-03-21,0.50000,0.50000,0.50000,0.50000,1300
15,2023-03-20,0.51000,0.51000,0.50000,0.50000,3200
16,2023-03-17,0.53000,0.53000,0.52000,0.52000,1200
17,2023-03-16,0.52000,0.53000,0.51000,0.53000,7200
18,2023-03-15,0.54000,0.54000,0.52000,0.54000,3400
19,2023-03-14,0.55000,0.58000,0.52000,0.57000,4000
20,2023-03-13,0.56000,0.56000,0.52000,0.54000,13400
21,2023-03-10,0.55000,0.59000,0.55000,0.56000,1100
22,2023-03-09,0.56000,0.56000,0.55000,0.55000,24100
23,2023-03-08,0.57000,0.57000,0.57000,0.57000,300
24,2023-03-07,0.59000,0.59000,0.58000,0.58000,2500
25,2023-03-06,0.60000,0.61000,0.59000,0.59000,8300
26,2023-03-03,0.58000,0.59000,0.58000,0.59000,3600
27,2023-03-02,0.59000,0.59000,0.59000,0.59000,200
28,2023-03-01,0.59000,0.60000,0.58000,0.59000,8700
29,2023-02-28,0.59000,0.59000,0.59000,0.59000,600
30,2023-02-27,0.56000,0.60000,0.55000,0.58000,6000
31,2023-02-24,0.58000,0.58000,0.56100,0.56100,1122
32,2023-02-23,0.58000,0.58000,0.58000,0.58000,0
33,2023-02-22,0.59000,0.59000,0.55000,0.58000,3300
34,2023-02-21,0.58000,0.59000,0.55000,0.59000,17600
35,2023-02-17,0.56000,0.58000,0.56000,0.58000,4200
36,2023-02-16,0.58000,0.58000,0.56000,0.56000,21200
37,2023-02-15,0.57000,0.57000,0.56000,0.56000,6800
38,2023-02-14,0.57000,0.57000,0.56000,0.57000,11100
39,2023-02-13,0.57000,0.57000,0.57000,0.57000,1300
40,2023-02-10,0.58000,0.59000,0.56000,0.57000,11900
41,2023-02-09,0.58000,0.60000,0.58000,0.59000,1800
42,2023-02-08,0.60000,0.60000,0.58000,0.59000,10100
43,2023-02-07,0.61000,0.61000,0.61000,0.61000,16400
44,2023-02-06,0.62000,0.62000,0.60000,0.61000,28000
45,2023-02-03,0.60000,0.66000,0.59000,0.62000,58300
46,2023-02-02,0.64000,0.65000,0.59000,0.61000,38800
