,datetime,open,high,low,close,volume
0,2023-04-11,93.99000,95.87000,93.99000,95.26000,156700
1,2023-04-10,92.75000,93.96000,92.75000,93.86000,182600
2,2023-04-06,91.37000,93.35000,90.43000,93.23000,167200
3,2023-04-05,91.78000,91.82000,90.02000,91.10000,306000
4,2023-04-04,95.46000,95.46000,91.96000,92.05000,260600
5,2023-04-03,97.41000,97.59000,93.41000,95.48000,244600
6,2023-03-31,95.97000,97.73000,95.88000,97.57000,190500
7,2023-03-30,95.15000,95.80000,94.55000,95.20000,179300
8,2023-03-29,95.36000,95.64000,94.28000,94.74000,218800
9,2023-03-28,95.02000,96.78000,93.60000,94.43000,101000
10,2023-03-27,95.04000,95.95000,94.55000,95.22000,115600
11,2023-03-24,93.93000,94.85000,92.73000,94.56000,113600
12,2023-03-23,95.24000,96.40000,94.04000,94.52000,147200
13,2023-03-22,96.49000,97.82000,94.57000,94.72000,135900
14,2023-03-21,96.81000,98.65000,95.75000,96.74000,135100
15,2023-03-20,94.70000,96.96000,94.70000,95.98000,154200
16,2023-03-17,95.01000,95.45000,93.75000,94.08000,432000
17,2023-03-16,92.49000,96.11000,91.16000,95.49000,161100
18,2023-03-15,94.68000,95.15000,92.47000,93.70000,186900
19,2023-03-14,95.93000,97.30000,95.26000,96.74000,150900
20,2023-03-13,94.16000,95.57000,93.25000,93.89000,131000
21,2023-03-10,97.26000,97.66000,94.86000,95.69000,132200
22,2023-03-09,98.85000,99.35000,97.25000,97.31000,139900
23,2023-03-08,96.37000,99.13000,96.17000,98.93000,189200
24,2023-03-07,96.34000,96.74000,95.57000,96.44000,172100
25,2023-03-06,96.07000,96.51000,95.23000,96.12000,157700
26,2023-03-03,96.14000,96.33000,95.26000,96.11000,84100
27,2023-03-02,95.73000,95.91000,94.39000,95.45000,114800
28,2023-03-01,96.25000,97.78000,95.90000,96.62000,106000
29,2023-02-28,96.30000,96.86000,95.51000,95.89000,225700
30,2023-02-27,96.69000,97.24000,95.91000,96.76000,204100
31,2023-02-24,96.56000,96.60000,95.78500,96.15000,102354
32,2023-02-23,97.64000,98.56000,96.19000,97.33000,89300
33,2023-02-22,97.54000,98.09000,96.47000,97.33000,127700
34,2023-02-21,99.36000,100.04000,97.04000,97.39000,118600
35,2023-02-17,100.41000,100.45000,99.33000,100.18000,197400
36,2023-02-16,99.23000,100.84000,99.23000,100.23000,93200
37,2023-02-15,98.60000,100.40000,98.21000,100.00000,107700
38,2023-02-14,99.38000,100.10000,98.58000,99.27000,109000
39,2023-02-13,98.99000,99.90000,98.01000,99.69000,114400
40,2023-02-10,97.09000,99.44000,97.09000,98.93000,125800
41,2023-02-09,99.57000,99.91000,95.93000,97.69000,144900
42,2023-02-08,99.04000,99.51000,97.81000,98.72000,208500
43,2023-02-07,98.57000,100.47000,98.47000,99.83000,218900
44,2023-02-06,99.50000,100.05000,98.13000,99.27000,310100
45,2023-02-03,99.38000,101.38000,99.38000,100.47000,170400
46,2023-02-02,99.91000,100.68000,98.89000,99.90000,219500
47,2023-02-01,95.55000,100.58000,95.55000,99.93000,351900
48,2023-01-31,92.34000,96.38000,92.33000,95.99000,301800
49,2023-01-30,92.61000,94.58000,92.06000,92.12000,173200
50,2023-01-27,94.00000,94.76000,93.02000,93.56000,350300
51,2023-01-26,107.64000,110.10000,92.23000,93.86000,1295200
52,2023-01-25,114.05000,114.05000,111.13000,113.24000,232300
53,2023-01-24,114.47000,115.36000,113.68000,114.63000,127700
54,2023-01-23,112.99000,114.97000,112.30000,114.50000,161100
55,2023-01-20,111.58000,112.57000,110.20000,112.52000,119700
56,2023-01-19,112.02000,112.02000,110.59000,110.75000,105000
57,2023-01-18,112.61000,113.69000,111.32000,112.04000,130700
58,2023-01-17,113.90000,114.96000,111.93000,112.58000,117200
59,2023-01-13,110.52000,113.44000,110.23000,113.37000,79900
60,2023-01-12,110.53000,111.54000,110.19000,110.95000,111300
61,2023-01-11,111.29000,111.51000,109.42000,110.12000,120000
62,2023-01-10,109.55000,111.18000,109.55000,110.86000,110300
63,2023-01-09,108.30000,110.78000,108.20000,110.05000,86300
64,2023-01-06,105.65000,108.13000,105.38000,107.94000,75900
65,2023-01-05,103.76000,105.41000,102.09000,104.69000,127700
66,2023-01-04,104.57000,106.27000,103.26000,104.13000,128100
67,2023-01-03,103.13000,104.29000,102.68000,103.87000,126700
68,2022-12-30,102.93000,103.45000,101.75000,102.93000,89100
69,2022-12-29,102.91000,103.74000,102.23000,103.15000,210400
70,2022-12-28,104.43000,104.75000,101.68000,102.11000,91300
71,2022-12-27,104.47000,105.07000,103.72000,104.29000,91700
72,2022-12-23,104.62000,105.26000,103.52000,104.56000,80900
73,2022-12-22,104.90000,104.90000,103.16000,104.51000,120800
74,2022-12-21,105.24000,106.77000,105.01000,105.72000,97700
75,2022-12-20,103.88000,105.09000,102.92000,104.53000,83300
76,2022-12-19,104.05000,106.02000,102.51000,103.65000,122000
77,2022-12-16,104.06000,105.83000,102.83000,103.96000,1177900
78,2022-12-15,106.81000,106.81000,105.24000,105.40000,148000
79,2022-12-14,107.84000,109.35000,106.71000,108.01000,120600
80,2022-12-13,109.88000,110.83000,107.74000,108.11000,149300
81,2022-12-12,106.65000,107.76000,105.95000,107.58000,116400
82,2022-12-09,106.88000,107.35000,105.90000,106.31000,74800
83,2022-12-08,107.80000,108.66000,106.87000,107.46000,82400
84,2022-12-07,107.18000,107.73000,106.16000,107.13000,115400
85,2022-12-06,107.85000,107.85000,106.02000,107.00000,88500
86,2022-12-05,110.10000,110.17000,107.26000,108.08000,106200
87,2022-12-02,108.85000,112.20000,108.85000,111.07000,126600
88,2022-12-01,110.21000,111.45000,109.15000,109.99000,96700
89,2022-11-30,105.94000,110.72000,104.93000,110.22000,249300
90,2022-11-29,105.85000,106.31000,105.40000,105.60000,72600
91,2022-11-28,107.72000,107.85000,105.78000,105.93000,105400
92,2022-11-25,107.28000,109.10000,107.28000,108.39000,58300
93,2022-11-23,108.18000,108.92000,106.80000,107.03000,60900
94,2022-11-22,107.09000,108.45000,106.38000,108.12000,96200
95,2022-11-21,106.58000,107.28000,106.32000,107.04000,82500
96,2022-11-18,107.30000,107.73000,106.70000,106.96000,196400
97,2022-11-17,104.13000,106.20000,103.97000,106.18000,80100
98,2022-11-16,104.78000,106.13000,104.54000,105.20000,100800
99,2022-11-15,105.96000,106.14000,104.99000,105.78000,134000
100,2022-11-14,105.17000,106.43000,104.22000,104.43000,132800
101,2022-11-11,107.10000,107.88000,105.71000,105.79000,152900
102,2022-11-10,106.00000,107.89000,105.00000,106.49000,222900
103,2022-11-09,102.54000,104.90000,102.18000,103.83000,183600
104,2022-11-08,102.16000,103.91000,101.99000,102.98000,190900
105,2022-11-07,101.06000,102.04000,100.46000,101.30000,135000
106,2022-11-04,101.51000,102.18000,99.38000,101.15000,90900
107,2022-11-03,98.73000,100.33000,97.50000,99.95000,203700
108,2022-11-02,100.56000,103.23000,99.84000,100.13000,278400
109,2022-11-01,98.76000,101.26000,98.35000,101.00000,201700
110,2022-10-31,98.15000,98.77000,97.48000,98.40000,157900
111,2022-10-28,97.13000,100.06000,95.94000,98.77000,254800
112,2022-10-27,100.00000,100.44000,94.53000,95.92000,242100
113,2022-10-26,97.28000,98.77000,96.55000,96.55000,160000
114,2022-10-25,94.58000,97.05000,93.74000,97.05000,238500
115,2022-10-24,93.60000,94.71000,92.57000,94.25000,187700
