,datetime,open,high,low,close,volume
0,2023-04-11,53.34000,54.00000,53.34000,53.44000,689700
1,2023-04-10,52.31000,53.08000,51.86000,53.07000,657700
2,2023-04-06,52.08000,52.59000,51.89000,52.59000,1471500
3,2023-04-05,53.39000,53.65000,51.92000,52.32000,1829600
4,2023-04-04,55.15000,55.56000,53.37000,53.81000,1148100
5,2023-04-03,55.05000,55.37000,54.30000,55.12000,997300
6,2023-03-31,54.15000,55.39000,53.93000,55.27000,1366900
7,2023-03-30,54.51000,54.51000,53.55000,53.76000,1068200
8,2023-03-29,54.14000,54.27000,53.36000,53.92000,1172700
9,2023-03-28,52.68000,53.62000,52.68000,53.50000,1200900
10,2023-03-27,52.51000,52.93000,52.07000,52.74000,1498500
11,2023-03-24,50.38000,51.80000,50.15000,51.78000,2047300
12,2023-03-23,51.36000,52.31000,50.53000,51.01000,1470400
13,2023-03-22,52.72000,53.10000,51.34000,51.35000,1037900
14,2023-03-21,52.35000,53.29000,52.35000,52.80000,1369100
15,2023-03-20,51.34000,51.91000,51.02000,51.45000,1565400
16,2023-03-17,51.65000,51.65000,50.42000,50.92000,3966500
17,2023-03-16,51.26000,52.62000,50.78000,52.09000,1579200
18,2023-03-15,52.20000,52.20000,50.80000,51.68000,1722300
19,2023-03-14,53.85000,54.03000,52.69000,53.35000,1903600
20,2023-03-13,51.90000,52.85000,51.34000,52.23000,1066000
21,2023-03-10,54.46000,54.46000,51.82000,52.68000,2432300
22,2023-03-09,55.71000,56.06000,54.34000,54.39000,1069100
23,2023-03-08,55.54000,55.90000,55.10000,55.77000,1343400
24,2023-03-07,56.16000,56.27000,55.43000,55.48000,888300
25,2023-03-06,56.48000,56.84000,55.74000,56.14000,1818200
26,2023-03-03,55.75000,56.70000,55.48000,56.49000,1058987
27,2023-03-02,54.98000,55.57000,54.21000,55.48000,1577867
28,2023-03-01,55.35000,56.06000,55.17000,55.36000,1124698
29,2023-02-28,55.53000,56.48000,55.34000,55.94000,3530296
30,2023-02-27,56.17000,56.35000,55.29000,55.58000,871165
31,2023-02-24,54.36000,55.72000,54.35000,55.43000,1203456
32,2023-02-23,54.90000,55.40000,54.38500,55.12000,1001073
33,2023-02-22,55.00000,55.37000,54.24000,54.64000,1750861
34,2023-02-21,56.07000,56.19500,54.41000,54.72000,1084655
35,2023-02-17,56.32000,56.90000,55.55000,56.83000,1192074
36,2023-02-16,55.81000,56.76780,55.39000,56.34000,1172882
37,2023-02-15,56.16000,57.18500,55.85000,56.93000,1404999
38,2023-02-14,56.17000,56.64500,55.35000,56.40000,1688638
39,2023-02-13,55.44000,56.58500,55.02000,56.54000,1610973
40,2023-02-10,55.35000,55.77000,55.16000,55.21000,2040672
41,2023-02-09,57.26000,57.38000,55.83500,55.89000,1214776
42,2023-02-08,57.24000,57.48000,56.27000,56.71000,1380752
43,2023-02-07,57.88000,57.89500,56.49000,57.61000,1677028
44,2023-02-06,58.68000,58.72500,57.91500,58.23000,1860772
45,2023-02-03,59.28000,59.86000,58.88500,59.37000,2316010
