,datetime,open,high,low,close,volume
0,2023-04-11,0.47000,0.49000,0.47000,0.48800,213700
1,2023-04-10,0.46000,0.49400,0.45300,0.46300,317700
2,2023-04-06,0.43000,0.46000,0.42000,0.44300,315000
3,2023-04-05,0.44500,0.46000,0.41200,0.43000,1148500
4,2023-04-04,0.49200,0.49200,0.44300,0.45200,870100
5,2023-04-03,0.53000,0.53000,0.47000,0.49300,719100
6,2023-03-31,0.48100,0.53000,0.47000,0.52000,552600
7,2023-03-30,0.49500,0.49500,0.43800,0.47000,527100
8,2023-03-29,0.46000,0.48500,0.45000,0.46000,666700
9,2023-03-28,0.47200,0.48500,0.45100,0.45100,579200
10,2023-03-27,0.50500,0.52000,0.47100,0.47200,506700
11,2023-03-24,0.54000,0.54200,0.48100,0.50000,1048100
12,2023-03-23,0.54400,0.54900,0.51900,0.53600,444500
13,2023-03-22,0.54300,0.55400,0.54000,0.54200,274800
14,2023-03-21,0.57300,0.58000,0.54000,0.54700,565800
15,2023-03-20,0.63000,0.63000,0.54200,0.56000,628000
16,2023-03-17,0.60300,0.60300,0.55000,0.58900,673800
17,2023-03-16,0.61000,0.62300,0.58000,0.60600,519100
18,2023-03-15,0.62300,0.62500,0.59000,0.60000,591900
19,2023-03-14,0.57500,0.70000,0.57500,0.63000,1287800
20,2023-03-13,0.60500,0.60500,0.56500,0.58200,405200
21,2023-03-10,0.60000,0.63700,0.58500,0.61000,425200
22,2023-03-09,0.62000,0.62590,0.58500,0.58610,275700
23,2023-03-08,0.63500,0.64000,0.61000,0.61900,378000
24,2023-03-07,0.66500,0.67000,0.63200,0.63400,490500
25,2023-03-06,0.71700,0.71700,0.66800,0.67200,244900
26,2023-03-03,0.71600,0.71700,0.66500,0.71400,194600
27,2023-03-02,0.66700,0.70000,0.66000,0.68800,245400
28,2023-03-01,0.68200,0.70000,0.66700,0.66700,566300
29,2023-02-28,0.67500,0.70000,0.67100,0.68000,293300
30,2023-02-27,0.67400,0.74900,0.67400,0.68200,309000
31,2023-02-24,0.70500,0.73000,0.66200,0.67100,620900
32,2023-02-23,0.74600,0.75200,0.70500,0.72000,351900
33,2023-02-22,0.75300,0.78900,0.74700,0.74700,180200
34,2023-02-21,0.78400,0.80000,0.73700,0.76000,723700
35,2023-02-17,0.81500,0.83000,0.79000,0.80100,299200
36,2023-02-16,0.78600,0.85800,0.78000,0.81900,647500
37,2023-02-15,0.78600,0.80600,0.77300,0.78900,279100
38,2023-02-14,0.77000,0.81100,0.68000,0.81100,414400
39,2023-02-13,0.74700,0.78500,0.74400,0.76600,252000
40,2023-02-10,0.79500,0.79500,0.73800,0.77000,456800
41,2023-02-09,0.79000,0.82000,0.75000,0.78500,291400
42,2023-02-08,0.80600,0.80600,0.78000,0.78900,285900
43,2023-02-07,0.82500,0.82500,0.76800,0.81100,482300
44,2023-02-06,0.74300,0.82600,0.73500,0.79000,1066200
45,2023-02-03,0.74500,0.75000,0.71200,0.73800,532000
46,2023-02-02,0.78000,0.78500,0.72200,0.72300,1086800
47,2023-02-01,0.74000,0.78900,0.74000,0.77300,716300
48,2023-01-31,0.76300,0.77000,0.72500,0.75500,550300
49,2023-01-30,0.81200,0.81500,0.70000,0.76000,2565800
50,2023-01-27,0.75000,0.84000,0.66000,0.83300,11772000
51,2023-01-26,0.50900,0.53500,0.50900,0.53500,704900
52,2023-01-25,0.52000,0.52900,0.49300,0.50900,1055900
53,2023-01-24,0.51000,0.54800,0.50000,0.51800,452000
54,2023-01-23,0.52000,0.53500,0.49500,0.52500,645300
55,2023-01-20,0.52000,0.53400,0.50000,0.50000,990200
56,2023-01-19,0.54700,0.56000,0.49200,0.50100,763100
57,2023-01-18,0.57000,0.58200,0.53500,0.54700,507100
58,2023-01-17,0.55000,0.57300,0.53000,0.55000,424900
59,2023-01-13,0.51500,0.57100,0.51500,0.54500,436900
60,2023-01-12,0.58000,0.59000,0.50000,0.51500,1578600
61,2023-01-11,0.56000,0.58000,0.54100,0.55900,167600
62,2023-01-10,0.54000,0.57500,0.53200,0.55000,422400
63,2023-01-09,0.60000,0.60900,0.52000,0.52500,673700
64,2023-01-06,0.58900,0.60000,0.55000,0.57000,233400
65,2023-01-05,0.57500,0.61900,0.55000,0.58400,205600
66,2023-01-04,0.62300,0.65500,0.58000,0.58900,406600
67,2023-01-03,0.58900,0.62900,0.57000,0.62200,244700
68,2022-12-30,0.55200,0.59000,0.51000,0.57800,883100
69,2022-12-29,0.52000,0.57500,0.51000,0.57200,1473800
70,2022-12-28,0.54000,0.59900,0.50100,0.51000,976200
71,2022-12-27,0.61100,0.64000,0.54100,0.54400,767800
72,2022-12-23,0.72500,0.74200,0.61000,0.62700,840100
73,2022-12-22,0.66500,0.74800,0.63300,0.73000,2061800
74,2022-12-21,0.56000,0.59800,0.56000,0.57000,369300
75,2022-12-20,0.61000,0.61000,0.55700,0.56000,532800
76,2022-12-19,0.65000,0.65200,0.57000,0.57600,402600
77,2022-12-16,0.62000,0.65200,0.62000,0.65200,227000
78,2022-12-15,0.64800,0.69000,0.62000,0.63200,605700
79,2022-12-14,0.70000,0.70000,0.61500,0.61500,488700
80,2022-12-13,0.77500,0.82000,0.69000,0.69000,498100
81,2022-12-12,0.82300,0.83000,0.77000,0.77500,606200
82,2022-12-09,0.81100,0.83000,0.78600,0.80300,241100
83,2022-12-08,0.78000,0.84000,0.76000,0.83600,515300
84,2022-12-07,0.79200,0.80000,0.74300,0.79000,269900
85,2022-12-06,0.74000,0.80000,0.74000,0.78500,542300
86,2022-12-05,0.78400,0.81900,0.72700,0.74000,448200
87,2022-12-02,0.67600,0.78800,0.67600,0.78400,891200
88,2022-12-01,0.69000,0.72500,0.68000,0.71900,165700
89,2022-11-30,0.69000,0.72000,0.68000,0.69000,170400
90,2022-11-29,0.76000,0.76000,0.66100,0.69200,486800
91,2022-11-28,0.73000,0.78900,0.72100,0.76500,1131400
92,2022-11-25,0.69000,0.75000,0.65300,0.73500,485700
93,2022-11-23,0.64000,0.69000,0.63000,0.68700,610500
94,2022-11-22,0.55400,0.63800,0.55400,0.63000,1016300
95,2022-11-21,0.54100,0.57200,0.54000,0.55600,275400
96,2022-11-18,0.54500,0.59000,0.54000,0.55000,358300
97,2022-11-17,0.53300,0.56300,0.52000,0.55000,217300
98,2022-11-16,0.58000,0.60000,0.42000,0.55000,1187000
99,2022-11-15,0.63000,0.63000,0.58100,0.59800,370900
100,2022-11-14,0.56500,0.60900,0.55000,0.60700,380000
101,2022-11-11,0.51000,0.59900,0.50000,0.57400,594900
102,2022-11-10,0.48000,0.52000,0.47000,0.49700,352700
103,2022-11-09,0.48300,0.48300,0.46000,0.46000,1027400
104,2022-11-08,0.48000,0.49000,0.47000,0.48200,615000
105,2022-11-07,0.49700,0.51900,0.47300,0.48000,596300
106,2022-11-04,0.52000,0.53000,0.46600,0.48400,1509300
107,2022-11-03,0.58500,0.59000,0.45700,0.52100,1675800
108,2022-11-02,0.65200,0.66100,0.58500,0.59400,631600
109,2022-11-01,0.67000,0.67000,0.62200,0.64800,784300
110,2022-10-31,0.63000,0.68000,0.62000,0.64000,886400
111,2022-10-28,0.57000,0.65000,0.56000,0.62000,798100
112,2022-10-27,0.55800,0.58700,0.54500,0.55900,582100
113,2022-10-26,0.53700,0.57200,0.52000,0.55000,630700
114,2022-10-25,0.52000,0.54200,0.50700,0.53000,1067800
115,2022-10-24,0.55500,0.56000,0.50200,0.51300,689200
116,2022-10-21,0.57000,0.57000,0.52200,0.54000,721700
117,2022-10-20,0.53100,0.71800,0.51000,0.56000,5086200
118,2022-10-19,0.46900,0.55000,0.45300,0.52000,1605700
119,2022-10-18,0.46000,0.50000,0.45100,0.46700,1919900
120,2022-10-17,0.49000,0.52000,0.45200,0.45800,1864800
121,2022-10-14,0.52000,0.53500,0.48000,0.49500,937000
122,2022-10-13,0.54200,0.55000,0.50000,0.51500,1158100
123,2022-10-12,0.54600,0.55900,0.51100,0.55500,339500
124,2022-10-11,0.55000,0.57400,0.53000,0.53000,288000
125,2022-10-10,0.55000,0.57100,0.53000,0.55900,277000
126,2022-10-07,0.54000,0.60000,0.53100,0.56000,760700
127,2022-10-06,0.55300,0.59700,0.54000,0.54500,662300
128,2022-10-05,0.55500,0.56200,0.54000,0.54300,146000
129,2022-10-04,0.55000,0.57000,0.53900,0.55500,308800
130,2022-10-03,0.53900,0.55300,0.52000,0.55000,554900
131,2022-09-30,0.52100,0.56000,0.51700,0.52000,555800
132,2022-09-29,0.55000,0.55600,0.51100,0.52600,510400
133,2022-09-28,0.54400,0.56000,0.53300,0.55000,749700
134,2022-09-27,0.51400,0.56000,0.51000,0.55100,749600
135,2022-09-26,0.53000,0.55500,0.50000,0.51000,1153200
136,2022-09-23,0.58000,0.59200,0.53500,0.54200,1507400
137,2022-09-22,0.63100,0.69300,0.57400,0.57400,1744700
138,2022-09-21,0.70400,0.71000,0.63500,0.63500,638700
139,2022-09-20,0.73300,0.74000,0.70300,0.70900,301500
140,2022-09-19,0.72900,0.76500,0.71200,0.74000,705000
