,datetime,open,high,low,close,volume
0,2023-04-11,0.86000,0.99100,0.85000,0.93800,881000
1,2023-04-10,0.85600,0.88000,0.84000,0.86500,567300
2,2023-04-06,0.87000,0.89000,0.83100,0.87000,470800
3,2023-04-05,0.80400,0.89900,0.79500,0.88600,683300
4,2023-04-04,0.85100,0.85100,0.79400,0.83100,719500
5,2023-04-03,0.83000,0.85700,0.80000,0.85100,1701300
6,2023-03-31,0.82800,0.83500,0.79000,0.80900,588700
7,2023-03-30,0.86000,0.87000,0.79300,0.80400,532100
8,2023-03-29,0.86200,0.87000,0.83000,0.86000,447200
9,2023-03-28,0.90900,0.91000,0.84300,0.85200,658700
10,2023-03-27,0.83900,0.91800,0.79500,0.90000,1197600
11,2023-03-24,0.83700,0.88000,0.81000,0.81700,988100
12,2023-03-23,1.00000,1.00000,0.82000,0.85400,2126800
13,2023-03-22,1.06000,1.06000,0.95600,0.96000,1403800
14,2023-03-21,1.06000,1.06000,1.02500,1.05000,921100
15,2023-03-20,1.05000,1.09000,1.02000,1.04000,1523600
16,2023-03-17,1.13000,1.15000,1.02500,1.03000,2286800
17,2023-03-16,1.14000,1.16900,1.13000,1.14000,992500
18,2023-03-15,1.09000,1.15500,1.08500,1.14000,1528000
19,2023-03-14,1.08000,1.16000,1.06000,1.13000,2037800
20,2023-03-13,1.03000,1.12000,1.03000,1.10000,2938000
21,2023-03-10,1.00000,1.08000,0.98300,1.06000,2881300
22,2023-03-09,1.05000,1.05000,0.98100,1.04000,2921600
23,2023-03-08,1.03000,1.05000,1.00000,1.04000,3060900
24,2023-03-07,1.07000,1.12000,1.01000,1.02000,3588500
25,2023-03-06,1.05000,1.11000,1.00000,1.11000,7645600
26,2023-03-03,1.50000,1.58000,0.98100,0.99700,34484100
27,2023-03-02,3.00000,3.01500,2.87000,2.92000,271900
28,2023-03-01,3.02000,3.16000,3.01500,3.03000,297800
29,2023-02-28,3.35000,3.37000,2.99000,3.06500,631100
30,2023-02-27,3.39000,3.51000,3.31000,3.39000,389100
31,2023-02-24,3.49000,3.49000,3.31000,3.34000,252700
32,2023-02-23,3.40000,3.61500,3.34000,3.43000,327300
33,2023-02-22,3.37000,3.47000,3.34000,3.37000,537100
34,2023-02-21,3.36000,3.57500,3.34000,3.37000,352300
35,2023-02-17,3.70000,3.73000,3.27500,3.46000,1127000
