,datetime,open,high,low,close,volume
0,2023-04-11,10.50000,10.52000,10.49000,10.51500,2126300
1,2023-04-10,10.50000,10.52000,10.50000,10.50000,34900
2,2023-04-06,10.50000,10.50000,10.50000,10.50000,5400
3,2023-04-05,10.50000,10.50000,10.50000,10.50000,0
4,2023-04-04,10.50500,10.50500,10.50000,10.50000,358000
5,2023-04-03,10.49500,10.49500,10.49000,10.49000,3000
6,2023-03-31,10.50000,10.50000,10.50000,10.50000,0
7,2023-03-30,10.50000,10.50000,10.50000,10.50000,5500
8,2023-03-29,10.48000,10.48000,10.48000,10.48000,13200
9,2023-03-28,10.47000,10.47000,10.47000,10.47000,0
10,2023-03-27,10.47000,10.47000,10.47000,10.47000,65300
11,2023-03-24,10.47000,10.50000,10.47000,10.47000,1000
12,2023-03-23,10.47500,10.48400,10.47000,10.48000,265400
13,2023-03-22,10.47000,10.48000,10.47000,10.47500,800
14,2023-03-21,10.48000,10.48000,10.47000,10.47000,8000
15,2023-03-20,10.46800,10.46800,10.46000,10.46000,1600
16,2023-03-17,10.47500,10.48000,10.46000,10.46000,169100
17,2023-03-16,10.46500,10.47000,10.46500,10.46500,212200
18,2023-03-15,10.47000,10.47000,10.45300,10.46500,206600
19,2023-03-14,10.46000,10.46500,10.45000,10.46000,44100
20,2023-03-13,10.47000,10.47000,10.46000,10.46000,94500
21,2023-03-10,10.47000,10.47000,10.46000,10.46000,8100
22,2023-03-09,10.47000,10.47000,10.46000,10.46000,517200
23,2023-03-08,10.46000,10.47000,10.46000,10.47000,582700
24,2023-03-07,10.46000,10.47000,10.46000,10.46000,10100
25,2023-03-06,10.45000,10.45000,10.45000,10.45000,200
26,2023-03-03,10.45500,10.45500,10.45100,10.45100,1600
27,2023-03-02,10.46000,10.46000,10.46000,10.46000,5500
28,2023-03-01,10.45000,10.48000,10.44000,10.44000,145000
29,2023-02-28,10.43000,10.43000,10.43000,10.43000,0
30,2023-02-27,10.43000,10.43000,10.43000,10.43000,300
31,2023-02-24,10.44000,10.44000,10.43000,10.44000,20600
32,2023-02-23,10.42500,10.43000,10.42000,10.43000,8700
33,2023-02-22,10.42000,10.42100,10.42000,10.42100,2100
34,2023-02-21,10.42500,10.43000,10.42500,10.43000,2900
35,2023-02-17,10.41000,10.42000,10.41000,10.42000,25600
36,2023-02-16,10.41000,10.41000,10.41000,10.41000,0
37,2023-02-15,10.42000,10.42000,10.41000,10.41000,17100
38,2023-02-14,10.41000,10.42000,10.41000,10.42000,53300
39,2023-02-13,10.40500,10.41000,10.40000,10.41000,3800
40,2023-02-10,10.41000,10.41000,10.41000,10.41000,0
41,2023-02-09,10.41000,10.41500,10.41000,10.41000,50700
42,2023-02-08,10.40500,10.40500,10.40500,10.40500,4500
43,2023-02-07,10.40000,10.41000,10.40000,10.40000,43800
44,2023-02-06,10.41000,10.41000,10.39000,10.39000,37900
45,2023-02-03,10.40000,10.41000,10.39000,10.41000,105300
46,2023-02-02,10.39000,10.39000,10.39000,10.39000,0
47,2023-02-01,10.39500,10.39500,10.39000,10.39000,3100
48,2023-01-31,10.39500,10.40500,10.39500,10.40000,53400
49,2023-01-30,10.39000,10.40000,10.39000,10.39000,210700
50,2023-01-27,10.38800,10.39000,10.38800,10.39000,150900
51,2023-01-26,10.37400,10.39000,10.37000,10.38000,83300
52,2023-01-25,10.37000,10.37000,10.37000,10.37000,17800
53,2023-01-24,10.37000,10.37000,10.37000,10.37000,0
54,2023-01-23,10.37000,10.37000,10.37000,10.37000,400
55,2023-01-20,10.38000,10.39000,10.37000,10.38000,365600
56,2023-01-19,10.37000,10.39000,10.37000,10.37700,1220900
57,2023-01-18,10.37000,10.40000,10.35000,10.39000,2943800
58,2023-01-17,10.35000,10.38000,10.35000,10.37000,728000
59,2023-01-13,10.34000,10.34000,10.34000,10.34000,200
60,2023-01-12,10.34000,10.34000,10.34000,10.34000,0
61,2023-01-11,10.30000,10.34000,10.30000,10.34000,700
62,2023-01-10,10.33000,10.33000,10.33000,10.33000,100
63,2023-01-09,10.30500,10.33000,10.30000,10.33000,8200
64,2023-01-06,10.32000,10.32000,10.31000,10.32000,3300
65,2023-01-05,10.32000,10.32000,10.32000,10.32000,2200
66,2023-01-04,10.30000,10.30000,10.30000,10.30000,0
67,2023-01-03,10.30000,10.30000,10.30000,10.30000,200
68,2022-12-30,10.30000,10.30000,10.30000,10.30000,500
69,2022-12-29,10.31500,10.32000,10.31500,10.32000,200
70,2022-12-28,10.31500,10.32000,10.31500,10.32000,4700
71,2022-12-27,10.31000,10.31000,10.31000,10.31000,0
72,2022-12-23,10.31000,10.31000,10.30000,10.31000,1800
73,2022-12-22,10.29000,10.30000,10.29000,10.29000,2300
74,2022-12-21,10.29000,10.29000,10.29000,10.29000,0
75,2022-12-20,10.29000,10.29000,10.29000,10.29000,115000
76,2022-12-19,10.28500,10.28500,10.28500,10.28500,300
77,2022-12-16,10.30000,10.30000,10.30000,10.30000,100
78,2022-12-15,10.27600,10.27600,10.27600,10.27600,100
79,2022-12-14,10.28000,10.28500,10.28000,10.28500,6400
80,2022-12-13,10.28000,10.28000,10.27000,10.28000,470900
81,2022-12-12,10.27000,10.28000,10.27000,10.27000,233900
82,2022-12-09,10.26000,10.26000,10.26000,10.26000,0
83,2022-12-08,10.26000,10.26000,10.26000,10.26000,0
84,2022-12-07,10.26000,10.26000,10.26000,10.26000,77800
85,2022-12-06,10.25300,10.26000,10.25300,10.26000,102700
86,2022-12-05,10.25000,10.26000,10.25000,10.26000,600
87,2022-12-02,10.25000,10.25000,10.25000,10.25000,140900
88,2022-12-01,10.25000,10.25000,10.25000,10.25000,130300
89,2022-11-30,10.23500,10.25000,10.23500,10.25000,100600
90,2022-11-29,10.23500,10.23500,10.23500,10.23500,1500
91,2022-11-28,10.23000,10.23500,10.23000,10.23500,3400
92,2022-11-25,10.23500,10.23500,10.23500,10.23500,0
93,2022-11-23,10.23500,10.23500,10.23500,10.23500,100
94,2022-11-22,10.23000,10.23500,10.23000,10.23000,2700
95,2022-11-21,10.22500,10.22500,10.22500,10.22500,200
96,2022-11-18,10.22500,10.22500,10.22500,10.22500,700
97,2022-11-17,10.22500,10.22500,10.22500,10.22500,0
98,2022-11-16,10.22000,10.23000,10.21900,10.22500,104100
99,2022-11-15,10.24800,10.24800,10.21000,10.21000,2300
100,2022-11-14,10.20500,10.21000,10.20500,10.21000,3800
101,2022-11-11,10.20500,10.20500,10.20500,10.20500,200
102,2022-11-10,10.19000,10.20000,10.19000,10.20000,3700
103,2022-11-09,10.20000,10.20000,10.20000,10.20000,0
104,2022-11-08,10.20000,10.20000,10.20000,10.20000,400
105,2022-11-07,10.19000,10.19500,10.19000,10.19000,27500
106,2022-11-04,10.18200,10.18500,10.18000,10.18500,1600
107,2022-11-03,10.18000,10.18000,10.18000,10.18000,0
108,2022-11-02,10.18000,10.18200,10.17500,10.18000,58000
109,2022-11-01,10.18000,10.18000,10.17000,10.17800,14800
110,2022-10-31,10.17000,10.17200,10.17000,10.17000,93100
111,2022-10-28,10.17500,10.17500,10.17500,10.17500,200
112,2022-10-27,10.16000,10.17000,10.16000,10.17000,200000
113,2022-10-26,10.16000,10.16000,10.15000,10.15000,68200
114,2022-10-25,10.15000,10.15000,10.15000,10.15000,5200
115,2022-10-24,10.15000,10.15000,10.15000,10.15000,400
116,2022-10-21,10.16000,10.16000,10.15500,10.16000,3700
117,2022-10-20,10.14500,10.15500,10.14500,10.15500,500
118,2022-10-19,10.12000,10.12000,10.12000,10.12000,100
119,2022-10-18,10.10000,10.12000,10.10000,10.11000,37100
120,2022-10-17,10.11000,10.11000,10.10000,10.10500,3200
121,2022-10-14,10.10000,10.10000,10.10000,10.10000,100
122,2022-10-13,10.10000,10.10000,10.10000,10.10000,400
123,2022-10-12,10.11000,10.11000,10.10000,10.10000,1500
124,2022-10-11,10.11000,10.11000,10.11000,10.11000,200
125,2022-10-10,10.09500,10.10500,10.09500,10.10500,3200
126,2022-10-07,10.55000,10.55000,10.09000,10.10000,10700
127,2022-10-06,10.09000,10.09000,10.09000,10.09000,0
128,2022-10-05,10.10000,10.10000,10.09000,10.09000,21600
129,2022-10-04,10.13000,10.13000,10.13000,10.13000,5100
130,2022-10-03,10.12000,10.12000,10.11500,10.11500,2700
131,2022-09-30,10.14000,10.14000,10.14000,10.14000,1500
132,2022-09-29,10.11000,10.13500,10.11000,10.13000,55600
