,datetime,open,high,low,close,volume
0,2023-04-11,19.03000,19.26000,18.63000,18.76000,326000
1,2023-04-10,19.47000,19.47000,18.87000,18.96000,581400
2,2023-04-06,19.37000,20.05000,19.19000,19.56000,363800
3,2023-04-05,19.49000,19.95500,19.21000,19.41000,764800
4,2023-04-04,20.18000,20.57500,19.50000,19.84000,652300
5,2023-04-03,20.10000,20.74000,19.74500,20.19000,616300
6,2023-03-31,19.83000,20.19000,19.63000,20.14000,762700
7,2023-03-30,20.30000,20.63000,19.15000,19.80000,560800
8,2023-03-29,20.31000,20.59000,19.70000,20.21000,613500
9,2023-03-28,20.01000,20.19000,19.70000,20.07000,291000
10,2023-03-27,19.97000,20.27000,19.78000,20.13000,294100
11,2023-03-24,19.85000,20.12000,19.53000,19.94000,484000
12,2023-03-23,18.96000,20.05000,18.54000,19.95000,751300
13,2023-03-22,19.39000,19.39000,18.65000,18.70000,389500
14,2023-03-21,19.50000,19.95000,19.33000,19.45000,431900
15,2023-03-20,19.44000,19.44000,18.91000,19.30000,321600
16,2023-03-17,19.45000,19.57000,18.79000,19.34000,1212700
17,2023-03-16,19.08000,19.85000,18.82000,19.75000,464200
18,2023-03-15,19.44000,19.73000,19.14000,19.28000,358400
19,2023-03-14,20.00000,20.41000,19.69000,19.89000,456300
20,2023-03-13,18.01000,19.85000,18.01000,19.57000,720000
21,2023-03-10,20.19000,20.21000,18.90000,19.17000,1004000
22,2023-03-09,21.36000,21.62000,20.09000,20.36000,540696
23,2023-03-08,21.33000,21.53700,20.79000,21.27000,559000
24,2023-03-07,20.85000,21.48000,20.68000,21.32000,860700
25,2023-03-06,21.18000,21.18000,20.45000,20.85000,412400
26,2023-03-03,21.75000,21.97000,20.79000,21.19000,731500
27,2023-03-02,21.37000,21.62000,20.83500,21.60000,316000
28,2023-03-01,20.90000,21.80500,20.82000,21.52000,469800
29,2023-02-28,21.02000,21.64000,20.74500,20.96000,650900
30,2023-02-27,20.78000,21.37000,19.20000,21.00000,1196400
31,2023-02-24,19.84000,20.15800,19.33500,19.96000,475300
32,2023-02-23,20.04000,20.54000,19.55000,20.06000,510400
33,2023-02-22,20.12000,20.40500,19.76000,19.89000,655900
34,2023-02-21,20.48000,20.48000,20.01000,20.08000,624300
35,2023-02-17,20.01000,20.78000,19.77700,20.71000,385800
36,2023-02-16,20.01000,20.60000,19.75000,20.16000,586300
37,2023-02-15,20.35000,20.60000,19.90000,20.33000,710900
38,2023-02-14,21.91000,21.91000,20.15000,20.58000,979200
39,2023-02-13,21.41000,21.61000,21.00000,21.36000,267300
40,2023-02-10,21.84000,21.85500,21.03000,21.42000,429200
41,2023-02-09,22.33000,22.64500,21.70000,21.84000,436100
42,2023-02-08,22.90000,22.90000,22.04000,22.15000,311000
43,2023-02-07,22.54000,22.99000,22.26000,22.92000,398900
44,2023-02-06,22.47000,22.85300,22.10000,22.47000,548100
45,2023-02-03,21.97000,22.75000,21.89000,22.52000,510300
46,2023-02-02,22.00000,22.71000,21.80000,22.37000,626400
47,2023-02-01,21.29000,21.98000,21.18000,21.64000,617600
48,2023-01-31,20.89000,21.50000,20.89000,21.25000,494700
49,2023-01-30,21.08000,21.10000,20.52000,20.64000,354800
50,2023-01-27,21.40000,21.64500,20.88000,21.24000,380100
51,2023-01-26,21.74000,21.78000,21.01500,21.39000,300600
52,2023-01-25,21.37000,21.61000,20.70000,21.60000,308400
53,2023-01-24,21.02000,21.70000,20.72000,21.53000,411600
54,2023-01-23,21.87000,21.87000,21.05000,21.12000,527800
55,2023-01-20,21.47000,21.98000,21.13000,21.89000,523000
56,2023-01-19,21.93000,21.93000,21.10000,21.25000,475700
57,2023-01-18,22.59000,23.42000,22.04000,22.12000,532800
58,2023-01-17,23.08000,23.28500,22.33000,22.52000,672600
59,2023-01-13,22.03000,23.46000,22.03000,23.07000,717200
60,2023-01-12,21.21000,22.31000,20.83000,22.25000,636300
61,2023-01-11,21.50000,21.67000,20.82000,21.20000,603700
62,2023-01-10,21.00000,21.79000,20.88000,21.49000,572900
63,2023-01-09,23.12000,23.17500,20.92000,21.06000,1220200
64,2023-01-06,22.56000,23.40500,22.01000,22.97000,381100
65,2023-01-05,22.37000,22.78000,21.92000,22.53000,591800
66,2023-01-04,21.84000,22.56000,21.62000,22.53000,787000
67,2023-01-03,22.86000,23.01000,21.73000,21.84000,499100
68,2022-12-30,22.65000,22.74000,21.96000,22.67000,375200
69,2022-12-29,22.25000,23.40000,22.15000,22.67000,440200
70,2022-12-28,22.61000,22.80000,21.97000,22.18000,298900
71,2022-12-27,23.25000,23.50000,22.53000,22.60000,397300
72,2022-12-23,23.67000,24.19000,22.87000,23.29000,474200
73,2022-12-22,23.16000,23.90000,23.13300,23.71000,619700
74,2022-12-21,23.21000,23.98000,23.06500,23.51000,549000
75,2022-12-20,21.87000,23.03000,21.75000,23.03000,625200
76,2022-12-19,23.25000,23.42000,21.58000,21.95000,850600
77,2022-12-16,23.04000,23.63000,22.80000,23.11000,2421400
78,2022-12-15,23.20000,23.69000,22.97000,23.08000,638300
79,2022-12-14,23.20000,24.25000,23.09000,23.52000,563000
80,2022-12-13,23.45000,24.14000,23.09000,23.46000,786300
81,2022-12-12,22.32000,23.57500,22.07000,22.99000,639700
82,2022-12-09,22.93000,23.01500,22.06000,22.30000,677800
83,2022-12-08,23.86000,24.27000,22.89000,23.08000,458600
84,2022-12-07,24.17000,24.47000,23.70000,23.73000,428700
85,2022-12-06,25.62000,25.74000,24.18500,24.24000,633700
86,2022-12-05,25.81000,26.30000,25.37000,25.65000,682500
87,2022-12-02,25.39000,26.71000,25.39000,26.03000,1467400
88,2022-12-01,26.48000,27.12000,26.11000,26.29000,431800
