,datetime,open,high,low,close,volume
0,2023-04-11,135.13000,136.48000,134.42999,135.42999,357200
1,2023-04-10,132.72000,135.64999,132.72000,135.09000,399800
2,2023-04-06,135.42999,135.98000,132.84000,133.07001,305700
3,2023-04-05,132.20000,135.21001,132.20000,135.00000,425200
4,2023-04-04,134.99001,135.00000,131.28999,133.35001,349700
5,2023-04-03,133.47000,134.97000,131.89000,134.55000,285200
6,2023-03-31,133.50999,134.17000,132.25000,132.75999,251600
7,2023-03-30,133.89000,134.74001,131.82001,132.42000,329600
8,2023-03-29,133.22000,134.34000,132.23000,133.50999,393200
9,2023-03-28,129.35001,132.12000,128.47000,131.55000,453300
10,2023-03-27,129.58000,131.23000,128.21001,130.20000,395800
11,2023-03-24,123.90000,127.56000,123.08000,127.45000,311400
12,2023-03-23,127.08000,128.60001,125.36000,125.77000,521500
13,2023-03-22,130.16000,130.99001,127.06000,127.08000,496200
14,2023-03-21,131.06000,131.58000,129.99001,130.59000,521100
15,2023-03-20,123.56000,129.45000,122.65000,127.35000,762200
16,2023-03-17,127.50000,127.50000,120.99000,121.97000,834500
17,2023-03-16,123.77000,129.69000,123.57000,128.69000,432100
18,2023-03-15,126.65000,127.79000,122.31000,124.83000,661100
19,2023-03-14,128.73000,130.49001,128.03999,130.22000,659200
20,2023-03-13,130.56000,130.56000,125.35000,125.51000,603100
21,2023-03-10,136.87000,137.05000,133.32001,133.74001,501600
22,2023-03-09,141.75999,142.23000,137.71001,138.34000,524300
23,2023-03-08,143.44000,143.88000,140.16000,141.81000,439100
24,2023-03-07,143.67000,146.39000,143.08000,143.36000,455800
25,2023-03-06,146.35001,147.34000,142.30000,143.32001,545800
26,2023-03-03,146.13000,147.39999,144.64999,146.58000,388292
27,2023-03-02,145.85001,146.23000,143.25000,146.17000,538099
28,2023-03-01,144.31000,147.13000,144.00000,146.39000,496687
29,2023-02-28,144.53999,145.80000,143.84000,144.47000,496456
30,2023-02-27,146.57001,147.35150,143.56000,143.83000,352480
31,2023-02-24,145.14000,146.88000,144.12000,146.12000,735205
32,2023-02-23,148.25000,149.74001,145.52000,145.69000,527577
33,2023-02-22,146.67000,148.14999,146.12000,147.39000,336278
34,2023-02-21,148.44000,148.44000,146.20000,146.99001,256240
35,2023-02-17,148.22000,149.85001,147.25999,149.06000,386151
36,2023-02-16,147.16000,150.02000,146.63000,148.22000,339020
37,2023-02-15,148.50000,149.37000,147.67999,147.99001,295188
38,2023-02-14,151.67000,152.28999,148.30000,149.07001,499103
39,2023-02-13,150.70000,152.25999,150.13901,151.55000,339065
40,2023-02-10,150.48000,151.84000,150.13000,151.58000,359043
41,2023-02-09,151.28000,151.99001,148.14000,149.62000,537400
42,2023-02-08,148.02000,150.62000,147.21001,150.32001,416280
