,datetime,open,high,low,close,volume
0,2023-04-11,15.85000,16.01000,15.54000,15.80000,353700
1,2023-04-10,15.63000,16.08000,15.61000,15.89000,214100
2,2023-04-06,15.27000,16.09000,15.27000,15.71000,308800
3,2023-04-05,15.10000,15.85000,14.11000,15.29000,801600
4,2023-04-04,17.15000,17.15000,16.46000,16.62000,269200
5,2023-04-03,17.13000,17.23000,16.88000,17.09000,149200
6,2023-03-31,16.90000,17.10000,16.88000,17.06000,256100
7,2023-03-30,16.97000,17.02000,16.80000,16.87000,152400
8,2023-03-29,17.16000,17.18000,16.74000,16.84000,212200
9,2023-03-28,17.34000,17.49000,17.03000,17.14000,126400
10,2023-03-27,17.30000,17.45000,17.27000,17.35000,186900
11,2023-03-24,16.93000,17.24000,16.72000,17.09000,264600
12,2023-03-23,17.52000,17.83000,16.88000,16.90000,187900
13,2023-03-22,17.63000,17.99000,17.50000,17.51000,244800
14,2023-03-21,17.49000,17.73000,17.37000,17.61000,212000
15,2023-03-20,17.32000,17.60000,17.28000,17.32000,210700
16,2023-03-17,17.65000,17.85000,17.10000,17.15000,1430200
17,2023-03-16,17.41000,17.89000,17.13000,17.79000,313300
18,2023-03-15,17.81000,17.81000,17.34000,17.55000,284000
19,2023-03-14,17.83000,18.26000,17.74000,17.86000,260300
20,2023-03-13,17.50000,18.23000,17.29000,17.49000,296500
21,2023-03-10,17.75000,17.87000,17.57000,17.64000,185000
22,2023-03-09,17.79000,18.03000,17.79000,17.84000,124300
23,2023-03-08,17.82000,17.91000,17.56000,17.74000,127300
24,2023-03-07,17.99000,17.99000,17.57000,17.78000,160200
25,2023-03-06,18.25000,18.45000,17.79000,17.92000,142300
26,2023-03-03,18.06000,18.34000,17.88000,18.27000,160600
27,2023-03-02,18.19000,18.19000,17.87000,18.02000,126400
28,2023-03-01,18.10000,18.26000,17.96000,18.13000,113400
29,2023-02-28,17.95000,18.20000,17.95000,18.06000,218400
30,2023-02-27,18.17000,18.39000,17.93000,17.95000,163700
31,2023-02-24,18.12000,18.12000,17.88000,18.05000,276200
32,2023-02-23,18.17000,18.38000,18.11000,18.30000,142800
33,2023-02-22,17.99000,18.14000,17.92000,18.05000,242600
34,2023-02-21,18.14000,18.22000,18.00000,18.01000,140900
35,2023-02-17,18.36000,18.48000,18.17000,18.30000,137200
36,2023-02-16,17.96000,18.36000,17.93000,18.26000,163500
37,2023-02-15,17.82000,18.17000,17.72000,18.15000,104100
38,2023-02-14,18.09000,18.27000,17.95000,18.07000,113400
39,2023-02-13,17.84000,18.16000,17.76000,18.10000,175400
40,2023-02-10,17.62000,17.86000,17.62000,17.78000,123500
41,2023-02-09,17.95000,18.04000,17.59000,17.69000,165400
42,2023-02-08,18.04000,18.04000,17.78000,17.80000,124000
43,2023-02-07,17.97000,18.12000,17.67000,18.04000,189100
44,2023-02-06,18.02000,18.16000,17.80000,18.09000,205000
45,2023-02-03,18.01000,18.33000,17.78000,18.10000,222600
46,2023-02-02,17.69000,18.08000,17.37000,18.08000,249600
47,2023-02-01,17.27000,17.90000,17.11000,17.73000,315600
48,2023-01-31,16.77000,17.29000,16.75000,17.27000,273200
49,2023-01-30,16.76000,16.94000,16.62000,16.63000,130700
50,2023-01-27,16.93000,16.99000,16.83000,16.85000,111000
51,2023-01-26,16.90000,16.94000,16.64000,16.93000,121000
52,2023-01-25,16.72000,16.81000,16.49000,16.80000,107600
53,2023-01-24,16.50000,16.84000,16.44000,16.78000,110700
54,2023-01-23,16.71000,16.84000,16.47000,16.64000,209700
55,2023-01-20,16.96000,17.00000,16.39000,16.57000,277000
56,2023-01-19,16.84000,17.21000,16.82000,16.88000,257600
57,2023-01-18,17.48000,17.80000,16.95000,16.99000,330400
58,2023-01-17,17.82000,17.82000,17.41000,17.48000,196900
59,2023-01-13,17.55000,17.79000,17.48000,17.64000,124900
60,2023-01-12,17.71000,17.97000,17.51000,17.67000,272200
61,2023-01-11,17.47000,17.66000,17.34000,17.62000,230000
62,2023-01-10,17.02000,17.55000,17.01000,17.41000,320400
63,2023-01-09,17.12000,17.57000,17.01000,17.04000,273800
64,2023-01-06,15.39000,16.99000,15.39000,16.95000,388100
65,2023-01-05,17.88000,17.88000,15.38000,15.42000,774000
66,2023-01-04,18.67000,18.74000,18.48000,18.62000,158200
67,2023-01-03,18.60000,18.74000,18.39000,18.54000,184800
68,2022-12-30,18.44000,18.46000,18.26000,18.38000,85500
69,2022-12-29,18.47000,18.63000,18.41000,18.50000,83600
70,2022-12-28,18.64000,18.68000,18.27000,18.32000,81400
71,2022-12-27,18.57000,18.68000,18.40000,18.56000,101400
72,2022-12-23,18.46000,18.61000,18.46000,18.52000,84300
73,2022-12-22,18.47000,18.58000,18.15000,18.46000,84000
74,2022-12-21,18.59000,18.88000,18.55000,18.65000,89300
75,2022-12-20,18.25000,18.66000,18.10000,18.49000,107500
76,2022-12-19,18.46000,18.69000,18.16000,18.24000,118800
77,2022-12-16,18.56000,18.77000,18.24000,18.36000,568700
