,datetime,open,high,low,close,volume
0,2023-04-11,7.88000,7.96000,7.80000,7.92000,2821000
1,2023-04-10,7.81000,7.89000,7.66000,7.80000,3352200
2,2023-04-06,7.85000,7.88000,7.79000,7.80000,3680400
3,2023-04-05,7.84000,7.91000,7.79000,7.84000,6856200
4,2023-04-04,7.98000,8.01000,7.82000,7.89000,3674700
5,2023-04-03,8.00000,8.03000,7.91000,7.94000,5541400
6,2023-03-31,7.87000,8.01000,7.85000,8.00000,3727900
7,2023-03-30,7.86000,7.92000,7.78000,7.84000,3256800
8,2023-03-29,8.06000,8.10000,7.95000,8.00000,5269300
9,2023-03-28,7.85000,7.99000,7.82000,7.95000,4161900
10,2023-03-27,7.88000,7.92000,7.79000,7.88000,5296200
11,2023-03-24,7.56000,7.73000,7.40000,7.71000,5800800
12,2023-03-23,7.81000,7.92000,7.55000,7.58000,6171700
13,2023-03-22,8.02000,8.03000,7.75000,7.75000,4685700
14,2023-03-21,7.93000,8.12000,7.93000,8.03000,4168800
15,2023-03-20,7.82000,7.91000,7.73000,7.76000,5293700
16,2023-03-17,7.98000,7.99000,7.70000,7.72000,9605400
17,2023-03-16,7.95000,8.08000,7.78000,8.02000,5577400
18,2023-03-15,8.11000,8.13000,7.83000,8.00000,7134500
19,2023-03-14,8.25000,8.51000,8.21000,8.32000,7114700
20,2023-03-13,8.05000,8.15000,7.83000,8.02000,6276400
21,2023-03-10,8.52000,8.55000,8.19000,8.21000,6189200
22,2023-03-09,8.86000,8.93000,8.53000,8.54000,3873200
23,2023-03-08,8.92000,8.95000,8.77000,8.87000,4306700
24,2023-03-07,9.06000,9.09000,8.89000,8.92000,3227100
25,2023-03-06,9.10000,9.18000,9.05000,9.08000,3783700
26,2023-03-03,9.03000,9.10000,9.03000,9.06000,2765100
27,2023-03-02,8.97000,8.99000,8.92000,8.97000,3856000
28,2023-03-01,9.09000,9.14000,8.98000,9.04000,4184300
29,2023-02-28,9.20000,9.22000,9.10000,9.10000,3211900
30,2023-02-27,9.22000,9.26000,9.12000,9.15000,2481300
31,2023-02-24,9.18000,9.23000,9.08000,9.16000,3392700
32,2023-02-23,9.30000,9.37000,9.16000,9.25000,3412200
33,2023-02-22,9.15000,9.31000,9.15000,9.23000,3231500
34,2023-02-21,9.43000,9.45000,9.10000,9.16000,4807700
35,2023-02-17,9.52000,9.54000,9.42000,9.52000,6566200
36,2023-02-16,9.50000,9.62000,9.44000,9.53000,3146400
37,2023-02-15,9.49000,9.60000,9.43000,9.58000,3076500
38,2023-02-14,9.52000,9.63000,9.45000,9.56000,3779100
39,2023-02-13,9.45000,9.58000,9.44000,9.58000,3583900
40,2023-02-10,9.40000,9.54000,9.35000,9.48000,4660500
41,2023-02-09,9.64000,9.74000,9.37000,9.44000,7079100
42,2023-02-08,9.44000,9.58000,9.41000,9.53000,6735000
43,2023-02-07,9.13000,9.28000,9.09000,9.25000,9539200
44,2023-02-06,9.41000,9.41000,9.13000,9.20000,5793500
45,2023-02-03,9.45000,9.52000,9.36000,9.46000,5389900
46,2023-02-02,9.57000,9.68000,9.54000,9.58000,4544600
47,2023-02-01,9.37000,9.59000,9.34000,9.50000,6388700
48,2023-01-31,9.30000,9.41000,9.27000,9.41000,6120700
49,2023-01-30,9.27000,9.36000,9.22000,9.28000,4224100
50,2023-01-27,9.38000,9.43000,9.29000,9.33000,5894500
51,2023-01-26,9.25000,9.32000,9.19000,9.31000,3050600
52,2023-01-25,9.16000,9.26000,9.14000,9.21000,2806900
53,2023-01-24,9.17000,9.28000,9.09000,9.23000,4059000
54,2023-01-23,9.08000,9.20000,9.07000,9.17000,4489100
55,2023-01-20,8.88000,9.07000,8.82000,9.03000,5072100
56,2023-01-19,8.80000,8.89000,8.76000,8.88000,3012200
57,2023-01-18,8.89000,8.99000,8.84000,8.87000,2776700
58,2023-01-17,8.89000,8.96000,8.82000,8.84000,3119400
59,2023-01-13,8.79000,8.90000,8.76000,8.86000,3770300
60,2023-01-12,8.85000,8.94000,8.74000,8.85000,4601000
61,2023-01-11,8.69000,8.87000,8.69000,8.78000,4513700
62,2023-01-10,8.55000,8.65000,8.50000,8.63000,3040300
63,2023-01-09,8.60000,8.66000,8.56000,8.56000,3800600
64,2023-01-06,8.47000,8.57000,8.41000,8.54000,3036600
65,2023-01-05,8.38000,8.46000,8.35000,8.42000,3220400
66,2023-01-04,8.35000,8.49000,8.35000,8.44000,4012400
67,2023-01-03,8.24000,8.42000,8.20000,8.28000,4282700
68,2022-12-30,8.17000,8.21000,8.08000,8.17000,5093900
69,2022-12-29,8.12000,8.29000,8.04000,8.27000,3896300
70,2022-12-28,8.58000,8.61000,8.25000,8.25000,6163600
71,2022-12-27,8.53000,8.60000,8.46000,8.59000,4008000
72,2022-12-23,8.52000,8.56000,8.47000,8.52000,2800900
73,2022-12-22,8.50000,8.56000,8.31000,8.49000,3863500
74,2022-12-21,8.52000,8.64000,8.50000,8.57000,5242600
75,2022-12-20,8.50000,8.55000,8.36000,8.40000,4829500
76,2022-12-19,8.27000,8.62000,8.23000,8.62000,9495700
77,2022-12-16,8.53000,8.70000,7.81000,8.06000,46640400
78,2022-12-15,8.80000,8.83000,8.66000,8.68000,5291300
79,2022-12-14,9.01000,9.05000,8.86000,8.94000,3885800
80,2022-12-13,9.10000,9.31000,9.01000,9.01000,4364600
81,2022-12-12,8.86000,8.95000,8.80000,8.93000,3445200
82,2022-12-09,8.92000,9.01000,8.85000,8.89000,2159200
83,2022-12-08,9.00000,9.09000,8.89000,8.93000,3048300
84,2022-12-07,8.79000,9.06000,8.74000,8.95000,3458000
85,2022-12-06,8.79000,8.88000,8.67000,8.86000,4205300
86,2022-12-05,8.98000,8.99000,8.76000,8.79000,2585900
87,2022-12-02,8.96000,9.07000,8.85000,9.02000,2585500
88,2022-12-01,9.04000,9.27000,9.03000,9.06000,3126900
89,2022-11-30,8.90000,9.05000,8.76000,9.05000,4265400
90,2022-11-29,8.84000,8.92000,8.78000,8.90000,1922200
91,2022-11-28,8.94000,8.97000,8.80000,8.82000,2918700
92,2022-11-25,8.88000,9.02000,8.82000,9.01000,1479400
93,2022-11-23,8.78000,8.88000,8.72000,8.87000,1761800
94,2022-11-22,8.75000,8.86000,8.73000,8.79000,2734300
95,2022-11-21,8.64000,8.74000,8.62000,8.71000,2713400
96,2022-11-18,8.79000,8.93000,8.64000,8.70000,2717900
97,2022-11-17,8.59000,8.70000,8.49000,8.69000,2632000
98,2022-11-16,8.95000,8.95000,8.70000,8.73000,4259700
99,2022-11-15,9.03000,9.14000,8.89000,8.99000,4728300
100,2022-11-14,9.00000,9.05000,8.85000,8.85000,5027100
101,2022-11-11,8.94000,9.15000,8.85000,9.04000,5118600
102,2022-11-10,8.67000,8.88000,8.67000,8.85000,7097000
103,2022-11-09,8.51000,8.63000,8.40000,8.45000,3678200
104,2022-11-08,8.60000,8.69000,8.48000,8.58000,4845900
105,2022-11-07,8.47000,8.62000,8.39000,8.59000,3782800
106,2022-11-04,8.17000,8.44000,8.16000,8.38000,6895000
107,2022-11-03,8.30000,8.31000,8.00000,8.02000,7783800
108,2022-11-02,8.58000,8.80000,8.40000,8.40000,6714500
109,2022-11-01,8.49000,8.56000,8.44000,8.52000,4159200
110,2022-10-31,8.40000,8.56000,8.35000,8.43000,4632000
111,2022-10-28,8.21000,8.52000,8.12000,8.48000,5250800
112,2022-10-27,8.24000,8.33000,8.09000,8.10000,3967800
113,2022-10-26,8.08000,8.29000,8.08000,8.12000,4363700
114,2022-10-25,7.71000,8.10000,7.63000,8.08000,5809700
115,2022-10-24,7.79000,7.85000,7.68000,7.75000,4361700
116,2022-10-21,7.58000,7.73000,7.49000,7.70000,5741500
117,2022-10-20,7.68000,7.77000,7.55000,7.58000,3214000
118,2022-10-19,7.72000,7.72000,7.53000,7.61000,3769300
119,2022-10-18,7.65000,7.81000,7.65000,7.75000,6669500
120,2022-10-17,7.51000,7.58000,7.41000,7.51000,4796600
121,2022-10-14,7.54000,7.68000,7.34000,7.37000,5509000
122,2022-10-13,7.17000,7.56000,7.10000,7.53000,6023400
123,2022-10-12,7.45000,7.47000,7.12000,7.40000,8224100
124,2022-10-11,7.14000,7.52000,7.04000,7.44000,8780400
125,2022-10-10,7.29000,7.40000,7.08000,7.14000,4762500
126,2022-10-07,7.28000,7.43000,7.20000,7.29000,6204600
127,2022-10-06,7.40000,7.54000,7.23000,7.39000,8624100
128,2022-10-05,7.50000,7.50000,7.14000,7.45000,7620400
129,2022-10-04,7.32000,7.71000,7.29000,7.67000,8097100
130,2022-10-03,7.22000,7.23000,6.86000,7.17000,7805400
131,2022-09-30,7.34000,7.48000,7.28000,7.32000,7315300
132,2022-09-29,7.60000,7.60000,7.11000,7.25000,9836000
133,2022-09-28,7.48000,7.68000,7.44000,7.62000,7477100
134,2022-09-27,7.60000,7.73000,7.31000,7.38000,8707400
135,2022-09-26,8.10000,8.12000,7.42000,7.54000,11901600
136,2022-09-23,8.40000,8.40000,7.98000,8.17000,7535800
137,2022-09-22,8.76000,8.81000,8.36000,8.41000,5541500
138,2022-09-21,8.93000,9.07000,8.78000,8.79000,3771400
139,2022-09-20,8.97000,9.00000,8.82000,8.84000,3364500
140,2022-09-19,8.86000,9.08000,8.84000,9.00000,3754000
141,2022-09-16,8.86000,9.00000,8.79000,8.98000,8100200
142,2022-09-15,9.02000,9.13000,8.86000,8.88000,3510700
143,2022-09-14,9.05000,9.11000,8.93000,9.06000,3643600
144,2022-09-13,9.14000,9.23000,9.00000,9.03000,3289200
145,2022-09-12,9.43000,9.52000,9.31000,9.36000,2273100
146,2022-09-09,9.24000,9.36000,9.20000,9.33000,2448600
147,2022-09-08,9.12000,9.19000,9.05000,9.19000,2700300
148,2022-09-07,9.06000,9.21000,9.01000,9.19000,2662300
149,2022-09-06,9.29000,9.35000,9.08000,9.11000,2771300
150,2022-09-02,9.22000,9.39000,9.20000,9.26000,2942500
151,2022-09-01,9.31000,9.35000,9.02000,9.14000,4371000
152,2022-08-31,9.61000,9.64000,9.33000,9.43000,3284900
153,2022-08-30,9.80000,9.81000,9.50000,9.54000,3931000
154,2022-08-29,9.77000,9.86000,9.70000,9.76000,2493400
155,2022-08-26,10.02000,10.09000,9.79000,9.86000,2075900
156,2022-08-25,9.90000,10.06000,9.89000,10.03000,1845500
157,2022-08-24,9.83000,9.90000,9.79000,9.87000,1648900
158,2022-08-23,9.78000,9.91000,9.78000,9.88000,2378600
159,2022-08-22,9.84000,9.88000,9.76000,9.78000,3863000
160,2022-08-19,9.98000,10.05000,9.91000,9.99000,2639700
161,2022-08-18,10.04000,10.15000,10.03000,10.07000,1936500
162,2022-08-17,10.18000,10.21000,9.94000,10.07000,3682800
163,2022-08-16,10.27000,10.32000,10.15000,10.31000,2664200
164,2022-08-15,10.07000,10.25000,10.03000,10.24000,2704100
165,2022-08-12,10.06000,10.19000,10.03000,10.15000,2993000
166,2022-08-11,10.03000,10.15000,10.00000,10.01000,2699200
167,2022-08-10,10.03000,10.09000,9.94000,9.97000,3662500
168,2022-08-09,9.95000,10.04000,9.82000,9.92000,2703400
