,datetime,open,high,low,close,volume
0,2023-04-11,50.40000,50.99000,49.74000,49.97000,983900
1,2023-04-10,48.20000,50.50000,48.00000,49.96000,1550300
2,2023-04-06,48.63000,49.24000,48.06000,48.59000,512500
3,2023-04-05,48.82000,49.41000,48.28000,49.12000,960000
4,2023-04-04,50.74000,50.89000,48.48000,48.80000,1342800
5,2023-04-03,51.19000,51.88000,49.60000,50.63000,1189100
6,2023-03-31,50.58000,51.31000,50.13000,51.26000,1470800
7,2023-03-30,47.79000,50.81000,47.69000,50.53000,2821100
8,2023-03-29,44.13000,47.89000,44.13000,47.70000,2614200
9,2023-03-28,45.12000,45.31000,43.19000,43.49000,1421700
10,2023-03-27,44.56000,45.63000,44.35000,45.53000,953800
11,2023-03-24,45.02000,45.24000,43.85000,44.34000,1069200
12,2023-03-23,45.54000,46.29000,44.66000,45.60000,810600
13,2023-03-22,45.52000,46.15000,44.77000,44.78000,1213700
14,2023-03-21,45.32000,45.76000,44.75000,45.52000,841000
15,2023-03-20,44.31000,44.89000,43.94000,44.74000,719600
16,2023-03-17,44.88000,45.22000,43.71000,44.08000,2660800
17,2023-03-16,41.69000,45.02000,41.61000,44.90000,991700
18,2023-03-15,42.46000,42.86000,41.24000,42.06000,954600
19,2023-03-14,41.98000,43.56000,41.43000,43.08000,1397100
20,2023-03-13,40.52000,41.90000,40.48000,41.24000,879900
21,2023-03-10,42.70000,42.98000,41.14000,41.30000,1115400
22,2023-03-09,43.73000,44.30000,42.73000,42.75000,471410
23,2023-03-08,43.40000,43.77000,43.09000,43.64000,685800
24,2023-03-07,44.57000,44.78000,42.64000,43.16000,851100
25,2023-03-06,44.66000,45.45000,44.47000,44.72000,1134000
26,2023-03-03,44.39000,44.74000,43.74000,44.69000,757000
27,2023-03-02,44.54000,44.68000,43.45000,44.49000,958700
28,2023-03-01,44.75000,45.51000,44.57000,45.03000,824100
29,2023-02-28,43.87000,44.99000,43.74000,44.23000,1201800
30,2023-02-27,44.13000,44.56000,43.97000,44.01000,580700
31,2023-02-24,43.10000,43.87000,42.81000,43.66000,422200
32,2023-02-23,44.30000,44.39000,43.17000,43.65000,567900
33,2023-02-22,43.20000,43.54000,42.75000,43.08000,822900
34,2023-02-21,43.98000,44.20000,43.19000,43.20000,573800
35,2023-02-17,45.06000,45.25000,44.00000,44.21000,564000
36,2023-02-16,45.03000,45.51000,44.80000,45.02000,503900
37,2023-02-15,45.12000,45.75000,44.63000,45.56000,856000
