,datetime,open,high,low,close,volume
0,2023-04-11,4.11000,4.18000,4.05000,4.07000,129600
1,2023-04-10,4.00000,4.12900,3.96000,4.11000,173900
2,2023-04-06,3.90000,4.05000,3.86000,4.01500,184500
3,2023-04-05,3.93000,3.96000,3.86000,3.89000,258400
4,2023-04-04,3.97000,3.97000,3.84100,3.96000,245000
5,2023-04-03,4.12000,4.12000,3.87000,3.93000,226000
6,2023-03-31,4.05000,4.18000,4.03500,4.12000,368800
7,2023-03-30,4.06000,4.11500,3.96000,4.02000,142700
8,2023-03-29,4.01000,4.05000,3.92800,4.03000,204700
9,2023-03-28,4.22000,4.22000,3.88000,3.92000,337600
10,2023-03-27,4.07000,4.17000,4.02000,4.17000,139100
11,2023-03-24,4.01000,4.11000,3.97000,4.03000,161100
12,2023-03-23,4.06000,4.15000,4.00800,4.06000,169000
13,2023-03-22,4.23000,4.26000,4.05000,4.05000,138600
14,2023-03-21,4.17000,4.29000,4.17000,4.23000,102000
15,2023-03-20,4.06000,4.21000,4.00000,4.14000,135300
16,2023-03-17,4.05000,4.08000,4.00000,4.02000,385500
17,2023-03-16,4.06000,4.16000,3.97000,4.10000,168900
18,2023-03-15,4.08000,4.11000,3.95000,4.10000,227000
19,2023-03-14,4.21000,4.28500,4.09000,4.18000,469000
20,2023-03-13,4.10000,4.16000,3.96000,4.10000,292500
21,2023-03-10,4.32000,4.46000,4.17000,4.19000,565300
22,2023-03-09,4.58000,4.64000,4.33000,4.34000,347600
23,2023-03-08,4.90000,4.95000,4.45000,4.59000,456300
24,2023-03-07,4.92000,4.98000,4.79000,4.96000,196300
25,2023-03-06,5.05000,5.06800,4.82000,4.90000,295400
26,2023-03-03,4.78000,5.10000,4.72000,5.06000,301800
27,2023-03-02,4.51000,5.25000,4.22000,4.83000,758900
28,2023-03-01,4.28000,4.63500,4.23000,4.47000,234900
29,2023-02-28,4.25000,4.35000,4.23000,4.28000,345500
30,2023-02-27,4.40000,4.42000,4.23000,4.25000,254700
31,2023-02-24,4.44000,4.47000,4.37000,4.42000,244700
32,2023-02-23,4.78000,4.84000,4.46000,4.53000,164500
33,2023-02-22,4.77000,4.83000,4.73000,4.75000,147500
34,2023-02-21,4.84000,4.84000,4.75000,4.75000,133200
35,2023-02-17,4.90000,4.94000,4.80000,4.91000,128600
36,2023-02-16,4.80000,5.04000,4.79000,4.88000,251900
37,2023-02-15,4.82000,4.88800,4.71000,4.85000,124900
38,2023-02-14,4.80000,4.88000,4.66000,4.77000,234500
39,2023-02-13,4.70000,4.86000,4.64000,4.83000,156300
40,2023-02-10,4.83000,4.84000,4.69000,4.71000,173400
41,2023-02-09,4.88000,4.98000,4.84000,4.85000,139100
42,2023-02-08,4.85000,4.93500,4.77500,4.85000,130300
43,2023-02-07,4.91000,4.92500,4.70000,4.85000,217700
44,2023-02-06,5.14000,5.14000,4.94000,4.95000,182600
45,2023-02-03,5.04000,5.17000,4.77000,5.05000,161800
46,2023-02-02,4.96000,5.18000,4.95500,5.10000,281000
47,2023-02-01,4.51000,4.94500,4.51000,4.94000,346200
48,2023-01-31,4.68000,4.82000,4.47000,4.50000,942000
49,2023-01-30,4.81000,4.84000,4.70000,4.73000,250500
50,2023-01-27,4.92000,5.03000,4.88000,4.91000,232800
