,datetime,open,high,low,close,volume
0,2023-04-11,0.39000,0.41000,0.38000,0.39100,250400
1,2023-04-10,0.34600,0.39300,0.33300,0.38000,463100
2,2023-04-06,0.41000,0.41000,0.35000,0.37000,1164700
3,2023-04-05,0.40300,0.49000,0.36600,0.43500,18194500
4,2023-04-04,0.35000,0.35000,0.32800,0.33100,104800
5,2023-04-03,0.32800,0.35000,0.32000,0.35000,143400
6,2023-03-31,0.35700,0.35700,0.32000,0.33900,155300
7,2023-03-30,0.32500,0.34000,0.32200,0.33500,75400
8,2023-03-29,0.34000,0.34000,0.31300,0.31800,81900
9,2023-03-28,0.31800,0.33000,0.31000,0.31300,102700
10,2023-03-27,0.33000,0.33000,0.30000,0.31800,97900
11,2023-03-24,0.32000,0.32500,0.31000,0.31900,106400
12,2023-03-23,0.35000,0.35000,0.31000,0.32100,144100
13,2023-03-22,0.34000,0.35000,0.33000,0.33600,84700
14,2023-03-21,0.34000,0.34700,0.33000,0.33900,211600
15,2023-03-20,0.33100,0.35100,0.32800,0.33900,262900
16,2023-03-17,0.33500,0.34900,0.32400,0.32400,182100
17,2023-03-16,0.33700,0.36000,0.33600,0.34500,162100
18,2023-03-15,0.37800,0.38800,0.34000,0.34800,329200
19,2023-03-14,0.40000,0.41400,0.37500,0.37600,517500
20,2023-03-13,0.39000,0.40000,0.37000,0.37500,384500
21,2023-03-10,0.42000,0.42000,0.39000,0.39900,189500
22,2023-03-09,0.43000,0.43800,0.41000,0.41700,107400
23,2023-03-08,0.42000,0.43800,0.42000,0.42800,89400
24,2023-03-07,0.45000,0.45000,0.42100,0.43800,166700
25,2023-03-06,0.45500,0.47000,0.43000,0.45000,267400
26,2023-03-03,0.46900,0.48000,0.45500,0.46000,221800
27,2023-03-02,0.51000,0.52000,0.44800,0.48000,495100
28,2023-03-01,0.49800,0.53900,0.49500,0.51000,832800
29,2023-02-28,0.45500,0.52800,0.44700,0.52100,2156800
30,2023-02-27,0.43400,0.55000,0.41000,0.47800,7032900
31,2023-02-24,0.45000,0.47000,0.42000,0.43000,355200
32,2023-02-23,0.50000,0.50000,0.43100,0.44100,502400
33,2023-02-22,0.48900,0.50200,0.46000,0.47500,887000
34,2023-02-21,0.50300,0.50600,0.47000,0.47500,768900
35,2023-02-17,0.53000,0.56000,0.50100,0.52500,2467900
36,2023-02-16,0.52700,0.53600,0.49700,0.50400,3889600
37,2023-02-15,0.89800,0.91000,0.60900,0.67000,40724100
38,2023-02-14,0.50500,0.54000,0.44300,0.47000,2854500
39,2023-02-13,0.50000,0.54000,0.48800,0.48800,317800
40,2023-02-10,0.51600,0.51600,0.47100,0.48500,208600
41,2023-02-09,0.52900,0.54500,0.48000,0.52000,323200
42,2023-02-08,0.57000,0.58500,0.51000,0.53000,265000
43,2023-02-07,0.59000,0.59000,0.56000,0.56500,275500
44,2023-02-06,0.61400,0.62000,0.56000,0.62000,546700
45,2023-02-03,0.67300,0.69000,0.62000,0.62600,573500
46,2023-02-02,0.66000,0.74100,0.62500,0.66000,1676100
47,2023-02-01,1.03000,1.07000,0.79400,0.87100,10417700
48,2023-01-31,0.87000,0.94200,0.71400,0.75100,6402600
49,2023-01-30,0.81000,0.93000,0.77000,0.91000,786800
50,2023-01-27,0.74300,0.78200,0.71000,0.76500,382800
51,2023-01-26,0.75000,0.76500,0.71000,0.74300,88900
52,2023-01-25,0.74200,0.76900,0.68000,0.74600,372200
53,2023-01-24,0.67200,0.74800,0.63000,0.74000,473600
54,2023-01-23,0.58500,0.65800,0.58500,0.64000,293000
55,2023-01-20,0.72500,0.72500,0.63100,0.68400,421600
56,2023-01-19,0.70000,0.75000,0.61300,0.71000,1297600
57,2023-01-18,0.59000,0.72000,0.55000,0.69200,1254700
58,2023-01-17,0.62000,0.62000,0.43100,0.59900,570100
59,2023-01-13,0.59200,0.64000,0.59000,0.61200,216000
60,2023-01-12,0.58700,0.63000,0.57000,0.61000,258100
61,2023-01-11,0.60000,0.60000,0.56000,0.58000,74400
62,2023-01-10,0.61000,0.62000,0.55000,0.56000,358700
63,2023-01-09,0.61600,0.63900,0.60000,0.62000,183000
64,2023-01-06,0.64000,0.67000,0.60000,0.63500,208500
65,2023-01-05,0.67400,0.67400,0.62000,0.63000,217000
