,datetime,open,high,low,close,volume
0,2023-04-11,30.27000,30.39000,29.50000,29.56000,149600
1,2023-04-10,29.86000,30.51000,29.59000,30.09000,242100
2,2023-04-06,28.96000,29.97000,28.96000,29.89000,200200
3,2023-04-05,29.86000,30.01000,29.52000,29.66000,200200
4,2023-04-04,30.79000,30.79000,28.80000,30.13000,232300
5,2023-04-03,30.61000,30.92000,30.14000,30.71000,211000
6,2023-03-31,30.23000,30.80000,29.96000,30.58000,248200
7,2023-03-30,31.50000,31.50000,29.90000,30.06000,184100
8,2023-03-29,31.42000,31.52000,30.73000,31.21000,228000
9,2023-03-28,31.20000,31.56000,30.77000,31.25000,161900
10,2023-03-27,31.58000,32.48000,31.01000,31.19000,186200
11,2023-03-24,29.77000,31.29000,29.39000,31.06000,217900
12,2023-03-23,30.54000,30.67000,29.42000,29.99000,260000
13,2023-03-22,31.68000,32.19000,30.43000,30.51000,279789
14,2023-03-21,31.81000,33.70000,31.59840,31.71000,262722
15,2023-03-20,31.25000,32.53870,30.75000,30.79000,306521
16,2023-03-17,31.65000,31.65000,30.50000,31.05000,884863
17,2023-03-16,30.46000,33.27000,30.39000,32.46000,267519
18,2023-03-15,30.06000,31.49000,29.90000,31.27000,329832
19,2023-03-14,33.23000,33.58000,31.05010,31.49000,369186
20,2023-03-13,30.83000,32.80000,28.64000,31.07000,488337
21,2023-03-10,31.24000,32.11000,29.99000,32.05000,384937
22,2023-03-09,33.31000,33.31000,31.52000,31.62000,206466
23,2023-03-08,33.63000,33.70000,33.16000,33.47000,167873
24,2023-03-07,34.41000,34.41000,33.34000,33.60000,222889
25,2023-03-06,35.67000,35.97000,34.18000,34.41000,275461
26,2023-03-03,35.41000,35.78000,34.88000,35.72000,198985
27,2023-03-02,35.32000,36.11980,34.87000,35.28000,176982
28,2023-03-01,35.81000,35.98000,35.38000,35.60000,143990
29,2023-02-28,36.20000,36.57000,35.94000,35.98000,196879
30,2023-02-27,36.64000,36.97500,36.03000,36.16000,90763
31,2023-02-24,36.49000,36.83000,36.21000,36.47000,167792
32,2023-02-23,36.50000,37.14000,36.35500,36.87000,164700
33,2023-02-22,36.66000,36.93000,36.18000,36.28000,204929
34,2023-02-21,37.19000,37.44500,36.61000,36.61000,154491
35,2023-02-17,37.63000,37.98500,37.24000,37.38000,204903
36,2023-02-16,37.76000,38.07500,37.25000,37.57000,162269
37,2023-02-15,37.51000,38.13000,37.40000,37.95000,161154
38,2023-02-14,37.56000,37.79000,36.67000,37.60000,182658
39,2023-02-13,37.16000,37.61000,37.10770,37.59000,99511
40,2023-02-10,37.08000,37.40000,37.04000,37.22000,101150
41,2023-02-09,37.65000,38.05000,36.85000,37.19000,194525
42,2023-02-08,37.66000,37.96000,35.85000,37.61000,168203
43,2023-02-07,37.16000,38.08000,37.05000,37.98000,178552
44,2023-02-06,38.20000,38.40500,36.94000,37.51000,165800
45,2023-02-03,37.46000,38.29000,37.34000,38.23000,268819
46,2023-02-02,36.20000,37.77000,35.90000,37.74000,297656
47,2023-02-01,35.26000,36.70000,35.00500,36.20000,308495
48,2023-01-31,34.61000,35.78000,34.61000,35.58000,255019
49,2023-01-30,34.60000,35.23280,34.58000,34.76000,209790
50,2023-01-27,34.48000,34.90500,34.40000,34.78000,148027
51,2023-01-26,34.75000,34.98500,33.97000,34.60000,251762
52,2023-01-25,36.24000,36.24000,33.53000,34.50000,428427
53,2023-01-24,36.06000,36.24500,35.59000,36.17000,107444
54,2023-01-23,36.01000,36.25000,35.78400,36.06000,144585
55,2023-01-20,36.00000,36.20000,35.33000,36.03000,238926
56,2023-01-19,35.67000,35.90000,35.19000,35.47000,178222
57,2023-01-18,37.38000,37.38000,35.78000,35.80000,902035
58,2023-01-17,37.81000,37.93000,37.27000,37.51000,96262
59,2023-01-13,37.60000,38.09000,37.10000,37.97000,116143
60,2023-01-12,37.26000,38.14000,37.26000,37.95000,154538
61,2023-01-11,36.90000,37.24500,36.78000,37.15000,98078
62,2023-01-10,36.70000,37.34000,36.41000,36.98000,171439
63,2023-01-09,36.89000,37.40000,36.27000,36.59000,205271
64,2023-01-06,36.53000,37.14000,36.45000,36.95000,139777
65,2023-01-05,36.64000,36.64000,35.93000,36.14000,136593
66,2023-01-04,38.03000,38.16000,36.70000,36.78000,167635
67,2023-01-03,37.91000,38.05000,36.99000,37.43000,176451
68,2022-12-30,37.70000,37.88000,37.55000,37.59000,155158
69,2022-12-29,37.63000,37.89000,37.20500,37.84000,170470
70,2022-12-28,37.92000,38.05000,37.47000,37.47000,122822
71,2022-12-27,38.42000,38.42000,37.77000,37.81000,162564
72,2022-12-23,37.65000,38.34000,37.65000,38.24000,116103
73,2022-12-22,37.46000,37.76000,36.78000,37.76000,154053
74,2022-12-21,37.37000,37.69000,36.80000,37.46000,335023
75,2022-12-20,37.02000,37.31000,36.76000,37.00000,164217
76,2022-12-19,36.88000,37.44000,36.64000,36.86000,269139
77,2022-12-16,36.69000,37.28000,36.62000,36.88000,915660
78,2022-12-15,37.23000,37.23000,36.63000,36.79000,222384
79,2022-12-14,38.98000,39.38000,37.50000,37.52000,266912
80,2022-12-13,40.78000,40.86000,39.07000,39.13000,311498
81,2022-12-12,39.75000,40.69500,39.27000,40.00000,208536
82,2022-12-09,39.99000,40.44500,39.75000,39.89000,164000
83,2022-12-08,39.84000,40.18000,39.65000,40.10000,146467
84,2022-12-07,39.61000,40.14000,39.11000,39.73000,776331
85,2022-12-06,39.68000,40.29000,39.30000,39.76000,153866
86,2022-12-05,40.52000,40.52000,39.08000,39.69000,196648
87,2022-12-02,40.45000,40.90000,40.07500,40.73000,112121
88,2022-12-01,40.99000,41.07000,40.50000,40.76000,151182
89,2022-11-30,40.25000,40.94000,38.52000,40.77000,237633
90,2022-11-29,40.25000,40.60500,40.03000,40.14000,152287
91,2022-11-28,40.89000,40.99000,40.04000,40.29000,127710
92,2022-11-25,40.90000,41.26000,40.36000,41.01000,46875
93,2022-11-23,40.51000,40.84500,40.24000,40.68000,119803
94,2022-11-22,40.76000,40.99000,40.44000,40.82000,160155
95,2022-11-21,39.87000,40.32000,39.76000,40.23000,113005
96,2022-11-18,40.27000,40.62000,39.49000,39.74000,191311
97,2022-11-17,39.55000,39.85500,39.10000,39.54000,203855
98,2022-11-16,40.57000,40.57000,39.83000,39.91000,184753
99,2022-11-15,40.78000,41.13000,40.17000,40.63000,130161
