,datetime,open,high,low,close,volume
0,2023-04-11,1.07000,1.09000,1.07000,1.08000,9100
1,2023-04-10,1.10000,1.10000,1.08000,1.08000,18200
2,2023-04-06,1.05000,1.09000,1.05000,1.09000,12400
3,2023-04-05,1.06000,1.07000,1.05000,1.06000,15000
4,2023-04-04,1.07000,1.07000,1.05000,1.06000,6000
5,2023-04-03,1.11000,1.11000,1.04000,1.05000,41700
6,2023-03-31,1.09000,1.12000,1.09000,1.09000,20400
7,2023-03-30,1.10000,1.11000,1.08000,1.08000,15100
8,2023-03-29,1.08000,1.10000,1.08000,1.09000,23500
9,2023-03-28,1.07000,1.09000,1.05000,1.07000,25100
10,2023-03-27,1.02000,1.05000,1.01000,1.05000,32200
11,2023-03-24,1.01000,1.02000,1.01000,1.02000,9500
12,2023-03-23,1.01000,1.02000,1.01000,1.01000,9600
13,2023-03-22,1.03000,1.03000,0.99000,1.02000,24400
14,2023-03-21,1.00000,1.01000,0.99000,1.00000,30400
15,2023-03-20,1.03000,1.03000,0.96000,0.97000,87700
16,2023-03-17,1.03000,1.03000,1.01000,1.02000,36600
17,2023-03-16,1.02000,1.07000,1.01000,1.03000,42700
18,2023-03-15,1.05000,1.06000,1.01000,1.02000,102500
19,2023-03-14,1.08000,1.10000,1.06000,1.06000,34100
20,2023-03-13,1.06000,1.08000,1.05000,1.06000,56200
21,2023-03-10,1.17000,1.18000,1.06000,1.07000,74800
22,2023-03-09,1.34000,1.38000,1.17000,1.17000,116957
23,2023-03-08,1.41000,1.41000,1.35000,1.38000,18000
24,2023-03-07,1.42000,1.45000,1.42000,1.43000,11600
25,2023-03-06,1.37000,1.42000,1.35000,1.40000,23300
26,2023-03-03,1.33000,1.36000,1.32000,1.34000,13300
27,2023-03-02,1.33000,1.33000,1.32000,1.33000,14400
28,2023-03-01,1.30000,1.35000,1.30000,1.33000,9600
29,2023-02-28,1.35000,1.36000,1.34000,1.35000,9500
30,2023-02-27,1.37000,1.37000,1.35000,1.36000,15500
31,2023-02-24,1.36000,1.39000,1.35000,1.35000,11700
32,2023-02-23,1.39000,1.40000,1.37000,1.40000,7600
33,2023-02-22,1.39000,1.40000,1.37000,1.37000,10100
34,2023-02-21,1.37000,1.40000,1.33000,1.38000,32600
35,2023-02-17,1.33000,1.34000,1.30000,1.33000,16200
36,2023-02-16,1.28000,1.34000,1.27000,1.34000,21700
37,2023-02-15,1.26000,1.32000,1.26000,1.30000,11600
38,2023-02-14,1.28000,1.31000,1.28000,1.28000,26600
39,2023-02-13,1.28000,1.29000,1.27000,1.27000,7800
40,2023-02-10,1.36000,1.36000,1.28000,1.28000,27700
41,2023-02-09,1.33000,1.39000,1.33000,1.36000,15100
42,2023-02-08,1.37000,1.38000,1.33000,1.35000,22500
43,2023-02-07,1.44000,1.44000,1.36000,1.41000,22700
44,2023-02-06,1.37000,1.44000,1.32000,1.40000,31500
45,2023-02-03,1.40000,1.40000,1.35000,1.37000,40100
46,2023-02-02,1.31000,1.40000,1.30000,1.38000,36100
47,2023-02-01,1.29000,1.35000,1.26000,1.33000,23200
48,2023-01-31,1.20000,1.26000,1.20000,1.26000,22200
49,2023-01-30,1.28000,1.28000,1.21000,1.21000,17700
50,2023-01-27,1.22000,1.27000,1.19000,1.25000,54000
51,2023-01-26,1.16000,1.23000,1.16000,1.22000,16800
52,2023-01-25,1.15000,1.21000,1.15000,1.17000,20800
53,2023-01-24,1.17000,1.18000,1.16000,1.17000,7400
54,2023-01-23,1.19000,1.25000,1.16000,1.17000,42000
55,2023-01-20,1.19000,1.19000,1.16000,1.18000,19200
56,2023-01-19,1.24000,1.24000,1.18000,1.18000,20800
57,2023-01-18,1.21000,1.24000,1.19000,1.19000,30400
58,2023-01-17,1.28000,1.28000,1.20000,1.21000,18700
59,2023-01-13,1.24000,1.30000,1.21000,1.28000,54900
60,2023-01-12,1.24000,1.24000,1.20000,1.22000,34200
61,2023-01-11,1.18000,1.23000,1.18000,1.22000,34600
62,2023-01-10,1.16000,1.17000,1.14000,1.16000,14500
63,2023-01-09,1.20000,1.20000,1.14000,1.14000,34800
64,2023-01-06,1.10000,1.19000,1.09000,1.19000,54200
65,2023-01-05,1.05000,1.10000,1.05000,1.10000,38900
66,2023-01-04,1.07000,1.07000,1.05000,1.07000,23000
67,2023-01-03,1.04000,1.07000,1.01000,1.04000,69900
68,2022-12-30,1.04000,1.05000,1.03000,1.05000,85600
69,2022-12-29,1.03000,1.04000,1.00000,1.03000,39200
70,2022-12-28,1.01000,1.04000,1.01000,1.01000,24000
71,2022-12-27,1.01000,1.04000,1.01000,1.02000,68600
72,2022-12-23,1.04000,1.07000,1.03000,1.03000,50800
73,2022-12-22,1.08000,1.09000,1.06000,1.07000,22100
74,2022-12-21,1.04000,1.10000,1.04000,1.09000,29800
75,2022-12-20,1.02000,1.06000,1.02000,1.04000,52200
76,2022-12-19,1.02000,1.07000,1.01000,1.02000,82500
77,2022-12-16,1.04000,1.04000,1.00000,1.01000,80400
78,2022-12-15,1.05000,1.07000,1.01000,1.04000,27300
79,2022-12-14,1.15000,1.15000,1.07000,1.07000,79400
80,2022-12-13,1.17000,1.21000,1.11000,1.11000,83600
81,2022-12-12,1.24000,1.24000,1.15000,1.15000,53300
82,2022-12-09,1.23000,1.24000,1.20000,1.21000,52000
83,2022-12-08,1.22000,1.29000,1.21000,1.21000,43200
84,2022-12-07,1.22000,1.24000,1.22000,1.22000,20300
85,2022-12-06,1.29000,1.33000,1.23000,1.23000,36700
86,2022-12-05,1.32000,1.33000,1.29000,1.29000,28500
87,2022-12-02,1.31000,1.36000,1.31000,1.33000,19300
88,2022-12-01,1.39000,1.39000,1.33000,1.33000,23200
89,2022-11-30,1.35000,1.38000,1.32000,1.33000,32200
90,2022-11-29,1.40000,1.40000,1.31000,1.33000,29200
91,2022-11-28,1.38000,1.42000,1.37000,1.39000,51800
92,2022-11-25,1.34000,1.38000,1.34000,1.37000,23700
93,2022-11-23,1.33000,1.35000,1.32000,1.32000,16500
94,2022-11-22,1.24000,1.34000,1.24000,1.32000,27800
95,2022-11-21,1.30000,1.35000,1.25000,1.27000,65800
96,2022-11-18,1.32000,1.38000,1.30000,1.31000,52500
97,2022-11-17,1.36000,1.38000,1.32000,1.33000,58700
98,2022-11-16,1.46000,1.49000,1.35000,1.39000,55200
99,2022-11-15,1.48000,1.50000,1.45000,1.47000,35600
100,2022-11-14,1.57000,1.59000,1.45000,1.48000,74300
101,2022-11-11,1.43000,1.56000,1.43000,1.54000,56800
102,2022-11-10,1.47000,1.57000,1.44000,1.45000,65300
103,2022-11-09,1.53000,1.53000,1.40000,1.43000,77800
104,2022-11-08,1.54000,1.65000,1.52000,1.58000,130500
105,2022-11-07,1.40000,1.55000,1.37000,1.51000,393400
106,2022-11-04,1.62000,1.70000,1.31000,1.43000,374900
107,2022-11-03,1.96000,2.00000,1.91000,1.96000,43000
108,2022-11-02,2.02000,2.03000,1.95000,1.96000,15300
109,2022-11-01,2.12000,2.12000,1.97000,2.01000,79800
110,2022-10-31,2.17000,2.20000,2.08000,2.08000,29700
111,2022-10-28,2.26000,2.26000,2.17000,2.17000,41500
112,2022-10-27,2.10000,2.20000,2.02000,2.19000,50200
113,2022-10-26,1.92000,2.10000,1.91000,2.01000,68200
114,2022-10-25,1.85000,1.92000,1.84000,1.91000,40800
115,2022-10-24,1.89000,1.89000,1.85000,1.87000,24300
116,2022-10-21,1.78000,1.88000,1.78000,1.86000,30100
117,2022-10-20,1.78000,1.85000,1.78000,1.82000,21200
118,2022-10-19,1.80000,1.90000,1.77000,1.77000,46400
119,2022-10-18,1.80000,1.83000,1.73000,1.80000,81700
120,2022-10-17,1.71000,1.74000,1.66000,1.73000,55800
121,2022-10-14,1.66000,1.67000,1.63000,1.63000,19600
122,2022-10-13,1.63000,1.68000,1.62000,1.67000,11100
123,2022-10-12,1.66000,1.66000,1.59000,1.64000,14900
124,2022-10-11,1.63000,1.67000,1.58000,1.64000,75000
125,2022-10-10,1.70000,1.71000,1.60000,1.61000,43700
126,2022-10-07,1.75000,1.76000,1.68000,1.68000,10000
127,2022-10-06,1.70000,1.76000,1.70000,1.76000,10100
128,2022-10-05,1.62000,1.70000,1.61000,1.68000,27000
129,2022-10-04,1.79000,1.84000,1.61000,1.64000,151900
130,2022-10-03,1.74000,1.79000,1.72000,1.78000,29100
131,2022-09-30,1.77000,1.78000,1.73000,1.74000,56300
132,2022-09-29,1.81000,1.82000,1.77000,1.77000,19900
133,2022-09-28,1.88000,1.90000,1.84000,1.86000,17100
134,2022-09-27,1.75000,1.89000,1.75000,1.84000,29700
135,2022-09-26,1.89000,1.89000,1.75000,1.76000,41700
136,2022-09-23,1.93000,1.93000,1.86000,1.86000,48100
137,2022-09-22,1.98000,2.00000,1.92000,1.92000,34600
138,2022-09-21,1.98000,1.99000,1.96000,1.96000,18300
139,2022-09-20,2.02000,2.05000,1.96000,1.98000,29400
140,2022-09-19,1.98000,2.01000,1.93000,2.01000,32100
141,2022-09-16,2.06000,2.06000,1.95000,1.95000,72200
142,2022-09-15,2.03000,2.07000,1.99000,2.02000,27500
143,2022-09-14,2.10000,2.14000,2.02000,2.02000,40900
144,2022-09-13,2.14000,2.14000,2.05000,2.07000,28300
145,2022-09-12,2.11000,2.17000,2.11000,2.11000,18800
146,2022-09-09,2.13000,2.19000,2.11000,2.12000,12100
147,2022-09-08,2.27000,2.27000,2.10000,2.13000,36100
148,2022-09-07,2.21000,2.21000,2.16000,2.18000,26700
149,2022-09-06,2.28000,2.30000,2.23000,2.25000,14400
150,2022-09-02,2.29000,2.33000,2.28000,2.29000,12100
151,2022-09-01,2.43000,2.43000,2.26000,2.27000,72500
152,2022-08-31,2.50000,2.52000,2.37000,2.40000,85900
153,2022-08-30,2.58000,2.66000,2.50000,2.53000,79600
