,datetime,open,high,low,close,volume
0,2023-04-11,17.12000,17.21000,16.97000,17.02000,358600
1,2023-04-10,16.84000,17.28000,16.79000,17.12000,664800
2,2023-04-06,16.65000,17.02000,16.62000,17.01000,514500
3,2023-04-05,16.63000,16.79000,16.50000,16.63000,636500
4,2023-04-04,17.38000,17.38000,16.43000,16.87000,879200
5,2023-04-03,17.54000,18.26000,17.24000,17.34000,479200
6,2023-03-31,17.42000,17.63000,17.23000,17.49000,556700
7,2023-03-30,18.14000,18.34000,17.24000,17.29000,404100
8,2023-03-29,17.97000,18.18000,17.60000,17.88000,444000
9,2023-03-28,17.83000,18.09000,17.53000,17.70000,579800
10,2023-03-27,18.48000,18.48000,17.91000,17.93000,449900
11,2023-03-24,17.00000,18.00000,17.00000,17.90000,725700
12,2023-03-23,18.16000,18.16000,17.16000,17.23000,666500
13,2023-03-22,19.09000,19.18000,18.01000,18.07000,703900
14,2023-03-21,18.93000,19.25000,18.74000,19.08000,1139900
15,2023-03-20,18.86000,19.10000,18.03000,18.11000,1053437
16,2023-03-17,18.91000,19.08000,17.80000,18.09000,2541276
17,2023-03-16,18.44000,19.48000,18.05000,19.30000,1259026
18,2023-03-15,17.83000,18.97000,17.83000,18.73000,1225470
19,2023-03-14,21.11000,21.11000,18.54000,18.94000,1568745
20,2023-03-13,18.19000,20.23000,16.95000,18.96000,1749717
21,2023-03-10,19.06000,19.98000,18.58500,19.46000,922049
22,2023-03-09,20.83000,20.97000,19.54500,19.59000,520203
23,2023-03-08,21.03000,21.09000,20.65000,21.02000,401308
24,2023-03-07,21.41000,21.51000,21.00000,21.01000,466485
25,2023-03-06,21.87000,21.97000,21.33000,21.51000,524671
26,2023-03-03,21.97000,21.98000,21.53000,21.88000,335646
27,2023-03-02,21.97000,21.97000,21.44000,21.69000,311783
28,2023-03-01,21.99000,22.24000,21.91000,22.13000,323962
29,2023-02-28,22.36000,22.53000,22.23000,22.23000,343685
30,2023-02-27,22.51000,22.70000,22.27000,22.38000,203576
31,2023-02-24,22.41000,22.43000,22.19000,22.40000,368825
32,2023-02-23,22.27000,22.73500,22.22000,22.58000,359408
33,2023-02-22,22.17000,22.40000,22.01000,22.14000,638927
34,2023-02-21,22.53000,22.63000,22.08000,22.23000,319511
35,2023-02-17,22.62000,22.84000,22.36000,22.66000,383746
36,2023-02-16,22.99000,22.99000,22.54000,22.60000,348370
37,2023-02-15,22.48000,23.22000,22.44000,23.22000,343791
38,2023-02-14,22.72000,22.94000,22.48000,22.71000,296379
39,2023-02-13,22.47000,22.86000,22.36000,22.79000,288318
40,2023-02-10,22.75000,22.87000,22.47000,22.47000,403555
41,2023-02-09,23.31000,23.40000,22.71000,22.74000,324296
42,2023-02-08,23.39000,23.68000,22.93000,23.29000,376783
43,2023-02-07,22.98000,23.60000,22.85000,23.52000,414439
44,2023-02-06,23.38000,23.50000,22.86000,23.13000,379661
45,2023-02-03,23.17000,23.60000,23.13500,23.51000,627247
46,2023-02-02,22.38000,23.24000,22.38000,23.20000,530502
47,2023-02-01,22.27000,23.04000,21.95000,22.56000,681335
48,2023-01-31,21.50000,22.32000,21.48500,22.31000,588852
49,2023-01-30,21.82000,21.95000,21.52000,21.53000,387871
50,2023-01-27,21.46000,21.91000,21.37000,21.85000,337736
51,2023-01-26,21.82000,21.91900,21.33000,21.55000,438386
52,2023-01-25,20.70000,21.66000,20.43000,21.65000,619175
53,2023-01-24,23.25000,23.25000,20.83000,20.91000,1073374
54,2023-01-23,22.91000,23.10000,22.78100,23.00000,420433
55,2023-01-20,22.36000,22.87000,22.21000,22.87000,634252
56,2023-01-19,22.17000,22.23000,21.82000,22.21000,501483
57,2023-01-18,22.90000,23.11000,22.23000,22.28000,733020
58,2023-01-17,22.90000,23.34000,22.52000,23.05000,448873
59,2023-01-13,22.60000,23.00000,22.36000,22.87000,366427
60,2023-01-12,22.54000,22.92000,22.41000,22.83000,436812
61,2023-01-11,22.34000,22.39000,22.09000,22.36000,336489
62,2023-01-10,22.01000,22.38500,21.92100,22.24000,463587
63,2023-01-09,22.27000,22.33000,21.90000,21.99000,384773
64,2023-01-06,21.79000,22.27000,21.75000,22.22000,396697
65,2023-01-05,21.63000,21.63000,21.21000,21.59000,514324
66,2023-01-04,21.63000,22.00000,21.52500,21.64000,588147
67,2023-01-03,21.67000,21.86000,21.32000,21.57000,462718
68,2022-12-30,21.63000,21.79000,21.46000,21.58000,405237
69,2022-12-29,21.40000,21.82000,21.29000,21.73000,383256
70,2022-12-28,21.48000,21.64000,21.31500,21.34000,467709
71,2022-12-27,21.22000,21.60000,21.17000,21.46000,423212
72,2022-12-23,21.28000,21.58000,21.24000,21.49000,451677
