,datetime,open,high,low,close,volume
0,2022-01-21,0.18000,0.18000,0.18000,0.18000,48000
1,2022-01-20,0.18000,0.18000,0.17500,0.17500,50000
2,2022-01-19,0.18500,0.18500,0.16000,0.18000,99098
3,2022-01-14,0.19000,0.19000,0.19000,0.19000,500
4,2022-01-12,0.19000,0.19000,0.19000,0.19000,500
5,2022-01-11,0.20000,0.20000,0.20000,0.20000,500
6,2022-01-07,0.19000,0.19000,0.19000,0.19000,15820
7,2022-01-06,0.20000,0.20000,0.20000,0.20000,1000
8,2022-01-05,0.20000,0.20000,0.20000,0.20000,4000
9,2022-01-04,0.19000,0.19000,0.19000,0.19000,5900
10,2021-12-31,0.19500,0.19500,0.19500,0.19500,1285
11,2021-12-30,0.20000,0.20000,0.19500,0.19500,9501
12,2021-12-29,0.19000,0.19000,0.17000,0.17000,80975
13,2021-12-24,0.17000,0.17000,0.17000,0.17000,12500
14,2021-12-23,0.20500,0.20500,0.18500,0.19000,35401
15,2021-12-17,0.10000,0.20000,0.10000,0.20000,8000
16,2021-12-16,0.11500,0.11500,0.10000,0.10000,8000
17,2021-12-15,0.11000,0.11500,0.11000,0.11500,0
18,2021-12-14,0.11500,0.11500,0.11000,0.11000,0
19,2021-12-13,0.13000,0.13000,0.11000,0.11000,0
20,2021-12-10,0.13000,0.13500,0.12000,0.12000,58500
21,2021-12-09,0.13000,0.14000,0.12000,0.12000,79001
22,2021-12-08,0.11000,0.13000,0.11000,0.12500,370900
23,2021-12-06,0.09500,0.09500,0.09500,0.09500,0
24,2021-12-03,0.09000,0.10000,0.09000,0.10000,0
25,2021-12-02,0.09000,0.09500,0.09000,0.09000,0
26,2021-12-01,0.11500,0.11500,0.08500,0.09000,74000
27,2021-11-30,0.12000,0.12000,0.11000,0.11500,55849
28,2021-11-29,0.08000,0.14000,0.08000,0.11000,365825
29,2021-11-26,0.08000,0.08000,0.08000,0.08000,17358
30,2021-11-25,0.08000,0.08000,0.08000,0.08000,0
31,2021-11-24,0.09000,0.09000,0.09000,0.09000,7000
32,2021-11-23,0.08500,0.08500,0.08500,0.08500,0
33,2021-11-22,0.11000,0.11000,0.09000,0.09000,40000
34,2021-11-19,0.07500,0.12000,0.07500,0.11000,491500
35,2021-11-18,0.08000,0.08000,0.08000,0.08000,0
36,2021-11-17,0.08000,0.08000,0.08000,0.08000,0
37,2021-11-16,0.08000,0.08000,0.08000,0.08000,0
38,2021-11-15,0.08500,0.08500,0.08500,0.08500,0
39,2021-11-12,0.09000,0.09000,0.09000,0.09000,0
40,2021-11-10,0.09000,0.09000,0.09000,0.09000,0
41,2021-11-09,0.09000,0.09000,0.09000,0.09000,5000
42,2021-11-08,0.07500,0.09500,0.07500,0.09500,0
43,2021-11-05,0.07500,0.07500,0.07500,0.07500,10000
44,2021-11-04,0.08000,0.08000,0.07500,0.07500,24556
45,2021-11-03,0.08000,0.08000,0.08000,0.08000,0
46,2021-11-02,0.07500,0.08000,0.07000,0.08000,4000
47,2021-11-01,0.08000,0.08000,0.08000,0.08000,0
48,2021-10-29,0.08000,0.08000,0.08000,0.08000,19500
49,2021-10-28,0.07500,0.07500,0.06500,0.06500,5000
50,2021-10-27,0.08000,0.08000,0.08000,0.08000,10000
51,2021-10-26,0.07000,0.07000,0.07000,0.07000,5000
52,2021-10-25,0.07000,0.07000,0.06000,0.06500,266000
53,2021-10-22,0.08500,0.08500,0.07000,0.07000,106850
54,2021-10-21,0.09000,0.09000,0.09000,0.09000,0
55,2021-10-19,0.08500,0.08500,0.08500,0.08500,0
56,2021-10-15,0.09000,0.09000,0.08500,0.08500,10000
57,2021-10-14,0.09000,0.09000,0.09000,0.09000,0
58,2021-10-13,0.09000,0.09000,0.09000,0.09000,15555
59,2021-10-12,0.08000,0.08000,0.08000,0.08000,0
60,2021-10-08,0.07500,0.08000,0.07500,0.08000,0
61,2021-10-06,0.09000,0.09000,0.07000,0.07000,9000
62,2021-10-05,0.07000,0.07000,0.06500,0.06500,150750
63,2021-10-04,0.00000,0.07000,0.00000,0.07000,0
64,2021-10-01,0.08000,0.08000,0.07000,0.07000,20000
65,2021-09-29,0.08000,0.08000,0.06500,0.06500,25800
66,2021-09-27,0.07500,0.07500,0.07500,0.07500,0
67,2021-09-22,0.07500,0.07500,0.07500,0.07500,0
68,2021-09-21,0.09000,0.09000,0.06500,0.06500,138500
69,2021-09-20,0.00000,0.07000,0.00000,0.07000,0
70,2021-09-17,0.09000,0.09000,0.09000,0.09000,34022
71,2021-09-16,0.07000,0.07000,0.07000,0.07000,0
72,2021-09-15,0.06000,0.06000,0.06000,0.06000,0
73,2021-09-10,0.08000,0.08000,0.08000,0.08000,0
74,2021-09-08,0.07000,0.07000,0.07000,0.07000,0
75,2021-09-03,0.08500,0.08500,0.08500,0.08500,4000
76,2021-08-31,0.09000,0.09000,0.08500,0.08500,0
77,2021-08-30,0.09000,0.09000,0.09000,0.09000,0
78,2021-08-27,0.09000,0.09000,0.08500,0.09000,0
79,2021-08-26,0.09000,0.09000,0.09000,0.09000,0
80,2021-08-25,0.09500,0.09500,0.09000,0.09000,0
81,2021-08-24,0.09500,0.09500,0.09500,0.09500,0
82,2021-08-23,0.09000,0.09000,0.09000,0.09000,0
