,datetime,open,high,low,close,volume
0,2023-04-11,36.78000,36.80000,36.46000,36.46000,7400
1,2023-04-10,36.35000,36.85000,36.35000,36.85000,14400
2,2023-04-06,36.75000,36.75000,36.50000,36.66000,4400
3,2023-04-05,37.11000,37.46000,36.51000,36.78000,3600
4,2023-04-04,37.36000,37.49000,37.01000,37.02000,4400
5,2023-04-03,37.54000,37.79000,37.12000,37.37000,5700
6,2023-03-31,36.66000,37.55000,36.66000,37.48000,5600
7,2023-03-30,36.70000,37.00000,36.60000,36.60000,6800
8,2023-03-29,36.61000,37.02000,36.21000,36.32000,12500
9,2023-03-28,36.69000,37.06000,36.10000,36.20000,8000
10,2023-03-27,36.80000,37.13000,36.65000,36.80000,3600
11,2023-03-24,36.41000,36.90000,36.25000,36.90000,900
12,2023-03-23,36.50000,37.26000,36.25000,36.46000,8300
13,2023-03-22,37.26000,37.26000,36.59000,36.59000,15700
14,2023-03-21,36.43000,36.84000,36.25000,36.59000,12900
15,2023-03-20,35.50000,36.32000,35.50000,36.03000,11500
16,2023-03-17,36.15000,36.32000,35.35000,35.50000,25600
17,2023-03-16,35.54000,36.65000,35.25000,36.30000,20500
18,2023-03-15,35.33000,35.93000,35.33000,35.62000,8000
19,2023-03-14,36.30000,36.75000,35.75000,36.10000,24000
20,2023-03-13,36.76000,36.76000,35.89000,35.99000,11600
21,2023-03-10,37.50000,37.50000,35.78000,36.31000,18700
22,2023-03-09,37.49000,37.88000,37.06000,37.37000,9500
23,2023-03-08,37.49000,37.61000,37.04000,37.49000,20700
24,2023-03-07,38.04000,38.49000,37.50000,37.68000,8800
25,2023-03-06,38.84000,38.84000,37.55000,37.82000,13600
26,2023-03-03,39.04000,39.25000,37.85000,38.95000,17400
27,2023-03-02,38.11000,39.01000,38.11000,39.01000,11300
28,2023-03-01,38.80000,38.80000,38.34000,38.44000,8900
29,2023-02-28,38.46000,38.50000,38.11000,38.11000,7600
30,2023-02-27,39.00000,39.37000,38.51000,38.81000,16900
31,2023-02-24,37.75000,38.44500,37.75000,38.15000,20801
32,2023-02-23,38.31000,38.59000,37.68000,38.28000,11600
33,2023-02-22,37.95000,38.50000,37.88000,37.90000,4900
34,2023-02-21,38.99000,38.99000,37.85000,38.00000,15200
35,2023-02-17,39.12000,39.24000,38.96000,39.16000,2900
36,2023-02-16,40.00000,40.00000,38.76000,39.08000,19200
37,2023-02-15,39.82000,40.76000,39.57000,40.12000,26800
38,2023-02-14,39.71000,40.40000,39.20000,39.60000,13800
39,2023-02-13,39.00000,40.19000,38.89000,39.66000,15400
40,2023-02-10,38.17000,39.02000,37.55000,38.98000,26600
41,2023-02-09,39.39000,39.77000,38.50000,38.52000,14900
42,2023-02-08,40.00000,40.35000,39.36000,39.36000,11500
43,2023-02-07,39.75000,40.42000,39.04000,40.40000,34400
44,2023-02-06,40.55000,40.55000,39.56000,39.87000,18600
45,2023-02-03,40.54000,41.09000,39.84000,40.33000,33900
46,2023-02-02,41.89000,41.95000,40.23000,40.75000,28500
47,2023-02-01,42.00000,42.53000,41.50000,41.70000,37400
48,2023-01-31,40.92000,44.25000,40.92000,43.02000,58300
49,2023-01-30,48.00000,48.00000,40.81000,41.37000,93300
50,2023-01-27,47.90000,49.23000,47.40000,48.53000,22500
51,2023-01-26,46.99000,48.00000,46.99000,47.20000,19100
52,2023-01-25,46.00000,47.35000,46.00000,47.26000,20100
53,2023-01-24,46.91000,47.85000,46.10000,47.29000,41200
54,2023-01-23,45.98000,47.24000,45.98000,46.84000,26500
55,2023-01-20,45.50000,46.50000,45.50000,46.45000,6700
56,2023-01-19,46.83000,47.17000,44.94000,45.21000,28500
57,2023-01-18,49.70000,49.70000,46.86000,47.20000,16500
58,2023-01-17,48.15000,50.00000,45.02000,49.38000,30800
59,2023-01-13,47.20000,49.85000,47.00000,48.15000,33900
60,2023-01-12,48.50000,49.27000,47.67000,48.80000,17100
61,2023-01-11,46.34000,48.37000,46.22000,47.96000,41200
62,2023-01-10,45.51000,46.81000,45.39000,46.27000,18000
63,2023-01-09,45.76000,46.48000,45.33000,45.33000,16400
64,2023-01-06,44.24000,45.75000,44.00000,45.09000,14400
65,2023-01-05,43.59000,44.99000,43.50000,43.76000,19400
66,2023-01-04,42.75000,44.73000,42.52000,43.59000,30900
67,2023-01-03,42.32000,42.66000,42.23000,42.61000,7800
68,2022-12-30,42.00000,42.90000,41.11000,42.15000,13900
69,2022-12-29,41.30000,42.85000,41.30000,42.60000,6300
70,2022-12-28,41.36000,41.70000,40.75000,40.75000,21000
71,2022-12-27,41.60000,42.00000,41.21000,41.26000,3700
72,2022-12-23,41.59000,42.46000,41.29000,41.61000,14500
73,2022-12-22,42.32000,43.96000,41.19000,41.49000,8100
74,2022-12-21,42.50000,43.00000,41.52000,42.46000,9500
75,2022-12-20,42.60000,42.70000,42.29000,42.30000,3700
76,2022-12-19,42.30000,43.44000,41.20000,42.75000,15400
77,2022-12-16,42.20000,42.58000,41.00000,42.15000,85100
78,2022-12-15,43.16000,44.00000,41.82000,42.55000,19800
79,2022-12-14,44.09000,44.09000,42.25000,43.69000,18700
80,2022-12-13,44.24000,45.17000,43.63000,43.99000,28300
81,2022-12-12,44.83000,44.83000,43.19000,43.27000,16100
82,2022-12-09,44.48000,45.74000,44.48000,45.16000,7900
83,2022-12-08,44.45000,45.45000,43.40000,45.20000,18800
84,2022-12-07,44.02000,45.45000,43.51000,44.45000,20900
85,2022-12-06,45.96000,45.96000,43.51000,44.11000,27800
86,2022-12-05,46.19000,46.19000,45.87000,45.96000,5800
87,2022-12-02,45.89000,46.48000,44.84000,46.19000,12400
88,2022-12-01,45.50000,46.94000,45.13000,46.13000,35800
89,2022-11-30,43.94000,46.00000,43.49000,45.68000,33700
90,2022-11-29,44.01000,44.28000,42.96000,43.83000,12400
91,2022-11-28,44.06000,44.25000,43.48000,43.71000,51200
92,2022-11-25,43.20000,44.44000,43.13000,44.07000,8100
93,2022-11-23,42.81000,43.40000,42.36000,43.21000,23600
94,2022-11-22,42.79000,43.37000,41.91000,43.00000,3800
95,2022-11-21,42.75000,43.45000,42.18000,42.76000,18800
96,2022-11-18,43.34000,43.60000,43.01000,43.22000,11500
97,2022-11-17,42.74000,43.45000,42.01000,43.00000,32200
98,2022-11-16,43.65000,43.70000,42.87000,42.87000,23900
99,2022-11-15,43.69000,44.42000,43.40000,43.64000,10100
100,2022-11-14,43.54000,44.00000,43.30000,43.30000,16800
101,2022-11-11,44.00000,44.75000,43.46000,43.94000,26700
102,2022-11-10,43.20000,44.82000,43.18000,44.32000,25600
