,datetime,open,high,low,close,volume
0,2023-04-11,135.83000,136.89999,130.16000,130.83000,234100
1,2023-04-10,129.13000,136.02000,128.20000,135.53999,143100
2,2023-04-06,127.83000,131.38000,125.41000,130.10001,140000
3,2023-04-05,134.78000,134.95000,127.44500,129.02000,199900
4,2023-04-04,138.38000,139.05000,134.75000,135.50999,127400
5,2023-04-03,141.08000,141.67000,136.11000,138.10001,181700
6,2023-03-31,138.45000,142.35001,138.03000,142.23000,162300
7,2023-03-30,138.00999,139.99001,137.49300,139.14999,130100
8,2023-03-29,134.81000,136.96001,133.13000,136.45000,122100
9,2023-03-28,132.78999,134.30000,127.40000,131.99001,127800
10,2023-03-27,136.78000,137.38499,131.69000,133.21001,96400
11,2023-03-24,140.47000,140.47000,135.33000,136.25000,150100
12,2023-03-23,133.99001,142.88000,133.50000,142.00000,325100
13,2023-03-22,134.16000,136.31000,131.33000,131.50999,183000
14,2023-03-21,134.33000,136.85500,132.33000,134.16000,103900
15,2023-03-20,131.20000,133.05000,128.10001,132.42000,198700
16,2023-03-17,135.12000,137.36000,130.78000,131.12000,424900
17,2023-03-16,126.67000,135.08000,125.94000,134.28000,204500
18,2023-03-15,129.10001,130.12500,118.24000,128.03999,480400
19,2023-03-14,134.00000,136.21001,129.77000,132.21001,193600
20,2023-03-13,122.88000,131.65500,122.43000,130.32001,332800
21,2023-03-10,133.83000,134.84000,122.55000,126.27000,364100
22,2023-03-09,131.32001,135.98000,131.32001,134.42000,401800
23,2023-03-08,130.03999,133.81000,128.75000,132.39000,217300
24,2023-03-07,130.00000,130.82001,127.03000,129.19000,221600
25,2023-03-06,133.87000,135.73000,129.31000,129.98000,207900
26,2023-03-03,130.84000,134.42999,130.00000,134.03000,252200
27,2023-03-02,130.00000,132.98000,128.27000,131.36000,325300
28,2023-03-01,123.86000,133.39000,122.64500,133.19000,500800
29,2023-02-28,118.11000,124.29000,116.65500,124.15000,227600
30,2023-02-27,117.68000,119.76000,116.82000,118.98000,149400
31,2023-02-24,113.77000,116.17000,112.10500,115.60000,158500
32,2023-02-23,121.77000,122.87000,115.10000,116.68000,189900
33,2023-02-22,117.15000,119.41000,116.02000,117.97000,177800
34,2023-02-21,118.41000,121.55000,117.40000,117.92000,179200
35,2023-02-17,124.36000,124.60800,119.98000,121.40000,161000
36,2023-02-16,124.10000,127.01000,123.90000,124.90000,175800
37,2023-02-15,124.12000,128.09000,124.12000,127.32000,88200
38,2023-02-14,123.81000,129.77499,123.81000,126.13000,117000
39,2023-02-13,124.76000,127.44000,123.85000,126.46000,176800
40,2023-02-10,125.62000,125.73500,122.60000,124.48000,134300
41,2023-02-09,127.20000,131.00000,127.20000,127.58000,286500
42,2023-02-08,126.07000,128.88000,124.79500,124.98000,121900
43,2023-02-07,125.54000,128.37000,122.93000,127.32000,216300
44,2023-02-06,124.98000,127.05000,122.75000,125.03000,288600
45,2023-02-03,125.48000,133.01500,123.84000,127.93000,326700
46,2023-02-02,125.00000,134.70500,123.82500,130.23000,743900
47,2023-02-01,117.27000,123.35000,117.27000,122.60000,727800
48,2023-01-31,113.70000,116.18000,113.70000,115.23000,350400
49,2023-01-30,117.84000,119.00000,113.82000,114.47000,190800
50,2023-01-27,117.93000,121.93000,117.93000,120.78000,149900
51,2023-01-26,120.12000,120.87000,116.60000,120.14000,192600
52,2023-01-25,115.72000,119.58000,112.59000,118.08000,242900
53,2023-01-24,119.60000,120.49000,116.12000,118.99000,308700
54,2023-01-23,112.89000,122.68000,112.89000,121.28000,257800
55,2023-01-20,107.82000,111.70000,106.80500,111.44000,136900
56,2023-01-19,108.02000,108.51000,104.68000,106.51000,210700
57,2023-01-18,111.53000,112.29000,108.47000,110.29000,154100
58,2023-01-17,106.20000,110.82700,102.80700,109.00000,222000
59,2023-01-13,100.67000,107.60000,100.67000,106.53000,315200
60,2023-01-12,105.14000,106.39500,97.89500,102.58000,422300
61,2023-01-11,109.10000,109.10000,100.01000,104.67000,415600
62,2023-01-10,108.06000,111.16900,106.80000,109.60000,221800
63,2023-01-09,106.90000,114.44000,106.89000,108.06000,252600
64,2023-01-06,99.59000,105.79000,96.98000,105.01000,165600
65,2023-01-05,96.79000,101.08000,95.80000,98.37000,149000
66,2023-01-04,99.96000,101.25000,97.40000,98.68000,149700
67,2023-01-03,105.04000,105.04000,96.82000,97.67000,186200
68,2022-12-30,99.85000,102.07000,98.80500,101.62000,125300
69,2022-12-29,99.94000,103.06000,99.94000,102.31000,145100
70,2022-12-28,95.33000,98.98000,94.03000,97.24000,192000
71,2022-12-27,98.65000,98.91000,95.75000,96.14000,141200
72,2022-12-23,99.11000,100.60500,97.57000,99.41000,84300
73,2022-12-22,101.51000,101.51000,96.59100,100.32000,223600
74,2022-12-21,100.97000,105.33000,99.52000,105.15000,180900
75,2022-12-20,97.40000,103.04000,97.23500,100.01000,147300
76,2022-12-19,103.86000,104.26000,99.04000,99.37000,241300
77,2022-12-16,101.73000,105.65000,101.46000,104.81000,415900
78,2022-12-15,107.67000,109.00000,103.66500,103.75000,268200
79,2022-12-14,113.41000,117.85500,110.52000,111.02000,300300
80,2022-12-13,112.53000,117.23000,110.11000,114.13000,494700
81,2022-12-12,100.89000,106.85000,100.18000,106.60000,326200
82,2022-12-09,103.68000,104.82000,101.52000,101.78000,156200
83,2022-12-08,100.38000,106.34000,99.00000,106.11000,278000
84,2022-12-07,97.49000,101.04000,97.07000,99.54000,138400
85,2022-12-06,102.31000,102.31000,97.45000,98.70000,253800
86,2022-12-05,103.15000,103.63500,99.78000,101.95000,176000
87,2022-12-02,100.58000,105.94800,100.03000,104.32000,150200
88,2022-12-01,103.91000,107.65000,101.55000,104.18000,234200
89,2022-11-30,97.50000,105.87500,95.72000,105.46000,250900
90,2022-11-29,100.39000,100.39000,95.41000,97.63000,230700
91,2022-11-28,97.64000,99.34000,96.18000,97.00000,171400
92,2022-11-25,99.78000,101.06000,98.90000,99.00000,56300
93,2022-11-23,101.99000,105.00000,100.58000,101.53000,138600
94,2022-11-22,97.20000,102.94000,95.31500,102.57000,212600
95,2022-11-21,102.78000,103.37100,96.67500,96.93000,203000
96,2022-11-18,105.29000,105.36000,102.16000,105.12000,267200
97,2022-11-17,99.51000,103.06000,99.42000,102.80000,184800
98,2022-11-16,108.80000,108.80000,101.07000,102.16000,253700
99,2022-11-15,108.38000,114.16500,107.57200,111.19000,425800
100,2022-11-14,106.83000,106.83000,102.01000,103.01000,360100
101,2022-11-11,104.35000,109.14000,103.13000,107.47000,571400
102,2022-11-10,96.62000,105.22000,96.61000,105.07000,437800
103,2022-11-09,90.55000,91.68000,87.75500,88.73000,243500
104,2022-11-08,95.00000,95.42000,90.55000,93.62000,410900
105,2022-11-07,87.00000,93.53000,85.99000,92.86000,490000
106,2022-11-04,85.14000,88.62000,82.00000,86.22000,692700
107,2022-11-03,79.10000,85.40000,76.61000,80.27000,946800
108,2022-11-02,91.81000,93.88000,87.12000,87.42000,394700
109,2022-11-01,92.56000,94.78000,91.26000,91.30000,235100
110,2022-10-31,92.17000,93.20000,88.49000,89.81000,318100
111,2022-10-28,89.27000,94.87500,88.76000,94.42000,382300
112,2022-10-27,88.33000,90.46000,87.53500,89.47000,644600
113,2022-10-26,83.96000,89.48500,83.28000,87.50000,365200
114,2022-10-25,78.90000,86.55000,78.90000,86.40000,401900
115,2022-10-24,80.25000,80.52000,74.70000,78.64000,278000
116,2022-10-21,77.24000,80.79000,75.00000,80.50000,227200
117,2022-10-20,77.10000,80.70000,75.73000,77.10000,312700
118,2022-10-19,76.07000,78.22000,74.88000,76.72000,347200
119,2022-10-18,79.48000,80.56800,74.87000,76.38000,399600
120,2022-10-17,76.10000,77.70000,75.08000,76.47000,263800
121,2022-10-14,81.00000,81.82900,73.10000,73.30000,303100
122,2022-10-13,75.00000,82.04000,73.99500,79.88000,586900
123,2022-10-12,78.75000,79.27000,76.78000,78.38000,396800
124,2022-10-11,78.74000,81.08000,76.51000,78.75000,417800
125,2022-10-10,82.44000,82.74000,77.78000,80.11000,363100
126,2022-10-07,87.52000,87.95000,82.29000,83.23000,293800
127,2022-10-06,89.72000,92.74000,89.72000,91.20000,181600
128,2022-10-05,87.31000,91.55000,86.66000,90.62000,321900
129,2022-10-04,86.16000,90.14000,85.54500,90.05000,481300
130,2022-10-03,80.09000,84.73000,79.54000,83.25000,339600
131,2022-09-30,81.02000,83.66000,78.53800,78.73000,309700
132,2022-09-29,83.16000,83.16000,80.01000,81.83000,281500
133,2022-09-28,80.04000,86.60000,79.54000,85.71000,417000
134,2022-09-27,80.33000,82.80900,78.58000,80.60000,292700
135,2022-09-26,81.06000,83.07000,77.47000,78.40000,338200
136,2022-09-23,78.88000,81.85000,77.77000,81.34000,533400
137,2022-09-22,82.88000,83.67000,79.63000,80.36000,385300
138,2022-09-21,84.75000,87.82000,83.34000,83.68000,489000
139,2022-09-20,84.97000,85.81500,83.29000,84.07000,595300
140,2022-09-19,85.48000,88.20000,85.48000,86.25000,386500
141,2022-09-16,87.51000,88.60000,85.00000,86.82000,843900
142,2022-09-15,91.53000,94.35000,88.22000,89.05000,466300
143,2022-09-14,93.20000,94.52000,90.29000,92.21000,353700
144,2022-09-13,92.00000,97.20000,91.39000,91.92000,483300
145,2022-09-12,102.74000,104.69000,101.21000,103.05000,255000
146,2022-09-09,100.00000,103.57000,100.00000,101.87000,225700
147,2022-09-08,95.80000,99.49000,94.56000,97.86000,311200
148,2022-09-07,95.00000,98.51000,94.21000,97.69000,295500
149,2022-09-06,99.00000,99.24000,94.57000,94.98000,337900
150,2022-09-02,102.71000,103.23000,96.79000,99.01000,417800
151,2022-09-01,104.44000,104.51000,96.11000,99.76000,791300
152,2022-08-31,112.28000,114.20000,104.68000,106.41000,830000
153,2022-08-30,113.32000,113.55000,107.48000,110.75000,391600
154,2022-08-29,114.32000,116.00000,111.40000,112.02000,330900
155,2022-08-26,121.80000,121.98000,115.49000,115.89000,237600
