,datetime,open,high,low,close,volume
0,2023-04-11,14.79000,14.83000,14.62000,14.72000,134900
1,2023-04-10,14.74000,14.79000,14.43000,14.60000,169600
2,2023-04-06,14.86000,14.86000,14.65000,14.71000,80800
3,2023-04-05,14.84000,14.86000,14.61000,14.62000,238800
4,2023-04-04,14.95000,15.00000,14.72000,14.88000,136200
5,2023-04-03,15.00000,15.13000,14.85000,14.95000,125800
6,2023-03-31,15.00000,15.15000,14.96000,15.04000,150400
7,2023-03-30,15.09000,15.11000,14.96000,14.97000,130800
8,2023-03-29,14.99000,15.00000,14.84000,14.96000,101900
9,2023-03-28,14.71000,14.89000,14.71000,14.85000,140167
10,2023-03-27,14.84000,14.96000,14.73000,14.84000,160913
11,2023-03-24,14.48000,14.75000,14.36280,14.72000,133787
12,2023-03-23,14.77000,14.92990,14.47000,14.54000,133966
13,2023-03-22,14.84000,15.06990,14.66000,14.66000,158296
14,2023-03-21,14.76000,15.19000,14.56000,15.04000,274133
15,2023-03-20,14.45000,14.70000,14.38000,14.46000,170817
16,2023-03-17,14.72000,14.81000,14.35420,14.40000,447609
17,2023-03-16,14.43000,14.82990,14.20000,14.77000,214245
18,2023-03-15,14.39000,14.53000,14.19000,14.43000,420930
19,2023-03-14,14.73000,14.97000,14.53500,14.66000,179643
20,2023-03-13,14.45000,14.60000,14.08500,14.46000,455137
21,2023-03-10,15.29000,15.35500,14.43000,14.61000,376809
22,2023-03-09,15.92000,15.97500,15.28000,15.35000,230678
23,2023-03-08,15.81000,16.08500,15.81000,16.00000,291361
24,2023-03-07,15.76000,15.76000,15.60000,15.72000,188720
25,2023-03-06,15.62000,15.81000,15.50000,15.68000,228685
26,2023-03-03,15.34000,15.71000,15.26000,15.62000,350383
27,2023-03-02,15.29000,15.33000,14.89880,15.23000,333308
28,2023-03-01,15.08000,15.75000,15.05860,15.29000,522057
29,2023-02-28,14.91000,14.94800,14.65000,14.76000,107966
30,2023-02-27,14.84000,15.08000,14.84000,14.90000,144202
31,2023-02-24,14.84000,14.92000,14.70500,14.75000,140388
32,2023-02-23,14.72000,14.94000,14.72000,14.89000,112173
33,2023-02-22,14.64000,14.79000,14.64000,14.73000,133673
34,2023-02-21,15.09000,15.09000,14.59500,14.69000,232756
35,2023-02-17,14.78000,15.09000,14.78000,15.09000,170785
36,2023-02-16,14.84000,15.02480,14.81000,14.82000,139028
37,2023-02-15,14.83000,14.94000,14.73000,14.91000,146373
38,2023-02-14,15.08000,15.17000,14.97000,15.08000,245770
39,2023-02-13,15.04000,15.16990,14.90000,15.11000,271693
40,2023-02-10,14.98000,15.03500,14.83000,14.96000,221428
41,2023-02-09,15.34000,15.40000,14.91000,14.98000,246180
42,2023-02-08,15.54000,15.60000,15.15000,15.22000,227853
43,2023-02-07,15.74000,15.80000,15.43500,15.60000,229552
44,2023-02-06,15.90000,16.00000,15.22000,15.60000,462872
45,2023-02-03,15.69000,15.95000,15.65000,15.90000,265400
46,2023-02-02,15.74000,15.94500,15.65000,15.69000,199444
47,2023-02-01,15.50000,15.70000,15.41000,15.63000,157206
48,2023-01-31,15.31000,15.51000,15.27000,15.51000,118697
49,2023-01-30,15.53000,15.58000,15.29000,15.32000,140609
50,2023-01-27,15.40000,15.60000,15.40000,15.55000,131128
51,2023-01-26,15.49000,15.57000,15.32000,15.45000,142140
52,2023-01-25,15.30000,15.45000,15.15000,15.44000,151306
53,2023-01-24,15.52000,15.58000,15.42000,15.45000,214142
54,2023-01-23,15.12000,15.53000,15.11000,15.53000,230844
55,2023-01-20,14.98000,15.07000,14.90000,15.05000,188932
56,2023-01-19,14.97000,15.02000,14.86000,14.98000,160901
57,2023-01-18,15.30000,15.45000,14.96380,14.99000,199767
58,2023-01-17,15.25000,15.45000,15.23000,15.28000,228245
59,2023-01-13,14.94000,15.15000,14.87000,15.12000,170916
60,2023-01-12,14.96000,15.09000,14.91000,15.04000,135684
61,2023-01-11,14.70000,14.92000,14.68550,14.92000,173683
62,2023-01-10,14.50000,14.66000,14.48000,14.61000,112966
63,2023-01-09,14.34000,14.57000,14.34000,14.48000,141739
64,2023-01-06,14.25000,14.34590,14.16390,14.30000,176962
65,2023-01-05,14.42000,14.42000,14.21000,14.25000,158775
66,2023-01-04,14.11000,14.43990,14.11000,14.40000,150073
67,2023-01-03,14.00000,14.21000,13.99000,14.12000,136709
68,2022-12-30,13.83000,14.03000,13.80500,13.91000,258613
69,2022-12-29,13.88000,14.05000,13.86090,13.94000,156593
70,2022-12-28,13.91000,14.05000,13.79000,13.82000,238660
71,2022-12-27,14.01000,14.12000,13.95000,13.98000,184157
72,2022-12-23,13.94000,14.13000,13.94000,14.06000,199580
73,2022-12-22,13.87000,14.05000,13.79000,14.00000,234661
74,2022-12-21,14.05000,14.16000,13.91000,13.96000,200255
75,2022-12-20,14.01000,14.24190,13.96000,14.13000,240869
76,2022-12-19,14.44000,14.49000,13.95000,14.02000,366267
77,2022-12-16,14.45000,14.75000,14.34000,14.58000,1005979
78,2022-12-15,14.70000,14.73000,14.50000,14.54000,217761
79,2022-12-14,14.83000,14.93000,14.63000,14.73000,291582
80,2022-12-13,15.18000,15.26000,14.81000,14.86000,235469
81,2022-12-12,14.94000,15.05000,14.87000,14.96000,191337
82,2022-12-09,14.81000,14.91500,14.71000,14.87000,124808
83,2022-12-08,14.82000,14.94000,14.75000,14.82000,145131
84,2022-12-07,14.78000,14.89000,14.65000,14.66000,177557
85,2022-12-06,15.02000,15.08000,14.67000,14.80000,286221
86,2022-12-05,15.03000,15.13000,14.95000,15.02000,278206
87,2022-12-02,14.95000,15.09000,14.80000,15.03000,292941
88,2022-12-01,14.90000,15.11000,14.84000,14.96000,303591
89,2022-11-30,14.72000,14.82000,14.53000,14.78000,230060
90,2022-11-29,14.47000,14.90000,14.47000,14.69000,241929
91,2022-11-28,14.46000,14.73180,14.26000,14.35000,433380
92,2022-11-25,14.35000,14.55000,14.34670,14.49000,87029
93,2022-11-23,14.26000,14.39990,14.25000,14.28000,141774
94,2022-11-22,14.09000,14.35000,14.09000,14.35000,138268
95,2022-11-21,14.07000,14.17350,13.99000,14.12000,210854
96,2022-11-18,14.15000,14.20000,14.00000,14.01000,170067
97,2022-11-17,13.80000,14.13210,13.75000,14.10000,295696
98,2022-11-16,14.21500,14.27000,13.84000,13.84000,262394
99,2022-11-15,14.50000,14.69000,14.02000,14.22000,969859
100,2022-11-14,14.35000,14.51000,14.16000,14.35000,187776
101,2022-11-11,14.19000,14.51000,14.09000,14.35000,270348
102,2022-11-10,14.33000,14.45510,13.92000,14.06000,255370
103,2022-11-09,14.09000,14.36000,13.85000,13.97000,340104
104,2022-11-08,13.88000,13.88000,13.59000,13.68000,221007
105,2022-11-07,13.70000,13.88000,13.52000,13.85000,224603
106,2022-11-04,13.42000,13.78000,13.33000,13.48000,332582
107,2022-11-03,13.42000,13.58000,13.08000,13.42000,422887
108,2022-11-02,13.69000,13.88000,13.41000,13.58000,207992
109,2022-11-01,13.65000,13.71500,13.51000,13.63000,110900
110,2022-10-31,13.74000,13.74000,13.52000,13.53000,156004
111,2022-10-28,13.45000,13.79000,13.45000,13.74000,119614
112,2022-10-27,13.72000,13.75000,13.47000,13.49000,122868
113,2022-10-26,13.63000,13.66820,13.49000,13.58000,154947
114,2022-10-25,13.11000,13.54500,13.07200,13.51000,149998
115,2022-10-24,12.84000,13.20000,12.84000,13.14000,145504
116,2022-10-21,12.90000,13.01500,12.71000,12.87000,103104
