,datetime,open,high,low,close,volume
0,2023-04-11,4.15000,4.31000,4.15000,4.27000,168100
1,2023-04-10,4.07000,4.21000,4.07000,4.19000,126200
2,2023-04-06,4.14000,4.14000,4.07000,4.11000,124600
3,2023-04-05,4.17000,4.19000,4.08000,4.15000,175700
4,2023-04-04,4.29000,4.29000,4.16000,4.21000,178700
5,2023-04-03,4.54000,4.54000,4.20000,4.28000,274500
6,2023-03-31,4.30000,4.45000,4.26000,4.45000,518000
7,2023-03-30,4.12000,4.38000,4.12000,4.31000,390600
8,2023-03-29,3.98000,4.14000,3.68000,4.09000,652600
9,2023-03-28,4.04000,4.20000,4.03000,4.18000,405600
10,2023-03-27,4.10000,4.13000,4.00000,4.04000,241100
11,2023-03-24,4.08000,4.11000,4.02000,4.08000,296100
12,2023-03-23,4.11000,4.28000,4.09000,4.13000,273700
13,2023-03-22,4.19000,4.25000,4.06000,4.08000,260700
14,2023-03-21,4.18000,4.28000,4.12000,4.24000,270500
15,2023-03-20,4.24000,4.27000,4.06000,4.06000,337200
16,2023-03-17,4.23000,4.23000,4.03000,4.16000,1247200
17,2023-03-16,4.10000,4.28000,4.01000,4.26000,477500
18,2023-03-15,4.17000,4.23000,4.03000,4.20000,563400
19,2023-03-14,4.25000,4.40000,4.23000,4.37000,372600
20,2023-03-13,4.19000,4.33000,4.07000,4.23000,355400
21,2023-03-10,4.28000,4.35000,4.13000,4.24000,572600
22,2023-03-09,4.41000,4.51000,4.25000,4.28000,420600
23,2023-03-08,4.33000,4.41000,4.26000,4.39000,401700
24,2023-03-07,4.43000,4.47000,4.29000,4.33000,325200
25,2023-03-06,4.55000,4.60000,4.39000,4.44000,418100
26,2023-03-03,4.52000,4.60000,4.48000,4.55000,272800
27,2023-03-02,4.53000,4.55000,4.43000,4.49000,335100
28,2023-03-01,4.57000,4.70000,4.57000,4.61000,303700
29,2023-02-28,4.51000,4.59000,4.50000,4.53000,269800
30,2023-02-27,4.49000,4.62000,4.49000,4.56000,307700
31,2023-02-24,4.51000,4.52000,4.34000,4.45000,405000
32,2023-02-23,4.60000,4.69000,4.49000,4.61000,340800
33,2023-02-22,4.55000,4.59000,4.45000,4.55000,302700
34,2023-02-21,4.68000,4.68000,4.51000,4.52000,301400
35,2023-02-17,4.70000,4.71000,4.62000,4.71000,314400
36,2023-02-16,4.85000,4.96000,4.69000,4.70000,262200
37,2023-02-15,4.82000,4.98000,4.75000,4.98000,300400
38,2023-02-14,4.78000,4.91000,4.72000,4.83000,310500
39,2023-02-13,4.76000,4.88000,4.67000,4.86000,284300
40,2023-02-10,4.67000,4.80000,4.54000,4.76000,339600
41,2023-02-09,5.04000,5.06000,4.68000,4.69000,494200
42,2023-02-08,5.05000,5.05000,4.92000,4.98000,326300
43,2023-02-07,5.11000,5.11000,4.89000,5.01000,369400
44,2023-02-06,5.10000,5.17000,5.01000,5.08000,327500
45,2023-02-03,5.28000,5.39000,5.16000,5.17000,378500
46,2023-02-02,5.29000,5.43000,5.23000,5.35000,642900
47,2023-02-01,5.09000,5.27000,5.04000,5.19000,466600
48,2023-01-31,4.87000,5.06000,4.87000,5.06000,464100
49,2023-01-30,5.03000,5.09000,4.85000,4.95000,410400
50,2023-01-27,5.10000,5.24000,5.08000,5.16000,248900
51,2023-01-26,5.27000,5.31000,5.08000,5.15000,375900
52,2023-01-25,5.31000,5.31000,5.15000,5.21000,318500
53,2023-01-24,5.55000,5.60000,5.40000,5.40000,262400
54,2023-01-23,5.25000,5.47000,5.21000,5.45000,417600
55,2023-01-20,5.03000,5.23000,4.99000,5.23000,312500
56,2023-01-19,5.19000,5.19000,4.98000,5.03000,408400
57,2023-01-18,5.31000,5.45000,5.24000,5.28000,447400
58,2023-01-17,5.35000,5.43000,5.28000,5.37000,365000
59,2023-01-13,5.37000,5.44000,5.25000,5.25000,397000
60,2023-01-12,5.30000,5.40000,5.13000,5.40000,428700
61,2023-01-11,5.04000,5.33000,4.98000,5.26000,724700
62,2023-01-10,4.91000,5.07000,4.82000,5.07000,404100
63,2023-01-09,4.88000,5.11000,4.86000,4.89000,579900
64,2023-01-06,4.67000,4.85000,4.63000,4.81000,591400
65,2023-01-05,4.64000,4.69000,4.53000,4.60000,220400
