,datetime,open,high,low,close,volume
0,2023-04-11,37.02000,37.78000,36.67000,37.50000,9700
1,2023-04-10,37.02000,37.49000,36.64000,36.91000,13000
2,2023-04-06,37.31000,37.43000,36.88000,37.09000,6300
3,2023-04-05,37.55000,37.69000,37.03000,37.26000,10300
4,2023-04-04,37.54000,37.75000,37.36000,37.43000,9800
5,2023-04-03,38.06000,38.06000,37.27000,37.62000,21100
6,2023-03-31,37.97000,37.97000,37.21000,37.79000,10700
7,2023-03-30,37.30000,37.71000,36.71000,37.26000,23500
8,2023-03-29,36.73000,37.54000,36.66000,37.16000,70900
9,2023-03-28,36.41000,36.76000,36.41000,36.41000,8900
10,2023-03-27,36.57000,36.74000,36.10000,36.61000,15200
11,2023-03-24,36.11000,36.37000,36.10000,36.28000,4500
12,2023-03-23,36.26000,36.48000,36.11000,36.11000,9100
13,2023-03-22,36.21000,36.34000,36.01000,36.10000,10900
14,2023-03-21,36.07000,36.23000,35.91000,36.18000,6000
15,2023-03-20,35.75000,35.90000,35.67000,35.76000,9300
16,2023-03-17,35.71000,36.24000,35.46000,35.53000,18900
17,2023-03-16,35.23000,36.00000,35.15000,35.99000,52300
18,2023-03-15,36.44000,37.11000,35.10000,35.10000,101300
19,2023-03-14,37.40000,37.89000,36.92000,36.97000,9500
20,2023-03-13,36.80000,37.53000,36.80000,36.88000,8400
21,2023-03-10,37.71000,37.93000,37.20000,37.20000,4800
22,2023-03-09,38.08000,38.37000,37.60000,37.60000,10700
23,2023-03-08,38.04000,38.15000,37.92000,37.98000,9100
24,2023-03-07,38.11000,38.20000,37.90000,38.01000,12800
25,2023-03-06,38.32000,38.50000,38.07000,38.21000,22700
26,2023-03-03,38.09000,38.50000,38.02000,38.43000,29500
27,2023-03-02,37.89000,38.24000,37.75000,38.15000,14300
28,2023-03-01,38.05000,38.29000,37.82000,37.97000,24700
29,2023-02-28,38.16000,38.35000,37.80000,38.05000,21400
30,2023-02-27,38.25000,38.25000,37.75000,37.97000,11000
31,2023-02-24,37.95000,38.10000,37.79000,38.04000,14200
32,2023-02-23,38.28000,38.28000,37.95000,38.27000,14100
33,2023-02-22,37.95000,38.17000,37.75000,38.09000,11600
34,2023-02-21,38.63000,38.63000,37.75000,37.76000,25000
35,2023-02-17,38.62000,38.79000,38.48000,38.58000,15800
36,2023-02-16,38.96000,38.96000,38.65000,38.71000,21100
37,2023-02-15,38.62000,39.16000,38.43000,38.99000,17500
38,2023-02-14,38.91000,39.04000,38.52000,39.04000,19300
39,2023-02-13,38.85000,39.22000,38.85000,39.20000,18800
40,2023-02-10,38.67000,39.24000,38.50000,38.98000,22600
41,2023-02-09,39.04000,39.21000,38.80000,38.86000,7500
42,2023-02-08,39.40000,39.55000,39.00000,39.19000,22900
43,2023-02-07,38.89000,39.76000,38.48000,39.62000,10500
44,2023-02-06,38.90000,39.35000,38.67000,38.90000,47700
45,2023-02-03,39.31000,39.62000,39.00000,39.22000,27600
46,2023-02-02,39.40000,39.75000,38.91000,39.51000,34300
47,2023-02-01,38.93000,39.83000,38.81000,39.41000,51900
48,2023-01-31,38.99000,39.06000,38.58000,39.06000,49200
49,2023-01-30,39.11000,39.12000,38.57000,38.59000,29800
50,2023-01-27,39.20000,39.24000,38.75000,39.17000,17400
51,2023-01-26,39.65000,39.65000,38.75000,39.27000,21000
52,2023-01-25,38.63000,39.48000,38.11000,39.17000,20200
53,2023-01-24,38.53000,39.10000,38.53000,38.99000,23200
54,2023-01-23,38.74000,39.99000,38.74000,39.19000,13500
55,2023-01-20,38.56000,38.91000,38.56000,38.91000,20900
56,2023-01-19,39.06000,39.24000,38.50000,38.69000,14800
57,2023-01-18,39.95000,39.95000,38.99000,39.17000,18300
58,2023-01-17,38.48000,39.95000,38.10000,39.53000,22600
59,2023-01-13,38.29000,38.75000,38.00000,38.63000,12900
60,2023-01-12,38.42000,38.60000,38.01000,38.57000,14600
61,2023-01-11,38.17000,38.45000,38.17000,38.45000,5900
62,2023-01-10,38.15000,38.58000,38.10000,38.20000,9800
63,2023-01-09,38.36000,38.65000,38.24000,38.24000,7500
64,2023-01-06,38.00000,38.73000,37.82000,38.30000,8600
